word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-12.547155380249023
abhorred,4,a_##b_##hor_##red,-27.12584161758423
abolitionist,2,abolition_##ist,-25.883028984069824
abused,1,abused,-14.163013458251953
accepted,1,accepted,-12.292520523071289
accompanied,1,accompanied,-12.377891540527344
accosted,3,a_##cco_##sted,-29.774834156036377
accountant,1,accountant,-14.548583984375
accused,1,accused,-13.174430847167969
accuser,3,a_##cc_##user,-32.58541822433472
acquitted,1,acquitted,-13.841326713562012
acrobat,4,a_##c_##ro_##bat,-29.58047389984131
activist,1,activist,-13.445992469787598
actor,1,actor,-12.783317565917969
actress,1,actress,-12.582131385803223
actuary,2,act_##uary,-26.00615406036377
address,1,address,-12.121315956115723
adjuster,2,adjust_##er,-22.676626205444336
admiral,1,admiral,-14.487468719482422
admired,1,admired,-14.239225387573242
admirer,2,admire_##r,-20.180480003356934
admonished,3,ad_##mon_##ished,-31.914786338806152
adopted,1,adopted,-13.01021957397461
adored,2,ad_##ored,-29.36971092224121
adorned,1,adorned,-13.86172866821289
adventurer,2,adventure_##r,-23.03314781188965
advisor,1,advisor,-14.04603385925293
affronted,4,a_##ff_##ron_##ted,-21.284292221069336
agent,1,agent,-12.61285400390625
aggravated,4,a_##gg_##ra_##vated,-20.466279983520508
agitated,1,agitated,-15.123973846435547
aide,1,aide,-14.978666305541992
airplane,1,airplane,-14.19922161102295
alarmed,1,alarmed,-14.837881088256836
alcohol,1,alcohol,-13.750204086303711
alcoholic,1,alcoholic,-14.565916061401367
amateur,1,amateur,-13.830008506774902
ambassador,1,ambassador,-12.943506240844727
amused,1,amused,-15.057828903198242
analyst,1,analyst,-14.856531143188477
anchorman,2,anchor_##man,-23.49903964996338
announcer,1,announcer,-14.714282035827637
annoyed,1,annoyed,-14.697543144226074
antagonized,3,ant_##agon_##ized,-29.06013011932373
anthem,1,anthem,-14.556830406188965
anthropologist,1,anthropologist,-15.071758270263672
apartment,1,apartment,-13.128210067749023
applauded,3,app_##lau_##ded,-21.418503761291504
appointment,1,appointment,-13.465106010437012
appraiser,2,app_##raiser,-28.225062370300293
apprehended,4,app_##re_##hend_##ed,-25.466225624084473
apprentice,1,apprentice,-14.32564926147461
approached,1,approached,-13.03079891204834
approved,1,approved,-12.273773193359375
archaeologist,1,archaeologist,-15.20186996459961
architect,1,architect,-13.017316818237305
archivist,2,arch_##ivist,-34.58368492126465
aristocrat,3,a_##risto_##crat,-29.667323112487793
arranged,1,arranged,-11.843689918518066
arsonist,3,a_##rson_##ist,-27.61440896987915
article,1,article,-12.854890823364258
artisan,2,art_##isan,-28.348082542419434
artist,1,artist,-12.624335289001465
assailant,3,ass_##ail_##ant,-26.80878448486328
assassin,1,assassin,-14.30678939819336
assignment,1,assignment,-13.96634578704834
assistant,1,assistant,-12.404006004333496
assisted,1,assisted,-13.674846649169922
assuaged,3,ass_##ua_##ged,-31.33940887451172
asylum,1,asylum,-13.642562866210938
ate,1,ate,-13.514504432678223
athlete,1,athlete,-13.41145133972168
attacked,1,attacked,-11.880755424499512
attacker,1,attacker,-14.593053817749023
attendant,1,attendant,-13.69753646850586
attended,1,attended,-12.609763145446777
attired,2,attire_##d,-25.035030364990234
attorney,1,attorney,-13.488633155822754
au,1,au,-12.37833023071289
audience,1,audience,-13.957836151123047
auditor,2,audit_##or,-22.881467819213867
aunt,1,aunt,-13.077293395996094
author,1,author,-12.725605964660645
autographed,3,auto_##graph_##ed,-27.249987602233887
aviator,2,a_##viator,-24.587125778198242
awed,2,awe_##d,-25.523197174072266
baby,1,baby,-11.08480167388916
bachelor,1,bachelor,-13.321672439575195
badgered,2,badge_##red,-30.410579681396484
baffled,3,b_##af_##fled,-24.361462593078613
bag,1,bag,-12.535019874572754
baguette,3,bag_##ue_##tte,-32.684675216674805
bailiff,2,bail_##iff,-26.97376537322998
baker,2,b_##aker,-26.865522384643555
ballerina,2,ball_##erina,-25.390207290649414
ballot,1,ballot,-14.266377449035645
banished,1,banished,-14.430126190185547
banker,1,banker,-14.550336837768555
banner,1,banner,-13.704044342041016
barber,2,bar_##ber,-23.564163208007812
baron,1,baron,-13.931601524353027
baroness,2,baron_##ess,-23.837878227233887
barrister,1,barrister,-14.544703483581543
basin,1,basin,-13.77705192565918
basted,3,b_##ast_##ed,-26.103466033935547
battery,1,battery,-14.42727279663086
bear,1,bear,-12.991713523864746
beat,1,beat,-12.370777130126953
beaten,1,beaten,-13.712865829467773
befriended,1,befriended,-15.322896957397461
befuddled,3,be_##fu_##ddled,-25.4367036819458
begged,1,begged,-13.87081527709961
beginner,2,begin_##ner,-25.422693252563477
begrudged,3,beg_##rudge_##d,-27.61506986618042
believed,1,believed,-11.965638160705566
belittled,3,be_##lit_##tled,-30.131332397460938
bellboy,2,bell_##boy,-26.486641883850098
bemused,3,be_##mus_##ed,-25.969515800476074
benefactor,3,ben_##ef_##actor,-34.14265727996826
beneficiary,4,ben_##ef_##ici_##ary,-25.693957328796387
bent,1,bent,-12.467424392700195
berated,2,be_##rated,-22.904691219329834
betrayed,1,betrayed,-13.982813835144043
beverage,1,beverage,-15.815966606140137
biased,2,bias_##ed,-25.63662338256836
biker,2,bike_##r,-22.584525108337402
billed,1,billed,-14.430086135864258
biologist,1,biologist,-14.90621280670166
blackmailer,3,black_##mail_##er,-27.541683197021484
blamed,1,blamed,-14.02945613861084
blew,1,blew,-12.913381576538086
blonde,1,blonde,-13.127004623413086
blown,1,blown,-13.592456817626953
book,1,book,-11.330892562866211
bookkeeper,2,book_##keeper,-20.497944831848145
bookseller,2,books_##eller,-24.54674243927002
bookworm,2,book_##worm,-22.360111236572266
borrowed,1,borrowed,-14.003819465637207
boss,1,boss,-13.07680892944336
botanist,1,botanist,-14.495590209960938
bothered,1,bothered,-13.81964111328125
bottle,1,bottle,-12.172158241271973
bought,1,bought,-12.687278747558594
bowler,1,bowler,-13.361030578613281
boy,1,boy,-12.410301208496094
boyfriend,1,boyfriend,-13.144073486328125
bribed,3,br_##ibe_##d,-27.905644416809082
bricklayer,2,brick_##layer,-30.305879592895508
brochure,3,br_##och_##ure,-31.1226224899292
broker,1,broker,-14.635664939880371
brunette,3,br_##une_##tte,-26.663246154785156
bulb,1,bulb,-12.908154487609863
bully,2,bull_##y,-22.14848804473877
bum,2,b_##um,-25.083438873291016
bureaucrat,2,bureau_##crat,-29.58012580871582
burgled,3,b_##urg_##led,-32.27768039703369
burial,1,burial,-15.020849227905273
burned,1,burned,-12.610445022583008
burnt,1,burnt,-13.135963439941406
bus,1,bus,-13.211615562438965
busboy,2,bus_##boy,-23.496681213378906
businessman,1,businessman,-13.932680130004883
butcher,1,butcher,-14.365279197692871
