sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-39.034793853759766,6
tensor(1),The illness caught the raider.,-44.09642028808594,6
tensor(2),The illness was caught by the raider.,-42.5120735168457,8
tensor(3),The raider was caught by the illness.,-42.81694030761719,8
tensor(4),The marauder contracted the disease.,-33.949275970458984,6
tensor(5),The disease contracted the marauder.,-43.832725524902344,6
tensor(6),The disease was contracted by the marauder.,-39.81856155395508,8
tensor(7),The marauder was contracted by the disease.,-43.72135543823242,8
tensor(8),The convict dreaded the prison.,-33.938926696777344,5
tensor(9),The prison dreaded the convict.,-38.028480529785156,5
tensor(10),The prison was dreaded by the convict.,-39.993408203125,7
tensor(11),The convict was dreaded by the prison.,-41.88384246826172,7
tensor(12),The criminal feared the jail.,-39.70203399658203,5
tensor(13),The jail feared the criminal.,-39.46780014038086,5
tensor(14),The jail was feared by the criminal.,-46.1464958190918,7
tensor(15),The criminal was feared by the jail.,-42.94441223144531,7
tensor(16),The prostitute squandered the cash.,-37.565826416015625,7
tensor(17),The cash squandered the prostitute.,-42.85498046875,7
tensor(18),The cash was squandered by the prostitute.,-39.03345489501953,9
tensor(19),The prostitute was squandered by the cash.,-44.829833984375,9
tensor(20),The call girl wasted the money.,-37.09284210205078,6
tensor(21),The money wasted the call girl.,-47.831878662109375,6
tensor(22),The money was wasted by the call girl.,-39.079612731933594,8
tensor(23),The call girl was wasted by the money.,-44.240501403808594,8
tensor(24),The adventurer requested the beverage.,-36.20302963256836,5
tensor(25),The beverage requested the adventurer.,-45.01603698730469,5
tensor(26),The beverage was requested by the adventurer.,-39.607025146484375,7
tensor(27),The adventurer was requested by the beverage.,-45.00409698486328,7
tensor(28),The undertaker prepared the funeral.,-31.109012603759766,6
tensor(29),The funeral prepared the undertaker.,-39.82540512084961,6
tensor(30),The funeral was prepared by the undertaker.,-34.300445556640625,8
tensor(31),The undertaker was prepared by the funeral.,-42.62706756591797,8
tensor(32),The mortician arranged the burial.,-34.205360412597656,6
tensor(33),The burial arranged the mortician.,-44.50798416137695,6
tensor(34),The burial was arranged by the mortician.,-36.56806945800781,8
tensor(35),The mortician was arranged by the burial.,-46.364784240722656,8
tensor(36),The supervisor supplied the liquor.,-35.383975982666016,5
tensor(37),The liquor supplied the supervisor.,-40.71826171875,5
tensor(38),The liquor was supplied by the supervisor.,-38.01630783081055,7
tensor(39),The supervisor was supplied by the liquor.,-45.905479431152344,7
tensor(40),The overseer provided the alcohol.,-35.66913604736328,6
tensor(41),The alcohol provided the overseer.,-41.2201042175293,6
tensor(42),The alcohol was provided by the overseer.,-39.318115234375,8
tensor(43),The overseer was provided by the alcohol.,-44.350502014160156,8
tensor(44),The troublemaker crashed the car.,-38.162986755371094,6
tensor(45),The car crashed the troublemaker.,-38.73102569580078,6
tensor(46),The car was crashed by the troublemaker.,-37.88167190551758,8
tensor(47),The troublemaker was crashed by the car.,-45.09991455078125,8
tensor(48),The hooligan wrecked the vehicle.,-35.741912841796875,7
tensor(49),The vehicle wrecked the hooligan.,-40.6330451965332,7
tensor(50),The vehicle was wrecked by the hooligan.,-37.02406692504883,9
tensor(51),The hooligan was wrecked by the vehicle.,-42.9305419921875,9
tensor(52),The repairman fixed the tap.,-35.08147430419922,6
tensor(53),The tap fixed the repairman.,-40.854888916015625,6
tensor(54),The tap was fixed by the repairman.,-38.79700469970703,8
tensor(55),The repairman was fixed by the tap.,-44.740360260009766,8
tensor(56),The handyman repaired the faucet.,-39.8939323425293,8
tensor(57),The faucet repaired the handyman.,-48.246341705322266,8
tensor(58),The faucet was repaired by the handyman.,-40.87042236328125,10
tensor(59),The handyman was repaired by the faucet.,-52.12318420410156,10
tensor(60),The secretary organized the desk.,-36.75975036621094,5
tensor(61),The desk organized the secretary.,-38.35106658935547,5
tensor(62),The desk was organized by the secretary.,-33.247806549072266,7
tensor(63),The secretary was organized by the desk.,-43.566036224365234,7
tensor(64),The receptionist tidied the table.,-31.891016006469727,7
tensor(65),The table tidied the receptionist.,-44.40949249267578,7
tensor(66),The table was tidied by the receptionist.,-38.1142578125,9
tensor(67),The receptionist was tidied by the table.,-45.48551559448242,9
tensor(68),The pilot steered the airplane.,-30.11261749267578,5
tensor(69),The airplane steered the pilot.,-36.091373443603516,5
tensor(70),The airplane was steered by the pilot.,-30.248470306396484,7
tensor(71),The pilot was steered by the airplane.,-35.12733840942383,7
tensor(72),The aviator maneuvered the jet.,-38.693153381347656,7
tensor(73),The jet maneuvered the aviator.,-46.22449493408203,7
tensor(74),The jet was maneuvered by the aviator.,-41.39303207397461,9
tensor(75),The aviator was maneuvered by the jet.,-45.37058639526367,9
tensor(76),The chef sauteed the squid.,-37.442359924316406,7
tensor(77),The squid sauteed the chef.,-45.6961555480957,7
tensor(78),The squid was sauteed by the chef.,-47.342681884765625,9
tensor(79),The chef was sauteed by the squid.,-51.29267883300781,9
tensor(80),The cook grilled the octopus.,-33.377593994140625,6
tensor(81),The octopus grilled the cook.,-40.91029357910156,6
tensor(82),The octopus was grilled by the cook.,-39.408241271972656,8
tensor(83),The cook was grilled by the octopus.,-38.30400466918945,8
tensor(84),The ship captain promised the triumph.,-40.23711395263672,6
tensor(85),The triumph promised the ship captain.,-48.404273986816406,6
tensor(86),The triumph was promised by the ship captain.,-43.956260681152344,8
tensor(87),The ship captain was promised by the triumph.,-50.70372009277344,8
tensor(88),The skipper guaranteed the victory.,-35.6285400390625,6
tensor(89),The victory guaranteed the skipper.,-37.5931396484375,6
tensor(90),The victory was guaranteed by the skipper.,-36.52348327636719,8
tensor(91),The skipper was guaranteed by the victory.,-45.71661376953125,8
tensor(92),The milliner adorned the fedora.,-46.29469680786133,7
tensor(93),The fedora adorned the milliner.,-43.464805603027344,7
tensor(94),The fedora was adorned by the milliner.,-49.11928176879883,9
tensor(95),The milliner was adorned by the fedora.,-51.88092803955078,9
tensor(96),The hatter decorated the bowler.,-46.157379150390625,7
tensor(97),The bowler decorated the hatter.,-46.72712707519531,7
tensor(98),The bowler was decorated by the hatter.,-45.95381164550781,9
tensor(99),The hatter was decorated by the bowler.,-48.66863250732422,9
tensor(100),The serviceman hoisted the flag.,-30.850055694580078,7
tensor(101),The flag hoisted the serviceman.,-37.013916015625,7
tensor(102),The flag was hoisted by the serviceman.,-35.26948547363281,9
tensor(103),The serviceman was hoisted by the flag.,-37.056251525878906,9
tensor(104),The soldier raised the banner.,-27.706680297851562,5
tensor(105),The banner raised the soldier.,-37.76957702636719,5
tensor(106),The banner was raised by the soldier.,-35.97642517089844,7
tensor(107),The soldier was raised by the banner.,-42.150394439697266,7
tensor(108),The agent failed the mission.,-31.10382080078125,5
tensor(109),The mission failed the agent.,-34.9132194519043,5
tensor(110),The mission was failed by the agent.,-33.015499114990234,7
tensor(111),The agent was failed by the mission.,-38.37156677246094,7
tensor(112),The operative blew the assignment.,-37.70716094970703,5
tensor(113),The assignment blew the operative.,-43.745628356933594,5
tensor(114),The assignment was blown by the operative.,-43.93782424926758,7
tensor(115),The operative was blown by the assignment.,-44.320926666259766,7
tensor(116),The anchorman garbled the expression.,-39.325782775878906,7
tensor(117),The expression garbled the anchorman.,-45.8017463684082,7
tensor(118),The expression was garbled by the anchorman.,-42.341732025146484,9
tensor(119),The anchorman was garbled by the expression.,-47.09964370727539,9
tensor(120),The announcer mispronounced the word.,-26.915870666503906,7
tensor(121),The word mispronounced the announcer.,-37.67421340942383,7
tensor(122),The word was mispronounced by the announcer.,-30.804264068603516,9
tensor(123),The announcer was mispronounced by the word.,-42.398719787597656,9
