word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-0.7547054290771484
abhorred,3,ab_hor_red,-11.24184513092041
abolitionist,3,abol_ition_ist,-2.2062883377075195
abused,2,ab_used,-4.379615783691406
accepted,2,accept_ed,-9.001956939697266
accompanied,1,accompanied,-11.465394020080566
accosted,3,acc_ost_ed,-12.757320404052734
accountant,2,account_ant,-9.299430847167969
accused,2,acc_used,-6.740926742553711
accuser,2,acc_user,-10.422806739807129
acquitted,2,acqu_itted,-11.060274124145508
acrobat,2,ac_robat,-5.77625846862793
activist,2,activ_ist,-2.4368114471435547
actor,1,actor,-8.866961479187012
actress,2,act_ress,-11.804716110229492
actuary,2,act_uary,-8.529622077941895
address,1,address,-9.686359405517578
adjuster,2,adjust_er,-12.768381118774414
admiral,3,ad_mir_al,-2.9580535888671875
admired,3,ad_m_ired,-1.3263835906982422
admirer,3,ad_mire_r,-3.3476924896240234
admonished,3,ad_mon_ished,-9.868706703186035
adopted,2,ad_opted,-2.9750843048095703
adored,2,ad_ored,-15.500633239746094
adorned,2,ad_orned,-5.758899688720703
adventurer,3,ad_venture_r,-1.2564105987548828
advisor,2,ad_visor,-5.883174896240234
affronted,3,aff_ront_ed,-0.9184722900390625
agent,1,agent,-9.34093189239502
aggravated,3,agg_rav_ated,-0.988037109375
agitated,2,ag_itated,-5.435845375061035
aide,2,a_ide,-13.859700679779053
airplane,2,air_plane,-2.5698232650756836
alarmed,2,al_armed,-3.9833335876464844
alcohol,1,alcohol,-8.999689102172852
alcoholic,2,alcohol_ic,-4.339205741882324
amateur,2,am_ateur,-3.9930505752563477
ambassador,2,amb_assador,-1.7446670532226562
amused,2,am_used,-8.683242797851562
analyst,2,an_alyst,-4.333712577819824
anchorman,2,anch_orman,-14.543248176574707
announcer,3,ann_oun_cer,-2.5318851470947266
annoyed,3,ann_oy_ed,-2.12457275390625
antagonized,3,ant_agon_ized,-3.627309799194336
anthem,2,ant_hem,-5.279388427734375
anthropologist,2,anthrop_ologist,-7.032849311828613
apartment,2,ap_artment,-3.607769012451172
applauded,4,app_l_aud_ed,-6.295186996459961
appointment,2,app_ointment,-2.5463218688964844
appraiser,3,app_ra_iser,-11.948396682739258
apprehended,3,app_rehend_ed,-0.1513805389404297
apprentice,2,app_rentice,-6.215780258178711
approached,2,appro_ached,-7.414642333984375
approved,1,approved,-9.34659481048584
archaeologist,3,arch_ae_ologist,-5.626607894897461
architect,2,arch_itect,-1.5752811431884766
archivist,2,arch_ivist,-9.899200439453125
aristocrat,2,arist_ocrat,-3.9962921142578125
