word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-10.756597518920898
abhorred,3,ab_hor_red,-14.462055206298828
abolitionist,3,abol_ition_ist,-10.88426685333252
abused,2,ab_used,-11.424381256103516
accepted,2,accept_ed,-11.23038101196289
accompanied,1,accompanied,-12.400264739990234
accosted,3,acc_ost_ed,-15.736934661865234
accountant,2,account_ant,-12.670492172241211
accused,2,acc_used,-11.8909912109375
accuser,2,acc_user,-13.332023620605469
acquitted,2,acqu_itted,-16.676837921142578
acrobat,2,ac_robat,-10.792766571044922
activist,2,activ_ist,-9.814323425292969
actor,1,actor,-10.73904800415039
actress,2,act_ress,-13.169227600097656
actuary,2,act_uary,-12.171401977539062
address,1,address,-10.458000183105469
adjuster,2,adjust_er,-14.665790557861328
admiral,3,ad_mir_al,-12.57077407836914
admired,3,ad_m_ired,-13.294605255126953
admirer,3,ad_mire_r,-13.814142227172852
admonished,3,ad_mon_ished,-16.179777145385742
adopted,2,ad_opted,-10.50588607788086
adored,2,ad_ored,-14.932056427001953
adorned,2,ad_orned,-13.18941879272461
adventurer,3,ad_venture_r,-13.121968269348145
advisor,2,ad_visor,-12.678157806396484
affronted,3,aff_ront_ed,-16.973143100738525
agent,1,agent,-9.545623779296875
aggravated,3,agg_rav_ated,-11.987119674682617
agitated,2,ag_itated,-12.60744857788086
ide,1,ide,-7.574810028076172
airplane,2,air_plane,-10.218955993652344
alarmed,2,al_armed,-13.484172821044922
alcohol,1,alcohol,-7.557613372802734
alcoholic,2,alcohol_ic,-9.227699279785156
amateur,2,am_ateur,-9.510673522949219
ambassador,2,amb_assador,-11.142822265625
amused,2,am_used,-12.221878051757812
analyst,2,an_alyst,-12.146160125732422
anchorman,2,anch_orman,-13.624958038330078
announcer,3,ann_oun_cer,-12.51211929321289
annoyed,3,ann_oy_ed,-13.614444732666016
antagonized,3,ant_agon_ized,-15.919483661651611
anthem,2,ant_hem,-12.273330688476562
anthropologist,2,anthrop_ologist,-12.37081527709961
apartment,2,ap_artment,-9.749382019042969
applauded,4,app_l_aud_ed,-16.3631010055542
appointment,2,app_ointment,-11.647808074951172
appraiser,3,app_ra_iser,-15.973905563354492
apprehended,3,app_rehend_ed,-17.04697036743164
apprentice,2,app_rentice,-12.839347839355469
approached,2,appro_ached,-14.480510711669922
approved,1,approved,-11.10049057006836
archaeologist,3,arch_ae_ologist,-11.871238708496094
architect,2,arch_itect,-8.525177001953125
archivist,2,arch_ivist,-13.45870590209961
aristocrat,2,arist_ocrat,-11.293895721435547
arranged,2,arr_anged,-10.900409698486328
arsonist,2,arson_ist,-14.024913787841797
article,1,article,-9.522449493408203
artisan,1,artisan,-10.040172576904297
artist,1,artist,-8.621479034423828
assailant,3,ass_ail_ant,-12.57162094116211
assassin,2,ass_assin,-9.1219482421875
assignment,2,ass_ignment,-11.334026336669922
assistant,2,ass_istant,-11.049186706542969
assisted,1,assisted,-10.655948638916016
assuaged,3,ass_u_aged,-15.950761795043945
asylum,2,as_ylum,-11.538928985595703
ate,1,ate,-10.50357437133789
athlete,2,ath_lete,-9.298908233642578
attacked,2,att_acked,-13.805644989013672
attacker,2,att_acker,-12.461708068847656
attendant,2,att_endant,-13.07098388671875
attended,2,att_ended,-14.506256103515625
attired,2,att_ired,-14.797370910644531
attorney,2,att_orney,-13.016151428222656
au,1,au,-8.544448852539062
audience,2,aud_ience,-11.021705627441406
auditor,2,aud_itor,-12.832305908203125
aunt,1,aunt,-10.378780364990234
author,1,author,-8.475955963134766
autographed,2,aut_ographed,-14.338382720947266
aviator,2,avi_ator,-13.566181182861328
awed,1,awed,-13.444355010986328
baby,1,baby,-7.643978118896484
bachelor,2,b_achelor,-9.444000244140625
badgered,2,bad_gered,-15.657581329345703
baffled,3,b_aff_led,-13.03858757019043
bag,1,bag,-8.629863739013672
baguette,3,b_agu_ette,-12.472370147705078
bailiff,3,b_ail_iff,-12.433189392089844
baker,2,b_aker,-9.666725158691406
ballerina,3,ball_er_ina,-11.97201919555664
ballot,2,ball_ot,-11.379570007324219
banished,2,ban_ished,-14.554004669189453
banker,2,bank_er,-10.586627960205078
banner,2,ban_ner,-12.237594604492188
barber,2,bar_ber,-9.963272094726562
baron,2,bar_on,-12.504638671875
baroness,3,bar_on_ess,-14.858477592468262
barrister,3,b_arr_ister,-14.030113220214844
basin,2,bas_in,-13.31905746459961
basted,2,b_asted,-13.596664428710938
battery,2,b_attery,-9.570564270019531
bear,1,bear,-7.660793304443359
beat,1,beat,-8.679729461669922
beaten,2,beat_en,-11.951248168945312
befriended,4,b_ef_riend_ed,-14.709152221679688
befuddled,3,b_ef_uddled,-13.924049377441406
begged,2,be_gged,-14.821197509765625
beginner,2,begin_ner,-10.537551879882812
begrudged,4,be_gr_ud_ged,-18.855224609375
believed,2,bel_ieved,-11.785602569580078
belittled,3,bel_itt_led,-14.222396612167358
bellboy,2,bell_boy,-14.057228088378906
bemused,3,b_em_used,-12.674610137939453
benefactor,2,benef_actor,-13.669427871704102
beneficiary,2,benef_iciary,-13.758398056030273
bent,1,bent,-9.412948608398438
berated,2,ber_ated,-14.813255310058594
betrayed,3,bet_ray_ed,-12.537054061889648
beverage,3,b_ever_age,-9.956621170043945
biased,1,biased,-10.706245422363281
biker,2,b_iker,-10.071640014648438
billed,2,b_illed,-12.366798400878906
biologist,2,bi_ologist,-11.46505355834961
blackmailer,3,black_mail_er,-12.549450874328613
blamed,2,bl_amed,-12.910171508789062
blew,2,ble_w,-11.722782135009766
blonde,2,bl_onde,-9.488197326660156
blown,1,blown,-10.56906509399414
book,1,book,-7.816928863525391
bookkeeper,2,book_keeper,-14.029308319091797
bookseller,2,book_seller,-14.758026123046875
bookworm,2,book_worm,-11.884086608886719
borrowed,3,bor_row_ed,-9.499814987182617
boss,1,boss,-8.414436340332031
botanist,3,bot_an_ist,-11.544663429260254
bothered,2,bot_hered,-13.433765411376953
bottle,2,bott_le,-9.102592468261719
bought,2,b_ought,-10.639114379882812
bowler,2,bow_ler,-10.847888946533203
boy,1,boy,-7.669086456298828
boyfriend,2,boy_friend,-9.677661895751953
bribed,2,b_ribed,-13.988540649414062
bricklayer,3,br_ick_layer,-15.469274520874023
brochure,3,bro_ch_ure,-12.656982421875
broker,2,bro_ker,-13.338497161865234
brunette,3,br_un_ette,-10.41482925415039
bulb,2,bul_b,-9.557697296142578
bully,2,b_ully,-8.949943542480469
bum,1,bum,-8.922264099121094
bureaucrat,4,b_ureau_cr_at,-12.314484596252441
burgled,2,burg_led,-16.858558654785156
burial,2,bur_ial,-12.048980712890625
burned,2,burn_ed,-10.889350891113281
burnt,2,bur_nt,-10.452301025390625
bus,1,bus,-8.385990142822266
