sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-74.42378568649292,9
tensor(1),The illness caught the raider.,-83.83741855621338,9
tensor(2),The illness was caught by the raider.,-77.4632830619812,11
tensor(3),The raider was caught by the illness.,-69.38107442855835,11
tensor(4),The marauder contracted the disease.,-85.0305962562561,11
tensor(5),The disease contracted the marauder.,-85.63760423660278,11
tensor(6),The disease was contracted by the marauder.,-84.24546957015991,13
tensor(7),The marauder was contracted by the disease.,-86.9694390296936,13
tensor(8),The convict dreaded the prison.,-78.53083324432373,9
tensor(9),The prison dreaded the convict.,-76.24659061431885,9
tensor(10),The prison was dreaded by the convict.,-66.42836952209473,11
tensor(11),The convict was dreaded by the prison.,-71.1583514213562,11
tensor(12),The criminal feared the jail.,-95.37303638458252,8
tensor(13),The jail feared the criminal.,-91.13983488082886,8
tensor(14),The jail was feared by the criminal.,-68.36311483383179,10
tensor(15),The criminal was feared by the jail.,-75.34531688690186,10
tensor(16),The prostitute squandered the cash.,-71.60596132278442,10
tensor(17),The cash squandered the prostitute.,-80.15772581100464,10
tensor(18),The cash was squandered by the prostitute.,-81.07070255279541,12
tensor(19),The prostitute was squandered by the cash.,-72.86209201812744,12
tensor(20),The call girl wasted the money.,-72.53373718261719,9
tensor(21),The money wasted the call girl.,-88.26391839981079,9
tensor(22),The money was wasted by the call girl.,-87.32137489318848,11
tensor(23),The call girl was wasted by the money.,-81.62203121185303,11
tensor(24),The adventurer requested the beverage.,-93.44291019439697,9
tensor(25),The beverage requested the adventurer.,-106.58355045318604,9
tensor(26),The beverage was requested by the adventurer.,-91.1783218383789,11
tensor(27),The adventurer was requested by the beverage.,-80.91660213470459,11
tensor(28),The undertaker prepared the funeral.,-79.13292121887207,9
tensor(29),The funeral prepared the undertaker.,-90.25610446929932,9
tensor(30),The funeral was prepared by the undertaker.,-77.17140674591064,11
tensor(31),The undertaker was prepared by the funeral.,-71.12019634246826,11
tensor(32),The mortician arranged the burial.,-77.47676801681519,11
tensor(33),The burial arranged the mortician.,-100.88926839828491,11
tensor(34),The burial was arranged by the mortician.,-94.0333480834961,13
tensor(35),The mortician was arranged by the burial.,-79.95426321029663,13
tensor(36),The supervisor supplied the liquor.,-91.53652095794678,8
tensor(37),The liquor supplied the supervisor.,-83.35080242156982,8
tensor(38),The liquor was supplied by the supervisor.,-71.36201429367065,10
tensor(39),The supervisor was supplied by the liquor.,-69.02236413955688,10
tensor(40),The overseer provided the alcohol.,-86.43318557739258,9
tensor(41),The alcohol provided the overseer.,-69.12668228149414,9
tensor(42),The alcohol was provided by the overseer.,-62.10636329650879,11
tensor(43),The overseer was provided by the alcohol.,-80.29524517059326,11
tensor(44),The troublemaker crashed the car.,-90.6217565536499,9
tensor(45),The car crashed the troublemaker.,-76.94282293319702,9
tensor(46),The car was crashed by the troublemaker.,-78.57088565826416,11
tensor(47),The troublemaker was crashed by the car.,-83.00774383544922,11
tensor(48),The hooligan wrecked the vehicle.,-76.91700792312622,10
tensor(49),The vehicle wrecked the hooligan.,-76.25391387939453,10
tensor(50),The vehicle was wrecked by the hooligan.,-81.4369158744812,12
tensor(51),The hooligan was wrecked by the vehicle.,-83.65873146057129,12
tensor(52),The repairman fixed the tap.,-74.8831844329834,9
tensor(53),The tap fixed the repairman.,-89.10861110687256,9
tensor(54),The tap was fixed by the repairman.,-85.83912515640259,11
tensor(55),The repairman was fixed by the tap.,-66.65855026245117,11
tensor(56),The handyman repaired the faucet.,-85.78079223632812,12
tensor(57),The faucet repaired the handyman.,-83.37080192565918,12
tensor(58),The faucet was repaired by the handyman.,-85.14576196670532,14
tensor(59),The handyman was repaired by the faucet.,-86.17045783996582,14
tensor(60),The secretary organized the desk.,-102.06970977783203,8
tensor(61),The desk organized the secretary.,-72.53715753555298,8
tensor(62),The desk was organized by the secretary.,-57.07667636871338,10
tensor(63),The secretary was organized by the desk.,-79.8314299583435,10
tensor(64),The receptionist tidied the table.,-73.46301746368408,11
tensor(65),The table tidied the receptionist.,-84.10685920715332,11
tensor(66),The table was tidied by the receptionist.,-82.785325050354,13
tensor(67),The receptionist was tidied by the table.,-78.32544803619385,13
tensor(68),The pilot steered the airplane.,-68.04619026184082,8
tensor(69),The airplane steered the pilot.,-77.80587339401245,8
tensor(70),The airplane was steered by the pilot.,-72.5562515258789,10
tensor(71),The pilot was steered by the airplane.,-58.827465534210205,10
tensor(72),The aviator maneuvered the jet.,-82.31568479537964,10
tensor(73),The jet maneuvered the aviator.,-75.86929225921631,10
tensor(74),The jet was maneuvered by the aviator.,-79.11531734466553,12
tensor(75),The aviator was maneuvered by the jet.,-78.00619220733643,12
tensor(76),The chef sauteed the squid.,-83.4556245803833,11
tensor(77),The squid sauteed the chef.,-90.20723485946655,11
tensor(78),The squid was sauteed by the chef.,-82.61741876602173,13
tensor(79),The chef was sauteed by the squid.,-83.92604494094849,13
tensor(80),The cook grilled the octopus.,-88.69177055358887,12
tensor(81),The octopus grilled the cook.,-82.4540286064148,12
