sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-21.28077793121338,13
tensor(1),The illness caught the raider.,-31.647111892700195,13
tensor(2),The illness was caught by the raider.,-21.27751636505127,13
tensor(3),The raider was caught by the illness.,-25.78573513031006,13
tensor(4),The marauder contracted the disease.,-11.291898727416992,13
tensor(5),The disease contracted the marauder.,-37.05900192260742,13
tensor(6),The disease was contracted by the marauder.,-15.311934471130371,13
tensor(7),The marauder was contracted by the disease.,-26.132347106933594,13
tensor(8),The convict dreaded the prison.,-31.99884033203125,13
tensor(9),The prison dreaded the convict.,-28.549962043762207,13
tensor(10),The prison was dreaded by the convict.,-32.35373115539551,13
tensor(11),The convict was dreaded by the prison.,-35.88711071014404,13
tensor(12),The criminal feared the jail.,-33.7987642288208,13
tensor(13),The jail feared the criminal.,-39.107099533081055,13
tensor(14),The jail was feared by the criminal.,-36.65312957763672,13
tensor(15),The criminal was feared by the jail.,-36.2415714263916,13
tensor(16),The prostitute squandered the cash.,-12.116555213928223,13
tensor(17),The cash squandered the prostitute.,-24.190218925476074,13
tensor(18),The cash was squandered by the prostitute.,-15.589874267578125,13
tensor(19),The prostitute was squandered by the cash.,-29.93421173095703,13
tensor(20),The call girl wasted the money.,-30.045491218566895,13
tensor(21),The money wasted the call girl.,-44.579073905944824,13
tensor(22),The money was wasted by the call girl.,-28.546353340148926,13
tensor(23),The call girl was wasted by the money.,-40.447041511535645,13
tensor(24),The adventurer requested the beverage.,-35.96255016326904,13
tensor(25),The beverage requested the adventurer.,-50.46630668640137,13
tensor(26),The beverage was requested by the adventurer.,-31.499707221984863,13
tensor(27),The adventurer was requested by the beverage.,-50.32230091094971,13
tensor(28),The undertaker prepared the funeral.,-16.371021270751953,13
tensor(29),The funeral prepared the undertaker.,-28.218398094177246,13
tensor(30),The funeral was prepared by the undertaker.,-15.108269691467285,13
tensor(31),The undertaker was prepared by the funeral.,-38.1246337890625,13
tensor(32),The mortician arranged the burial.,-12.529125213623047,13
tensor(33),The burial arranged the mortician.,-45.436034202575684,13
tensor(34),The burial was arranged by the mortician.,-11.14721965789795,13
tensor(35),The mortician was arranged by the burial.,-43.95245838165283,13
tensor(36),The supervisor supplied the liquor.,-24.698988437652588,13
tensor(37),The liquor supplied the supervisor.,-31.49719524383545,13
tensor(38),The liquor was supplied by the supervisor.,-25.262056350708008,13
tensor(39),The supervisor was supplied by the liquor.,-42.68223190307617,13
tensor(40),The overseer provided the alcohol.,-21.060303688049316,13
