word,nr. of tokens,tokens,word score
a,1,a,-5.609073638916016
abandoned,3,ab_andon_ed,-9.99026107788086
abbe,2,ab_be,-15.214984893798828
abduction,2,ab_duction,-14.206413269042969
ability,1,ability,-10.635116577148438
abjectly,3,ab_ject_ly,-13.154945373535156
able,1,able,-9.80673599243164
abner,2,ab_ner,-15.620819091796875
aboard,2,ab_oard,-14.327899932861328
abolitionism,3,abol_ition_ism,-14.717262744903564
abolitionists,3,abol_ition_ists,-16.130911350250244
about,1,about,-8.058753967285156
above,1,above,-8.854938507080078
abraham,2,ab_raham,-13.629825592041016
abroad,2,ab_road,-13.141727447509766
abruptly,3,ab_rupt_ly,-12.864500999450684
absence,2,abs_ence,-11.650630950927734
absent,2,abs_ent,-11.297401428222656
absolute,1,absolute,-7.7666015625
absolutely,1,absolutely,-7.128108978271484
absorbed,2,absor_bed,-12.132482528686523
abstraction,3,ab_st_raction,-12.480765342712402
abstractions,3,ab_stract_ions,-15.127324104309082
absurd,2,abs_urd,-8.372379302978516
absurdities,3,abs_urd_ities,-16.5761775970459
absurdity,3,abs_urd_ity,-14.438759803771973
accent,2,ac_cent,-11.284320831298828
accents,2,acc_ents,-15.388809204101562
acceptable,1,acceptable,-9.294658660888672
accepted,2,accept_ed,-10.62350845336914
accepting,2,accept_ing,-13.43017578125
accessories,2,access_ories,-14.980533599853516
accident,2,acc_ident,-11.127113342285156
accidents,2,acc_idents,-12.950862884521484
acclamations,4,ac_cl_am_ations,-17.712499618530273
accommodation,4,ac_com_mod_ation,-12.796646118164062
accommodations,4,ac_com_mod_ations,-14.678922653198242
accompanied,1,accompanied,-12.376392364501953
accompany,2,ac_company,-13.400772094726562
accomplished,3,ac_compl_ished,-10.910725593566895
accomplishment,3,ac_compl_ishment,-13.377707481384277
accord,2,acc_ord,-12.357250213623047
accordance,3,acc_ord_ance,-16.324962615966797
according,1,according,-10.451576232910156
accordingly,2,according_ly,-16.851238250732422
account,1,account,-10.275703430175781
accounted,2,account_ed,-14.490616798400879
accounts,2,account_s,-14.157068252563477
accoutrements,4,acc_out_re_ments,-16.914928436279297
accruing,3,acc_ru_ing,-19.204574584960938
accuracy,2,acc_uracy,-11.644554138183594
accurate,2,acc_urate,-8.827468872070312
accurately,3,acc_ur_ately,-12.408348083496094
accuse,2,acc_use,-12.937530517578125
accustomed,2,acc_ustomed,-13.990165710449219
ace,1,ace,-10.800567626953125
achieved,2,ach_ieved,-12.245162963867188
achievement,3,ach_ieve_ment,-11.372252464294434
achievements,3,ach_ieve_ments,-12.746577262878418
acknowledge,3,ack_now_ledge,-14.246537208557129
acknowledged,3,ack_now_ledged,-11.073075294494629
acknowledgement,4,ack_now_led_gement,-14.009661674499512
acknowledges,4,ack_now_led_ges,-16.111544609069824
acorn,2,ac_orn,-12.939109802246094
acquaint,2,acqu_aint,-11.983535766601562
acquaintance,3,acqu_aint_ance,-12.104369640350342
acquainted,2,acqu_ainted,-12.727264404296875
acquire,2,ac_quire,-13.103477478027344
acquires,2,acqu_ires,-15.936576843261719
across,2,ac_ross,-10.104606628417969
act,1,act,-9.683998107910156
acting,1,acting,-10.684951782226562
action,1,action,-9.973434448242188
active,1,active,-9.954154968261719
actively,1,actively,-11.459476470947266
activity,1,activity,-12.305675506591797
actor,1,actor,-11.80133056640625
actors,2,act_ors,-12.58157730102539
actress,2,act_ress,-13.623828887939453
acts,1,acts,-11.358509063720703
actual,1,actual,-9.750953674316406
actually,1,actually,-9.108383178710938
acute,2,ac_ute,-10.391254425048828
added,1,added,-11.625228881835938
additional,2,add_itional,-11.620128631591797
address,1,address,-11.655006408691406
addressed,2,add_ressed,-13.698974609375
addressing,2,add_ressing,-13.441883087158203
adherents,3,ad_herent_s,-13.380731582641602
adjust,1,adjust,-10.904327392578125
administration,2,administ_ration,-12.201223134994507
admiration,3,ad_mir_ation,-12.759481430053711
admired,3,ad_m_ired,-12.697468757629395
admiring,3,ad_m_iring,-13.209489822387695
admit,2,ad_mit,-10.628158569335938
admittance,3,ad_mitt_ance,-13.521321296691895
admitted,2,ad_mitted,-11.791606903076172
admitting,2,ad_mitting,-12.447044372558594
adolescence,3,ad_olesc_ence,-12.688267827033997
adona,2,ad_ona,-15.46322250366211
adopted,2,ad_opted,-10.670051574707031
adoration,2,ad_oration,-11.88226318359375
adore,2,ad_ore,-12.012378692626953
advance,2,ad_vance,-11.16109848022461
advancing,2,adv_ancing,-11.89488410949707
advantage,2,advant_age,-10.476237773895264
advantages,2,advant_ages,-13.268015384674072
adventure,2,ad_venture,-9.856338500976562
adverse,2,ad_verse,-11.823436737060547
advertisement,1,advertisement,-12.221427917480469
advertising,1,advertising,-11.954193115234375
advice,2,ad_vice,-10.391571044921875
advisable,3,ad_vis_able,-12.83244800567627
advised,2,ad_vised,-12.257003784179688
adviser,3,ad_vis_er,-12.585264205932617
affair,2,aff_air,-11.866357803344727
affairs,2,aff_airs,-13.730417251586914
affect,2,aff_ect,-10.692705154418945
affected,1,affected,-11.008102416992188
affection,2,aff_ection,-10.184751510620117
affectionate,3,aff_ection_ate,-10.67801284790039
affections,3,aff_ect_ions,-16.288209915161133
affiliated,1,affiliated,-12.975154876708984
affirmative,3,aff_irm_ative,-9.535560607910156
afflicted,2,aff_licted,-12.071752548217773
afford,2,aff_ord,-11.933195114135742
affrightened,3,aff_right_ened,-16.802906036376953
afloat,3,af_lo_at,-15.771595001220703
afraid,2,af_raid,-9.751323699951172
african,2,af_rican,-14.488639831542969
after,1,after,-9.036628723144531
afterdeck,2,after_deck,-21.143760681152344
afternoon,2,after_noon,-11.955814361572266
afterward,2,after_ward,-14.774715423583984
afterwards,2,after_wards,-14.51077651977539
again,1,again,-8.6815185546875
against,1,against,-9.681209564208984
agape,2,ag_ape,-13.193450927734375
age,1,age,-9.255889892578125
agency,1,agency,-11.143871307373047
aggregate,2,agg_regate,-11.609830856323242
aggressive,1,aggressive,-9.324356079101562
aggressiveness,3,ag_gress_iveness,-11.738179683685303
agitated,2,ag_itated,-12.849773406982422
agitation,2,ag_itation,-13.0870361328125
ago,1,ago,-11.282676696777344
agree,1,agree,-10.047351837158203
agreeable,2,agree_able,-11.279895782470703
agreeably,2,agree_ably,-13.774618148803711
agreed,2,ag_reed,-10.07208251953125
agreement,2,ag_reement,-10.421024322509766
ah,1,ah,-8.762557983398438
ahead,1,ahead,-10.655441284179688
aid,1,aid,-9.815887451171875
aided,2,a_ided,-13.597801208496094
aignan,2,aign_an,-22.32181167602539
aimed,2,aim_ed,-11.53506851196289
ain't,2,ain_'t,-10.361263155937195
air,1,air,-8.673248291015625
akin,1,akin,-10.900726318359375
alarmed,2,al_armed,-12.010295867919922
alas,2,al_as,-10.636863708496094
albans,3,al_b_ans,-20.69308090209961
albigenses,3,al_big_enses,-22.70917510986328
ale,1,ale,-9.615730285644531
