Index,Word,log freq,nr. of tokens,tokens,word score
0,abandoned,9.500170136485425,1,abandoned,-12.547154426574709
1,abhorred,7.168579897264035,4,a_##b_##hor_##red,-42.58277416229248
2,abolitionist,7.994632311431825,2,abolition_##ist,-28.053974151611328
3,abused,7.9157131993821155,1,abused,-14.163012504577637
4,accepted,9.757362911053992,1,accepted,-12.292518615722656
5,accompanied,7.044905117129371,1,accompanied,-12.37789249420166
6,accosted,6.499787040655854,3,a_##cco_##sted,-31.766255378723145
7,accountant,7.685703061234547,1,accountant,-14.548582077026367
8,accused,8.729558869558568,1,accused,-13.174432754516602
9,accuser,8.009695357742922,3,a_##cc_##user,-30.483985900878903
10,acquitted,7.961370201719511,1,acquitted,-13.841323852539062
11,acrobat,8.234299635696253,4,a_##c_##ro_##bat,-39.657898902893066
12,activist,8.203304026795282,1,activist,-13.445990562438965
13,actor,9.884865228408032,1,actor,-12.783315658569336
14,actress,7.779466967458324,1,actress,-12.58212947845459
15,actuary,6.985641817639208,2,act_##uary,-27.850271224975582
16,address,10.378572002524349,1,address,-12.121315002441406
17,adjuster,6.555356891810665,2,adjust_##er,-25.85852336883545
18,admiral,8.909505512946101,1,admiral,-14.487467765808104
19,admired,7.615791072035833,1,admired,-14.239224433898926
20,admirer,8.281470857895167,2,admire_##r,-25.13794231414795
21,admonished,6.814542897259958,3,ad_##mon_##ished,-38.32655429840088
22,adopted,9.691716587516886,1,adopted,-13.010218620300291
23,adored,7.280008252884188,2,ad_##ored,-29.962984085083008
24,adorned,7.182352111885263,1,adorned,-13.86172866821289
25,adventurer,8.10349427838097,2,adventure_##r,-25.365781784057617
26,advisor,8.300280189852664,1,advisor,-14.046029090881348
27,affronted,6.980075940561763,4,a_##ff_##ron_##ted,-40.65034484863281
28,agent,10.884366804297896,1,agent,-12.612852096557615
29,aggravated,6.672032945461067,4,a_##gg_##ra_##vated,-45.51152801513672
30,agitated,7.493317248862145,1,agitated,-15.123973846435549
31,aide,9.340227632810604,1,aide,-14.97866439819336
32,airplane,7.504942068396171,1,airplane,-14.199220657348633
33,alarmed,7.309212365692763,1,alarmed,-14.837882041931152
34,alcohol,10.277324385186116,1,alcohol,-13.750203132629396
35,alcoholic,7.923348211930154,1,alcoholic,-14.565917015075684
36,amateur,8.395251520610994,1,amateur,-13.830005645751951
37,ambassador,8.674880467251832,1,ambassador,-12.943504333496094
38,amused,7.080867896690782,1,amused,-15.057826042175291
39,analyst,8.111928063310739,1,analyst,-14.856527328491213
40,anchorman,5.673323267171493,2,anchor_##man,-27.013710975646973
41,announcer,6.709304340258298,1,announcer,-14.714279174804688
42,annoyed,6.905753276311464,1,annoyed,-14.697543144226074
43,antagonized,6.285998094508865,3,ant_##agon_##ized,-40.90367889404297
44,anthem,8.892061625546935,1,anthem,-14.556829452514648
45,anthropologist,7.9355873855892,1,anthropologist,-15.07175636291504
46,apartment,8.76201995356159,1,apartment,-13.128206253051758
47,applauded,7.072421900537371,3,app_##lau_##ded,-39.46236610412598
48,appointment,9.70069794710231,1,appointment,-13.465103149414062
49,appraiser,7.611842399580417,2,app_##raiser,-29.72887897491455
50,apprehended,7.66105638236183,4,app_##re_##hend_##ed,-45.95875072479248
51,apprentice,9.086249986745132,1,apprentice,-14.325648307800291
52,approached,7.601901959875166,1,approached,-13.03079605102539
53,approved,9.25167423546916,1,approved,-12.27377223968506
54,archaeologist,7.461640392208575,1,archaeologist,-15.201868057250977
55,architect,10.136383395293016,1,architect,-13.017315864562988
56,archivist,7.776115477098742,2,arch_##ivist,-33.5764856338501
57,aristocrat,9.320628725870304,3,a_##risto_##crat,-36.28392219543457
58,arranged,7.79934339821592,1,arranged,-11.843688011169434
59,arsonist,6.336825731146441,3,a_##rson_##ist,-31.450549125671387
60,article,10.419241014538416,1,article,-12.854888916015623
61,artisan,8.753213480544126,2,art_##isan,-29.752171516418457
