word,nr. of tokens,tokens,word score
hals,2,h_als,-14.557304382324219
halt,2,h_alt,-12.060943603515625
halted,2,hal_ted,-13.817333221435547
halts,2,hal_ts,-14.388755798339844
halves,2,hal_ves,-13.707603454589844
ham,1,ham,-8.367103576660156
hamburger,3,ham_bur_ger,-10.877655029296875
hamilton,2,ham_ilton,-14.006950378417969
hamlet,2,ham_let,-12.244220733642578
hamm,2,ham_m,-11.054298400878906
hammarskjold,5,ham_m_ars_kj_old,-31.43865203857422
hammer,1,hammer,-9.103141784667969
hammered,3,ham_m_ered,-11.427482604980469
hammett,3,ham_m_ett,-19.433448791503906
hammons,2,ham_mons,-15.860748291015625
hamper,2,ham_per,-12.752853393554688
hampered,2,ham_pered,-13.003620147705078
hampers,3,h_amp_ers,-15.36515998840332
hampshire,3,h_amp_shire,-14.588319778442383
hamrick,2,ham_rick,-17.906639099121094
han,1,han,-11.027976989746094
hanch,2,h_anch,-16.759750366210938
hancock,2,h_ancock,-16.176376342773438
hand,1,hand,-8.571258544921875
handbooks,2,hand_books,-16.1651611328125
handclasp,3,hand_cl_asp,-17.194141387939453
handed,1,handed,-11.15692138671875
handful,2,hand_ful,-11.09521484375
handicap,3,hand_ic_ap,-11.974458694458008
handier,2,hand_ier,-15.299549102783203
handing,2,hand_ing,-13.307781219482422
handkerchief,3,hand_ker_chief,-13.766006469726562
handle,1,handle,-11.108108520507812
handled,1,handled,-11.215572357177734
handler,1,handler,-12.995098114013672
handlers,2,hand_lers,-13.969284057617188
handles,2,hand_les,-12.39200210571289
handley,2,hand_ley,-15.801315307617188
handling,2,hand_ling,-12.010955810546875
handmade,2,hand_made,-12.750160217285156
handmaiden,3,hand_m_aiden,-14.532100677490234
hands,1,hands,-9.662055969238281
handsome,2,hands_ome,-10.23160171508789
handsomer,2,hands_omer,-15.902969360351562
handsomest,3,hands_om_est,-15.329622268676758
handstand,2,hand_stand,-16.015762329101562
handstands,3,hand_stand_s,-18.087486267089844
handwriting,2,hand_writing,-13.674877166748047
handy,2,hand_y,-11.103294372558594
haney,2,h_aney,-15.996406555175781
hanford,2,han_ford,-20.32187271118164
hang,1,hang,-9.014362335205078
hangars,2,hang_ars,-16.556827545166016
hanged,2,h_anged,-12.481315612792969
hangers,2,h_angers,-14.730827331542969
hanging,2,h_anging,-10.284294128417969
hangouts,2,hang_outs,-16.573123931884766
hangover,2,hang_over,-11.273086547851562
hank,2,h_ank,-12.106239318847656
hankered,2,han_kered,-17.177921295166016
hanover,2,han_over,-17.688236236572266
hanoverian,3,han_over_ian,-22.688127517700195
hans,2,h_ans,-13.621910095214844
hansen,2,h_ansen,-16.57604217529297
hap,1,hap,-12.383316040039062
haphazard,3,h_aph_azard,-11.919322967529297
hapless,2,ha_pless,-12.13742446899414
happen,3,h_app_en,-11.70746898651123
happened,3,h_app_ened,-11.943163871765137
happening,3,h_app_ening,-10.805968284606934
happenings,4,h_app_en_ings,-13.868403434753418
happens,3,h_app_ens,-12.210583686828613
happenstance,5,h_app_en_st_ance,-14.3068265914917
happier,3,h_app_ier,-12.612601280212402
happiest,3,h_app_iest,-13.394471168518066
happily,3,h_app_ily,-10.341041564941406
happiness,2,h_appiness,-11.203521728515625
happy,1,happy,-7.964439392089844
haqvin,3,ha_q_vin,-23.590267181396484
haranguing,3,har_angu_ing,-15.946968078613281
harass,2,har_ass,-11.743366241455078
harassed,2,har_assed,-12.025825500488281
harbor,2,har_bor,-11.935199737548828
harbored,3,har_b_ored,-14.426748275756836
harbors,2,har_bors,-14.223106384277344
hard,1,hard,-6.806610107421875
harden,2,h_arden,-13.113983154296875
hardened,2,hard_ened,-10.886314392089844
hardener,2,hard_ener,-14.741352081298828
harder,2,hard_er,-9.631397247314453
hardest,2,hard_est,-11.967403411865234
hardly,2,hard_ly,-9.837169647216797
hardship,3,h_ards_hip,-12.874780654907227
hardships,3,h_ards_hips,-16.33150291442871
hardtack,2,hardt_ack,-22.717559814453125
hardware,2,hard_ware,-11.23409652709961
hardwoods,2,hard_woods,-16.75497817993164
hardworking,2,hard_working,-11.733963012695312
hardy,2,hard_y,-11.655094146728516
hare,1,hare,-10.241226196289062
harelips,3,h_arel_ips,-24.659305572509766
harlem,2,har_lem,-13.546894073486328
harm,1,harm,-8.804763793945312
harmed,2,har_med,-14.570545196533203
harmful,2,harm_ful,-10.826894760131836
harmless,2,harm_less,-10.569360733032227
harmlessly,2,harm_lessly,-14.742536544799805
harmonies,2,harm_onies,-13.167203903198242
harmony,2,harm_ony,-9.920812606811523
harness,2,har_ness,-11.973636627197266
