word,nr. of tokens,tokens,word score
,0,,0.0
abandoned,3,ab_andon_ed,-10.756597518920898
abbe,2,ab_be,-14.07094955444336
abduction,2,ab_duction,-10.46316146850586
ability,1,ability,-10.245384216308594
abjectly,3,ab_ject_ly,-15.488960266113281
able,1,able,-10.009220123291016
abner,2,ab_ner,-14.276653289794922
aboard,2,ab_oard,-13.300823211669922
abolitionism,3,abol_ition_ism,-11.30679988861084
abolitionists,3,abol_ition_ists,-13.2052640914917
about,1,about,-8.887447357177734
above,1,above,-10.398075103759766
abraham,2,ab_raham,-11.12673568725586
abroad,2,ab_road,-11.764087677001953
abruptly,3,ab_rupt_ly,-14.513721466064453
absence,2,abs_ence,-9.43039321899414
absent,2,abs_ent,-10.73111343383789
absolute,1,absolute,-9.478912353515625
absolutely,1,absolutely,-9.90811538696289
absorbed,2,absor_bed,-12.58714485168457
abstraction,3,ab_st_raction,-10.620271682739258
abstractions,3,ab_stract_ions,-14.234718322753906
absurd,2,abs_urd,-9.364662170410156
absurdities,3,abs_urd_ities,-15.604841709136963
absurdity,3,abs_urd_ity,-12.957795143127441
accent,2,ac_cent,-11.325862884521484
accents,2,acc_ents,-13.011329650878906
acceptable,1,acceptable,-11.3001708984375
accepted,2,accept_ed,-11.23038101196289
accepting,2,accept_ing,-12.927410125732422
accessories,2,access_ories,-13.273216247558594
accident,2,acc_ident,-9.23626708984375
accidents,2,acc_idents,-11.351570129394531
acclamations,4,ac_cl_am_ations,-18.084136962890625
accommodation,4,ac_com_mod_ation,-12.565286636352539
accommodations,4,ac_com_mod_ations,-15.413015365600586
accompanied,1,accompanied,-12.400264739990234
accompany,2,ac_company,-12.317340850830078
accomplished,3,ac_compl_ished,-13.355414867401123
accomplishment,3,ac_compl_ishment,-12.826537609100342
accord,2,acc_ord,-11.388938903808594
accordance,3,acc_ord_ance,-15.44240665435791
according,1,according,-10.658367156982422
accordingly,2,according_ly,-16.23406982421875
account,1,account,-9.64931869506836
accounted,2,account_ed,-15.008455276489258
accounts,2,account_s,-12.958202362060547
accoutrements,4,acc_out_re_ments,-15.370460510253906
accruing,3,acc_ru_ing,-20.079635620117188
accuracy,2,acc_uracy,-12.025764465332031
accurate,2,acc_urate,-10.851142883300781
accurately,3,acc_ur_ately,-12.223224639892578
accuse,2,acc_use,-12.242332458496094
accustomed,2,acc_ustomed,-15.707572937011719
ace,1,ace,-9.823352813720703
achieved,2,ach_ieved,-13.044719696044922
achievement,3,ach_ieve_ment,-11.601749420166016
achievements,3,ach_ieve_ments,-13.922561645507812
acknowledge,3,ack_now_ledge,-13.408615589141846
acknowledged,3,ack_now_ledged,-12.17363429069519
acknowledgement,4,ack_now_led_gement,-13.101573944091797
acknowledges,4,ack_now_led_ges,-13.703897476196289
acorn,2,ac_orn,-11.016342163085938
acquaint,2,acqu_aint,-11.162185668945312
acquaintance,3,acqu_aint_ance,-11.222533702850342
acquainted,2,acqu_ainted,-14.325088500976562
acquire,2,ac_quire,-12.501998901367188
acquires,2,acqu_ires,-15.393905639648438
across,2,ac_ross,-9.916881561279297
act,1,act,-8.94375228881836
acting,1,acting,-9.851165771484375
action,1,action,-8.992603302001953
active,1,active,-9.344051361083984
actively,1,actively,-11.455219268798828
activity,1,activity,-10.673450469970703
actor,1,actor,-10.73904800415039
actors,2,act_ors,-12.202415466308594
actress,2,act_ress,-13.169227600097656
acts,1,acts,-11.05556869506836
actual,1,actual,-9.641590118408203
actually,1,actually,-10.181354522705078
acute,2,ac_ute,-10.371658325195312
added,1,added,-11.610584259033203
additional,2,add_itional,-11.770378112792969
address,1,address,-10.458000183105469
addressed,2,add_ressed,-14.703231811523438
addressing,2,add_ressing,-13.254966735839844
adherents,3,ad_herent_s,-13.03927993774414
adjust,1,adjust,-10.24737548828125
administration,2,administ_ration,-11.04223108291626
