word,nr. of tokens,tokens,word score
a,1,a,-10.4805908203125
abandoned,3,ab_andon_ed,-17.331993103027344
abbe,2,ab_be,-20.392574310302734
abduction,2,ab_duction,-19.932743072509766
ability,1,ability,-16.522109985351562
abjectly,3,ab_ject_ly,-22.133190155029297
able,1,able,-17.16765594482422
abner,2,ab_ner,-22.29867172241211
aboard,2,ab_oard,-20.051101684570312
abolitionism,3,abol_ition_ism,-21.349489212036133
abolitionists,3,abol_ition_ists,-22.296724319458008
about,1,about,-11.362319946289062
above,1,above,-12.584617614746094
abraham,2,ab_raham,-18.403614044189453
abroad,2,ab_road,-19.562034606933594
abruptly,3,ab_rupt_ly,-21.392711639404297
absence,2,abs_ence,-19.569522857666016
absent,2,abs_ent,-18.611507415771484
absolute,1,absolute,-16.593124389648438
absolutely,1,absolutely,-14.425559997558594
absorbed,2,absor_bed,-18.58864974975586
abstraction,3,ab_st_raction,-18.359813690185547
abstractions,3,ab_stract_ions,-22.57807159423828
absurd,2,abs_urd,-17.103015899658203
absurdities,3,abs_urd_ities,-21.859813690185547
absurdity,3,abs_urd_ity,-19.718494415283203
accent,2,ac_cent,-18.801334381103516
accents,2,acc_ents,-20.801219940185547
acceptable,1,acceptable,-16.517959594726562
accepted,2,accept_ed,-16.479934692382812
accepting,2,accept_ing,-17.23166275024414
accessories,2,access_ories,-17.917551040649414
accident,2,acc_ident,-18.169998168945312
accidents,2,acc_idents,-19.21230697631836
acclamations,4,ac_cl_am_ations,-27.673572540283203
accommodation,4,ac_com_mod_ation,-19.321575164794922
accommodations,4,ac_com_mod_ations,-20.518756866455078
accompanied,1,accompanied,-16.78900909423828
accompany,2,ac_company,-18.643768310546875
accomplished,3,ac_compl_ished,-19.509705543518066
accomplishment,3,ac_compl_ishment,-21.919276237487793
accord,2,acc_ord,-18.062416076660156
accordance,3,acc_ord_ance,-22.440673828125
according,1,according,-14.098228454589844
accordingly,2,according_ly,-20.85161590576172
account,1,account,-13.573471069335938
accounted,2,account_ed,-18.28802490234375
accounts,2,account_s,-15.03390884399414
accoutrements,4,acc_out_re_ments,-21.30621337890625
accruing,3,acc_ru_ing,-23.630550384521484
accuracy,2,acc_uracy,-16.946807861328125
accurate,2,acc_urate,-16.881816864013672
accurately,3,acc_ur_ately,-19.384326934814453
accuse,2,acc_use,-20.257831573486328
accustomed,2,acc_ustomed,-21.606861114501953
ace,1,ace,-16.744461059570312
achieved,2,ach_ieved,-19.979766845703125
achievement,3,ach_ieve_ment,-18.369094848632812
achievements,3,ach_ieve_ments,-19.693504333496094
acknowledge,3,ack_now_ledge,-21.077375411987305
acknowledged,3,ack_now_ledged,-19.702234268188477
acknowledgement,4,ack_now_led_gement,-19.679769039154053
acknowledges,4,ack_now_led_ges,-19.158997058868408
acorn,2,ac_orn,-18.52001953125
acquaint,2,acqu_aint,-18.132080078125
acquaintance,3,acqu_aint_ance,-18.533010482788086
acquainted,2,acqu_ainted,-21.723072052001953
acquire,2,ac_quire,-17.533138275146484
acquires,2,acqu_ires,-20.723262786865234
across,2,ac_ross,-17.37038803100586
act,1,act,-14.578025817871094
acting,1,acting,-15.881637573242188
action,1,action,-13.311126708984375
active,1,active,-14.476043701171875
actively,1,actively,-17.994064331054688
activity,1,activity,-16.233123779296875
actor,1,actor,-17.297836303710938
actors,2,act_ors,-18.051334381103516
actress,2,act_ress,-18.036758422851562
acts,1,acts,-16.306068420410156
actual,1,actual,-14.330322265625
actually,1,actually,-14.379226684570312
acute,2,ac_ute,-18.63239288330078
added,1,added,-12.749443054199219
additional,2,add_itional,-12.588638305664062
address,1,address,-13.080093383789062
addressed,2,add_ressed,-17.532875061035156
addressing,2,add_ressing,-16.36505889892578
adherents,3,ad_herent_s,-19.759952545166016
adjust,1,adjust,-15.983917236328125
administration,2,administ_ration,-16.55078125
admiration,3,ad_mir_ation,-23.394412994384766
admired,3,ad_m_ired,-21.043472290039062
admiring,3,ad_m_iring,-22.638301849365234
admit,2,ad_mit,-18.757530212402344
admittance,3,ad_mitt_ance,-21.302013397216797
admitted,2,ad_mitted,-18.265316009521484
admitting,2,ad_mitting,-19.830764770507812
adolescence,3,ad_olesc_ence,-20.48322296142578
adona,2,ad_ona,-23.54233169555664
adopted,2,ad_opted,-18.34311294555664
adoration,2,ad_oration,-20.738006591796875
adore,2,ad_ore,-19.764049530029297
advance,2,ad_vance,-16.79654312133789
advancing,2,adv_ancing,-18.371803283691406
advantage,2,advant_age,-16.003999710083008
advantages,2,advant_ages,-17.222511291503906
adventure,2,ad_venture,-17.31533432006836
adverse,2,ad_verse,-19.14141845703125
advertisement,1,advertisement,-8.615741729736328
advertising,1,advertising,-9.915016174316406
advice,2,ad_vice,-18.475845336914062
advisable,3,ad_vis_able,-22.5071964263916
advised,2,ad_vised,-18.690650939941406
adviser,3,ad_vis_er,-18.194942474365234
affair,2,aff_air,-18.902029037475586
affairs,2,aff_airs,-18.990293502807617
affect,2,aff_ect,-16.75990104675293
affected,1,affected,-15.981605529785156
affection,2,aff_ection,-17.02939796447754
affectionate,3,aff_ection_ate,-18.782209396362305
affections,3,aff_ect_ions,-23.23671531677246
affiliated,1,affiliated,-15.906600952148438
affirmative,3,aff_irm_ative,-18.74131965637207
afflicted,2,aff_licted,-18.895666122436523
afford,2,aff_ord,-18.457693099975586
affrightened,3,aff_right_ened,-26.536527633666992
afloat,3,af_lo_at,-20.599380493164062
afraid,2,af_raid,-17.70067596435547
african,2,af_rican,-18.14826202392578
after,1,after,-12.011360168457031
afterdeck,2,after_deck,-24.677169799804688
afternoon,2,after_noon,-16.681053161621094
afterward,2,after_ward,-18.049346923828125
afterwards,2,after_wards,-17.55023193359375
again,1,again,-13.63409423828125
against,1,against,-13.812385559082031
agape,2,ag_ape,-21.70781707763672
age,1,age,-13.714790344238281
agency,1,agency,-15.302757263183594
aggregate,2,agg_regate,-16.628406524658203
aggressive,1,aggressive,-16.27880859375
aggressiveness,3,ag_gress_iveness,-20.908588409423828
agitated,2,ag_itated,-21.574962615966797
agitation,2,ag_itation,-21.27014923095703
ago,1,ago,-16.286109924316406
agree,1,agree,-14.469085693359375
agreeable,2,agree_able,-18.853240966796875
agreeably,2,agree_ably,-19.39183807373047
agreed,2,ag_reed,-17.013938903808594
agreement,2,ag_reement,-18.564868927001953
ah,1,ah,-15.196556091308594
ahead,1,ahead,-14.450210571289062
aid,1,aid,-15.819831848144531
aided,2,a_ided,-19.175708770751953
aignan,2,aign_an,-29.838134765625
aimed,2,aim_ed,-16.30474853515625
ain't,2,ain_'t,-19.263919830322266
air,1,air,-12.891571044921875
akin,1,akin,-19.031982421875
alarmed,2,al_armed,-21.92886734008789
alas,2,al_as,-18.447532653808594
albans,3,al_b_ans,-22.481666564941406
albigenses,3,al_big_enses,-33.209957122802734
ale,1,ale,-16.631790161132812
alertness,2,alert_ness,-19.10437774658203
alexander,3,ale_x_ander,-18.90097427368164
alexandra,3,ale_x_andra,-20.980735778808594
algebra,2,al_gebra,-18.435726165771484
algeria,3,al_ger_ia,-22.241565704345703
algerian,3,al_ger_ian,-20.821338653564453
alice,2,al_ice,-16.71389389038086
alighted,3,al_ight_ed,-22.738727569580078
alike,2,al_ike,-19.139644622802734
alive,2,al_ive,-17.398494720458984
all,1,all,-12.811447143554688
alleged,3,al_leg_ed,-18.239633560180664
allers,2,all_ers,-21.413990020751953
allied,2,all_ied,-18.433696746826172
allies,2,all_ies,-19.277740478515625
allow,1,allow,-14.125640869140625
allowed,1,allowed,-15.30950927734375
allowing,2,all_owing,-18.637481689453125
allude,2,all_ude,-21.588191986083984
alluvion,3,all_uv_ion,-23.864395141601562
ally,1,ally,-18.558555603027344
almost,1,almost,-14.100532531738281
alms,2,al_ms,-20.137630462646484
alone,1,alone,-17.68183135986328
along,1,along,-14.0677490234375
aloud,2,al_oud,-21.02340316772461
already,2,al_ready,-16.74532699584961
also,1,also,-11.534698486328125
altar,2,alt_ar,-19.99380111694336
alter,1,alter,-16.389076232910156
alteration,2,alter_ation,-19.253753662109375
altered,2,al_tered,-18.50137710571289
altering,2,al_tering,-19.718311309814453
alternating,2,altern_ating,-19.8948974609375
alternative,2,altern_ative,-16.26128387451172
although,1,although,-13.666748046875
altogether,2,alt_ogether,-20.383502960205078
always,1,always,-13.818412780761719
am,1,am,-13.680877685546875
amalgamated,4,am_alg_am_ated,-20.469165802001953
amass,2,am_ass,-19.898670196533203
amazement,2,amaz_ement,-23.171566009521484
ambassador,2,amb_assador,-17.495872497558594
ambition,2,amb_ition,-19.22091293334961
ambitious,2,am_bitious,-20.310527801513672
ambrose,2,amb_rose,-20.41101837158203
amelioration,3,amel_ior_ation,-23.185989379882812
amendment,2,am_endment,-18.967334747314453
amends,2,am_ends,-21.064838409423828
america,2,amer_ica,-17.67237091064453
american,2,amer_ican,-15.396217346191406
americans,2,amer_icans,-17.04431915283203
amethyst,2,am_ethyst,-19.064014434814453
amid,2,am_id,-18.508365631103516
amidst,3,am_id_st,-19.170185089111328
amiss,2,am_iss,-20.553565979003906
among,1,among,-14.887374877929688
amongst,2,among_st,-17.514652252197266
amount,1,amount,-16.4931640625
amphitheater,4,amp_hit_he_ater,-24.93935203552246
amply,2,amp_ly,-23.312965393066406
amuse,2,am_use,-20.713184356689453
amused,2,am_used,-20.885196685791016
amusement,3,am_use_ment,-20.90625762939453
amusing,2,am_using,-19.127483367919922
an,1,an,-13.178871154785156
analogue,2,an_alogue,-19.33694076538086
analogy,2,an_alogy,-19.525737762451172
analysis,1,analysis,-14.343170166015625
anaxagoras,4,an_ax_ag_oras,-26.47480010986328
ancient,2,an_cient,-16.868305206298828
and,1,and,-9.919197082519531
andella,2,and_ella,-23.190494537353516
anders,1,anders,-20.462020874023438
anecdotes,3,an_ecd_otes,-22.615196228027344
angel,1,angel,-16.244110107421875
angels,2,ang_els,-18.318130493164062
anger,1,anger,-17.736190795898438
angor,2,ang_or,-24.48917007446289
angrier,2,ang_rier,-23.120861053466797
angrily,2,ang_rily,-21.410232543945312
angry,2,ang_ry,-16.34967803955078
animal,1,animal,-15.131446838378906
animals,2,anim_als,-16.45681381225586
animated,2,anim_ated,-17.232051849365234
animosity,2,anim_osity,-20.38211441040039
annals,2,ann_als,-19.479290008544922
anne,1,anne,-17.389266967773438
anne's,2,anne_'s,-22.01137924194336
announced,1,announced,-13.47833251953125
annoyance,3,ann_oy_ance,-20.591960906982422
another,1,another,-12.588653564453125
another's,2,another_'s,-19.937480926513672
answer,1,answer,-13.611419677734375
answerd,2,answer_d,-22.097518920898438
answered,1,answered,-16.026351928710938
answers,3,ans_w_ers,-17.30789566040039
antarctic,3,ant_ar_ctic,-21.44460678100586
ante,1,ante,-19.6180419921875
antedating,2,anted_ating,-32.89278030395508
anti,1,anti,-13.575141906738281
antichrist,3,ant_ich_rist,-22.099384307861328
anticipate,3,ant_icip_ate,-21.622610092163086
anticipation,3,ant_icip_ation,-22.46099090576172
antipathy,3,ant_ip_athy,-22.20189666748047
anxiety,2,an_xiety,-17.738521575927734
anxious,2,an_xious,-19.33694839477539
any,1,any,-12.985488891601562
anybody,2,any_body,-16.525001525878906
anyhow,2,any_how,-17.84347152709961
anymore,2,any_more,-17.956626892089844
anyone,2,any_one,-15.533309936523438
anything,1,anything,-14.671707153320312
anywhere,2,any_where,-16.698410034179688
apart,2,ap_art,-17.434772491455078
apartment,2,ap_artment,-18.228282928466797
apollo,2,ap_ollo,-17.015777587890625
apostle,3,ap_ost_le,-19.83407211303711
apostles,3,ap_ost_les,-20.970279693603516
apostolic,3,ap_ost_olic,-20.056156158447266
apostolical,4,ap_ost_ol_ical,-26.900192260742188
appalling,2,app_alling,-20.193359375
apparatus,3,app_ar_atus,-18.93596076965332
apparent,2,app_arent,-18.040029525756836
apparently,2,app_arently,-16.021608352661133
appeal,2,app_eal,-18.131460189819336
appealed,3,app_eal_ed,-21.856843948364258
appeals,2,app_eals,-19.489665985107422
appear,2,app_ear,-17.369369506835938
appearance,2,app_earance,-16.345977783203125
appearances,2,app_earances,-18.877534866333008
appeared,2,app_eared,-16.99810028076172
appears,2,app_ears,-15.556407928466797
appetite,3,app_et_ite,-20.233917236328125
appetites,3,app_et_ites,-22.907730102539062
applauded,4,app_l_aud_ed,-21.25277328491211
applause,3,app_l_ause,-18.441444396972656
apple,1,apple,-14.435447692871094
application,1,application,-13.977195739746094
applying,2,app_lying,-16.881607055664062
appointed,1,appointed,-15.9937744140625
apposition,2,app_osition,-21.70974349975586
appreciate,3,app_reci_ate,-17.841670036315918
appreciative,3,app_reci_ative,-22.78941822052002
apprehension,3,app_rehens_ion,-22.557920455932617
apprentice,2,app_rentice,-18.97957992553711
apprenticeship,3,app_rentices_hip,-20.717636108398438
approach,2,appro_ach,-17.1591796875
approached,2,appro_ached,-20.399677276611328
approaches,2,appro_aches,-18.477855682373047
approaching,2,appro_aching,-19.360488891601562
approbation,3,appro_b_ation,-22.690738677978516
appropriate,1,appropriate,-14.889007568359375
approval,2,appro_val,-17.485990524291992
approve,2,appro_ve,-17.826866149902344
approves,2,appro_ves,-18.423084259033203
approving,2,appro_ving,-20.355426788330078
approximately,1,approximately,-14.518180847167969
april,2,ap_ril,-17.07550048828125
apron,2,ap_ron,-19.850948333740234
arc,1,arc,-16.656394958496094
arcadian,2,arc_adian,-23.476470947265625
arch,1,arch,-14.404525756835938
arched,2,ar_ched,-20.513168334960938
architectural,3,arch_itect_ural,-18.865352630615234
archives,1,archives,-16.26915740966797
ardle,2,ard_le,-23.94668960571289
ardour,2,ard_our,-20.629669189453125
arduous,2,ard_uous,-20.799747467041016
are,1,are,-12.159088134765625
area,1,area,-13.680587768554688
aren't,2,aren_'t,-16.236467361450195
argue,2,arg_ue,-20.553176879882812
arguing,2,arg_uing,-20.46430206298828
argus,2,arg_us,-19.36651611328125
argyle,2,arg_yle,-22.88483428955078
argyle's,3,arg_yle_'s,-28.25299072265625
arians,1,arians,-24.991470336914062
arid,2,ar_id,-20.510986328125
arise,2,ar_ise,-19.9161376953125
arising,2,ar_ising,-20.43634796142578
aristocracy,2,arist_ocracy,-21.49622344970703
arm,1,arm,-14.206283569335938
armed,1,armed,-15.09930419921875
armour,2,arm_our,-17.451141357421875
arms,1,arms,-16.007843017578125
army,2,arm_y,-17.234359741210938
aronnax,3,aron_n_ax,-30.410053253173828
arose,2,ar_ose,-20.473590850830078
around,1,around,-13.324905395507812
arouse,2,ar_ouse,-22.976036071777344
arranged,2,arr_anged,-17.225643157958984
arrangement,3,arr_ang_ement,-17.51583480834961
arrangements,3,arr_ang_ements,-18.059959411621094
arranging,2,arr_anging,-19.95123291015625
array,1,array,-14.97393798828125
arrest,2,ar_rest,-18.895553588867188
arresting,3,ar_rest_ing,-22.58065414428711
arrests,3,ar_rest_s,-21.26628875732422
arrival,2,ar_rival,-19.779708862304688
arrive,2,ar_rive,-20.12218475341797
arrived,2,ar_rived,-19.298851013183594
arriving,3,ar_ri_ving,-18.749732971191406
arrondissement,4,arr_ond_isse_ment,-23.821441650390625
arrow,1,arrow,-15.637443542480469
arrows,2,arrow_s,-18.18743896484375
art,1,art,-14.576469421386719
