word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-19.353695392608643
abhorred,3,ab_hor_red,-21.542827606201172
abolitionist,3,abol_ition_ist,-24.846165657043457
abused,2,ab_used,-13.276155948638916
accepted,2,accept_ed,-12.453011989593506
accompanied,1,accompanied,-11.465394020080566
accosted,3,acc_ost_ed,-17.84258270263672
accountant,2,account_ant,-13.385555267333984
accused,2,acc_used,-13.258656978607178
accuser,2,acc_user,-15.805005073547363
acquitted,2,acqu_itted,-18.06790542602539
acrobat,2,ac_robat,-19.040950775146484
activist,2,activ_ist,-14.741401672363281
actor,1,actor,-8.866961479187012
actress,2,act_ress,-14.706846237182617
actuary,2,act_uary,-18.60071563720703
address,1,address,-9.686359405517578
adjuster,2,adjust_er,-14.680220127105713
admiral,3,ad_mir_al,-20.31057834625244
admired,3,ad_m_ired,-21.821724891662598
admirer,3,ad_mire_r,-25.611655235290527
admonished,3,ad_mon_ished,-21.17178726196289
adopted,2,ad_opted,-16.172245979309082
adored,2,ad_ored,-14.317753791809082
adorned,2,ad_orned,-16.32967472076416
adventurer,3,ad_venture_r,-24.72367286682129
advisor,2,ad_visor,-16.966774940490723
affronted,3,aff_ront_ed,-20.63353681564331
agent,1,agent,-9.34093189239502
aggravated,3,agg_rav_ated,-21.9326753616333
agitated,2,ag_itated,-16.606151580810547
aide,2,a_ide,-12.562594413757324
airplane,2,air_plane,-21.42559814453125
alarmed,2,al_armed,-15.539441108703613
alcohol,1,alcohol,-8.999689102172852
alcoholic,2,alcohol_ic,-14.853595733642578
amateur,2,am_ateur,-16.20030975341797
ambassador,2,amb_assador,-17.3746395111084
amused,2,am_used,-13.42512845993042
analyst,2,an_alyst,-17.150647163391113
anchorman,2,anch_orman,-19.964754104614258
announcer,3,ann_oun_cer,-24.750877857208252
annoyed,3,ann_oy_ed,-19.235289573669434
antagonized,3,ant_agon_ized,-24.383394718170166
anthem,2,ant_hem,-15.898560523986816
anthropologist,2,anthrop_ologist,-21.33003330230713
apartment,2,ap_artment,-17.688157081604004
applauded,4,app_l_aud_ed,-29.22347640991211
appointment,2,app_ointment,-15.992714881896973
appraiser,3,app_ra_iser,-24.292105674743652
apprehended,3,app_rehend_ed,-20.95887804031372
apprentice,2,app_rentice,-17.257652282714844
approached,2,appro_ached,-16.424391746520996
approved,1,approved,-9.34659481048584
archaeologist,3,arch_ae_ologist,-28.53170108795166
architect,2,arch_itect,-17.83972454071045
archivist,2,arch_ivist,-18.863415718078613
aristocrat,2,arist_ocrat,-21.727863311767578
arranged,2,arr_anged,-16.29265594482422
arsonist,2,arson_ist,-18.282607078552246
article,1,article,-11.326346397399902
artisan,1,artisan,-8.92544937133789
artist,1,artist,-10.086661338806152
assailant,3,ass_ail_ant,-19.301147937774658
assassin,2,ass_assin,-16.056190490722656
assignment,2,ass_ignment,-16.2998104095459
assistant,2,ass_istant,-14.45035171508789
assisted,1,assisted,-10.816490173339844
assuaged,3,ass_u_aged,-21.643942832946777
asylum,2,as_ylum,-16.7716064453125
ate,1,ate,-8.886123657226562
athlete,2,ath_lete,-18.510233879089355
attacked,2,att_acked,-15.723301887512207
attacker,2,att_acker,-15.628971099853516
attendant,2,att_endant,-16.403013229370117
attended,2,att_ended,-14.10051965713501
attired,2,att_ired,-13.826451778411865
attorney,2,att_orney,-18.131112098693848
au,1,au,-11.094463348388672
audience,2,aud_ience,-16.37957239151001
auditor,2,aud_itor,-18.402504920959473
aunt,1,aunt,-9.515325546264648
author,1,author,-8.843583106994629
autographed,2,aut_ographed,-19.032787322998047
aviator,2,avi_ator,-20.151082038879395
awed,1,awed,-11.509201049804688
baby,1,baby,-7.3572187423706055
bachelor,2,b_achelor,-15.767560005187988
badgered,2,bad_gered,-17.68976402282715
baffled,3,b_aff_led,-18.210055828094482
bag,1,bag,-10.105887413024902
baguette,3,b_agu_ette,-22.880240440368652
bailiff,3,b_ail_iff,-21.391039848327637
baker,2,b_aker,-13.444334030151367
ballerina,3,ball_er_ina,-24.017502784729004
ballot,2,ball_ot,-16.947303771972656
banished,2,ban_ished,-15.221505641937256
banker,2,bank_er,-14.811024188995361
banner,2,ban_ner,-14.67402696609497
barber,2,bar_ber,-14.827525615692139
baron,2,bar_on,-14.614487648010254
baroness,3,bar_on_ess,-19.37147569656372
barrister,3,b_arr_ister,-19.986449241638184
basin,2,bas_in,-14.66895580291748
basted,2,b_asted,-12.507744789123535
battery,2,b_attery,-14.006659507751465
bear,1,bear,-6.761569976806641
beat,1,beat,-8.57471752166748
beaten,2,beat_en,-14.720285415649414
befriended,4,b_ef_riend_ed,-26.18502902984619
befuddled,3,b_ef_uddled,-21.925183296203613
begged,2,be_gged,-15.628527641296387
beginner,2,begin_ner,-16.231933116912842
begrudged,4,be_gr_ud_ged,-27.725712299346924
believed,2,bel_ieved,-15.510271072387695
belittled,3,bel_itt_led,-20.408133029937744
bellboy,2,bell_boy,-18.90815830230713
bemused,3,b_em_used,-19.229015350341797
benefactor,2,benef_actor,-17.304905891418457
beneficiary,2,benef_iciary,-20.111872673034668
bent,1,bent,-8.834017753601074
berated,2,ber_ated,-16.115510940551758
betrayed,3,bet_ray_ed,-19.879249572753906
beverage,3,b_ever_age,-18.256985187530518
biased,1,biased,-10.039198875427246
biker,2,b_iker,-16.26679801940918
billed,2,b_illed,-12.973579406738281
biologist,2,bi_ologist,-18.609342575073242
blackmailer,3,black_mail_er,-23.876153469085693
blamed,2,bl_amed,-13.26234245300293
blew,2,ble_w,-15.585874080657959
blonde,2,bl_onde,-14.770126342773438
blown,1,blown,-10.062934875488281
book,1,book,-8.472518920898438
bookkeeper,2,book_keeper,-18.746337890625
bookseller,2,book_seller,-19.827342987060547
bookworm,2,book_worm,-19.17176628112793
borrowed,3,bor_row_ed,-20.021517276763916
boss,1,boss,-8.123857498168945
botanist,3,bot_an_ist,-22.24171543121338
bothered,2,bot_hered,-18.498334884643555
bottle,2,bott_le,-15.156995296478271
bought,2,b_ought,-11.414099216461182
bowler,2,bow_ler,-17.357035636901855
boy,1,boy,-8.684926986694336
boyfriend,2,boy_friend,-17.99815082550049
bribed,2,b_ribed,-15.42042350769043
bricklayer,3,br_ick_layer,-24.76622438430786
brochure,3,bro_ch_ure,-20.995980262756348
broker,2,bro_ker,-16.89174461364746
brunette,3,br_un_ette,-21.838340282440186
bulb,2,bul_b,-16.70271587371826
bully,2,b_ully,-12.247184753417969
bum,1,bum,-9.90915298461914
bureaucrat,4,b_ureau_cr_at,-29.75685214996338
burgled,2,burg_led,-17.82700252532959
burial,2,bur_ial,-15.235024452209473
burned,2,burn_ed,-14.066088199615479
burnt,2,bur_nt,-17.35083770751953
bus,1,bus,-9.581525802612305
busboy,2,bus_boy,-19.062527656555176
businessman,2,business_man,-16.398342609405518
butcher,2,but_cher,-16.936853408813477
button,1,button,-10.43613338470459
buyer,2,buy_er,-14.066197872161865
by,1,by,-6.931629180908203
bystander,3,by_stand_er,-19.255794048309326
cabbie,3,c_abb_ie,-20.347808837890625
cadet,3,c_ad_et,-17.042036056518555
calculated,2,cal_culated,-16.052014350891113
call,1,call,-8.834772109985352
called,1,called,-9.337498664855957
calmed,2,cal_med,-14.992135047912598
campaigner,2,campaign_er,-15.430712223052979
camper,2,cam_per,-17.391842365264893
canceled,3,c_ance_led,-18.048815727233887
candidate,2,cand_idate,-17.542320251464844
capitalist,1,capitalist,-10.483041763305664
captain,2,capt_ain,-13.60482406616211
captive,2,capt_ive,-13.240262985229492
car,1,car,-9.277690887451172
cardiologist,2,card_iologist,-22.692893981933594
caretaker,2,care_taker,-18.867765426635742
carnivore,4,c_arn_iv_ore,-25.94280195236206
carrier,2,car_rier,-16.42554759979248
cartographer,2,cart_ographer,-21.377304077148438
cartoonist,3,cart_oon_ist,-24.733752250671387
caseworker,3,cas_ework_er,-25.50407648086548
cash,1,cash,-9.880599021911621
cashier,2,cash_ier,-17.7899432182312
cast,1,cast,-8.050600051879883
caught,2,c_aught,-12.901671409606934
cautioned,3,ca_ution_ed,-21.054770946502686
celebrity,3,cele_br_ity,-19.81490421295166
cellist,2,cell_ist,-15.236917495727539
chairman,2,chair_man,-18.842472553253174
challenged,2,chall_enged,-16.96299171447754
champion,2,ch_ampion,-13.843195915222168
chancellor,2,chance_llor,-22.159208297729492
changed,1,changed,-8.383320808410645
channeler,2,channel_er,-15.518681049346924
chaplain,2,cha_plain,-18.91606903076172
character,1,character,-8.157148361206055
charged,1,charged,-10.524482727050781
charlatan,3,ch_arl_atan,-25.10622787475586
chart,1,chart,-11.552343368530273
chased,2,ch_ased,-12.50646686553955
chauffeur,4,ch_au_ffe_ur,-32.62436819076538
cheapskate,4,che_aps_k_ate,-29.12131118774414
cheerleader,3,che_er_leader,-23.85575771331787
chef,2,che_f,-14.309389114379883
chemist,1,chemist,-12.69755744934082
cherished,2,cher_ished,-16.152199268341064
