word,nr. of tokens,tokens,word score
a,1,a,-6.8963236808776855
abandoned,1,abandoned,-12.547154426574707
abbe,2,a_##bbe,-22.732328414916992
abduction,3,a_##b_##duction,-30.574131965637207
ability,1,ability,-11.8185396194458
abjectly,3,a_##bject_##ly,-30.20522975921631
able,1,able,-10.860190391540527
abner,2,a_##bner,-23.64982795715332
aboard,1,aboard,-14.189416885375977
abolitionism,2,abolition_##ism,-28.920852661132812
abolitionists,2,abolition_##ists,-28.971303939819336
about,1,about,-9.66215705871582
above,1,above,-10.857071876525879
abraham,3,a_##bra_##ham,-32.69497585296631
abroad,1,abroad,-12.452489852905273
abruptly,1,abruptly,-13.106969833374023
absence,1,absence,-13.826347351074219
absent,1,absent,-13.259836196899414
absolute,1,absolute,-13.070653915405273
absolutely,1,absolutely,-13.11975383758545
absorbed,1,absorbed,-12.663920402526855
abstraction,2,abstract_##ion,-29.224517822265625
abstractions,2,abstract_##ions,-29.76019287109375
absurd,1,absurd,-13.645540237426758
absurdities,2,absurd_##ities,-30.498393058776855
absurdity,2,absurd_##ity,-29.888964653015137
accent,1,accent,-13.795125007629395
accents,2,accent_##s,-23.588248252868652
acceptable,1,acceptable,-13.75794792175293
accepted,1,accepted,-12.292518615722656
accepting,1,accepting,-13.34235954284668
accessories,1,accessories,-13.79638385772705
accident,1,accident,-12.759045600891113
accidents,1,accidents,-13.899395942687988
acclamations,4,a_##cc_##lam_##ations,-46.19656467437744
accommodation,1,accommodation,-13.516016960144043
accommodations,2,accommodation_##s,-24.123652458190918
accompanied,1,accompanied,-12.37789249420166
accompany,1,accompany,-13.35741138458252
accomplished,1,accomplished,-13.529275894165039
accomplishment,2,accomplish_##ment,-30.009929656982422
accord,1,accord,-14.533751487731934
accordance,1,accordance,-13.408050537109375
according,1,according,-11.433335304260254
accordingly,1,accordingly,-14.300308227539062
account,1,account,-11.38427734375
accounted,1,accounted,-13.282975196838379
accounts,1,accounts,-13.085064888000488
accoutrements,5,a_##cco_##ut_##rem_##ents,-62.18226480484009
accruing,4,a_##cc_##ru_##ing,-42.755066871643066
accuracy,1,accuracy,-13.39652156829834
accurate,1,accurate,-13.079375267028809
accurately,1,accurately,-13.993904113769531
accuse,3,a_##cc_##use,-29.449295043945312
accustomed,1,accustomed,-14.409814834594727
ace,1,ace,-12.879607200622559
achieved,1,achieved,-12.317728042602539
achievement,1,achievement,-14.445068359375
achievements,1,achievements,-14.339052200317383
acknowledge,1,acknowledge,-14.080944061279297
acknowledged,1,acknowledged,-13.42608642578125
acknowledgement,2,acknowledge_##ment,-30.039989471435547
acknowledges,2,acknowledge_##s,-24.920823097229004
acorn,2,a_##corn,-25.300668716430664
acquaint,4,a_##c_##qua_##int,-44.25405216217041
acquaintance,1,acquaintance,-14.1622953414917
acquainted,1,acquainted,-14.230935096740723
acquire,1,acquire,-13.744348526000977
acquires,2,acquire_##s,-24.151387214660645
across,1,across,-10.788674354553223
act,1,act,-12.609213829040527
acting,1,acting,-12.705810546875
action,1,action,-12.037009239196777
active,1,active,-12.387301445007324
actively,1,actively,-14.08907699584961
activity,1,activity,-12.423116683959961
actor,1,actor,-12.783315658569336
actors,1,actors,-13.857282638549805
actress,1,actress,-12.58212947845459
acts,1,acts,-13.273795127868652
actual,1,actual,-13.088249206542969
actually,1,actually,-12.026616096496582
acute,1,acute,-12.984283447265625
added,1,added,-10.875449180603027
additional,1,additional,-12.103811264038086
address,1,address,-12.121315002441406
addressed,1,addressed,-12.194629669189453
addressing,1,addressing,-13.776752471923828
adherents,3,ad_##here_##nts,-36.54298973083496
adjust,1,adjust,-13.834720611572266
administration,1,administration,-13.051331520080566
admiration,1,admiration,-15.245186805725098
