sentence id,ref sentence,PLL score,nr. of tokens
1089-134686-0000,He hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce.,-168.57977294921875,34
1089-134686-0001,Stuff it into you his belly counselled him.,-56.82169723510742,11
1089-134686-0002,After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,-93.1431884765625,22
1089-134686-0003,Hello bertie any good in your mind.,-52.01708221435547,9
1089-134686-0004,Number ten fresh nelly is waiting on you good night husband.,-81.54371643066406,12
1089-134686-0005,The music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness.,-156.07376098632812,26
1089-134686-0006,The dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail.,-142.80914306640625,25
1089-134686-0007,A cold lucid indifference reigned in his soul.,-48.066341400146484,9
1089-134686-0008,The chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself.,-91.31771850585938,16
1089-134686-0009,At most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace.,-144.24624633789062,30
1089-134686-0010,Well now ennis i declare you have a head and so has my stick.,-88.87890625,15
1089-134686-0011,On saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses.,-199.3350067138672,42
1089-134686-0012,Her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her.,-148.67044067382812,31
1089-134686-0013,If ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight.,-121.18263244628906,26
1089-134686-0014,He tried to think how it could be.,-26.951736450195312,8
1089-134686-0015,But the dusk deepening in the schoolroom covered over his thoughts the bell rang.,-81.71317291259766,15
1089-134686-0016,Then you can ask him questions on the catechism dedalus.,-62.561004638671875,13
1089-134686-0017,Stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying.,-141.30029296875,27
1089-134686-0018,It was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation.,-190.41146850585938,43
1089-134686-0019,The sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state.,-195.696044921875,43
1089-134686-0020,If a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune.,-192.47225952148438,53
1089-134686-0021,If a layman in giving baptism pour the water before saying the words is the child baptized.,-99.64459228515625,18
1089-134686-0022,How comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land.,-135.74118041992188,35
