sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-34.30364418029785,9
tensor(1),The illness caught the raider.,-36.399208068847656,9
tensor(2),The illness was caught by the raider.,-33.77929449081421,11
tensor(3),The raider was caught by the illness.,-40.93650150299072,11
tensor(4),The marauder contracted the disease.,-57.10531520843506,11
tensor(5),The disease contracted the marauder.,-61.42418622970581,11
tensor(6),The disease was contracted by the marauder.,-48.43814659118652,13
tensor(7),The marauder was contracted by the disease.,-65.37520360946655,13
tensor(8),The convict dreaded the prison.,-44.279183864593506,9
tensor(9),The prison dreaded the convict.,-45.08017110824585,9
tensor(10),The prison was dreaded by the convict.,-44.36211109161377,11
tensor(11),The convict was dreaded by the prison.,-48.51918125152588,11
tensor(12),The criminal feared the jail.,-28.35422706604004,8
tensor(13),The jail feared the criminal.,-29.102713584899902,8
tensor(14),The jail was feared by the criminal.,-30.74577045440674,10
tensor(15),The criminal was feared by the jail.,-31.99052333831787,10
tensor(16),The prostitute squandered the cash.,-58.88048696517944,10
tensor(17),The cash squandered the prostitute.,-74.48203086853027,10
tensor(18),The cash was squandered by the prostitute.,-62.26716995239258,12
tensor(19),The prostitute was squandered by the cash.,-68.45807552337646,12
tensor(20),The call girl wasted the money.,-32.34499931335449,9
tensor(21),The money wasted the call girl.,-40.61885595321655,9
tensor(22),The money was wasted by the call girl.,-26.720401287078857,11
tensor(23),The call girl was wasted by the money.,-40.329275131225586,11
tensor(24),The adventurer requested the beverage.,-38.797667026519775,9
tensor(25),The beverage requested the adventurer.,-41.76532554626465,9
tensor(26),The beverage was requested by the adventurer.,-36.98655986785889,11
tensor(27),The adventurer was requested by the beverage.,-50.885010719299316,11
tensor(28),The undertaker prepared the funeral.,-32.02677774429321,9
tensor(29),The funeral prepared the undertaker.,-40.4015417098999,9
tensor(30),The funeral was prepared by the undertaker.,-35.21223831176758,11
tensor(31),The undertaker was prepared by the funeral.,-49.32928657531738,11
tensor(32),The mortician arranged the burial.,-55.39348030090332,11
tensor(33),The burial arranged the mortician.,-69.89441394805908,11
tensor(34),The burial was arranged by the mortician.,-51.864684104919434,13
tensor(35),The mortician was arranged by the burial.,-76.10169839859009,13
tensor(36),The supervisor supplied the liquor.,-23.14548683166504,8
tensor(37),The liquor supplied the supervisor.,-32.97901201248169,8
tensor(38),The liquor was supplied by the supervisor.,-27.212794303894043,10
tensor(39),The supervisor was supplied by the liquor.,-39.217769622802734,10
tensor(40),The overseer provided the alcohol.,-34.75831365585327,9
tensor(41),The alcohol provided the overseer.,-47.85373020172119,9
tensor(42),The alcohol was provided by the overseer.,-36.234442710876465,11
tensor(43),The overseer was provided by the alcohol.,-56.27159118652344,11
tensor(44),The troublemaker crashed the car.,-26.935441493988037,9
tensor(45),The car crashed the troublemaker.,-45.126420974731445,9
tensor(46),The car was crashed by the troublemaker.,-29.450037956237793,11
tensor(47),The troublemaker was crashed by the car.,-43.61619806289673,11
tensor(48),The hooligan wrecked the vehicle.,-50.75781536102295,10
tensor(49),The vehicle wrecked the hooligan.,-58.2655553817749,10
tensor(50),The vehicle was wrecked by the hooligan.,-50.99137306213379,12
tensor(51),The hooligan was wrecked by the vehicle.,-61.14787483215332,12
tensor(52),The repairman fixed the tap.,-23.261131286621094,9
tensor(53),The tap fixed the repairman.,-39.94947147369385,9
tensor(54),The tap was fixed by the repairman.,-25.03097629547119,11
tensor(55),The repairman was fixed by the tap.,-42.64590930938721,11
tensor(56),The handyman repaired the faucet.,-70.40562534332275,12
tensor(57),The faucet repaired the handyman.,-91.59310245513916,12
tensor(58),The faucet was repaired by the handyman.,-70.78747987747192,14
tensor(59),The handyman was repaired by the faucet.,-86.57765674591064,14
tensor(60),The secretary organized the desk.,-25.51796531677246,8
tensor(61),The desk organized the secretary.,-36.20087718963623,8
tensor(62),The desk was organized by the secretary.,-26.285035133361816,10
tensor(63),The secretary was organized by the desk.,-39.45071887969971,10
tensor(64),The receptionist tidied the table.,-59.87018394470215,11
tensor(65),The table tidied the receptionist.,-69.58381462097168,11
tensor(66),The table was tidied by the receptionist.,-58.21774339675903,13
tensor(67),The receptionist was tidied by the table.,-73.96136283874512,13
tensor(68),The pilot steered the airplane.,-12.13277006149292,8
tensor(69),The airplane steered the pilot.,-26.786197662353516,8
tensor(70),The airplane was steered by the pilot.,-14.442747116088867,10
tensor(71),The pilot was steered by the airplane.,-29.94809341430664,10
tensor(72),The aviator maneuvered the jet.,-43.52784442901611,10
tensor(73),The jet maneuvered the aviator.,-48.65375804901123,10
tensor(74),The jet was maneuvered by the aviator.,-53.43348693847656,12
tensor(75),The aviator was maneuvered by the jet.,-63.37591075897217,12
tensor(76),The chef sauteed the squid.,-65.9034194946289,11
tensor(77),The squid sauteed the chef.,-69.4793176651001,11
tensor(78),The squid was sauteed by the chef.,-70.84847927093506,13
tensor(79),The chef was sauteed by the squid.,-74.96695375442505,13
tensor(80),The cook grilled the octopus.,-73.53546237945557,12
tensor(81),The octopus grilled the cook.,-84.05365753173828,12
tensor(82),The octopus was grilled by the cook.,-79.67167091369629,14
tensor(83),The cook was grilled by the octopus.,-87.95778274536133,14
tensor(84),The ship captain promised the triumph.,-36.781039237976074,9
tensor(85),The triumph promised the ship captain.,-36.473204612731934,9
tensor(86),The triumph was promised by the ship captain.,-31.89759111404419,11
tensor(87),The ship captain was promised by the triumph.,-45.14722156524658,11
tensor(88),The skipper guaranteed the victory.,-32.41475057601929,9
tensor(89),The victory guaranteed the skipper.,-42.441001892089844,9
