word,nr. of tokens,tokens,word score
"openedthedictionaryandpickedthewordabandoned""",11,"opened_the_dictionary_and_picked_the_word_ab_andon_ed_"".",-40.865967750549316
"openedthedictionaryandpickedthewordabhorred""",11,"opened_the_dictionary_and_picked_the_word_ab_hor_red_"".",-45.754241943359375
"openedthedictionaryandpickedthewordabolitionist""",11,"opened_the_dictionary_and_picked_the_word_abol_ition_ist_"".",-41.65862274169922
"openedthedictionaryandpickedthewordabused""",10,"opened_the_dictionary_and_picked_the_word_ab_used_"".",-42.555908203125
"openedthedictionaryandpickedthewordaccepted""",10,"opened_the_dictionary_and_picked_the_word_accept_ed_"".",-42.8890380859375
"openedthedictionaryandpickedthewordaccompanied""",9,"opened_the_dictionary_and_picked_the_word_accompanied_"".",-44.053866386413574
"openedthedictionaryandpickedthewordaccosted""",11,"opened_the_dictionary_and_picked_the_word_acc_ost_ed_"".",-45.39693355560303
"openedthedictionaryandpickedthewordaccountant""",10,"opened_the_dictionary_and_picked_the_word_account_ant_"".",-40.26094055175781
"openedthedictionaryandpickedthewordaccused""",10,"opened_the_dictionary_and_picked_the_word_acc_used_"".",-42.597880363464355
"openedthedictionaryandpickedthewordaccuser""",10,"opened_the_dictionary_and_picked_the_word_acc_user_"".",-43.331421852111816
"openedthedictionaryandpickedthewordacquitted""",10,"opened_the_dictionary_and_picked_the_word_acqu_itted_"".",-44.734968185424805
"openedthedictionaryandpickedthewordacrobat""",10,"opened_the_dictionary_and_picked_the_word_ac_robat_"".",-42.069664478302
"openedthedictionaryandpickedthewordactivist""",10,"opened_the_dictionary_and_picked_the_word_activ_ist_"".",-39.53535175323486
"openedthedictionaryandpickedthewordactor""",9,"opened_the_dictionary_and_picked_the_word_actor_"".",-40.728909492492676
"openedthedictionaryandpickedthewordactress""",10,"opened_the_dictionary_and_picked_the_word_act_ress_"".",-41.24464511871338
"openedthedictionaryandpickedthewordactuary""",10,"opened_the_dictionary_and_picked_the_word_act_uary_"".",-41.877984046936035
"openedthedictionaryandpickedthewordaddress""",9,"opened_the_dictionary_and_picked_the_word_address_"".",-40.725172996520996
"openedthedictionaryandpickedthewordadjuster""",10,"opened_the_dictionary_and_picked_the_word_adjust_er_"".",-44.87989044189453
"openedthedictionaryandpickedthewordadmiral""",11,"opened_the_dictionary_and_picked_the_word_ad_mir_al_"".",-41.2111873626709
"openedthedictionaryandpickedthewordadmired""",11,"opened_the_dictionary_and_picked_the_word_ad_m_ired_"".",-44.82761478424072
"openedthedictionaryandpickedthewordadmirer""",11,"opened_the_dictionary_and_picked_the_word_ad_mire_r_"".",-42.2365140914917
"openedthedictionaryandpickedthewordadmonished""",11,"opened_the_dictionary_and_picked_the_word_ad_mon_ished_"".",-47.36949968338013
