sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-27.218843460083008,9
tensor(1),The illness caught the raider.,-28.176583290100098,9
tensor(2),The illness was caught by the raider.,-26.574671268463135,11
tensor(3),The raider was caught by the illness.,-30.74015235900879,11
tensor(4),The marauder contracted the disease.,-9.65929889678955,11
tensor(5),The disease contracted the marauder.,-24.26229953765869,11
tensor(6),The disease was contracted by the marauder.,-14.4291410446167,13
tensor(7),The marauder was contracted by the disease.,-25.46512222290039,13
tensor(8),The convict dreaded the prison.,-21.074038982391357,9
tensor(9),The prison dreaded the convict.,-25.8226637840271,9
tensor(10),The prison was dreaded by the convict.,-25.36895179748535,11
tensor(11),The convict was dreaded by the prison.,-28.138310432434082,11
tensor(12),The criminal feared the jail.,-28.35422706604004,8
tensor(13),The jail feared the criminal.,-29.102713584899902,8
tensor(14),The jail was feared by the criminal.,-30.74577045440674,10
tensor(15),The criminal was feared by the jail.,-31.99052333831787,10
tensor(16),The prostitute squandered the cash.,-16.642256259918213,10
tensor(17),The cash squandered the prostitute.,-23.328569412231445,10
tensor(18),The cash was squandered by the prostitute.,-18.61710834503174,12
tensor(19),The prostitute was squandered by the cash.,-28.31432819366455,12
tensor(20),The call girl wasted the money.,-32.34499931335449,9
tensor(21),The money wasted the call girl.,-40.61885595321655,9
tensor(22),The money was wasted by the call girl.,-26.720401287078857,11
tensor(23),The call girl was wasted by the money.,-40.329275131225586,11
tensor(24),The adventurer requested the beverage.,-23.637152671813965,9
tensor(25),The beverage requested the adventurer.,-33.424551486968994,9
tensor(26),The beverage was requested by the adventurer.,-22.95789909362793,11
tensor(27),The adventurer was requested by the beverage.,-43.93095111846924,11
tensor(28),The undertaker prepared the funeral.,-13.005185604095459,9
tensor(29),The funeral prepared the undertaker.,-26.513805389404297,9
tensor(30),The funeral was prepared by the undertaker.,-16.258643627166748,11
tensor(31),The undertaker was prepared by the funeral.,-33.15726375579834,11
tensor(32),The mortician arranged the burial.,-8.743470191955566,11
tensor(33),The burial arranged the mortician.,-27.931299209594727,11
tensor(34),The burial was arranged by the mortician.,-6.491150856018066,13
tensor(35),The mortician was arranged by the burial.,-29.8962140083313,13
tensor(36),The supervisor supplied the liquor.,-23.14548683166504,8
tensor(37),The liquor supplied the supervisor.,-32.97901201248169,8
tensor(38),The liquor was supplied by the supervisor.,-27.212794303894043,10
tensor(39),The supervisor was supplied by the liquor.,-39.217769622802734,10
tensor(40),The overseer provided the alcohol.,-18.194316387176514,9
tensor(41),The alcohol provided the overseer.,-30.830106735229492,9
tensor(42),The alcohol was provided by the overseer.,-17.8774356842041,11
tensor(43),The overseer was provided by the alcohol.,-39.93557548522949,11
tensor(44),The troublemaker crashed the car.,-12.38749361038208,9
tensor(45),The car crashed the troublemaker.,-28.785234451293945,9
tensor(46),The car was crashed by the troublemaker.,-13.642315864562988,11
tensor(47),The troublemaker was crashed by the car.,-28.01221513748169,11
tensor(48),The hooligan wrecked the vehicle.,-12.564068794250488,10
tensor(49),The vehicle wrecked the hooligan.,-18.238384246826172,10
tensor(50),The vehicle was wrecked by the hooligan.,-10.93700122833252,12
tensor(51),The hooligan was wrecked by the vehicle.,-21.17183208465576,12
tensor(52),The repairman fixed the tap.,-17.90944194793701,9
tensor(53),The tap fixed the repairman.,-31.949440479278564,9
tensor(54),The tap was fixed by the repairman.,-19.69114112854004,11
tensor(55),The repairman was fixed by the tap.,-36.524807929992676,11
tensor(56),The handyman repaired the faucet.,-8.2940034866333,12
tensor(57),The faucet repaired the handyman.,-25.213950634002686,12
tensor(58),The faucet was repaired by the handyman.,-9.154142379760742,14
tensor(59),The handyman was repaired by the faucet.,-31.00403594970703,14
tensor(60),The secretary organized the desk.,-25.51796531677246,8
tensor(61),The desk organized the secretary.,-36.20087718963623,8
tensor(62),The desk was organized by the secretary.,-26.285035133361816,10
tensor(63),The secretary was organized by the desk.,-39.45071887969971,10
tensor(64),The receptionist tidied the table.,-4.7335615158081055,11
tensor(65),The table tidied the receptionist.,-20.38327980041504,11
tensor(66),The table was tidied by the receptionist.,-5.408434867858887,13
tensor(67),The receptionist was tidied by the table.,-19.179224014282227,13
tensor(68),The pilot steered the airplane.,-12.13277006149292,8
tensor(69),The airplane steered the pilot.,-26.786197662353516,8
tensor(70),The airplane was steered by the pilot.,-14.442747116088867,10
tensor(71),The pilot was steered by the airplane.,-29.94809341430664,10
tensor(72),The aviator maneuvered the jet.,-9.839803695678711,10
tensor(73),The jet maneuvered the aviator.,-18.760138511657715,10
tensor(74),The jet was maneuvered by the aviator.,-15.333864212036133,12
tensor(75),The aviator was maneuvered by the jet.,-21.10612440109253,12
tensor(76),The chef sauteed the squid.,-6.757197380065918,11
tensor(77),The squid sauteed the chef.,-20.146557807922363,11
tensor(78),The squid was sauteed by the chef.,-8.935406684875488,13
tensor(79),The chef was sauteed by the squid.,-21.89253520965576,13
tensor(80),The cook grilled the octopus.,-4.416391372680664,12
tensor(81),The octopus grilled the cook.,-9.292519569396973,12
tensor(82),The octopus was grilled by the cook.,-6.385963439941406,14
tensor(83),The cook was grilled by the octopus.,-11.697352409362793,14
tensor(84),The ship captain promised the triumph.,-36.781039237976074,9
tensor(85),The triumph promised the ship captain.,-36.473204612731934,9
tensor(86),The triumph was promised by the ship captain.,-31.89759111404419,11
tensor(87),The ship captain was promised by the triumph.,-45.14722156524658,11
tensor(88),The skipper guaranteed the victory.,-11.007314205169678,9
tensor(89),The victory guaranteed the skipper.,-17.061342239379883,9
tensor(90),The victory was guaranteed by the skipper.,-12.704397678375244,11
tensor(91),The skipper was guaranteed by the victory.,-28.21029567718506,11
tensor(92),The milliner adorned the fedora.,-17.21931028366089,10
tensor(93),The fedora adorned the milliner.,-16.903442859649658,10
tensor(94),The fedora was adorned by the milliner.,-14.736944675445557,12
tensor(95),The milliner was adorned by the fedora.,-22.253914833068848,12
tensor(96),The hatter decorated the bowler.,-32.96381378173828,9
tensor(97),The bowler decorated the hatter.,-37.313674449920654,9
tensor(98),The bowler was decorated by the hatter.,-30.551716804504395,11
tensor(99),The hatter was decorated by the bowler.,-39.72905921936035,11
tensor(100),The serviceman hoisted the flag.,-11.064927577972412,10
tensor(101),The flag hoisted the serviceman.,-22.80459499359131,10
tensor(102),The flag was hoisted by the serviceman.,-13.756675720214844,12
tensor(103),The serviceman was hoisted by the flag.,-24.93547773361206,12
tensor(104),The soldier raised the banner.,-16.051164627075195,8
tensor(105),The banner raised the soldier.,-29.82395315170288,8
tensor(106),The banner was raised by the soldier.,-18.53449583053589,10
tensor(107),The soldier was raised by the banner.,-29.864835262298584,10
tensor(108),The agent failed the mission.,-12.997531414031982,8
tensor(109),The mission failed the agent.,-21.386948585510254,8
tensor(110),The mission was failed by the agent.,-18.206941604614258,10
tensor(111),The agent was failed by the mission.,-26.833158016204834,10
tensor(112),The operative blew the assignment.,-28.297651290893555,8
tensor(113),The assignment blew the operative.,-30.365042686462402,8
tensor(114),The assignment was blown by the operative.,-29.115455627441406,10
tensor(115),The operative was blown by the assignment.,-31.504688262939453,10
tensor(116),The anchorman garbled the expression.,-20.053697109222412,11
tensor(117),The expression garbled the anchorman.,-21.813365936279297,11
tensor(118),The expression was garbled by the anchorman.,-16.169618606567383,13
tensor(119),The anchorman was garbled by the expression.,-22.745731830596924,13
tensor(120),The announcer mispronounced the word.,-8.171908378601074,11
tensor(121),The word mispronounced the announcer.,-20.147570610046387,11
tensor(122),The word was mispronounced by the announcer.,-8.85618257522583,13
tensor(123),The announcer was mispronounced by the word.,-26.756954193115234,13
tensor(124),The author finished the novel.,-11.039186477661133,8
tensor(125),The novel finished the author.,-20.938814640045166,8
