sentence id,ref sentence,PLL score,negative PLL score,nr. of tokens,nr. of words,avg. nr. of tokens,quantile rank
1089-134686-0000,He hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce.,-97.77053451538086,97.77053451538086,40,28,1.4285714285714286,2
1089-134686-0001,Stuff it into you his belly counselled him.,-45.68900346755981,45.68900346755981,13,8,1.625,3
1089-134686-0002,After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,-38.95939540863037,38.95939540863037,26,18,1.4444444444444444,2
1089-134686-0003,Hello bertie any good in your mind.,-52.895132541656494,52.895132541656494,12,7,1.7142857142857142,3
1089-134686-0004,Number ten fresh nelly is waiting on you good night husband.,-64.65586042404175,64.65586042404175,15,11,1.3636363636363635,2
1089-134686-0005,The music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness.,-126.14167499542236,126.14167499542236,30,22,1.3636363636363635,2
1089-134686-0006,The dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail.,-108.04564809799194,108.04564809799194,29,24,1.2083333333333333,0
1089-134686-0007,A cold lucid indifference reigned in his soul.,-16.905067443847656,16.905067443847656,15,8,1.875,3
1089-134686-0008,The chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself.,-35.03137445449829,35.03137445449829,23,15,1.5333333333333334,3
1089-134686-0009,At most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace.,-91.06868934631348,91.06868934631348,33,27,1.2222222222222223,1
1089-134686-0010,Well now ennis i declare you have a head and so has my stick.,-74.13203430175781,74.13203430175781,18,14,1.2857142857142858,1
1089-134686-0011,On saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses.,-129.89470767974854,129.89470767974854,47,39,1.205128205128205,0
1089-134686-0012,Her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her.,-53.58981704711914,53.58981704711914,36,28,1.2857142857142858,1
1089-134686-0013,If ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight.,-78.10584020614624,78.10584020614624,31,25,1.24,1
1089-134686-0014,He tried to think how it could be.,-11.340326309204102,11.340326309204102,11,8,1.375,2
1089-134686-0015,But the dusk deepening in the schoolroom covered over his thoughts the bell rang.,-42.08379793167114,42.08379793167114,19,14,1.3571428571428572,2
1089-134686-0016,Then you can ask him questions on the catechism dedalus.,-32.51241636276245,32.51241636276245,17,10,1.7,3
1089-134686-0017,Stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying.,-84.33602476119995,84.33602476119995,33,24,1.375,2
1089-134686-0018,It was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation.,-101.00175523757936,101.00175523757936,48,41,1.170731707317073,0
