word,nr. of tokens,tokens,word score
cosmic,2,cos_mic,-9.239810943603516
cosmical,3,cos_m_ical,-14.599963188171387
cosmology,2,cos_mology,-13.12472915649414
cosmopolitan,2,cos_mopolitan,-10.91851806640625
cosmopolitanism,3,cos_mopolitan_ism,-14.625672340393066
cosmos,2,cos_mos,-11.77664566040039
cosponsors,2,c_osponsors,-19.17055892944336
cossack,3,c_oss_ack,-14.197166442871094
cossacks,3,c_oss_acks,-16.253284454345703
cost,1,cost,-9.386096954345703
costaggini,4,cost_ag_gin_i,-37.16745853424072
costing,2,cost_ing,-12.744434356689453
costive,2,cost_ive,-17.419048309326172
costlier,2,cost_lier,-14.151870727539062
costly,2,cost_ly,-11.998647689819336
costs,2,cost_s,-12.872055053710938
costume,2,cost_ume,-11.752948760986328
costumes,2,cost_umes,-12.758075714111328
cotillion,2,cot_illion,-18.536453247070312
cottage,2,cott_age,-10.955703735351562
cottages,2,cott_ages,-15.764202117919922
cotten,2,c_otten,-15.375682830810547
cotter,2,cot_ter,-13.860912322998047
cotton,2,c_otton,-10.133377075195312
couch,2,c_ouch,-11.221710205078125
couched,2,c_ouched,-14.055023193359375
couches,3,c_ou_ches,-15.630773544311523
cough,2,c_ough,-9.33469009399414
coughing,3,c_ough_ing,-11.855852127075195
coughlin,3,c_ough_lin,-17.97665786743164
could,1,could,-8.650745391845703
coulomb,3,c_oul_omb,-18.190746307373047
council,3,c_oun_cil,-12.436920166015625
councilwoman,4,c_oun_cil_woman,-18.586761474609375
counsel,3,c_oun_sel,-10.866981506347656
counseling,4,c_oun_sel_ing,-11.799570083618164
counselor,4,c_oun_sel_or,-12.590639114379883
counselors,4,c_oun_sel_ors,-15.139211654663086
count,1,count,-8.301277160644531
counted,2,count_ed,-11.44479751586914
countenance,2,count_enance,-13.61458969116211
counter,1,counter,-9.333080291748047
counteracted,2,counter_acted,-17.273977279663086
counterattack,2,counter_attack,-14.406652450561523
counterchallenge,3,counter_chall_enge,-21.390592575073242
counterpart,2,counter_part,-13.608144760131836
counterparts,2,counter_parts,-15.598421096801758
counterpoint,2,counter_point,-13.99711799621582
counterproposal,3,counter_pro_posal,-17.525339126586914
counters,2,c_ounters,-13.709415435791016
counties,2,count_ies,-13.905838012695312
counting,2,count_ing,-10.42733383178711
countless,2,count_less,-9.675189971923828
countries,2,count_ries,-11.875015258789062
country,1,country,-9.253509521484375
countrymen,2,country_men,-15.40165901184082
countryside,2,country_side,-14.352363586425781
countrywide,2,country_wide,-15.171886444091797
counts,2,count_s,-12.93716049194336
county,2,count_y,-10.785568237304688
coup,2,c_oup,-10.575263977050781
coupe,3,c_ou_pe,-14.899063110351562
couperin,4,c_ou_per_in,-22.594951629638672
couple,2,c_ouple,-10.433990478515625
coupled,3,c_ou_pled,-12.610418319702148
coupler,3,c_ou_pler,-16.331344604492188
couplers,4,c_ou_pl_ers,-19.159643173217773
couples,3,c_ou_ples,-13.349895477294922
coupling,3,c_ou_pling,-13.770401000976562
coupon,3,c_oup_on,-12.46540641784668
courage,2,c_ourage,-9.234184265136719
courageous,3,c_ourage_ous,-9.51507568359375
courageously,3,c_ourage_ously,-13.995504379272461
courcy,2,cour_cy,-17.353012084960938
course,1,course,-10.047832489013672
courses,2,c_ourses,-13.764141082763672
court,1,court,-10.091453552246094
courteous,3,cour_te_ous,-13.054182171821594
courteously,3,cour_te_ously,-17.463787078857422
courtesy,2,cour_tesy,-9.727392196655273
courthouse,2,cour_thouse,-15.11276626586914
courtier,2,court_ier,-13.424995422363281
courting,2,cour_ting,-12.758279800415039
courtroom,2,court_room,-13.129398345947266
courts,2,cour_ts,-11.992246627807617
courtyard,2,cour_tyard,-15.481548309326172
cousin,3,c_ous_in,-10.429692268371582
cousins,3,c_ous_ins,-12.450575828552246
cove,2,c_ove,-11.48415756225586
covent,3,c_ov_ent,-16.348785400390625
coventry,3,c_ov_entry,-16.412349700927734
cover,1,cover,-9.243339538574219
coverage,2,co_verage,-11.672660827636719
coverall,2,cover_all,-16.84018325805664
covered,1,covered,-9.157405853271484
covering,2,cover_ing,-10.896949768066406
coverlet,2,cover_let,-17.257659912109375
covers,2,co_vers,-11.939704895019531
covington,3,c_oving_ton,-16.003190994262695
cow,1,cow,-7.814403533935547
coward,2,cow_ard,-9.167518615722656
cowbirds,2,cow_birds,-17.599876403808594
cowboy,2,cow_boy,-9.596477508544922
cowhand,2,cow_hand,-17.193679809570312
cowling,2,cow_ling,-14.916942596435547
cowpony,3,cow_p_ony,-17.92441177368164
cowpuncher,3,cow_pun_cher,-17.963790893554688
cows,2,c_ows,-11.240036010742188
cox,1,cox,-12.04608154296875
coy,2,c_oy,-11.880966186523438
coyness,3,c_oy_ness,-19.47698211669922
coyote,3,c_oy_ote,-13.209787368774414
coyotes,3,c_oy_otes,-15.29334831237793
cps,2,c_ps,-15.510440826416016
cr,1,cr,-6.464099884033203
crack,2,cr_ack,-8.02791976928711
cracked,2,cr_acked,-9.646926879882812
crackers,2,cr_ackers,-12.203788757324219
cracking,2,cr_acking,-9.86556625366211
crackle,2,cr_ackle,-11.282058715820312
crackling,3,cr_ack_ling,-10.268733978271484
crackpot,3,cr_ack_pot,-10.835332870483398
