sentence id,sentence,PLL score,nr. of tokens
brown.000000,Dan Morgan told himself he would forget Ann Turner.,-59.73062515258789,10
brown.000001,He was well rid of her.,-33.461952209472656,7
brown.000002,He certainly didn't want a wife who was fickle as Ann.,-56.97898483276367,14
brown.000003,"If he had married her, he'd have been asking for trouble.",-43.91741943359375,14
brown.000004,But all of this was rationalization.,-31.232219696044922,8
brown.000005,The best antidote for the bitterness and disappointment that poisoned him was hard work.,-65.53400421142578,15
brown.000006,Each day he found himself thinking less often of Ann.,-58.96075439453125,11
brown.000007,"Each day the hurt was a little duller, a little less poignant.",-63.79579162597656,15
brown.000008,He had plenty of work to do.,-22.369625091552734,8
brown.000009,"Because the summer was unusually dry and hot, the spring produced a smaller stream than in ordinary years.",-84.52181243896484,20
brown.000010,"The grass in the meadows came fast, now that the warm weather was here.",-67.02032470703125,17
brown.000011,He had no idea how much time Budd would give him.,-47.51287078857422,12
brown.000012,It could be some kind of trick Budd had thought up.,-54.39737319946289,12
brown.000013,"Morgan watched the two figures for a time, puzzled.",-53.11819076538086,11
brown.000014,"When they were closer and he saw that one was a woman, he was more puzzled than ever.",-71.60713195800781,20
brown.000015,"He cleaned his shovel, left it against the fence, picked up his Winchester, and started downstream.",-89.71007537841797,20
brown.000016,"His visitors had crawled through the south fence and were crossing the meadow, angling toward the house.",-91.45491790771484,21
brown.000017,"Reaching the house ahead of them, he waited with his Winchester in his hands.",-68.32530975341797,17
brown.000018,"She lay there, making no effort to get back on her feet.",-44.42150115966797,14
brown.000019,"Morgan hesitated, thinking that if this was a trick, it was a good one.",-52.39289093017578,17
brown.000020,He didn't think it was possible for this couple to be pretending.,-49.55754470825195,14
brown.000021,The boy licked his dry lips.,-29.49752426147461,8
brown.000022,"He asked,"" Could we have a drink""??",-53.3511848449707,10
brown.000023,Morgan jerked his head toward the front door.,-38.273189544677734,10
brown.000024,"Leaning his Winchester against the front of the house, he walked to the girl.",-68.05073547363281,17
brown.000025,She didn't move or say anything.,-27.37551498413086,8
brown.000026,Her eyes were glazed as if she didn't hear or even see him.,-51.0377311706543,16
brown.000027,She had reached a point at which she didn't even care how she looked.,-42.29730987548828,16
brown.000028,"She was amazingly light, and so relaxed in his arms that he wasn't even sure she was conscious.",-68.59654998779297,21
brown.000029,Any lingering suspicion that this was a trick Al Budd had thought up was dispelled.,-77.22222900390625,17
brown.000030,No girl would go this far to fool a man so she could kill him.,-61.8365478515625,16
brown.000031,"Besides, she had a sweet face that attracted him.",-47.851768493652344,11
