word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-12.547155380249023
abhorred,4,a_##b_##hor_##red,-13.480050086975098
abolitionist,2,abolition_##ist,-24.305947303771973
abused,1,abused,-14.163013458251953
accepted,1,accepted,-12.292520523071289
accompanied,1,accompanied,-12.377891540527344
accosted,3,a_##cco_##sted,-23.168659210205078
accountant,1,accountant,-14.548583984375
accused,1,accused,-13.174430847167969
accuser,3,a_##cc_##user,-30.68972110748291
acquitted,1,acquitted,-13.841326713562012
acrobat,4,a_##c_##ro_##bat,-15.242000579833984
activist,1,activist,-13.445992469787598
actor,1,actor,-12.783317565917969
actress,1,actress,-12.582131385803223
actuary,2,act_##uary,-17.50693988800049
address,1,address,-12.121315956115723
adjuster,2,adjust_##er,-19.116592407226562
admiral,1,admiral,-14.487468719482422
admired,1,admired,-14.239225387573242
admirer,2,admire_##r,-16.855412483215332
admonished,3,ad_##mon_##ished,-14.632894515991211
adopted,1,adopted,-13.01021957397461
adored,2,ad_##ored,-20.725255012512207
adorned,1,adorned,-13.86172866821289
adventurer,2,adventure_##r,-19.3045072555542
advisor,1,advisor,-14.04603385925293
affronted,4,a_##ff_##ron_##ted,-8.128430366516113
agent,1,agent,-12.61285400390625
aggravated,4,a_##gg_##ra_##vated,-5.620725631713867
agitated,1,agitated,-15.123973846435547
aide,1,aide,-14.978666305541992
airplane,1,airplane,-14.19922161102295
alarmed,1,alarmed,-14.837881088256836
alcohol,1,alcohol,-13.750204086303711
alcoholic,1,alcoholic,-14.565916061401367
amateur,1,amateur,-13.830008506774902
ambassador,1,ambassador,-12.943506240844727
amused,1,amused,-15.057828903198242
analyst,1,analyst,-14.856531143188477
anchorman,2,anchor_##man,-21.58247947692871
announcer,1,announcer,-14.714282035827637
annoyed,1,annoyed,-14.697543144226074
antagonized,3,ant_##agon_##ized,-10.290532112121582
anthem,1,anthem,-14.556830406188965
anthropologist,1,anthropologist,-15.071758270263672
apartment,1,apartment,-13.128210067749023
applauded,3,app_##lau_##ded,-3.111400604248047
appointment,1,appointment,-13.465106010437012
appraiser,2,app_##raiser,-21.636470794677734
apprehended,4,app_##re_##hend_##ed,-7.874794006347656
apprentice,1,apprentice,-14.32564926147461
approached,1,approached,-13.03079891204834
approved,1,approved,-12.273773193359375
archaeologist,1,archaeologist,-15.20186996459961
architect,1,architect,-13.017316818237305
archivist,2,arch_##ivist,-25.273300170898438
aristocrat,3,a_##risto_##crat,-16.26508903503418
arranged,1,arranged,-11.843689918518066
arsonist,3,a_##rson_##ist,-23.867897987365723
article,1,article,-12.854890823364258
artisan,2,art_##isan,-19.37960147857666
artist,1,artist,-12.624335289001465
assailant,3,ass_##ail_##ant,-10.283454895019531
assassin,1,assassin,-14.30678939819336
assignment,1,assignment,-13.96634578704834
assistant,1,assistant,-12.404006004333496
assisted,1,assisted,-13.674846649169922
assuaged,3,ass_##ua_##ged,-14.958237648010254
asylum,1,asylum,-13.642562866210938
ate,1,ate,-13.514504432678223
athlete,1,athlete,-13.41145133972168
attacked,1,attacked,-11.880755424499512
attacker,1,attacker,-14.593053817749023
attendant,1,attendant,-13.69753646850586
attended,1,attended,-12.609763145446777
attired,2,attire_##d,-22.66156578063965
attorney,1,attorney,-13.488633155822754
au,1,au,-12.37833023071289
audience,1,audience,-13.957836151123047
auditor,2,audit_##or,-15.467170715332031
aunt,1,aunt,-13.077293395996094
author,1,author,-12.725605964660645
autographed,3,auto_##graph_##ed,-15.699666023254395
aviator,2,a_##viator,-21.08461284637451
awed,2,awe_##d,-24.21946620941162
baby,1,baby,-11.08480167388916
bachelor,1,bachelor,-13.321672439575195
badgered,2,badge_##red,-26.56149673461914
baffled,3,b_##af_##fled,-9.99837875366211
bag,1,bag,-12.535019874572754
baguette,3,bag_##ue_##tte,-14.839125633239746
bailiff,2,bail_##iff,-21.569069862365723
baker,2,b_##aker,-22.017854690551758
ballerina,2,ball_##erina,-18.272011756896973
ballot,1,ballot,-14.266377449035645
banished,1,banished,-14.430126190185547
banker,1,banker,-14.550336837768555
banner,1,banner,-13.704044342041016
barber,2,bar_##ber,-18.1619553565979
baron,1,baron,-13.931601524353027
baroness,2,baron_##ess,-18.547722816467285
barrister,1,barrister,-14.544703483581543
basin,1,basin,-13.77705192565918
basted,3,b_##ast_##ed,-20.26977014541626
battery,1,battery,-14.42727279663086
bear,1,bear,-12.991713523864746
beat,1,beat,-12.370777130126953
beaten,1,beaten,-13.712865829467773
befriended,1,befriended,-15.322896957397461
befuddled,3,be_##fu_##ddled,-11.106962203979492
begged,1,begged,-13.87081527709961
beginner,2,begin_##ner,-23.335808753967285
begrudged,3,beg_##rudge_##d,-16.048670768737793
