word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-7.569148063659668
abhorred,3,ab_hor_red,-19.55974769592285
abolitionist,3,abol_ition_ist,-11.408453941345215
abused,2,ab_used,-8.758380889892578
accepted,2,accept_ed,-11.480208396911621
accompanied,1,accompanied,-11.465394020080566
accosted,3,acc_ost_ed,-17.144583702087402
accountant,2,account_ant,-11.432945251464844
accused,2,acc_used,-9.060797691345215
accuser,2,acc_user,-14.30683708190918
acquitted,2,acqu_itted,-15.56344985961914
acrobat,2,ac_robat,-13.022407531738281
activist,2,activ_ist,-9.359834671020508
actor,1,actor,-8.866961479187012
actress,2,act_ress,-12.102444648742676
actuary,2,act_uary,-13.624442100524902
address,1,address,-9.686359405517578
adjuster,2,adjust_er,-14.285661697387695
admiral,3,ad_mir_al,-12.086874008178711
admired,3,ad_m_ired,-10.074947357177734
admirer,3,ad_mire_r,-13.269034385681152
admonished,3,ad_mon_ished,-15.176410675048828
adopted,2,ad_opted,-9.395014762878418
adored,2,ad_ored,-14.404519081115723
adorned,2,ad_orned,-11.247042655944824
adventurer,3,ad_venture_r,-11.544685363769531
advisor,2,ad_visor,-11.810687065124512
affronted,3,aff_ront_ed,-11.81429386138916
agent,1,agent,-9.34093189239502
aggravated,3,agg_rav_ated,-10.722738265991211
agitated,2,ag_itated,-10.156682014465332
aide,2,a_ide,-13.449666500091553
airplane,2,air_plane,-12.430769920349121
alarmed,2,al_armed,-10.300374031066895
alcohol,1,alcohol,-8.999689102172852
alcoholic,2,alcohol_ic,-9.92303466796875
amateur,2,am_ateur,-10.139705657958984
ambassador,2,amb_assador,-9.13520622253418
amused,2,am_used,-9.418730735778809
analyst,2,an_alyst,-10.308879852294922
anchorman,2,anch_orman,-18.430889129638672
announcer,3,ann_oun_cer,-14.584332942962646
annoyed,3,ann_oy_ed,-10.208764553070068
antagonized,3,ant_agon_ized,-13.621968269348145
anthem,2,ant_hem,-10.333648681640625
anthropologist,2,anthrop_ologist,-14.450601577758789
apartment,2,ap_artment,-10.829492568969727
applauded,4,app_l_aud_ed,-17.243191719055176
appointment,2,app_ointment,-9.055431365966797
appraiser,3,app_ra_iser,-19.0154972076416
apprehended,3,app_rehend_ed,-8.303335189819336
apprentice,2,app_rentice,-12.66811752319336
approached,2,appro_ached,-11.933510780334473
approved,1,approved,-9.34659481048584
archaeologist,3,arch_ae_ologist,-16.705132484436035
architect,2,arch_itect,-9.640682220458984
archivist,2,arch_ivist,-13.847566604614258
aristocrat,2,arist_ocrat,-14.05565071105957
arranged,2,arr_anged,-7.816770553588867
arsonist,2,arson_ist,-16.345803260803223
article,1,article,-11.326346397399902
artisan,1,artisan,-8.92544937133789
artist,1,artist,-10.086661338806152
assailant,3,ass_ail_ant,-13.438156127929688
assassin,2,ass_assin,-10.013969421386719
assignment,2,ass_ignment,-8.91340446472168
assistant,2,ass_istant,-10.967559814453125
assisted,1,assisted,-10.816490173339844
assuaged,3,ass_u_aged,-16.91206455230713
asylum,2,as_ylum,-10.944555282592773
ate,1,ate,-8.886123657226562
athlete,2,ath_lete,-8.81706428527832
attacked,2,att_acked,-10.071722030639648
attacker,2,att_acker,-12.129173278808594
attendant,2,att_endant,-14.617635726928711
attended,2,att_ended,-12.681087493896484
attired,2,att_ired,-13.252820014953613
attorney,2,att_orney,-10.967830657958984
au,1,au,-11.094463348388672
audience,2,aud_ience,-10.171431541442871
auditor,2,aud_itor,-16.1511812210083
aunt,1,aunt,-9.515325546264648
author,1,author,-8.843583106994629
autographed,2,aut_ographed,-13.810202598571777
aviator,2,avi_ator,-17.08298110961914
awed,1,awed,-11.509201049804688
baby,1,baby,-7.3572187423706055
bachelor,2,b_achelor,-11.04597282409668
badgered,2,bad_gered,-13.249711990356445
baffled,3,b_aff_led,-10.194231986999512
bag,1,bag,-10.105887413024902
baguette,3,b_agu_ette,-16.62870693206787
bailiff,3,b_ail_iff,-16.921552658081055
baker,2,b_aker,-12.56924819946289
ballerina,3,ball_er_ina,-13.055950164794922
ballot,2,ball_ot,-11.269949913024902
banished,2,ban_ished,-8.78598403930664
banker,2,bank_er,-13.184121131896973
banner,2,ban_ner,-12.23731517791748
barber,2,bar_ber,-13.340798377990723
baron,2,bar_on,-12.950238227844238
baroness,3,bar_on_ess,-16.771822929382324
barrister,3,b_arr_ister,-13.731522560119629
basin,2,bas_in,-12.317585945129395
basted,2,b_asted,-11.650213241577148
battery,2,b_attery,-9.282102584838867
bear,1,bear,-6.761569976806641
beat,1,beat,-8.57471752166748
beaten,2,beat_en,-9.669235229492188
befriended,4,b_ef_riend_ed,-11.910882949829102
befuddled,3,b_ef_uddled,-10.365670204162598
begged,2,be_gged,-14.326153755187988
beginner,2,begin_ner,-10.842171669006348
begrudged,4,be_gr_ud_ged,-14.290715217590332
believed,2,bel_ieved,-9.872993469238281
belittled,3,bel_itt_led,-16.72352409362793
bellboy,2,bell_boy,-17.811209678649902
bemused,3,b_em_used,-16.320905685424805
benefactor,2,benef_actor,-12.363825798034668
beneficiary,2,benef_iciary,-12.605952262878418
bent,1,bent,-8.834017753601074
berated,2,ber_ated,-15.942503929138184
betrayed,3,bet_ray_ed,-12.954304695129395
beverage,3,b_ever_age,-9.86369800567627
biased,1,biased,-10.039198875427246
biker,2,b_iker,-12.74582290649414
billed,2,b_illed,-11.875072479248047
biologist,2,bi_ologist,-13.940720558166504
blackmailer,3,black_mail_er,-18.361084938049316
blamed,2,bl_amed,-10.074588775634766
blew,2,ble_w,-11.324560165405273
blonde,2,bl_onde,-8.95637321472168
blown,1,blown,-10.062934875488281
book,1,book,-8.472518920898438
bookkeeper,2,book_keeper,-13.064634323120117
bookseller,2,book_seller,-13.714126586914062
bookworm,2,book_worm,-11.150379180908203
