sentence id,sentence,PLL score,nr. of tokens
brown.000000,Dan Morgan told himself he would forget Ann Turner.,-43.241291999816895,12
brown.000001,He was well rid of her.,-15.266228675842285,9
brown.000002,He certainly didn't want a wife who was fickle as Ann.,-43.76725196838379,17
brown.000003,"If he had married her, he'd have been asking for trouble.",-14.462079048156738,17
brown.000004,But all of this was rationalization.,-18.606785774230957,10
brown.000005,The best antidote for the bitterness and disappointment that poisoned him was hard work.,-42.89229106903076,18
brown.000006,Each day he found himself thinking less often of Ann.,-18.116332054138184,13
brown.000007,"Each day the hurt was a little duller, a little less poignant.",-47.19174575805664,19
brown.000008,He had plenty of work to do.,-2.3786401748657227,10
brown.000009,"Because the summer was unusually dry and hot, the spring produced a smaller stream than in ordinary years.",-40.27565383911133,22
brown.000010,"The grass in the meadows came fast, now that the warm weather was here.",-33.933796882629395,18
brown.000011,He had no idea how much time Budd would give him.,-22.701194763183594,15
brown.000012,It could be some kind of trick Budd had thought up.,-23.661538124084473,15
brown.000013,"Morgan watched the two figures for a time, puzzled.",-26.848430633544922,13
brown.000014,"When they were closer and he saw that one was a woman, he was more puzzled than ever.",-26.696396827697754,22
brown.000015,"He cleaned his shovel, left it against the fence, picked up his Winchester, and started downstream.",-58.928958892822266,23
brown.000016,"His visitors had crawled through the south fence and were crossing the meadow, angling toward the house.",-56.29178524017334,22
brown.000017,"Reaching the house ahead of them, he waited with his Winchester in his hands.",-30.244394302368164,18
brown.000018,"She lay there, making no effort to get back on her feet.",-9.208495140075684,16
brown.000019,"Morgan hesitated, thinking that if this was a trick, it was a good one.",-20.458538055419922,19
brown.000020,He didn't think it was possible for this couple to be pretending.,-21.452558517456055,17
brown.000021,The boy licked his dry lips.,-3.0957870483398438,9
brown.000022,"He asked,"" Could we have a drink""??",-21.324504852294922,14
brown.000023,Morgan jerked his head toward the front door.,-11.236394882202148,11
brown.000024,"Leaning his Winchester against the front of the house, he walked to the girl.",-35.825958251953125,18
brown.000025,She didn't move or say anything.,-3.138516426086426,11
brown.000026,Her eyes were glazed as if she didn't hear or even see him.,-8.485377311706543,18
brown.000027,She had reached a point at which she didn't even care how she looked.,-9.808111190795898,19
brown.000028,"She was amazingly light, and so relaxed in his arms that he wasn't even sure she was conscious.",-30.099048614501953,25
brown.000029,Any lingering suspicion that this was a trick Al Budd had thought up was dispelled.,-55.22010326385498,22
brown.000030,No girl would go this far to fool a man so she could kill him.,-18.39364528656006,18
brown.000031,"Besides, she had a sweet face that attracted him.",-16.947734832763672,13
brown.000032,"They looked a good deal alike, Morgan thought.",-12.34704875946045,12
brown.000033,"Both had blonde hair and blue eyes, and there was even a faint similarity of features.",-22.585432052612305,20
brown.000034,"She drank greedily, and murmured,"" Thank you"", as he lowered her head.",-36.66736030578613,22
brown.000035,"He stood looking down at her for a moment, wondering what could have reduced her to this condition.",-7.642019271850586,22
brown.000036,The girl dropped off to sleep.,-11.747894287109375,9
brown.000037,"He brought his Winchester in from the front of the house, then faced the boy.",-33.54073143005371,19
brown.000038,Jones sighed as if relieved.,-15.5938720703125,8
brown.000039,"They might kill him in his sleep, thinking there was money in the house.",-25.720837116241455,18
brown.000040,He dismissed the possibility at once.,-9.178530216217041,9
brown.000041,The girl's thin face haunted him.,-14.05845308303833,11
brown.000042,It wasn't the face of a killer.,-9.462117195129395,12
brown.000043,He wasn't so sure about the boy.,-8.027628898620605,12
brown.000044,"He hadn't shaved for several weeks, his sparse beard giving his face a pathetic, woebegone expression.",-57.77012920379639,27
brown.000045,There was more to this than Jones had told him.,-11.501056671142578,13
brown.000046,They were running from something.,-4.878690719604492,8
brown.000047,"He'd be an idiot to let them stay he thought, but he couldn't send them on, either.",-23.685243606567383,26
brown.000048,"Sharon, she's cooked in a restaurant.",-34.403501987457275,12
brown.000049,"Morgan filled the fire box with wood again, then started supper and set the table.",-34.225865840911865,19
brown.000050,"When the meal was ready, he told Jones to wash up, and going into the front room, woke the girl.",-34.7603702545166,26
brown.000051,"He said,"" I've got some supper ready"".",-13.95849084854126,15
brown.000052,"She rubbed her eyes and stretched, then sat up, her hands going to her hair.",-15.938288688659668,20
brown.000053,This is the Rafter Aj.,-40.96435499191284,10
