word,nr. of tokens,tokens,word score
lauren,2,la_##uren,-13.205862045288086
lauro,2,la_##uro,-18.705077648162842
lautner,3,la_##ut_##ner,-14.856588363647461
lava,1,lava,-12.549789428710938
lavatory,2,lava_##tory,-4.203038215637207
lavender,2,la_##vender,-2.596099853515625
lavishing,2,lavish_##ing,-12.216203689575195
lavishly,2,lavish_##ly,-13.544672012329102
law,1,law,-5.427931308746338
lawful,2,law_##ful,-3.226705551147461
lawmaking,2,law_##making,-11.248580932617188
lawman,2,law_##man,-8.640265464782715
lawmen,2,law_##men,-9.813852787017822
lawn,1,lawn,-14.270811080932617
lawns,2,lawn_##s,-14.868796348571777
lawrence,3,law_##ren_##ce,-8.320773124694824
laws,1,laws,-7.672094345092773
lawyer,1,lawyer,-8.788911819458008
lawyers,1,lawyers,-11.68043041229248
lax,2,la_##x,-4.515195846557617
laxative,3,la_##xa_##tive,-0.17725563049316406
laxness,3,la_##x_##ness,-4.796712875366211
lay,1,lay,-10.549732208251953
layer,1,layer,-12.421867370605469
layering,2,layer_##ing,-9.41732120513916
layers,1,layers,-14.032190322875977
layette,2,lay_##ette,-24.711320877075195
laying,1,laying,-14.454505920410156
layman,2,lay_##man,-7.249108791351318
layoffs,2,lay_##offs,-8.992305755615234
layout,1,layout,-14.210359573364258
lays,1,lays,-13.473901748657227
lazy,1,lazy,-11.28228759765625
lb,1,lb,-14.167352676391602
lbs,1,lbs,-15.261224746704102
le,1,le,-12.04399299621582
lead,1,lead,-9.71501350402832
leaded,2,lead_##ed,-12.644401550292969
leader,1,leader,-9.752063751220703
leaders,1,leaders,-12.048683166503906
leadership,1,leadership,-11.143476486206055
leading,1,leading,-12.502622604370117
leads,1,leads,-12.798343658447266
leaf,1,leaf,-10.837455749511719
leafiest,2,leaf_##iest,-17.088068962097168
leaflet,2,leaf_##let,-5.87916374206543
leaflets,2,leaf_##lets,-6.67577600479126
leafmold,3,leaf_##mo_##ld,-19.00885009765625
league,1,league,-12.217557907104492
leaguers,2,league_##rs,-13.227953910827637
leagues,1,leagues,-14.26502513885498
leaked,1,leaked,-13.923871994018555
leaks,2,leak_##s,-9.559607982635498
leaky,2,leak_##y,-6.226447582244873
leale,2,le_##ale,-15.284628868103027
leamington,4,le_##ami_##ng_##ton,-26.20271396636963
lean,1,lean,-12.56552505493164
leaned,1,leaned,-14.364073753356934
leaning,1,leaning,-14.403082847595215
leans,1,leans,-16.179950714111328
leap,1,leap,-12.37727165222168
leaped,1,leaped,-14.750038146972656
leapfrog,3,leap_##f_##rog,-1.0832109451293945
leaps,2,leap_##s,-10.606700897216797
leapt,1,leapt,-14.080387115478516
lear,2,le_##ar,-16.865678787231445
learn,1,learn,-10.644400596618652
learned,1,learned,-9.394906044006348
learners,2,learn_##ers,-8.409570217132568
learning,1,learning,-10.960440635681152
learns,1,learns,-11.947404861450195
lease,1,lease,-9.962756156921387
leased,1,leased,-12.61506175994873
leases,2,lease_##s,-13.457864761352539
least,1,least,-13.70829963684082
leather,1,leather,-11.65200138092041
leathers,2,leather_##s,-14.917650699615479
leave,1,leave,-10.478917121887207
leavened,2,leave_##ned,-12.353088855743408
leaves,1,leaves,-12.696810722351074
leaving,1,leaving,-10.681021690368652
leavitt,3,le_##avi_##tt,-28.33022117614746
lecky,2,le_##cky,-14.350348949432373
leclair,3,le_##c_##lair,-20.807291984558105
lecture,1,lecture,-14.974751472473145
lecturer,1,lecturer,-15.41883659362793
lectures,1,lectures,-15.708911895751953
lecturing,3,le_##ct_##uring,-0.2259693145751953
led,1,led,-10.714797973632812
ledford,2,led_##ford,-29.724629402160645
ledge,1,ledge,-11.465944290161133
ledger,2,ledge_##r,-7.071340084075928
ledgers,2,ledge_##rs,-8.329709529876709
ledoux,2,led_##oux,-19.852009773254395
lee,2,le_##e,-8.942381858825684
leered,2,le_##ered,-11.717749118804932
leesona,3,le_##eson_##a,-21.823206901550293
leet,2,le_##et,-11.131574630737305
leeway,3,le_##ew_##ay,-0.022130966186523438
left,1,left,-10.114888191223145
lefty,2,left_##y,-11.804824352264404
leg,1,leg,-11.003368377685547
legacies,3,leg_##ac_##ies,-1.828618049621582
legacy,1,legacy,-10.722799301147461
legal,1,legal,-6.455116271972656
legality,2,legal_##ity,-7.807783126831055
legalized,2,legal_##ized,-7.637912750244141
legation,2,leg_##ation,-13.693331718444824
legations,2,leg_##ations,-14.345465660095215
legend,1,legend,-8.805301666259766
legendary,1,legendary,-9.58626937866211
legends,1,legends,-11.003889083862305
legged,1,legged,-14.584920883178711
leggings,3,leg_##ging_##s,-2.3142948150634766
legion,2,leg_##ion,-4.433476448059082
legislate,3,leg_##is_##late,-2.6814146041870117
legislated,3,leg_##is_##lated,-0.9661827087402344
legislation,1,legislation,-11.904212951660156
legislative,1,legislative,-14.690401077270508
legislators,1,legislators,-16.419389724731445
legislature,1,legislature,-15.155019760131836
legitimacy,1,legitimacy,-11.45700454711914
legitimate,1,legitimate,-7.972859859466553
legs,1,legs,-12.548954963684082
legume,2,leg_##ume,-10.883459091186523
leguminous,2,leg_##uminous,-21.989109992980957
lehmann,2,le_##hmann,-10.778958320617676
leisure,1,leisure,-14.668069839477539
leisurely,2,leisure_##ly,-8.097238540649414
leland,2,le_##land,-20.139718055725098
lemma,2,le_##mma,-13.079898357391357
lemmas,3,le_##mma_##s,-12.078445434570312
lemon,1,lemon,-11.229060173034668
lemons,2,lemon_##s,-9.672545433044434
len,2,le_##n,-15.679781913757324
lena,2,le_##na,-16.279767990112305
lend,1,lend,-11.553227424621582
lending,1,lending,-14.677040100097656
lends,2,lend_##s,-13.692181587219238
length,1,length,-14.628085136413574
lengthen,2,length_##en,-12.514862060546875
lengthened,2,length_##ened,-8.967278480529785
lengthening,2,length_##ening,-9.376547813415527
lengths,1,lengths,-16.247791290283203
lengthwise,2,length_##wise,-11.555185317993164
lengthy,1,lengthy,-13.869924545288086
lenient,3,le_##nie_##nt,-0.026140213012695312
lens,1,lens,-16.20094108581543
lenses,1,lenses,-16.997634887695312
lent,1,lent,-12.754645347595215
lentils,2,lent_##ils,-8.9745454788208
leo,2,le_##o,-10.950292110443115
leon,2,le_##on,-9.906076908111572
leona,2,le_##ona,-11.618248462677002
leonard,3,le_##ona_##rd,-14.638960838317871
leprae,3,le_##pra_##e,-18.428557872772217
lerner,2,le_##rner,-12.14770221710205
leroy,2,le_##roy,-20.56188678741455
lescaut,3,les_##ca_##ut,-15.114485263824463
lesourd,3,les_##our_##d,-25.18201971054077
less,1,less,-10.471195220947266
lessen,2,less_##en,-13.397095203399658
lessened,2,less_##ened,-8.794558048248291
lessening,2,less_##ening,-10.003491401672363
lesser,1,lesser,-12.959912300109863
lessing,2,less_##ing,-16.870577812194824
lesson,1,lesson,-11.875703811645508
lessons,1,lessons,-13.027302742004395
lest,2,les_##t,-7.594254016876221
lester,2,les_##ter,-16.673551559448242
let,1,let,-8.323871612548828
letch,2,let_##ch,-16.32798671722412
lethal,1,lethal,-8.224053382873535
lethality,2,lethal_##ity,-10.874853610992432
