word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-14.969184875488281
abhorred,3,ab_hor_red,-29.63126850128174
abolitionist,3,abol_ition_ist,-23.264981269836426
abused,2,ab_used,-19.288723945617676
accepted,2,accept_ed,-22.360553741455078
accompanied,1,accompanied,-21.565353393554688
accosted,3,acc_ost_ed,-23.581228256225586
accountant,2,account_ant,-16.105361938476562
accused,2,acc_used,-15.580940246582031
accuser,2,acc_user,-19.674428939819336
acquitted,2,acqu_itted,-27.38265323638916
acrobat,2,ac_robat,-19.15719985961914
activist,2,activ_ist,-15.28265380859375
actor,1,actor,-18.226425170898438
actress,2,act_ress,-15.629462242126465
actuary,2,act_uary,-17.997438430786133
address,1,address,-16.71729278564453
adjuster,2,adjust_er,-22.914254188537598
admiral,3,ad_mir_al,-16.002253532409668
admired,3,ad_m_ired,-20.54702854156494
admirer,3,ad_mire_r,-21.15102195739746
admonished,3,ad_mon_ished,-27.289587020874023
adopted,2,ad_opted,-13.604113578796387
adored,2,ad_ored,-22.044967651367188
adorned,2,ad_orned,-19.770828247070312
adventurer,3,ad_venture_r,-15.14978313446045
advisor,2,ad_visor,-16.72811794281006
affronted,3,aff_ront_ed,-23.581591606140137
agent,1,agent,-17.198833465576172
aggravated,3,agg_rav_ated,-20.015807151794434
agitated,2,ag_itated,-22.48421859741211
aide,2,a_ide,-16.411248207092285
airplane,2,air_plane,-19.10093593597412
alarmed,2,al_armed,-17.14369487762451
alcohol,1,alcohol,-16.220199584960938
alcoholic,2,alcohol_ic,-17.454195022583008
amateur,2,am_ateur,-15.180087089538574
ambassador,2,amb_assador,-15.207857131958008
amused,2,am_used,-14.686639785766602
analyst,2,an_alyst,-11.572949409484863
anchorman,2,anch_orman,-25.396815299987793
announcer,3,ann_oun_cer,-14.249765396118164
annoyed,3,ann_oy_ed,-18.402023315429688
antagonized,3,ant_agon_ized,-22.385043144226074
anthem,2,ant_hem,-16.483022689819336
anthropologist,2,anthrop_ologist,-19.19044303894043
apartment,2,ap_artment,-16.238265991210938
applauded,4,app_l_aud_ed,-22.400495529174805
appointment,2,app_ointment,-19.090782165527344
appraiser,3,app_ra_iser,-22.948966026306152
apprehended,3,app_rehend_ed,-18.966206550598145
apprentice,2,app_rentice,-15.92786979675293
approached,2,appro_ached,-17.738460540771484
approved,1,approved,-17.66147804260254
archaeologist,3,arch_ae_ologist,-21.562172889709473
architect,2,arch_itect,-17.248037338256836
archivist,2,arch_ivist,-19.944454193115234
aristocrat,2,arist_ocrat,-23.266719818115234
arranged,2,arr_anged,-17.906641960144043
arsonist,2,arson_ist,-23.934359550476074
article,1,article,-14.297952651977539
artisan,1,artisan,-16.038543701171875
artist,1,artist,-15.248165130615234
assailant,3,ass_ail_ant,-23.999333381652832
assassin,2,ass_assin,-16.92892837524414
assignment,2,ass_ignment,-15.835250854492188
assistant,2,ass_istant,-15.448673248291016
assisted,1,assisted,-20.331012725830078
assuaged,3,ass_u_aged,-28.424506187438965
asylum,2,as_ylum,-18.646965980529785
ate,1,ate,-16.409679412841797
athlete,2,ath_lete,-16.149386405944824
attacked,2,att_acked,-15.772562980651855
attacker,2,att_acker,-17.541778564453125
attendant,2,att_endant,-18.85249137878418
attended,2,att_ended,-16.530491828918457
attired,2,att_ired,-19.104695320129395
attorney,2,att_orney,-12.622504234313965
au,1,au,-17.711992263793945
audience,2,aud_ience,-15.55667495727539
auditor,2,aud_itor,-17.42204761505127
aunt,1,aunt,-16.76715087890625
author,1,author,-17.071744918823242
autographed,2,aut_ographed,-17.998552322387695
aviator,2,avi_ator,-21.313556671142578
awed,1,awed,-19.75472068786621
baby,1,baby,-17.581817626953125
bachelor,2,b_achelor,-16.521973609924316
badgered,2,bad_gered,-18.380693435668945
baffled,3,b_aff_led,-19.10660171508789
bag,1,bag,-19.34119415283203
baguette,3,b_agu_ette,-19.418142318725586
bailiff,3,b_ail_iff,-19.68071460723877
baker,2,b_aker,-17.413055419921875
ballerina,3,ball_er_ina,-16.819005966186523
ballot,2,ball_ot,-12.813666343688965
banished,2,ban_ished,-17.82071304321289
banker,2,bank_er,-17.556039810180664
banner,2,ban_ner,-13.543767929077148
barber,2,bar_ber,-17.693466186523438
baron,2,bar_on,-18.57132911682129
baroness,3,bar_on_ess,-25.763846397399902
barrister,3,b_arr_ister,-15.625473022460938
basin,2,bas_in,-18.38517951965332
basted,2,b_asted,-19.24638080596924
battery,2,b_attery,-14.939956665039062
bear,1,bear,-18.302181243896484
beat,1,beat,-17.103967666625977
beaten,2,beat_en,-18.268455505371094
befriended,4,b_ef_riend_ed,-21.51350498199463
befuddled,3,b_ef_uddled,-25.313676834106445
begged,2,be_gged,-18.456925868988037
beginner,2,begin_ner,-15.189866065979004
begrudged,4,be_gr_ud_ged,-30.004151821136475
believed,2,bel_ieved,-20.293015956878662
belittled,3,bel_itt_led,-24.5617618560791
bellboy,2,bell_boy,-24.572900772094727
bemused,3,b_em_used,-19.97904872894287
benefactor,2,benef_actor,-22.21335220336914
beneficiary,2,benef_iciary,-19.770662307739258
bent,1,bent,-19.524356842041016
berated,2,ber_ated,-20.770989418029785
betrayed,3,bet_ray_ed,-22.042948722839355
beverage,3,b_ever_age,-16.416359901428223
biased,1,biased,-20.244548797607422
biker,2,b_iker,-18.91359043121338
billed,2,b_illed,-19.079901695251465
biologist,2,bi_ologist,-17.533241271972656
blackmailer,3,black_mail_er,-22.64357280731201
blamed,2,bl_amed,-22.433385848999023
blew,2,ble_w,-15.817657470703125
blonde,2,bl_onde,-16.363765716552734
blown,1,blown,-17.394554138183594
book,1,book,-14.039267539978027
bookkeeper,2,book_keeper,-20.83445453643799
bookseller,2,book_seller,-15.706894874572754
bookworm,2,book_worm,-20.71268939971924
borrowed,3,bor_row_ed,-16.746520042419434
boss,1,boss,-18.10296630859375
botanist,3,bot_an_ist,-21.579375743865967
bothered,2,bot_hered,-14.910069465637207
bottle,2,bott_le,-14.878194808959961
