word,nr. of tokens,tokens,word score
enright,2,en_right,-15.194564819335938
enroll,2,en_roll,-13.173500061035156
enrolled,2,en_rolled,-15.418190002441406
enrollment,2,en_rollment,-13.753273010253906
enrollments,3,en_roll_ments,-17.041465759277344
ensemble,2,ense_mble,-11.411869049072266
ensign,2,ens_ign,-14.179100036621094
ensue,2,ens_ue,-16.04461669921875
ensued,2,ens_ued,-17.629913330078125
ensues,2,ens_ues,-16.577983856201172
ensuing,2,ens_uing,-14.906452178955078
ensure,2,ens_ure,-13.242866516113281
entail,2,ent_ail,-12.51611328125
entails,2,ent_ails,-15.426868438720703
enter,1,enter,-10.207042694091797
entered,2,ent_ered,-12.842460632324219
entering,2,ent_ering,-11.598915100097656
enterprise,2,enter_prise,-11.056133270263672
enterprises,2,enter_prises,-13.95583724975586
enterprising,2,enter_prising,-13.810775756835938
enters,2,ent_ers,-13.464767456054688
entertain,2,ent_ertain,-8.553668975830078
entertained,3,ent_ert_ained,-15.158276557922363
entertainer,3,ent_ertain_er,-11.583229541778564
entertaining,3,ent_ert_aining,-10.307960510253906
entertainment,3,ent_ertain_ment,-8.66104120016098
enthusiasm,3,ent_hus_iasm,-9.916539192199707
enthusiast,4,ent_hus_i_ast,-10.273311614990234
enthusiastic,4,ent_hus_i_astic,-9.667568683624268
enthusiastically,4,ent_hus_i_astically,-14.00855827331543
entire,2,ent_ire,-9.8125
entirely,3,ent_ire_ly,-10.92844009399414
entirety,3,ent_ire_ty,-16.938678741455078
entities,2,ent_ities,-12.034358978271484
entitle,2,ent_itle,-12.581085205078125
entitled,2,ent_itled,-10.570919036865234
entitles,2,ent_itles,-15.115653991699219
entity,1,entity,-9.65018081665039
entourage,2,ent_ourage,-11.45615005493164
entrance,2,ent_rance,-10.814804077148438
entranced,3,ent_ran_ced,-12.955055236816406
entreated,2,ent_reated,-17.608131408691406
entrenched,2,ent_renched,-13.111957550048828
entries,2,ent_ries,-12.899555206298828
entropy,2,ent_ropy,-10.443778991699219
entry,1,entry,-10.232746124267578
enumerated,3,en_umer_ated,-14.954998970031738
envelope,3,en_velop_e,-11.49538516998291
envelopes,3,en_velop_es,-16.618812084197998
envenomed,3,en_ven_omed,-18.325397491455078
enver,2,en_ver,-15.502967834472656
envied,2,env_ied,-15.323604583740234
enviously,2,en_viously,-16.8861083984375
environing,3,en_viron_ing,-19.77581024169922
environment,1,environment,-8.870433807373047
environmental,2,environment_al,-10.204222679138184
environments,2,en_vironments,-14.763504028320312
envisioned,3,en_vision_ed,-16.82670783996582
envy,2,en_vy,-10.35855484008789
enzymatic,3,enz_ym_atic,-12.892491459846497
enzyme,2,en_zyme,-12.9239501953125
enzymes,2,enz_ymes,-13.158523559570312
ephesus,3,ep_hes_us,-15.099891662597656
epic,2,ep_ic,-8.422351837158203
epics,2,ep_ics,-13.04958724975586
epicurus,3,ep_ic_urus,-15.655650615692139
epicycles,3,ep_icy_cles,-13.466741561889648
epidemic,3,ep_id_emic,-10.475976943969727
epigraph,2,ep_igraph,-11.560802459716797
epileptic,3,ep_ile_ptic,-11.080244541168213
epilogue,3,ep_il_ogue,-11.672492980957031
epiphany,2,ep_iphany,-10.35684585571289
epiphysis,3,ep_iph_ysis,-15.09295654296875
episcopal,2,ep_iscopal,-13.648387908935547
episode,1,episode,-10.542438507080078
episodes,2,ep_isodes,-12.02254867553711
epistemology,4,ep_ist_em_ology,-10.616296291351318
epistles,3,ep_ist_les,-15.601583480834961
epitaph,3,ep_it_aph,-11.290674209594727
epithets,3,ep_ithe_ts,-13.764381408691406
epitomized,4,ep_it_om_ized,-16.016340732574463
epoch,2,ep_och,-11.242683410644531
