word,nr. of tokens,tokens,word score
enright,2,en_##right,-14.633519172668457
enroll,2,en_##roll,-13.046738624572754
enrolled,1,enrolled,-13.427728652954102
enrollment,1,enrollment,-17.05829620361328
enrollments,2,enrollment_##s,-19.216609001159668
ensemble,1,ensemble,-13.881769180297852
ensign,2,en_##sign,-5.329407691955566
ensue,3,en_##su_##e,-5.040200233459473
ensued,1,ensued,-14.207054138183594
ensues,3,en_##su_##es,-3.632101058959961
ensuing,1,ensuing,-14.533843040466309
ensure,1,ensure,-9.916000366210938
entail,2,en_##tail,-10.406015396118164
entails,2,en_##tails,-11.726102828979492
enter,1,enter,-11.602160453796387
entered,1,entered,-12.625954627990723
entering,1,entering,-13.201299667358398
enterprise,1,enterprise,-11.729585647583008
enterprises,1,enterprises,-15.612378120422363
enterprising,3,enter_##p_##rising,-0.02989959716796875
enters,1,enters,-14.520879745483398
entertain,1,entertain,-13.260372161865234
entertained,1,entertained,-13.208230972290039
entertainer,2,entertain_##er,-8.723786354064941
entertaining,1,entertaining,-13.417266845703125
entertainment,1,entertainment,-11.782976150512695
enthusiasm,1,enthusiasm,-13.099491119384766
enthusiast,4,en_##thus_##ias_##t,-0.42874908447265625
enthusiastic,1,enthusiastic,-11.036334991455078
enthusiastically,2,enthusiastic_##ally,-6.209582328796387
entire,1,entire,-9.924878120422363
entirely,1,entirely,-10.858710289001465
entirety,1,entirety,-13.943151473999023
entities,1,entities,-12.653360366821289
entitle,3,en_##ti_##tle,-3.294711112976074
entitled,1,entitled,-10.49053955078125
entitles,3,en_##ti_##tles,-6.83970832824707
entity,1,entity,-10.580771446228027
entourage,3,en_##tour_##age,-0.06396961212158203
entrance,1,entrance,-13.056991577148438
entranced,2,entrance_##d,-7.407100677490234
entreated,3,en_##tre_##ated,-7.273071765899658
entrenched,3,en_##tre_##nched,-1.7962408065795898
entries,1,entries,-13.784725189208984
entropy,2,en_##tropy,-2.5595197677612305
entry,1,entry,-11.246466636657715
enumerated,3,en_##ume_##rated,-0.6569042205810547
envelope,1,envelope,-12.409815788269043
envelopes,2,envelope_##s,-10.884316444396973
envenomed,4,en_##ven_##ome_##d,-0.6554164886474609
enver,2,en_##ver,-13.834750652313232
envied,2,en_##vied,-6.011014938354492
enviously,3,en_##vious_##ly,-5.86672306060791
environing,3,en_##vir_##oning,-5.600015640258789
environment,1,environment,-12.150440216064453
environmental,1,environmental,-12.489726066589355
environments,1,environments,-14.69239616394043
envisioned,1,envisioned,-16.436189651489258
envy,1,envy,-14.48224925994873
enzymatic,3,en_##zy_##matic,-0.4453287124633789
enzyme,1,enzyme,-13.974987030029297
enzymes,1,enzymes,-15.719303131103516
ephesus,3,e_##phe_##sus,-5.865532875061035
epic,1,epic,-10.088875770568848
epics,2,epic_##s,-13.296355724334717
epicurus,2,epic_##urus,-14.515205383300781
epicycles,3,epic_##ycle_##s,-9.031303882598877
epidemic,1,epidemic,-12.331007957458496
epigraph,3,e_##pi_##graph,-2.6183958053588867
epileptic,3,e_##pile_##ptic,-0.5030136108398438
epilogue,3,e_##pi_##logue,-1.4515609741210938
epiphany,4,e_##pi_##pha_##ny,-0.3640937805175781
epiphysis,4,e_##pi_##phy_##sis,-1.3902816772460938
episcopal,1,episcopal,-13.92817211151123
episode,1,episode,-13.235475540161133
