word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-10.326457023620605
abhorred,4,a_##b_##hor_##red,-3.4364051818847656
abolitionist,2,abolition_##ist,-4.931607246398926
abused,1,abused,-12.824850082397461
accepted,1,accepted,-7.681039810180664
accompanied,1,accompanied,-13.643889427185059
accosted,3,a_##cco_##sted,-3.4753942489624023
accountant,1,accountant,-12.324872970581055
accused,1,accused,-12.617366790771484
accuser,3,a_##cc_##user,-1.3989105224609375
acquitted,1,acquitted,-10.195540428161621
acrobat,4,a_##c_##ro_##bat,-0.10017013549804688
activist,1,activist,-12.474014282226562
actor,1,actor,-12.409002304077148
actress,1,actress,-13.000497817993164
actuary,2,act_##uary,-5.902023792266846
address,1,address,-14.074803352355957
adjuster,2,adjust_##er,-12.928406715393066
admiral,1,admiral,-11.101195335388184
admired,1,admired,-12.185750007629395
admirer,2,admire_##r,-6.041606903076172
admonished,3,ad_##mon_##ished,-2.7696523666381836
adopted,1,adopted,-9.129725456237793
adored,2,ad_##ored,-4.083724021911621
adorned,1,adorned,-14.502195358276367
adventurer,2,adventure_##r,-6.091289520263672
advisor,1,advisor,-12.277642250061035
affronted,4,a_##ff_##ron_##ted,-0.9812679290771484
agent,1,agent,-9.584738731384277
aggravated,4,a_##gg_##ra_##vated,-0.11241531372070312
agitated,1,agitated,-15.531883239746094
aide,1,aide,-14.111529350280762
airplane,1,airplane,-13.856063842773438
alarmed,1,alarmed,-13.943967819213867
alcohol,1,alcohol,-12.422873497009277
alcoholic,1,alcoholic,-13.895874977111816
amateur,1,amateur,-10.198217391967773
ambassador,1,ambassador,-10.824166297912598
amused,1,amused,-12.877776145935059
analyst,1,analyst,-13.845067977905273
anchorman,2,anchor_##man,-11.161259651184082
announcer,1,announcer,-15.253992080688477
annoyed,1,annoyed,-13.530399322509766
antagonized,3,ant_##agon_##ized,-2.521411895751953
anthem,1,anthem,-14.87460708618164
anthropologist,1,anthropologist,-15.409794807434082
apartment,1,apartment,-12.618072509765625
applauded,3,app_##lau_##ded,-0.4997844696044922
appointment,1,appointment,-12.251447677612305
