word,nr. of tokens,tokens,word score
cosmic,1,cosmic,-14.788568496704102
cosmical,2,cosmic_##al,-23.92215919494629
cosmology,3,co_##smo_##logy,-12.63193130493164
cosmopolitan,2,co_##smopolitan,-23.518417358398438
cosmopolitanism,3,co_##smopolitan_##ism,-19.069150924682617
cosmos,2,co_##smos,-22.660840034484863
cosponsors,4,co_##sp_##ons_##ors,-8.405400276184082
cossack,3,co_##ssa_##ck,-19.693214416503906
cossacks,3,co_##ssa_##cks,-21.38106632232666
cost,1,cost,-12.290324211120605
costaggini,3,costa_##gg_##ini,-31.311110496520996
costing,1,costing,-15.022637367248535
costive,2,cost_##ive,-32.601797103881836
costlier,2,cost_##lier,-22.841186046600342
costly,1,costly,-14.935325622558594
costs,1,costs,-13.21806526184082
costume,1,costume,-13.795693397521973
costumes,1,costumes,-14.525218963623047
cotillion,3,co_##til_##lion,-16.72919750213623
cottage,1,cottage,-13.86699390411377
cottages,1,cottages,-14.08765983581543
cotten,2,co_##tten,-28.23588991165161
cotter,2,co_##tter,-22.245671272277832
cotton,1,cotton,-13.44078254699707
couch,1,couch,-13.014467239379883
couched,2,couch_##ed,-24.1863956451416
couches,2,couch_##es,-21.357662200927734
cough,1,cough,-13.280540466308594
coughing,1,coughing,-14.434581756591797
coughlin,2,cough_##lin,-34.93684196472168
could,1,could,-9.093297958374023
coulomb,3,co_##ulo_##mb,-24.271645545959473
council,1,council,-12.464122772216797
councilwoman,2,council_##woman,-18.832618713378906
counsel,1,counsel,-14.012853622436523
counseling,1,counseling,-14.354629516601562
counselor,1,counselor,-13.97432804107666
counselors,2,counselor_##s,-23.471896171569824
count,1,count,-12.814730644226074
counted,1,counted,-13.125434875488281
countenance,3,count_##enan_##ce,-3.5730628967285156
counter,1,counter,-11.548974990844727
counteracted,3,counter_##act_##ed,-22.22518539428711
counterattack,3,counter_##att_##ack,-8.941532135009766
counterchallenge,4,counter_##chal_##len_##ge,-14.455902099609375
counterpart,1,counterpart,-15.265853881835938
counterparts,1,counterparts,-13.846780776977539
counterpoint,2,counter_##point,-20.727947235107422
counterproposal,5,counter_##p_##rop_##osa_##l,-18.01470184326172
counters,1,counters,-15.160234451293945
counties,1,counties,-14.072174072265625
counting,1,counting,-13.839275360107422
countless,1,countless,-14.071589469909668
countries,1,countries,-13.064002990722656
country,1,country,-11.087450981140137
countrymen,2,country_##men,-23.401487350463867
countryside,1,countryside,-14.603205680847168
countrywide,2,country_##wide,-19.75088405609131
counts,1,counts,-13.230707168579102
county,1,county,-12.869453430175781
coup,1,coup,-12.998437881469727
coupe,2,coup_##e,-20.913296699523926
couperin,3,coup_##eri_##n,-33.45919942855835
couple,1,couple,-11.710602760314941
coupled,1,coupled,-14.716731071472168
coupler,2,couple_##r,-20.875850677490234
couplers,2,couple_##rs,-19.753905296325684
couples,1,couples,-13.912715911865234
coupling,1,coupling,-15.397805213928223
coupon,2,coup_##on,-24.749385833740234
courage,1,courage,-12.96660327911377
courageous,2,courage_##ous,-18.611616134643555
courageously,2,courage_##ously,-22.921871185302734
courcy,3,co_##ur_##cy,-30.46882915496826
course,1,course,-12.001931190490723
courses,1,courses,-13.237359046936035
court,1,court,-13.188970565795898
courteous,2,court_##eous,-20.334193229675293
courteously,3,court_##eous_##ly,-16.218621253967285
courtesy,1,courtesy,-14.405197143554688
courthouse,1,courthouse,-14.198617935180664
courtier,2,court_##ier,-22.47372055053711
courting,2,court_##ing,-22.90514850616455
courtroom,1,courtroom,-14.348028182983398
courts,1,courts,-13.902576446533203
courtyard,1,courtyard,-13.545284271240234
cousin,1,cousin,-13.107017517089844
cousins,1,cousins,-14.823972702026367
cove,2,co_##ve,-22.49484157562256
covent,2,co_##vent,-29.66813373565674
coventry,3,co_##vent_##ry,-36.18645191192627
cover,1,cover,-10.913285255432129
coverage,1,coverage,-12.941239356994629
coverall,2,cover_##all,-24.67420768737793
covered,1,covered,-10.975656509399414
covering,1,covering,-13.00871753692627
coverlet,2,cover_##let,-17.333861351013184
covers,1,covers,-11.38406753540039
covington,2,co_##vington,-25.761972427368164
cow,1,cow,-13.138299942016602
coward,1,coward,-13.874874114990234
cowbirds,2,cow_##birds,-19.77998924255371
cowboy,1,cowboy,-14.098235130310059
cowhand,2,cow_##hand,-26.805258750915527
cowling,2,cow_##ling,-22.65743923187256
cowpony,3,cow_##po_##ny,-19.37129306793213
cowpuncher,4,cow_##pu_##nch_##er,-17.30567741394043
cows,1,cows,-13.976043701171875
cox,2,co_##x,-23.297825813293457
coy,2,co_##y,-20.369795322418213
coyness,3,co_##yne_##ss,-19.160598754882812
coyote,2,co_##yote,-23.1781644821167
coyotes,2,co_##yotes,-21.28468894958496
cps,2,c_##ps,-28.59515380859375
cr,2,c_##r,-18.163815021514893
crack,1,crack,-11.753535270690918
cracked,1,cracked,-12.882369995117188
crackers,2,crack_##ers,-22.431066513061523
cracking,1,cracking,-13.783796310424805
crackle,2,crack_##le,-21.611504554748535
crackling,2,crack_##ling,-22.964059829711914
crackpot,2,crack_##pot,-22.814475536346436
crackpots,3,crack_##pot_##s,-19.38784646987915
cradle,1,cradle,-15.451810836791992
cradled,1,cradled,-14.568735122680664
craft,1,craft,-14.124968528747559
crafts,1,crafts,-15.107399940490723
craftsmanship,2,crafts_##manship,-15.960897445678711
craftsmen,2,crafts_##men,-24.642144203186035
crafty,2,craft_##y,-19.990221977233887
craig,3,c_##rai_##g,-23.599782943725586
crammed,3,c_##ram_##med,-15.613215446472168
cramp,3,c_##ram_##p,-13.277979373931885
cramps,3,c_##ram_##ps,-13.654112815856934
crane,1,crane,-13.203237533569336
cranelike,2,crane_##like,-23.52213478088379
cranston,3,c_##ran_##ston,-23.27523899078369
crap,1,crap,-12.350140571594238
crash,1,crash,-12.16876220703125
crashed,1,crashed,-12.430840492248535
crashing,1,crashing,-13.376617431640625
crassest,3,c_##rass_##est,-26.40629243850708
crater,1,crater,-12.383845329284668
cratered,2,crater_##ed,-24.99814224243164
