sentence id,sentence,PLL score,nr. of tokens
brown.000000,Dan Morgan told himself he would forget Ann Turner.,-43.241286277770996,12
brown.000001,He was well rid of her.,-15.266242027282715,9
brown.000002,He certainly didn't want a wife who was fickle as Ann.,-28.450797080993652,17
brown.000003,"If he had married her, he'd have been asking for trouble.",-14.462081909179688,17
brown.000004,But all of this was rationalization.,-9.66044807434082,10
brown.000005,The best antidote for the bitterness and disappointment that poisoned him was hard work.,-29.086084365844727,18
brown.000006,Each day he found himself thinking less often of Ann.,-18.116334915161133,13
brown.000007,"Each day the hurt was a little duller, a little less poignant.",-18.28175926208496,19
brown.000008,He had plenty of work to do.,-2.3786373138427734,10
brown.000009,"Because the summer was unusually dry and hot, the spring produced a smaller stream than in ordinary years.",-40.27565097808838,22
brown.000010,"The grass in the meadows came fast, now that the warm weather was here.",-33.933796882629395,18
brown.000011,He had no idea how much time Budd would give him.,-16.078997135162354,15
brown.000012,It could be some kind of trick Budd had thought up.,-18.13746929168701,15
brown.000013,"Morgan watched the two figures for a time, puzzled.",-26.848424911499023,13
brown.000014,"When they were closer and he saw that one was a woman, he was more puzzled than ever.",-26.69637680053711,22
brown.000015,"He cleaned his shovel, left it against the fence, picked up his Winchester, and started downstream.",-46.26655101776123,23
brown.000016,"His visitors had crawled through the south fence and were crossing the meadow, angling toward the house.",-45.208560943603516,22
brown.000017,"Reaching the house ahead of them, he waited with his Winchester in his hands.",-30.2443790435791,18
brown.000018,"She lay there, making no effort to get back on her feet.",-9.20850658416748,16
brown.000019,"Morgan hesitated, thinking that if this was a trick, it was a good one.",-20.45852565765381,19
brown.000020,He didn't think it was possible for this couple to be pretending.,-21.452561378479004,17
brown.000021,The boy licked his dry lips.,-3.0957860946655273,9
brown.000022,"He asked,"" Could we have a drink""??",-21.324509143829346,14
brown.000023,Morgan jerked his head toward the front door.,-11.236395359039307,11
brown.000024,"Leaning his Winchester against the front of the house, he walked to the girl.",-35.825955390930176,18
brown.000025,She didn't move or say anything.,-3.1385183334350586,11
brown.000026,Her eyes were glazed as if she didn't hear or even see him.,-8.485374450683594,18
brown.000027,She had reached a point at which she didn't even care how she looked.,-9.808120727539062,19
brown.000028,"She was amazingly light, and so relaxed in his arms that he wasn't even sure she was conscious.",-21.430827140808105,25
brown.000029,Any lingering suspicion that this was a trick Al Budd had thought up was dispelled.,-37.13811683654785,22
brown.000030,No girl would go this far to fool a man so she could kill him.,-18.393640995025635,18
brown.000031,"Besides, she had a sweet face that attracted him.",-16.947734832763672,13
brown.000032,"They looked a good deal alike, Morgan thought.",-12.347034454345703,12
brown.000033,"Both had blonde hair and blue eyes, and there was even a faint similarity of features.",-22.58543586730957,20
brown.000034,"She drank greedily, and murmured,"" Thank you"", as he lowered her head.",-19.875995635986328,22
brown.000035,"He stood looking down at her for a moment, wondering what could have reduced her to this condition.",-7.642035484313965,22
brown.000036,The girl dropped off to sleep.,-11.747888565063477,9
brown.000037,"He brought his Winchester in from the front of the house, then faced the boy.",-33.54072666168213,19
brown.000038,Jones sighed as if relieved.,-15.593875885009766,8
brown.000039,"They might kill him in his sleep, thinking there was money in the house.",-25.72084951400757,18
brown.000040,He dismissed the possibility at once.,-9.178543090820312,9
brown.000041,The girl's thin face haunted him.,-14.058449745178223,11
brown.000042,It wasn't the face of a killer.,-9.46211051940918,12
brown.000043,He wasn't so sure about the boy.,-8.027634620666504,12
brown.000044,"He hadn't shaved for several weeks, his sparse beard giving his face a pathetic, woebegone expression.",-25.80320167541504,27
brown.000045,There was more to this than Jones had told him.,-11.501062393188477,13
brown.000046,They were running from something.,-4.878688812255859,8
brown.000047,"He'd be an idiot to let them stay he thought, but he couldn't send them on, either.",-23.685250282287598,26
brown.000048,"Sharon, she's cooked in a restaurant.",-34.40350914001465,12
brown.000049,"Morgan filled the fire box with wood again, then started supper and set the table.",-34.22585582733154,19
brown.000050,"When the meal was ready, he told Jones to wash up, and going into the front room, woke the girl.",-34.76036071777344,26
brown.000051,"He said,"" I've got some supper ready"".",-13.95849323272705,15
brown.000052,"She rubbed her eyes and stretched, then sat up, her hands going to her hair.",-15.9382905960083,20
brown.000053,This is the Rafter Aj.,-29.465904235839844,10
brown.000054,"You fell down in front of the house, and I carried you in.",-18.144521713256836,17
brown.000055,"She stared at him, her eyes wide as she thought about what he had said.",-4.047794342041016,19
brown.000056,"She got to her feet, staggered, and almost fell.",-7.333488464355469,14
brown.000057,He caught her by an arm and helped her into the kitchen.,-20.905282020568848,15
brown.000058,"She sat down at the table, shaking her head.",-3.348179817199707,13
brown.000059,He told himself he had never seen two people eat so much.,-13.347180366516113,15
brown.000060,"When they were finally satisfied, Jones said,"" I think he's going to give us work"".",-32.96701717376709,24
brown.000061,The grateful way she looked at Morgan made him ashamed of himself.,-22.203897953033447,15
brown.000062,"When he saw the expression in her eyes, he knew he couldn't send them on.",-24.421316146850586,21
brown.000063,"She said,"" I guess the Lord looks out for fools, drunkards, and innocents"".",-24.21292734146118,24
brown.000064,"She helped him with the dishes, then he brought more water in from the spring before it got dark.",-37.557817459106445,23
brown.000065,He carried the tub from the back of the house where it hung from a nail in the wall.,-29.972625732421875,22
brown.000066,"Your feet are in bad shape, Mrs. Jones.",-12.292631149291992,13
brown.000067,"He nodded and, going into the bedroom, brought a needle, thread, and scissors.",-13.28580093383789,22
brown.000068,"He said:"" I'm going to bed"".",-6.654894828796387,14
brown.000069,He nodded at the door in front of him.,-11.87387990951538,12
brown.000070,"Jones followed him into the front room, closing the door behind him.",-18.573784828186035,16
brown.000071,We haven't slept together since we started.,-6.873655319213867,12
brown.000072,"They were a pair of lost, whipped kids, Morgan thought as he went to bed.",-41.1690149307251,20
brown.000073,Gavin sank down again into his chair and began to rock.,-21.92919397354126,14
brown.000074,It was the only thing in his life for which he felt guilt.,-9.680216789245605,16
brown.000075,Clayton tried to call back the face of the man he had known.,-27.507115364074707,16
brown.000076,Against that other man he could rally his anger.,-29.004484176635742,12
brown.000077,Against this bent man in the chair he was powerless.,-32.5261869430542,14
brown.000078,Gavin's lips moved so that Clayton had to stoop to catch the words.,-29.146706104278564,20
brown.000079,"Just a half-breed'pache, never said much, never meant anythin to me, but he stuck with me.",-52.773051261901855,28
brown.000080,"He got into a fight with Tom English, your brother's son.",-32.96180534362793,17
brown.000081,"It was a fair fight, the boy provoked it -- Big Charlie told me so.",-40.855831146240234,20
brown.000082,"They killed Big Charlie, dumped his body in my rose garden two nights ago.",-30.355603218078613,18
brown.000083,"My men, they all left me.",-20.47688102722168,10
brown.000084,"I didn't understand why, Clay.",-22.802200317382812,11
brown.000085,They just all cleared out.,-22.341632843017578,8
brown.000086,"He wiped his lips with a sleeve, then stared at Clayton in a childish kind of wonder.",-43.91089630126953,22
brown.000087,"Clayton choked, shook his head, murmuring,"" No"".",-31.20222759246826,16
brown.000088,The old man beckoned with one finger and Clayton went forward to him.,-29.456504821777344,17
brown.000089,Gavin slipped his arms around his chest and hugged him fiercely.,-27.10105609893799,14
brown.000090,I saw you driftin away -- but I tried.,-34.92018365859985,14
brown.000091,And you wanted no part of me when I had so much to give.,-17.370634078979492,17
brown.000092,Now there's nothin left of me.,-17.321929931640625,12
brown.000093,"Laurel is gone, my men are gone, Ed is dead -- and you come to me, to help me.",-41.36672306060791,26
brown.000094,"God in Heaven, I can't refuse you now.",-14.475944519042969,14
brown.000095,That would mock me too much!!,-22.532959938049316,10
brown.000096,Clayton freed himself from the embrace and stepped back.,-19.76243495941162,12
brown.000097,The eyes followed him fearfully.,-19.722341060638428,9
brown.000098,I'll saddle the horses and bring them round.,-10.228699684143066,13
brown.000099,He burst from the hot confinement of the room into the cold night air.,-29.598341941833496,17
brown.000100,When he had finished he led him and the mare to the porch.,-25.76323890686035,16
brown.000101,"The stallion had smelled the mare coming into heat and began to paw the turf, shaking his head.",-39.42726230621338,23
brown.000102,Clayton looped the reins in a knot over the veranda post and patted the warm flesh of his neck.,-38.55539894104004,25
brown.000103,The mare had backed away.,-15.857332229614258,8
brown.000104,"Gavin stood on the porch, a thin figure.",-24.30504608154297,12
brown.000105,Clayton called to him and he came slowly down the steps.,-31.61818790435791,14
brown.000106,There's someone there I have to see.,-9.845531463623047,12
brown.000107,We may take her with us -- to California.,-18.235378742218018,13
brown.000108,"I don't know yet, it's crazy.",-13.57016372680664,14
