word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-12.547154426574707
abhorred,4,a_##b_##hor_##red,-13.480024337768555
abolitionist,2,abolition_##ist,-24.305943489074707
abused,1,abused,-14.163012504577637
accepted,1,accepted,-12.292518615722656
accompanied,1,accompanied,-12.37789249420166
accosted,3,a_##cco_##sted,-23.16865062713623
accountant,1,accountant,-14.548582077026367
accused,1,accused,-13.174432754516602
accuser,3,a_##cc_##user,-30.68972682952881
acquitted,1,acquitted,-13.841323852539062
acrobat,4,a_##c_##ro_##bat,-15.242008209228516
activist,1,activist,-13.445990562438965
actor,1,actor,-12.783315658569336
actress,1,actress,-12.58212947845459
actuary,2,act_##uary,-17.506948471069336
address,1,address,-12.121315002441406
adjuster,2,adjust_##er,-19.11659526824951
admiral,1,admiral,-14.487467765808105
admired,1,admired,-14.239224433898926
admirer,2,admire_##r,-16.855414390563965
admonished,3,ad_##mon_##ished,-14.632877349853516
adopted,1,adopted,-13.010218620300293
adored,2,ad_##ored,-20.725245475769043
adorned,1,adorned,-13.86172866821289
adventurer,2,adventure_##r,-19.30450439453125
advisor,1,advisor,-14.046029090881348
affronted,4,a_##ff_##ron_##ted,-8.12844467163086
agent,1,agent,-12.612852096557617
aggravated,4,a_##gg_##ra_##vated,-5.620725631713867
agitated,1,agitated,-15.123973846435547
aide,1,aide,-14.97866439819336
airplane,1,airplane,-14.199220657348633
alarmed,1,alarmed,-14.837882041931152
alcohol,1,alcohol,-13.750203132629395
alcoholic,1,alcoholic,-14.565917015075684
amateur,1,amateur,-13.830005645751953
ambassador,1,ambassador,-12.943504333496094
amused,1,amused,-15.057826042175293
analyst,1,analyst,-14.856527328491211
anchorman,2,anchor_##man,-21.582486152648926
announcer,1,announcer,-14.714279174804688
annoyed,1,annoyed,-14.697543144226074
antagonized,3,ant_##agon_##ized,-10.290523529052734
anthem,1,anthem,-14.556829452514648
anthropologist,1,anthropologist,-15.071756362915039
apartment,1,apartment,-13.128206253051758
applauded,3,app_##lau_##ded,-3.111398696899414
appointment,1,appointment,-13.465103149414062
appraiser,2,app_##raiser,-21.63646697998047
apprehended,4,app_##re_##hend_##ed,-7.874786853790283
apprentice,1,apprentice,-14.325648307800293
approached,1,approached,-13.03079605102539
approved,1,approved,-12.273772239685059
archaeologist,1,archaeologist,-15.201868057250977
architect,1,architect,-13.017315864562988
archivist,2,arch_##ivist,-25.273310661315918
aristocrat,3,a_##risto_##crat,-16.265084266662598
arranged,1,arranged,-11.843688011169434
arsonist,3,a_##rson_##ist,-23.867889404296875
article,1,article,-12.854888916015625
artisan,2,art_##isan,-19.37960720062256
artist,1,artist,-12.624333381652832
assailant,3,ass_##ail_##ant,-10.283454895019531
assassin,1,assassin,-14.306787490844727
assignment,1,assignment,-13.96634292602539
assistant,1,assistant,-12.40400505065918
assisted,1,assisted,-13.674844741821289
