word,nr. of tokens,tokens,word score
oas,2,o_##as,-15.925502300262451
oases,2,o_##ases,-15.794675827026367
oath,1,oath,-9.610296249389648
oaths,2,oath_##s,-12.388519287109375
oats,2,o_##ats,-14.990777015686035
obedience,2,o_##bedience,-11.247750282287598
oberlin,3,o_##ber_##lin,-22.385842323303223
obesity,2,o_##besity,-14.91297435760498
obey,1,obey,-7.79028844833374
obeyed,1,obeyed,-9.232547760009766
obeying,2,obey_##ing,-13.996746063232422
obeys,2,obey_##s,-17.586105346679688
object,1,object,-11.654500007629395
objected,1,objected,-15.267248153686523
objection,1,objection,-13.448575019836426
objections,1,objections,-13.782649993896484
objective,1,objective,-10.062891006469727
objectives,1,objectives,-13.622957229614258
objects,1,objects,-12.212443351745605
obligated,4,o_##b_##liga_##ted,-18.766497135162354
obligation,1,obligation,-10.64586067199707
obligations,1,obligations,-12.625024795532227
obliged,1,obliged,-11.479484558105469
obligingly,5,o_##b_##li_##ging_##ly,-16.98477268218994
obliteration,4,o_##b_##lite_##ration,-20.346028327941895
oblong,3,o_##b_##long,-16.26776123046875
obnoxious,4,o_##b_##no_##xious,-22.33421277999878
obscenities,5,o_##bs_##ce_##ni_##ties,-34.159146785736084
obscure,1,obscure,-12.11296272277832
obscured,1,obscured,-15.09286117553711
obscurity,4,o_##bs_##cu_##rity,-20.82747745513916
observable,4,o_##bs_##er_##vable,-26.753381729125977
observance,4,o_##bs_##er_##vance,-28.492709159851074
observant,4,o_##bs_##er_##vant,-23.481748580932617
observation,1,observation,-10.765198707580566
observational,2,observation_##al,-11.457491874694824
observations,1,observations,-14.038493156433105
observatory,1,observatory,-16.229415893554688
observe,1,observe,-11.27430534362793
observed,1,observed,-11.665107727050781
observer,1,observer,-13.480037689208984
observers,1,observers,-14.5025634765625
observes,1,observes,-15.255020141601562
observing,1,observing,-13.855170249938965
obsessed,1,obsessed,-11.089722633361816
obsesses,4,o_##bs_##ess_##es,-28.581907272338867
obsession,1,obsession,-11.539502143859863
obsessions,2,obsession_##s,-13.981918334960938
obsolescent,4,o_##bs_##ole_##scent,-25.994688034057617
obsolete,1,obsolete,-11.104592323303223
obsoleting,4,o_##bs_##ole_##ting,-34.28969478607178
obstacle,1,obstacle,-13.451528549194336
obstacles,1,obstacles,-13.204971313476562
obstruct,3,o_##bs_##truct,-22.184748649597168
obstructed,4,o_##bs_##truct_##ed,-21.452624320983887
obstructionist,4,o_##bs_##truction_##ist,-19.110719680786133
obtain,1,obtain,-11.097429275512695
obtainable,2,obtain_##able,-11.459928512573242
obtained,1,obtained,-9.627155303955078
obtaining,1,obtaining,-13.273624420166016
obtrudes,4,o_##bt_##rud_##es,-33.68286752700806
obverse,3,o_##b_##verse,-16.260202407836914
obvious,1,obvious,-9.194666862487793
obviously,1,obviously,-10.5286865234375
occasion,1,occasion,-13.270525932312012
occasional,1,occasional,-12.530132293701172
occasionally,1,occasionally,-12.195720672607422
occasions,1,occasions,-15.184075355529785
occipital,4,o_##cci_##pit_##al,-21.939620971679688
occlusion,3,o_##cc_##lusion,-18.769962310791016
occupant,4,o_##cc_##up_##ant,-20.114717483520508
occupants,1,occupants,-14.198423385620117
occupation,1,occupation,-11.887720108032227
occupational,1,occupational,-14.999526977539062
occupied,1,occupied,-11.518899917602539
occupies,1,occupies,-15.728209495544434
occupy,1,occupy,-13.876202583312988
occupying,1,occupying,-14.992311477661133
occur,1,occur,-12.96178913116455
occurred,1,occurred,-13.968202590942383
occurrence,1,occurrence,-13.677932739257812
occurrences,2,occurrence_##s,-13.656940460205078
occurring,1,occurring,-13.772415161132812
occurs,1,occurs,-13.316339492797852
ocean,1,ocean,-10.905281066894531
oceania,2,ocean_##ia,-17.789103031158447
oceanographic,2,ocean_##ographic,-19.133502960205078
oceanography,2,ocean_##ography,-16.904350757598877
oceanside,2,oceans_##ide,-15.939857482910156
ocelot,3,o_##cel_##ot,-17.349387168884277
ochre,3,o_##ch_##re,-16.11723566055298
octagonal,1,octagonal,-14.156548500061035
octavia,3,o_##ct_##avia,-21.70849370956421
octet,3,o_##ct_##et,-20.1558895111084
octillion,4,o_##ct_##ill_##ion,-24.408334732055664
october,4,o_##ct_##obe_##r,-21.067692756652832
octoroon,3,o_##ctor_##oon,-21.599945545196533
odd,1,odd,-11.451457977294922
oddly,1,oddly,-14.778152465820312
odds,1,odds,-11.55159854888916
oder,2,o_##der,-15.373385429382324
odilo,3,o_##di_##lo,-21.952747344970703
odious,2,o_##dious,-12.528779983520508
odom,2,o_##dom,-16.824935913085938
odor,1,odor,-15.843720436096191
odors,2,odor_##s,-16.89382553100586
odyssey,4,o_##dy_##sse_##y,-16.976658821105957
oedipal,4,o_##ed_##ip_##al,-21.221912384033203
oedipus,4,o_##ed_##ip_##us,-20.56688690185547
oersted,3,o_##ers_##ted,-24.05543041229248
of,1,of,-8.680272102355957
off,1,off,-7.424025535583496
offal,2,off_##al,-13.478209495544434
offend,2,off_##end,-13.79082727432251
offended,1,offended,-13.008254051208496
offender,2,off_##ender,-12.105934143066406
offense,1,offense,-12.166781425476074
offenses,2,offense_##s,-14.97563362121582
offensive,1,offensive,-11.4341402053833
offer,1,offer,-10.044538497924805
offered,1,offered,-10.508999824523926
offering,1,offering,-11.163164138793945
offerings,1,offerings,-13.189379692077637
offers,1,offers,-12.273889541625977
office,1,office,-11.821331024169922
officer,1,officer,-10.304134368896484
officers,1,officers,-12.20407772064209
offices,1,offices,-15.466497421264648
official,1,official,-7.177380561828613
officially,1,officially,-10.636664390563965
officials,1,officials,-11.730716705322266
officiated,3,off_##ici_##ated,-18.515883445739746
officiating,3,off_##ici_##ating,-17.71129322052002
offsaddled,3,offs_##ad_##dled,-28.337534427642822
offsetting,2,offset_##ting,-17.330500602722168
offshore,1,offshore,-12.998594284057617
offspring,1,offspring,-12.496332168579102
offutt,2,off_##utt,-20.52865505218506
often,1,often,-10.123059272766113
oftener,2,often_##er,-18.82384490966797
ogden,2,og_##den,-25.0589656829834
