word,nr. of tokens,tokens,word score
shortage,1,shortage,-14.346217155456543
shortages,1,shortages,-16.64525604248047
shorten,2,short_##en,-15.106724739074707
shortened,1,shortened,-15.645393371582031
shortening,2,short_##ening,-12.697411060333252
shorter,1,shorter,-14.255973815917969
shortest,1,shortest,-15.406329154968262
shortly,1,shortly,-9.111922264099121
shorts,1,shorts,-14.627237319946289
shortsighted,3,shorts_##ight_##ed,-0.4381103515625
shot,1,shot,-10.166645050048828
shotgun,1,shotgun,-12.534754753112793
shots,1,shots,-13.777722358703613
shotshells,3,shots_##hell_##s,-10.99307632446289
shouders,3,s_##hou_##ders,-27.3241925239563
should,1,should,-9.4541015625
shoulder,1,shoulder,-13.039127349853516
shouldered,2,shoulder_##ed,-13.106229305267334
shouldering,2,shoulder_##ing,-15.663446426391602
shoulders,1,shoulders,-13.206787109375
shoup,3,s_##hou_##p,-10.872322082519531
shout,1,shout,-12.6544189453125
shouted,1,shouted,-13.128490447998047
shouting,1,shouting,-14.296550750732422
shouts,1,shouts,-15.214520454406738
shoved,1,shoved,-15.098272323608398
shovel,2,shove_##l,-5.782633304595947
shoveled,2,shove_##led,-11.121790409088135
shoving,1,shoving,-15.9850435256958
show,1,show,-10.367331504821777
showdown,2,show_##down,-6.320070266723633
showed,1,showed,-13.672079086303711
shower,1,shower,-13.766528129577637
showered,1,showered,-16.285240173339844
showering,2,shower_##ing,-10.458540916442871
showers,2,shower_##s,-11.651878356933594
showing,1,showing,-13.04820728302002
showings,2,showing_##s,-20.157898902893066
showman,2,show_##man,-12.139781475067139
showmanship,2,show_##manship,-5.441957473754883
shown,1,shown,-11.924603462219238
shows,1,shows,-14.172280311584473
showy,2,show_##y,-9.35995864868164
shrank,3,s_##hra_##nk,-3.2337589263916016
shred,3,s_##hr_##ed,-4.629315376281738
shredder,4,s_##hr_##edd_##er,-4.986087799072266
shreds,3,s_##hr_##eds,-4.386737823486328
shrewdly,4,s_##hr_##ew_##dly,-4.121424674987793
shriek,3,s_##hr_##iek,-2.4477615356445312
shrieking,4,s_##hr_##iek_##ing,-0.40343475341796875
shrill,2,s_##hrill,-7.686912536621094
shrilling,3,s_##hrill_##ing,-9.17334270477295
shrilly,3,s_##hrill_##y,-3.0872154235839844
shrimp,1,shrimp,-12.03261947631836
shrine,1,shrine,-13.804600715637207
shrines,1,shrines,-16.889013290405273
shrink,1,shrink,-12.690443992614746
shrinkage,2,shrink_##age,-5.515039443969727
shrinking,2,shrink_##ing,-6.795422077178955
shriveled,4,s_##hr_##ive_##led,-0.7279634475708008
shriver,3,s_##hr_##iver,-15.490018844604492
shrouded,4,s_##hr_##oud_##ed,-3.038172721862793
shrub,1,shrub,-14.150068283081055
shrubs,1,shrubs,-15.864829063415527
shrugged,1,shrugged,-13.9735689163208
shrugs,1,shrugs,-14.784626007080078
shu,2,s_##hu,-8.894666194915771
shucks,3,s_##hu_##cks,-2.249295234680176
shudder,1,shudder,-12.385161399841309
shuddered,1,shuddered,-14.507522583007812
shuddering,2,shudder_##ing,-6.548422336578369
shuffle,3,s_##hu_##ffle,-3.625981330871582
shuffled,1,shuffled,-15.629682540893555
shuffling,3,s_##hu_##ffling,-4.034442901611328
shunned,3,s_##hun_##ned,-0.1500711441040039
shuns,3,s_##hun_##s,-15.200867652893066
shunt,3,s_##hun_##t,-12.326875686645508
shunts,3,s_##hun_##ts,-15.672341346740723
shut,1,shut,-9.503469467163086
shutdown,2,shut_##down,-8.967422485351562
shutdowns,3,shut_##down_##s,-9.73014211654663
shuts,2,shut_##s,-21.2366943359375
shutter,2,shut_##ter,-13.568033695220947
shutters,2,shut_##ters,-12.58930778503418
shutting,1,shutting,-14.930131912231445
