sentence id,sentence,PLL score,nr. of tokens
brown.000000,Dan Morgan told himself he would forget Ann Turner.,-58.558414459228516,10
brown.000001,He was well rid of her.,-32.45069885253906,7
brown.000002,He certainly didn't want a wife who was fickle as Ann.,-62.79227828979492,14
brown.000003,"If he had married her, he'd have been asking for trouble.",-42.70988464355469,14
brown.000004,But all of this was rationalization.,-31.058429718017578,8
brown.000005,The best antidote for the bitterness and disappointment that poisoned him was hard work.,-67.83527374267578,15
brown.000006,Each day he found himself thinking less often of Ann.,-58.20777893066406,11
brown.000007,"Each day the hurt was a little duller, a little less poignant.",-57.984222412109375,15
brown.000008,He had plenty of work to do.,-23.8614559173584,8
brown.000009,"Because the summer was unusually dry and hot, the spring produced a smaller stream than in ordinary years.",-81.27142333984375,20
brown.000010,"The grass in the meadows came fast, now that the warm weather was here.",-63.36658477783203,17
brown.000011,He had no idea how much time Budd would give him.,-47.29648208618164,12
brown.000012,It could be some kind of trick Budd had thought up.,-53.62922668457031,12
brown.000013,"Morgan watched the two figures for a time, puzzled.",-51.425941467285156,11
brown.000014,"When they were closer and he saw that one was a woman, he was more puzzled than ever.",-70.68502044677734,20
brown.000015,"He cleaned his shovel, left it against the fence, picked up his Winchester, and started downstream.",-85.64952850341797,20
brown.000016,"His visitors had crawled through the south fence and were crossing the meadow, angling toward the house.",-86.27896881103516,21
brown.000017,"Reaching the house ahead of them, he waited with his Winchester in his hands.",-67.442626953125,17
brown.000018,"She lay there, making no effort to get back on her feet.",-40.367305755615234,14
brown.000019,"Morgan hesitated, thinking that if this was a trick, it was a good one.",-52.248165130615234,17
brown.000020,He didn't think it was possible for this couple to be pretending.,-48.65517044067383,14
brown.000021,The boy licked his dry lips.,-31.80855941772461,8
brown.000022,"He asked,"" Could we have a drink""??",-53.65913391113281,10
brown.000023,Morgan jerked his head toward the front door.,-36.97806930541992,10
brown.000024,"Leaning his Winchester against the front of the house, he walked to the girl.",-67.31912231445312,17
brown.000025,She didn't move or say anything.,-26.85941505432129,8
brown.000026,Her eyes were glazed as if she didn't hear or even see him.,-51.9410400390625,16
brown.000027,She had reached a point at which she didn't even care how she looked.,-42.23618698120117,16
