word,nr. of tokens,tokens,word score
bonenfant,3,bone_##n_##fant,-36.78822135925293
bones,1,bones,-13.007355690002441
bonfire,3,b_##on_##fire,-32.46689414978027
bonhoeffer,4,b_##on_##hoe_##ffer,-44.73964595794678
bonn,3,b_##on_##n,-29.572279930114746
bonner,3,b_##on_##ner,-33.32517623901367
bonnet,3,b_##on_##net,-34.90399646759033
bonnor,3,b_##on_##nor,-35.750853538513184
bonus,1,bonus,-13.053482055664062
bony,1,bony,-13.573098182678223
boobify,4,b_##oo_##bi_##fy,-47.28448009490967
booby,2,b_##ooby,-29.380874633789062
book,1,book,-11.330897331237793
bookcase,2,book_##case,-25.777629852294922
bookcases,3,book_##case_##s,-30.586970329284668
booked,1,booked,-13.599359512329102
booker,2,book_##er,-22.54597759246826
booking,1,booking,-14.359763145446777
bookkeeping,2,book_##keeping,-26.232421875
books,1,books,-11.944987297058105
bookshelf,3,books_##hel_##f,-35.05397701263428
boom,1,boom,-14.574145317077637
boomed,2,boom_##ed,-27.330190658569336
boomtown,2,boom_##town,-29.705090522766113
boos,2,b_##oos,-27.535566329956055
boost,1,boost,-14.556351661682129
boosted,2,boost_##ed,-27.67812442779541
boosting,2,boost_##ing,-27.927096366882324
boosts,2,boost_##s,-24.83642292022705
boot,1,boot,-12.672233581542969
booth,1,booth,-13.758176803588867
booths,2,booth_##s,-24.23343849182129
bootle,2,boot_##le,-26.734115600585938
bootleggers,3,boot_##leg_##gers,-42.33506774902344
bootlegging,3,boot_##leg_##ging,-40.71475791931152
boots,1,boots,-13.010120391845703
booty,2,boot_##y,-22.78618621826172
bordel,3,b_##ord_##el,-34.88354301452637
borden,3,b_##ord_##en,-33.952796936035156
border,1,border,-12.569838523864746
bordering,1,bordering,-13.99351692199707
borderline,2,border_##line,-24.957168579101562
borders,1,borders,-12.985864639282227
bore,1,bore,-14.009000778198242
bored,1,bored,-15.149131774902344
boredom,2,bored_##om,-28.74109649658203
bores,2,bore_##s,-24.45737075805664
boring,1,boring,-13.838081359863281
boris,2,b_##oris,-28.208663940429688
borland,3,b_##or_##land,-34.753068923950195
born,1,born,-12.030712127685547
borne,1,borne,-15.707283020019531
borough,1,borough,-14.349183082580566
borrow,1,borrow,-13.978842735290527
borrowed,1,borrowed,-14.003819465637207
borrowing,2,borrow_##ing,-27.717814445495605
bosis,2,b_##osis,-27.552387237548828
bosom,3,b_##oso_##m,-32.71603965759277
boss,1,boss,-13.076810836791992
bossman,2,boss_##man,-26.582716941833496
boston,3,b_##ost_##on,-32.86948204040527
both,1,both,-11.432061195373535
bother,1,bother,-14.118459701538086
bothered,1,bothered,-13.819646835327148
bothering,1,bothering,-14.194043159484863
bothers,2,bother_##s,-24.364274978637695
bottle,1,bottle,-12.172160148620605
bottled,2,bottle_##d,-25.213665008544922
bottleneck,2,bottle_##neck,-29.86415672302246
bottles,1,bottles,-13.70030689239502
bottom,1,bottom,-12.109487533569336
bottoms,2,bottom_##s,-22.17212963104248
botulinal,4,b_##ot_##ulin_##al,-47.875104904174805
botulinum,4,b_##ot_##ulin_##um,-47.87074375152588
bouffe,3,b_##ou_##ffe,-33.14057731628418
bought,1,bought,-12.687281608581543
boulder,1,boulder,-15.109903335571289
boulders,1,boulders,-14.73554515838623
boulevard,4,b_##ou_##lev_##ard,-46.49341678619385
boulevards,4,b_##ou_##lev_##ards,-49.61716556549072
boun,3,b_##ou_##n,-29.687997817993164
bounce,1,bounce,-14.358015060424805
bounced,1,bounced,-15.230918884277344
bouncing,1,bouncing,-15.446407318115234
bouncy,3,b_##ou_##ncy,-35.7762393951416
bound,1,bound,-12.774802207946777
boundaries,1,boundaries,-12.856667518615723
boundary,1,boundary,-13.383198738098145
bounded,1,bounded,-14.026012420654297
bounding,2,bound_##ing,-25.933056831359863
boundless,2,bound_##less,-26.136967658996582
bounds,1,bounds,-14.200419425964355
bounty,1,bounty,-14.58862590789795
bouquet,3,b_##ou_##quet,-34.8880615234375
bouquets,4,b_##ou_##quet_##s,-42.50436019897461
bourbon,3,b_##our_##bon,-36.62172508239746
bourbons,4,b_##our_##bon_##s,-42.365891456604004
bourgeois,4,b_##our_##ge_##ois,-51.04660606384277
bourguiba,4,b_##our_##gu_##iba,-51.8170690536499
bourn,3,b_##our_##n,-31.942411422729492
bout,1,bout,-13.478456497192383
bouvardier,4,b_##ou_##vard_##ier,-47.31993293762207
bouvier,3,b_##ou_##vier,-34.14197540283203
bow,1,bow,-13.370759963989258
bowden,2,bow_##den,-26.993019104003906
bowed,1,bowed,-13.295400619506836
bowing,2,bow_##ing,-26.295026779174805
bowl,1,bowl,-14.253284454345703
bows,1,bows,-15.084091186523438
box,1,box,-12.837815284729004
boxcar,2,box_##car,-26.774066925048828
boxcars,2,box_##cars,-27.233622550964355
boxed,2,box_##ed,-25.363544464111328
boxell,2,box_##ell,-27.16294002532959
boxer,1,boxer,-14.608234405517578
boxes,1,boxes,-14.149932861328125
boxford,2,box_##ford,-26.800416946411133
boy,1,boy,-12.410303115844727
boycott,1,boycott,-14.689005851745605
boyd,2,boy_##d,-24.682897567749023
boyer,2,boy_##er,-23.932122230529785
boyhood,2,boy_##hood,-29.073766708374023
boys,1,boys,-12.92113971710205
brace,1,brace,-13.155441284179688
braced,1,braced,-13.93902587890625
braces,2,brace_##s,-24.40035057067871
bracing,2,bra_##cing,-30.4033203125
bracken,3,bra_##cke_##n,-34.04461097717285
brackish,3,bra_##cki_##sh,-37.344438552856445
bradford,2,bra_##dford,-28.807510375976562
bradley,2,bra_##dley,-27.05542755126953
bradykinin,4,bra_##dy_##kini_##n,-44.885138511657715
brag,2,bra_##g,-26.412047386169434
bragg,2,bra_##gg,-26.64536762237549
bragged,2,bra_##gged,-29.707822799682617
brahms,3,bra_##hm_##s,-31.697208404541016
braided,2,bra_##ided,-30.493701934814453
braiding,2,bra_##iding,-30.351146697998047
braille,2,bra_##ille,-28.123018264770508
brailsford,3,bra_##ils_##ford,-37.80768013000488
brain,1,brain,-12.491950988769531
brainards,2,brain_##ards,-27.72282600402832
brains,1,brains,-14.065650939941406
brainwashing,3,brain_##wash_##ing,-35.66456604003906
brakes,1,brakes,-12.094265937805176
branch,1,branch,-12.837661743164062
branched,1,branched,-13.400064468383789
branches,1,branches,-13.373477935791016
brand,1,brand,-12.66928768157959
branded,1,branded,-13.685136795043945
brandel,2,brand_##el,-27.148615837097168
brandenburg,2,brand_##enburg,-30.288158416748047
brandishing,2,brand_##ishing,-29.63506317138672
brandon,2,brand_##on,-26.48057460784912
brands,1,brands,-13.530548095703125
brandt,2,brand_##t,-24.70466899871826
brandy,2,brand_##y,-22.563060760498047
brandywine,3,brand_##y_##wine,-32.818325996398926
brannon,3,bra_##nn_##on,-32.87618541717529
branum,2,bra_##num,-27.71678352355957
braque,2,bra_##que,-26.962915420532227
brash,2,bra_##sh,-27.62590789794922
brass,1,brass,-13.908373832702637
brassica,2,brass_##ica,-29.945063591003418
brassiere,3,brass_##ier_##e,-35.3886194229126
