word,nr. of tokens,tokens,word score
enright,2,en_right,-14.58730697631836
enroll,2,en_roll,-13.047374725341797
enrolled,2,en_rolled,-15.14162826538086
enrollment,2,en_rollment,-13.591426849365234
enrollments,3,en_roll_ments,-17.324520111083984
ensemble,2,ense_mble,-11.615169525146484
ensign,2,ens_ign,-14.20272445678711
ensue,2,ens_ue,-16.071697235107422
ensued,2,ens_ued,-17.749618530273438
ensues,2,ens_ues,-16.692787170410156
ensuing,2,ens_uing,-15.021148681640625
ensure,2,ens_ure,-12.61895751953125
entail,2,ent_ail,-12.60654067993164
entails,2,ent_ails,-15.49979019165039
enter,1,enter,-9.835205078125
entered,2,ent_ered,-12.739517211914062
entering,2,ent_ering,-11.682014465332031
enterprise,2,enter_prise,-11.003318786621094
enterprises,2,enter_prises,-14.4033203125
enterprising,2,enter_prising,-14.156608581542969
enters,2,ent_ers,-13.498462677001953
entertain,2,ent_ertain,-9.164775848388672
entertained,3,ent_ert_ained,-15.67749834060669
entertainer,3,ent_ertain_er,-13.815950393676758
entertaining,3,ent_ert_aining,-11.204317569732666
entertainment,3,ent_ertain_ment,-9.226171493530273
enthusiasm,3,ent_hus_iasm,-10.667193412780762
enthusiast,4,ent_hus_i_ast,-11.85035514831543
enthusiastic,4,ent_hus_i_astic,-10.72482681274414
enthusiastically,4,ent_hus_i_astically,-14.40604019165039
entire,2,ent_ire,-10.347808837890625
entirely,3,ent_ire_ly,-11.86484146118164
entirety,3,ent_ire_ty,-16.78573989868164
entities,2,ent_ities,-11.944747924804688
entitle,2,ent_itle,-12.454967498779297
entitled,2,ent_itled,-11.042816162109375
entitles,2,ent_itles,-15.058341979980469
entity,1,entity,-9.8468017578125
entourage,2,ent_ourage,-12.25442886352539
entrance,2,ent_rance,-11.205875396728516
entranced,3,ent_ran_ced,-13.39291763305664
entreated,2,ent_reated,-17.871124267578125
entrenched,2,ent_renched,-13.83221435546875
entries,2,ent_ries,-13.578071594238281
entropy,2,ent_ropy,-10.02292251586914
entry,1,entry,-10.306930541992188
enumerated,3,en_umer_ated,-14.365755081176758
envelope,3,en_velop_e,-11.127984762191772
envelopes,3,en_velop_es,-15.173388481140137
envenomed,3,en_ven_omed,-17.872249603271484
enver,2,en_ver,-15.252819061279297
envied,2,env_ied,-15.969554901123047
enviously,2,en_viously,-16.643131256103516
environing,3,en_viron_ing,-19.55146026611328
environment,1,environment,-8.934890747070312
environmental,2,environment_al,-9.929954051971436
environments,2,en_vironments,-14.720165252685547
envisioned,3,en_vision_ed,-16.632020950317383
envy,2,en_vy,-10.384929656982422
enzymatic,3,enz_ym_atic,-12.887735366821289
enzyme,2,en_zyme,-11.577800750732422
enzymes,2,enz_ymes,-12.668094635009766
ephesus,3,ep_hes_us,-14.717395782470703
epic,2,ep_ic,-8.924201965332031
epics,2,ep_ics,-13.095893859863281
epicurus,3,ep_ic_urus,-15.537328720092773
epicycles,3,ep_icy_cles,-13.206562042236328
epidemic,3,ep_id_emic,-10.818000793457031
epigraph,2,ep_igraph,-11.442741394042969
epileptic,3,ep_ile_ptic,-11.77133846282959
epilogue,3,ep_il_ogue,-11.831836700439453
epiphany,2,ep_iphany,-11.239288330078125
epiphysis,3,ep_iph_ysis,-14.975177764892578
episcopal,2,ep_iscopal,-13.784465789794922
episode,1,episode,-10.69119644165039
episodes,2,ep_isodes,-12.085639953613281
epistemology,4,ep_ist_em_ology,-10.506525039672852
epistles,3,ep_ist_les,-15.655214309692383
epitaph,3,ep_it_aph,-12.26557731628418
epithets,3,ep_ithe_ts,-13.817058563232422
epitomized,4,ep_it_om_ized,-16.630749702453613
epoch,2,ep_och,-11.370018005371094
epsilon,3,ep_sil_on,-11.471298217773438
epsom,2,eps_om,-14.148612976074219
epstein,2,ep_stein,-13.55057144165039
equal,1,equal,-9.19333267211914
equality,1,equality,-9.146209716796875
equally,2,equ_ally,-12.258216857910156
equals,2,equ_als,-11.079002380371094
equanimity,3,equ_anim_ity,-12.278266906738281
equate,2,equ_ate,-13.372962951660156
equated,2,equ_ated,-14.092487335205078
equating,2,equ_ating,-13.588935852050781
equation,2,equ_ation,-10.861984252929688
equations,2,equ_ations,-12.583328247070312
equator,2,equ_ator,-12.780406951904297
equatorial,2,equ_atorial,-12.584613800048828
equidistant,3,equ_id_istant,-14.015716552734375
equilibrium,2,equ_ilibrium,-11.772087097167969
equilibriums,4,equ_ilib_ri_ums,-17.10991859436035
equine,2,equ_ine,-11.151466369628906
equines,2,equ_ines,-15.355049133300781
equip,2,equ_ip,-12.19677734375
equipment,2,equ_ipment,-11.780029296875
equipped,1,equipped,-12.085746765136719
equitable,2,equ_itable,-13.448909759521484
equitably,2,equ_itably,-18.528114318847656
equity,2,equ_ity,-11.76705551147461
equivalence,3,equ_ival_ence,-12.262168884277344
equivalent,2,equ_ivalent,-11.566787719726562
equivalents,3,equ_ival_ents,-15.572978973388672
equivocal,3,equ_iv_ocal,-13.26629638671875
era,1,era,-10.386695861816406
eradication,3,er_ad_ication,-13.262003481388092
erasing,2,er_asing,-13.24477767944336
erect,2,ere_ct,-9.277462005615234
erected,3,ere_ct_ed,-12.995841979980469
erection,2,ere_ction,-10.411720275878906
erects,3,ere_ct_s,-15.480045318603516
ergotropic,2,erg_otropic,-19.019664764404297
erhart,2,er_hart,-18.045764923095703
erikson,2,eri_kson,-20.37224578857422
ernest,2,ern_est,-11.781139373779297
ernie,2,ern_ie,-12.539741516113281
ernst,2,ern_st,-15.871013641357422
eroded,2,er_oded,-14.77529525756836
eromonga,3,er_om_onga,-22.902687072753906
eros,1,eros,-11.141929626464844
erosion,2,er_osion,-12.916706085205078
erotic,2,er_otic,-8.91489028930664
erotically,3,er_ot_ically,-14.997699737548828
err,1,err,-10.07761001586914
erratic,2,err_atic,-10.894599914550781
erratically,2,err_atically,-15.450416564941406
error,1,error,-9.823051452636719
errors,1,errors,-10.84634780883789
erudite,3,er_ud_ite,-12.169397354125977
erupt,2,er_upt,-11.37508773803711
erupted,3,er_upt_ed,-14.829097747802734
eruption,3,er_u_ption,-13.212902069091797
escalation,2,escal_ation,-10.932846069335938
escapade,2,escap_ade,-16.43524932861328
escape,1,escape,-9.137306213378906
escaped,2,esc_aped,-11.499881744384766
escaping,2,esc_aping,-11.467903137207031
escapist,2,esc_apist,-11.624271392822266
escheat,2,es_cheat,-12.492813110351562
eschews,3,es_che_ws,-16.038818359375
escort,2,esc_ort,-10.052692413330078
escorted,2,esc_orted,-13.594356536865234
escorts,2,esc_orts,-12.623897552490234
eskimos,4,es_k_im_os,-13.063301086425781
esmarch,2,esm_arch,-18.58769989013672
esnards,3,es_n_ards,-22.472545623779297
esoteric,2,es_oteric,-9.474407196044922
especially,1,especially,-10.440757751464844
espionage,2,esp_ionage,-9.472137451171875
esplanade,3,es_plan_ade,-14.950092315673828
espouses,2,esp_ouses,-14.935176849365234
esprit,2,esp_rit,-11.63644790649414
esquire,2,es_quire,-13.100040435791016
essay,2,ess_ay,-12.239665985107422
essayed,2,ess_ayed,-16.60497283935547
essays,2,ess_ays,-15.217758178710938
esse,1,esse,-11.977333068847656
essence,2,ess_ence,-9.319717407226562
essential,1,essential,-9.914710998535156
essentially,2,ess_entially,-10.992225646972656
essentials,2,ess_entials,-12.198432922363281
essex,2,es_sex,-12.108196258544922
establish,1,establish,-11.278095245361328
established,1,established,-11.224784851074219
establishing,2,establish_ing,-12.487743377685547
establishment,1,establishment,-10.512672424316406
establishments,2,establish_ments,-15.19464111328125
estate,1,estate,-10.795745849609375
esteem,1,esteem,-10.696731567382812
esteemed,2,este_emed,-11.784908294677734
esther,2,est_her,-15.547115325927734
esthetic,1,esthetic,-11.949859619140625
