sentence id,ref sentence,PLL score,nr. of tokens
1089-134686-0000,He hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce.,-234.1203203201294,40
1089-134686-0001,Stuff it into you his belly counselled him.,-81.02829122543335,13
1089-134686-0002,After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,-115.61378479003906,26
1089-134686-0003,Hello bertie any good in your mind.,-67.72821474075317,12
1089-134686-0004,Number ten fresh nelly is waiting on you good night husband.,-72.05823469161987,15
1089-134686-0005,The music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness.,-155.14725637435913,30
1089-134686-0006,The dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail.,-128.07403564453125,29
1089-134686-0007,A cold lucid indifference reigned in his soul.,-96.247483253479,15
1089-134686-0008,The chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself.,-113.61625337600708,23
1089-134686-0009,At most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace.,-152.0669503211975,33
1089-134686-0010,Well now ennis i declare you have a head and so has my stick.,-87.30221319198608,18
1089-134686-0011,On saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses.,-219.9560923576355,47
1089-134686-0012,Her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her.,-153.62636375427246,36
1089-134686-0013,If ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight.,-122.76088953018188,31
1089-134686-0014,He tried to think how it could be.,-11.340326309204102,11
1089-134686-0015,But the dusk deepening in the schoolroom covered over his thoughts the bell rang.,-67.43184566497803,19
1089-134686-0016,Then you can ask him questions on the catechism dedalus.,-71.14948177337646,17
1089-134686-0017,Stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying.,-151.80189752578735,33
1089-134686-0018,It was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation.,-146.26147079467773,48
1089-134686-0019,The sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state.,-212.0043911933899,47
1089-134686-0020,If a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune.,-156.69265127182007,57
1089-134686-0021,If a layman in giving baptism pour the water before saying the words is the child baptized.,-77.03893089294434,21
1089-134686-0022,How comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land.,-86.66984367370605,38
1089-134686-0023,Why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone.,-238.9411187171936,50
1089-134686-0024,If the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man.,-204.8867449760437,39
1089-134686-0025,A gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question.,-79.61797523498535,22
1089-134686-0026,The rector did not ask for a catechism to hear the lesson from.,-51.05216073989868,18
1089-134686-0027,He clasped his hands on the desk and said.,-16.06344699859619,12
1089-134686-0028,The retreat will begin on wednesday afternoon in honour of saint francis xavier whose feast day is saturday.,-153.45488691329956,29
1089-134686-0029,On friday confession will be heard all the afternoon after beads.,-95.96478176116943,16
1089-134686-0030,Beware of making that mistake.,-18.955098152160645,9
1089-134686-0031,Stephen's heart began slowly to fold and fade with fear like a withering flower.,-54.68006372451782,20
1089-134686-0032,He is called as you know the apostle of the indies.,-50.95186424255371,16
1089-134686-0033,A great saint saint francis xavier.,-82.37893342971802,13
1089-134686-0034,The rector paused and then shaking his clasped hands before him went on.,-37.727261543273926,16
1089-134686-0035,He had the faith in him that moves mountains.,-38.72908163070679,12
1089-134686-0036,A great saint saint francis xavier.,-82.37893342971802,13
1089-134686-0037,In the silence their dark fire kindled the dusk into a tawny glow.,-83.19361734390259,19
1089-134691-0000,He could wait no longer.,-2.3488693237304688,8
1089-134691-0001,For a full hour he had paced up and down waiting but he could wait no longer.,-23.477371215820312,20
1089-134691-0002,He set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe.,-158.52635622024536,43
1089-134691-0003,The university.,-11.441360473632812,5
1089-134691-0004,Pride after satisfaction uplifted him like long slow waves.,-66.95182943344116,14
1089-134691-0005,Whose feet are as the feet of harts and underneath the everlasting arms.,-121.28858375549316,20
1089-134691-0006,The pride of that dim image brought back to his mind the dignity of the office he had refused.,-47.53917217254639,22
1089-134691-0007,Soon the whole bridge was trembling and resounding.,-41.953649044036865,13
1089-134691-0008,The uncouth faces passed him two by two stained yellow or red or livid by the sea and as he strove to look at them with ease and indifference a faint stain of personal shame and commiseration rose to his own face.,-246.71832990646362,55
1089-134691-0009,Angry with himself he tried to hide his face from their eyes by gazing down sideways into the shallow swirling water under the bridge but he still saw a reflection therein of their top heavy silk hats and humble tape like collars and loosely hanging clerical clothes brother hickey.,-228.93997764587402,56
1089-134691-0010,Brother mac ardle brother keogh.,-77.1530556678772,12
1089-134691-0011,Their piety would be like their names like their faces like their clothes and it was idle for him to tell himself that their humble and contrite hearts it might be paid a far richer tribute of devotion than his had ever been a gift tenfold more acceptable than his elaborate adoration.,-255.49396514892578,61
1089-134691-0012,It was idle for him to move himself to be generous towards them to tell himself that if he ever came to their gates stripped of his pride beaten and in beggar's weeds that they would be generous towards him loving him as themselves.,-146.6888771057129,50
1089-134691-0013,Idle and embittering finally to argue against his own dispassionate certitude that the commandment of love bade us not to love our neighbour as ourselves with the same amount and intensity of love but to love him as ourselves with the same kind of love.,-247.58995485305786,59
1089-134691-0014,The phrase and the day and the scene harmonized in a chord.,-73.7439227104187,16
1089-134691-0015,Words was it their colours.,-48.14077091217041,8
1089-134691-0016,They were voyaging across the deserts of the sky a host of nomads on the march voyaging high over ireland westward bound.,-176.02861785888672,34
1089-134691-0017,The europe they had come from lay out there beyond the irish sea europe of strange tongues and valleyed and woodbegirt and citadelled and of entrenched and marshalled races.,-308.6060862541199,46
1089-134691-0018,Again again.,-10.664320945739746,5
1089-134691-0019,A voice from beyond the world was calling.,-13.88554573059082,11
1089-134691-0020,Hello stephanos here comes the dedalus.,-93.54526567459106,13
1089-134691-0021,Their diving stone poised on its rude supports and rocking under their plunges and the rough hewn stones of the sloping breakwater over which they scrambled in their horseplay gleamed with cold wet lustre.,-242.65974760055542,46
1089-134691-0022,He stood still in deference to their calls and parried their banter with easy words.,-107.43374872207642,22
1089-134691-0023,It was a pain to see them and a sword like pain to see the signs of adolescence that made repellent their pitiable nakedness.,-159.70042085647583,33
1089-134691-0024,Stephanos dedalos.,-48.259756565093994,8
1089-134691-0025,A moment before the ghost of the ancient kingdom of the danes had looked forth through the vesture of the hazewrapped city.,-126.71315002441406,29
1188-133604-0000,You will find me continually speaking of four men titian holbein turner and tintoret in almost the same terms.,-167.50293254852295,30
1188-133604-0001,They unite every quality and sometimes you will find me referring to them as colorists sometimes as chiaroscurists.,-136.78104972839355,27
1188-133604-0002,By being studious of color they are studious of division and while the chiaroscurist devotes himself to the representation of degrees of force in one thing unseparated light the colorists have for their function the attainment of beauty by arrangement of the divisions of light.,-289.2931475639343,60
1188-133604-0003,My first and principal reason was that they enforced beyond all resistance on any student who might attempt to copy them this method of laying portions of distinct hue side by side.,-135.00068521499634,36
1188-133604-0004,Some of the touches indeed when the tint has been mixed with much water have been laid in little drops or ponds so that the pigment might crystallize hard at the edge.,-155.21219682693481,39
1188-133604-0005,It is the head of a parrot with a little flower in his beak from a picture of carpaccio's one of his series of the life of saint george.,-188.92227268218994,41
1188-133604-0006,Then he comes to the beak of it.,-43.442161560058594,12
1188-133604-0007,The brown ground beneath is left for the most part one touch of black is put for the hollow two delicate lines of dark gray define the outer curve and one little quivering touch of white draws the inner edge of the mandible.,-186.35292434692383,50
1188-133604-0008,For believe me the final philosophy of art can only ratify their opinion that the beauty of a cock robin is to be red and of a grass plot to be green and the best skill of art is in instantly seizing on the manifold deliciousness of light which you can only seize by precision of instantaneous touch.,-253.12859916687012,65
1188-133604-0009,Now you will see in these studies that the moment the white is inclosed properly and harmonized with the other hues it becomes somehow more precious and pearly than the white paper and that i am not afraid to leave a whole field of untreated white paper all round it being sure that even the little diamonds in the round window will tell as jewels if they are gradated justly.,-323.5664978027344,84
