word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-9.87645149230957
bhorred,3,##b_##hor_##red,-3.8621349334716797
abolitionist,2,abolition_##ist,-5.569032669067383
abused,1,abused,-11.223902702331543
accepted,1,accepted,-10.636475563049316
accompanied,1,accompanied,-11.834416389465332
ccosted,2,##cco_##sted,-4.238202095031738
accountant,1,accountant,-11.777548789978027
accused,1,accused,-11.958436965942383
ccuser,2,##cc_##user,-1.317215919494629
acquitted,1,acquitted,-13.23905086517334
crobat,3,##c_##ro_##bat,-0.012243270874023438
activist,1,activist,-11.90774917602539
actor,1,actor,-11.136835098266602
actress,1,actress,-11.549883842468262
actuary,2,act_##uary,-4.631788730621338
address,1,address,-9.232067108154297
adjuster,2,adjust_##er,-10.697823524475098
admiral,1,admiral,-12.427911758422852
admired,1,admired,-11.87063217163086
admirer,2,admire_##r,-6.329185485839844
admonished,3,ad_##mon_##ished,-3.149775505065918
adopted,1,adopted,-9.698728561401367
adored,2,ad_##ored,-4.2557220458984375
adorned,1,adorned,-13.358583450317383
adventurer,2,adventure_##r,-7.425080299377441
advisor,1,advisor,-11.900980949401855
ffronted,3,##ff_##ron_##ted,-2.0798721313476562
agent,1,agent,-9.324645042419434
ggravated,3,##gg_##ra_##vated,-0.08354949951171875
agitated,1,agitated,-12.201505661010742
aide,1,aide,-12.574268341064453
airplane,1,airplane,-9.965989112854004
alarmed,1,alarmed,-11.961626052856445
alcohol,1,alcohol,-8.990028381347656
alcoholic,1,alcoholic,-11.112066268920898
amateur,1,amateur,-10.590289115905762
ambassador,1,ambassador,-11.260025024414062
amused,1,amused,-11.391615867614746
analyst,1,analyst,-12.787015914916992
anchorman,2,anchor_##man,-11.437508583068848
announcer,1,announcer,-11.752603530883789
annoyed,1,annoyed,-10.300257682800293
antagonized,3,ant_##agon_##ized,-2.5211734771728516
anthem,1,anthem,-11.629289627075195
anthropologist,1,anthropologist,-11.892702102661133
apartment,1,apartment,-9.00510025024414
applauded,3,app_##lau_##ded,-1.1873693466186523
appointment,1,appointment,-11.449045181274414
appraiser,2,app_##raiser,-10.580562591552734
apprehended,4,app_##re_##hend_##ed,-0.2903289794921875
apprentice,1,apprentice,-10.917928695678711
approached,1,approached,-11.941072463989258
approved,1,approved,-9.82778263092041
archaeologist,1,archaeologist,-12.974651336669922
architect,1,architect,-11.482782363891602
archivist,2,arch_##ivist,-7.365475654602051
ristocrat,2,##risto_##crat,-0.22203445434570312
arranged,1,arranged,-11.177217483520508
rsonist,2,##rson_##ist,-3.33109188079834
article,1,article,-9.579758644104004
artisan,2,art_##isan,-3.807894706726074
artist,1,artist,-10.270187377929688
assailant,3,ass_##ail_##ant,-0.05537891387939453
assassin,1,assassin,-10.258037567138672
assignment,1,assignment,-10.717000961303711
assistant,1,assistant,-10.053489685058594
assisted,1,assisted,-11.594223976135254
assuaged,3,ass_##ua_##ged,-1.366013526916504
asylum,1,asylum,-11.73831558227539
ate,1,ate,-9.968623161315918
athlete,1,athlete,-10.51340103149414
attacked,1,attacked,-11.1961669921875
attacker,1,attacker,-11.734560012817383
attendant,1,attendant,-12.395634651184082
attended,1,attended,-12.256697654724121
attired,2,attire_##d,-8.72173023223877
attorney,1,attorney,-11.631444931030273
au,1,au,-9.598857879638672
audience,1,audience,-11.396766662597656
auditor,2,audit_##or,-6.417746067047119
aunt,1,aunt,-10.281517028808594
author,1,author,-9.446137428283691
autographed,3,auto_##graph_##ed,-1.1297969818115234
viator,1,##viator,-9.14370346069336
awed,2,awe_##d,-8.066433429718018
baby,1,baby,-6.913306713104248
bachelor,1,bachelor,-10.02984619140625
badgered,2,badge_##red,-13.469333171844482
baffled,3,b_##af_##fled,-0.16995811462402344
bag,1,bag,-9.665305137634277
baguette,3,bag_##ue_##tte,-0.4203605651855469
bailiff,2,bail_##iff,-9.533377170562744
baker,2,b_##aker,-5.449490547180176
ballerina,2,ball_##erina,-2.903329849243164
ballot,1,ballot,-12.71865463256836
banished,1,banished,-11.246745109558105
banker,1,banker,-11.837514877319336
banner,1,banner,-11.770658493041992
barber,2,bar_##ber,-6.669029712677002
baron,1,baron,-11.916949272155762
baroness,2,baron_##ess,-8.055531978607178
barrister,1,barrister,-13.068345069885254
basin,1,basin,-12.795161247253418
basted,3,b_##ast_##ed,-9.240364074707031
battery,1,battery,-10.919443130493164
bear,1,bear,-8.788464546203613
beat,1,beat,-8.961158752441406
beaten,1,beaten,-11.433030128479004
befriended,1,befriended,-11.86902141571045
befuddled,3,be_##fu_##ddled,-0.08111000061035156
begged,1,begged,-11.099733352661133
beginner,2,begin_##ner,-1.6196727752685547
begrudged,3,beg_##rudge_##d,-3.415349006652832
believed,1,believed,-10.652149200439453
belittled,3,be_##lit_##tled,-0.6996450424194336
bellboy,2,bell_##boy,-9.862118244171143
bemused,3,be_##mus_##ed,-3.0088729858398438
benefactor,3,ben_##ef_##actor,-0.6473560333251953
beneficiary,4,ben_##ef_##ici_##ary,-0.732635498046875
bent,1,bent,-11.27480697631836
berated,2,be_##rated,-11.16239881515503
betrayed,1,betrayed,-11.90814208984375
beverage,1,beverage,-11.874408721923828
biased,2,bias_##ed,-7.116603851318359
biker,2,bike_##r,-4.772920608520508
billed,1,billed,-13.081521987915039
biologist,1,biologist,-11.971748352050781
blackmailer,3,black_##mail_##er,-1.8254718780517578
blamed,1,blamed,-12.387442588806152
blew,1,blew,-12.89261531829834
blonde,1,blonde,-9.143540382385254
blown,1,blown,-11.703397750854492
book,1,book,-7.655750751495361
bookkeeper,2,book_##keeper,-7.048001289367676
bookseller,2,books_##eller,-3.115830421447754
bookworm,2,book_##worm,-5.407215118408203
borrowed,1,borrowed,-8.696353912353516
boss,1,boss,-9.378963470458984
botanist,1,botanist,-12.05620002746582
bothered,1,bothered,-11.816161155700684
bottle,1,bottle,-10.10953426361084
bought,1,bought,-10.035985946655273
bowler,1,bowler,-12.67340087890625
boy,1,boy,-6.852188587188721
boyfriend,1,boyfriend,-8.194978713989258
bribed,3,br_##ibe_##d,-1.9092283248901367
bricklayer,2,brick_##layer,-8.521002769470215
brochure,3,br_##och_##ure,-0.09096717834472656
broker,1,broker,-13.662267684936523
brunette,3,br_##une_##tte,-0.033885955810546875
bulb,1,bulb,-12.241004943847656
bully,2,bull_##y,-6.453402042388916
bum,2,b_##um,-4.280925750732422
bureaucrat,2,bureau_##crat,-2.3374977111816406
burgled,3,b_##urg_##led,-10.153124809265137
burial,1,burial,-11.91208267211914
burned,1,burned,-10.25539779663086
burnt,1,burnt,-9.99754524230957
bus,1,bus,-9.916609764099121
busboy,2,bus_##boy,-7.564313888549805
businessman,1,businessman,-11.5912504196167
butcher,1,butcher,-10.21494197845459
button,1,button,-9.650032043457031
buyer,1,buyer,-12.772283554077148
by,1,by,-8.381134033203125
bystander,3,by_##stand_##er,-0.4492940902709961
cabbie,2,cab_##bie,-4.73403263092041
cadet,1,cadet,-11.857369422912598
calculated,1,calculated,-11.635943412780762
call,1,call,-8.552509307861328
called,1,called,-7.539096832275391
calmed,1,calmed,-12.744463920593262
campaigner,2,campaign_##er,-12.612314224243164
camper,2,camp_##er,-8.304981231689453
canceled,1,canceled,-11.687612533569336
candidate,1,candidate,-10.31971549987793
capitalist,1,capitalist,-12.535932540893555
captain,1,captain,-11.261578559875488
captive,1,captive,-12.063716888427734
car,1,car,-7.755944728851318
cardiologist,3,card_##iol_##ogist,-1.1629037857055664
caretaker,1,caretaker,-11.92747688293457
carnivore,4,car_##ni_##vor_##e,-1.764505386352539
carrier,1,carrier,-11.522346496582031
cartographer,2,cart_##ographer,-6.995920181274414
cartoonist,1,cartoonist,-12.286771774291992
caseworker,3,case_##work_##er,-3.9737682342529297
cash,1,cash,-10.145389556884766
cashier,2,cash_##ier,-7.026933670043945
cast,1,cast,-10.569653511047363
caught,1,caught,-10.468737602233887
cautioned,2,caution_##ed,-12.197246551513672
celebrity,1,celebrity,-10.480562210083008
cellist,2,cell_##ist,-13.412895679473877
chairman,1,chairman,-11.582305908203125
challenged,1,challenged,-11.827061653137207
champion,1,champion,-11.417903900146484
chancellor,1,chancellor,-13.164172172546387
changed,1,changed,-8.986311912536621
channeler,2,channel_##er,-12.416515350341797
chaplain,1,chaplain,-13.35348892211914
character,1,character,-8.999756813049316
charged,1,charged,-11.550887107849121
charlatan,4,ch_##ar_##lat_##an,-0.03276634216308594
chart,1,chart,-11.73011589050293
chased,1,chased,-11.991591453552246
chauffeur,4,ch_##au_##ffe_##ur,-0.021261215209960938
cheapskate,3,cheap_##ska_##te,-0.8073997497558594
cheerleader,2,cheer_##leader,-0.8253450393676758
chef,1,chef,-10.16218090057373
chemist,1,chemist,-11.449431419372559
cherished,3,ch_##eri_##shed,-0.2652873992919922
chief,1,chief,-10.10544204711914
child,1,child,-7.3883137702941895
chiropractor,4,ch_##iro_##pra_##ctor,-0.5267715454101562
choked,1,choked,-11.788923263549805
chose,1,chose,-10.937738418579102
chosen,1,chosen,-9.20515251159668
churchgoer,3,church_##go_##er,-4.876482009887695
cinematographer,1,cinematographer,-14.7973051071167
cited,1,cited,-11.715958595275879
citizen,1,citizen,-10.591590881347656
claims,1,claims,-12.03801441192627
clay,1,clay,-10.344614028930664
cleaned,1,cleaned,-12.411849021911621
clergyman,1,clergyman,-12.915498733520508
clerk,1,clerk,-10.541474342346191
closed,1,closed,-9.673060417175293
clown,1,clown,-10.760991096496582
coach,1,coach,-10.966830253601074
cobbler,3,co_##bble_##r,-4.250185012817383
coddled,2,co_##ddled,-9.488595485687256
collaborator,1,collaborator,-12.246517181396484
colonel,1,colonel,-11.432565689086914
comedian,1,comedian,-11.261404037475586
comforted,2,comfort_##ed,-12.272050857543945
commander,1,commander,-11.819091796875
commended,1,commended,-12.868887901306152
commentator,1,commentator,-13.571393966674805
communist,1,communist,-11.415153503417969
company,1,company,-9.362849235534668
compensated,2,compensate_##d,-7.772759437561035
competitor,1,competitor,-13.182324409484863
complaint,1,complaint,-11.750173568725586
completed,1,completed,-10.517353057861328
complimented,2,compliment_##ed,-13.624189376831055
composer,1,composer,-11.395078659057617
computer,1,computer,-8.460920333862305
concealed,1,concealed,-11.642498016357422
concert,1,concert,-11.534401893615723
conductor,1,conductor,-13.082868576049805
confectioner,4,con_##fect_##ione_##r,-4.643625259399414
confirmed,1,confirmed,-10.184258460998535
confronted,1,confronted,-13.253227233886719
confused,1,confused,-9.043869018554688
congratulated,4,con_##gra_##tu_##lated,-1.9569969177246094
congressman,2,congress_##man,-6.112327575683594
conned,2,con_##ned,-9.41408634185791
connoisseur,4,con_##no_##isse_##ur,-0.5388278961181641
conqueror,2,conquer_##or,-5.8445000648498535
conservative,1,conservative,-10.577197074890137
constable,2,con_##stable,-4.90867280960083
consulted,1,consulted,-14.044622421264648
contacted,1,contacted,-12.517350196838379
contender,1,contender,-12.873319625854492
contestant,1,contestant,-11.415231704711914
contract,1,contract,-11.387283325195312
contracted,1,contracted,-12.637679100036621
contradicted,4,con_##tra_##dict_##ed,-5.952993392944336
convalescent,3,con_##vale_##scent,-0.5934867858886719
convict,1,convict,-10.706933975219727
convinced,1,convinced,-11.73005485534668
cook,1,cook,-9.198087692260742
cooked,1,cooked,-10.630309104919434
cop,1,cop,-8.762871742248535
copycat,2,copy_##cat,-2.333171844482422
corporation,1,corporation,-11.993982315063477
costumed,2,costume_##d,-9.441030979156494
couch-potato,3,couch_-_potato,-14.189993381500244
count,1,count,-9.035680770874023
countess,2,count_##ess,-9.988446235656738
courier,2,co_##urier,-5.9023518562316895
courted,2,court_##ed,-12.419187545776367
cousin,1,cousin,-9.473997116088867
crackhead,2,crack_##head,-10.179940223693848
craftsman,2,crafts_##man,-8.005106449127197
crane,1,crane,-11.587526321411133
crashed,1,crashed,-12.547837257385254
created,1,created,-10.15074634552002
creditor,2,credit_##or,-11.973549842834473
criminal,1,criminal,-9.91672134399414
critic,1,critic,-12.523844718933105
criticized,1,criticized,-12.384740829467773
crop,1,crop,-11.323734283447266
crowd,1,crowd,-10.612309455871582
cryptographer,3,cry_##pt_##ographer,-3.9631500244140625
culprit,4,cu_##l_##p_##rit,-0.04828071594238281
cultivated,1,cultivated,-11.708684921264648
curator,1,curator,-13.147928237915039
cure,1,cure,-9.50618839263916
cushion,1,cushion,-12.018001556396484
custodian,3,cu_##sto_##dian,-0.6404552459716797
customer,1,customer,-10.308621406555176
cyclist,1,cyclist,-12.617424011230469
cynic,3,c_##yn_##ic,-1.8689689636230469
