sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-30.24203872680664,9
tensor(1),The illness caught the raider.,-32.61551523208618,9
tensor(2),The illness was caught by the raider.,-29.98009967803955,11
tensor(3),The raider was caught by the illness.,-35.72099208831787,11
tensor(4),The marauder contracted the disease.,-37.81448554992676,11
tensor(5),The disease contracted the marauder.,-49.049781799316406,11
tensor(6),The disease was contracted by the marauder.,-43.83642292022705,13
tensor(7),The marauder was contracted by the disease.,-50.89895439147949,13
tensor(8),The convict dreaded the prison.,-33.93042230606079,9
tensor(9),The prison dreaded the convict.,-35.47360563278198,9
tensor(10),The prison was dreaded by the convict.,-34.14622974395752,11
tensor(11),The convict was dreaded by the prison.,-36.72622776031494,11
tensor(12),The criminal feared the jail.,-28.35422706604004,8
tensor(13),The jail feared the criminal.,-29.102713584899902,8
tensor(14),The jail was feared by the criminal.,-30.74577045440674,10
tensor(15),The criminal was feared by the jail.,-31.99052333831787,10
tensor(16),The prostitute squandered the cash.,-42.27421808242798,10
tensor(17),The cash squandered the prostitute.,-50.33725166320801,10
tensor(18),The cash was squandered by the prostitute.,-44.52296829223633,12
tensor(19),The prostitute was squandered by the cash.,-55.75640296936035,12
tensor(20),The call girl wasted the money.,-32.34499931335449,9
tensor(21),The money wasted the call girl.,-40.61885595321655,9
tensor(22),The money was wasted by the call girl.,-26.720401287078857,11
tensor(23),The call girl was wasted by the money.,-40.329275131225586,11
tensor(24),The adventurer requested the beverage.,-31.516611099243164,9
tensor(25),The beverage requested the adventurer.,-36.620829582214355,9
tensor(26),The beverage was requested by the adventurer.,-28.959959983825684,11
tensor(27),The adventurer was requested by the beverage.,-45.48682403564453,11
tensor(28),The undertaker prepared the funeral.,-23.40733575820923,9
tensor(29),The funeral prepared the undertaker.,-32.85103988647461,9
tensor(30),The funeral was prepared by the undertaker.,-23.926820755004883,11
tensor(31),The undertaker was prepared by the funeral.,-40.187543869018555,11
tensor(32),The mortician arranged the burial.,-39.29136657714844,11
tensor(33),The burial arranged the mortician.,-54.21926164627075,11
tensor(34),The burial was arranged by the mortician.,-35.45637512207031,13
tensor(35),The mortician was arranged by the burial.,-61.813172340393066,13
tensor(36),The supervisor supplied the liquor.,-23.14548683166504,8
tensor(37),The liquor supplied the supervisor.,-32.97901201248169,8
tensor(38),The liquor was supplied by the supervisor.,-27.212794303894043,10
tensor(39),The supervisor was supplied by the liquor.,-39.217769622802734,10
tensor(40),The overseer provided the alcohol.,-26.31105661392212,9
tensor(41),The alcohol provided the overseer.,-36.9890775680542,9
tensor(42),The alcohol was provided by the overseer.,-25.448927879333496,11
tensor(43),The overseer was provided by the alcohol.,-46.31229782104492,11
tensor(44),The troublemaker crashed the car.,-19.87929105758667,9
tensor(45),The car crashed the troublemaker.,-35.133769035339355,9
tensor(46),The car was crashed by the troublemaker.,-20.19591522216797,11
tensor(47),The troublemaker was crashed by the car.,-34.66712045669556,11
tensor(48),The hooligan wrecked the vehicle.,-34.71483039855957,10
tensor(49),The vehicle wrecked the hooligan.,-40.61304187774658,10
tensor(50),The vehicle was wrecked by the hooligan.,-34.07724475860596,12
tensor(51),The hooligan was wrecked by the vehicle.,-42.97856140136719,12
tensor(52),The repairman fixed the tap.,-22.118572235107422,9
tensor(53),The tap fixed the repairman.,-35.586570262908936,9
tensor(54),The tap was fixed by the repairman.,-22.583985328674316,11
tensor(55),The repairman was fixed by the tap.,-39.07281732559204,11
tensor(56),The handyman repaired the faucet.,-41.46053409576416,12
tensor(57),The faucet repaired the handyman.,-60.433977127075195,12
tensor(58),The faucet was repaired by the handyman.,-40.208438873291016,14
tensor(59),The handyman was repaired by the faucet.,-61.10866928100586,14
tensor(60),The secretary organized the desk.,-25.51796531677246,8
tensor(61),The desk organized the secretary.,-36.20087718963623,8
tensor(62),The desk was organized by the secretary.,-26.285035133361816,10
tensor(63),The secretary was organized by the desk.,-39.45071887969971,10
tensor(64),The receptionist tidied the table.,-31.02088737487793,11
tensor(65),The table tidied the receptionist.,-46.81969928741455,11
tensor(66),The table was tidied by the receptionist.,-29.73907232284546,13
tensor(67),The receptionist was tidied by the table.,-44.64816856384277,13
tensor(68),The pilot steered the airplane.,-12.13277006149292,8
tensor(69),The airplane steered the pilot.,-26.786197662353516,8
tensor(70),The airplane was steered by the pilot.,-14.442747116088867,10
tensor(71),The pilot was steered by the airplane.,-29.94809341430664,10
tensor(72),The aviator maneuvered the jet.,-25.01790428161621,10
tensor(73),The jet maneuvered the aviator.,-32.36351919174194,10
tensor(74),The jet was maneuvered by the aviator.,-30.159119606018066,12
tensor(75),The aviator was maneuvered by the jet.,-38.48366641998291,12
tensor(76),The chef sauteed the squid.,-30.772357940673828,11
tensor(77),The squid sauteed the chef.,-40.06732177734375,11
tensor(78),The squid was sauteed by the chef.,-34.79486560821533,13
tensor(79),The chef was sauteed by the squid.,-47.934332847595215,13
tensor(80),The cook grilled the octopus.,-37.96774673461914,12
tensor(81),The octopus grilled the cook.,-43.69941520690918,12
tensor(82),The octopus was grilled by the cook.,-44.96108055114746,14
tensor(83),The cook was grilled by the octopus.,-51.85953712463379,14
tensor(84),The ship captain promised the triumph.,-36.781039237976074,9
tensor(85),The triumph promised the ship captain.,-36.473204612731934,9
tensor(86),The triumph was promised by the ship captain.,-31.89759111404419,11
tensor(87),The ship captain was promised by the triumph.,-45.14722156524658,11
tensor(88),The skipper guaranteed the victory.,-20.415849208831787,9
tensor(89),The victory guaranteed the skipper.,-28.835853576660156,9
tensor(90),The victory was guaranteed by the skipper.,-23.78902769088745,11
tensor(91),The skipper was guaranteed by the victory.,-39.920334815979004,11
tensor(92),The milliner adorned the fedora.,-40.92463254928589,10
tensor(93),The fedora adorned the milliner.,-40.37811040878296,10
tensor(94),The fedora was adorned by the milliner.,-38.388869762420654,12
tensor(95),The milliner was adorned by the fedora.,-45.34331035614014,12
tensor(96),The hatter decorated the bowler.,-36.36628246307373,9
tensor(97),The bowler decorated the hatter.,-38.540857791900635,9
tensor(98),The bowler was decorated by the hatter.,-36.66847038269043,11
tensor(99),The hatter was decorated by the bowler.,-40.39180946350098,11
tensor(100),The serviceman hoisted the flag.,-22.82197666168213,10
tensor(101),The flag hoisted the serviceman.,-37.50248670578003,10
tensor(102),The flag was hoisted by the serviceman.,-28.3333740234375,12
tensor(103),The serviceman was hoisted by the flag.,-41.075368881225586,12
tensor(104),The soldier raised the banner.,-16.051164627075195,8
tensor(105),The banner raised the soldier.,-29.82395315170288,8
tensor(106),The banner was raised by the soldier.,-18.53449583053589,10
tensor(107),The soldier was raised by the banner.,-29.864835262298584,10
tensor(108),The agent failed the mission.,-12.997531414031982,8
tensor(109),The mission failed the agent.,-21.386948585510254,8
tensor(110),The mission was failed by the agent.,-18.206941604614258,10
tensor(111),The agent was failed by the mission.,-26.833158016204834,10
tensor(112),The operative blew the assignment.,-28.297651290893555,8
tensor(113),The assignment blew the operative.,-30.365042686462402,8
tensor(114),The assignment was blown by the operative.,-29.115455627441406,10
tensor(115),The operative was blown by the assignment.,-31.504688262939453,10
tensor(116),The anchorman garbled the expression.,-41.37856101989746,11
tensor(117),The expression garbled the anchorman.,-48.85795021057129,11
tensor(118),The expression was garbled by the anchorman.,-39.804171085357666,13
tensor(119),The anchorman was garbled by the expression.,-51.61372184753418,13
tensor(120),The announcer mispronounced the word.,-41.89468479156494,11
tensor(121),The word mispronounced the announcer.,-53.43380928039551,11
tensor(122),The word was mispronounced by the announcer.,-46.698275089263916,13
tensor(123),The announcer was mispronounced by the word.,-63.151952266693115,13
tensor(124),The author finished the novel.,-11.039186477661133,8
tensor(125),The novel finished the author.,-20.938814640045166,8
tensor(126),The novel was finished by the author.,-11.551050186157227,10
tensor(127),The author was finished by the novel.,-32.161056995391846,10
tensor(128),The writer completed the book.,-16.42963743209839,8
tensor(129),The book completed the writer.,-23.05928087234497,8
tensor(130),The book was completed by the writer.,-14.263206005096436,10
tensor(131),The writer was completed by the book.,-30.669564247131348,10
tensor(132),The financier sponsored the project.,-25.229819297790527,10
tensor(133),The project sponsored the financier.,-37.61416244506836,10
tensor(134),The project was sponsored by the financier.,-26.649378299713135,12
tensor(135),The financier was sponsored by the project.,-38.36944341659546,12
tensor(136),The banker funded the program.,-27.765827655792236,8
tensor(137),The program funded the banker.,-33.49365425109863,8
tensor(138),The program was funded by the banker.,-31.731712341308594,10
tensor(139),The banker was funded by the program.,-37.29877710342407,10
tensor(140),The tourist exited the bus.,-17.459012985229492,8
tensor(141),The bus exited the tourist.,-35.58772563934326,8
tensor(142),The bus was exited by the tourist.,-25.92268705368042,10
tensor(143),The tourist was exited by the bus.,-32.462324142456055,10
tensor(144),The vacationer left the shuttle.,-30.104465007781982,9
tensor(145),The shuttle left the vacationer.,-38.45416498184204,9
tensor(146),The shuttle was left by the vacationer.,-34.58431434631348,11
tensor(147),The vacationer was left by the shuttle.,-34.909420013427734,11
tensor(148),The dietitian loathed the jam.,-51.26420211791992,11
tensor(149),The jam loathed the dietitian.,-53.21346473693848,11
tensor(150),The jam was loathed by the dietitian.,-57.43188190460205,13
tensor(151),The dietitian was loathed by the jam.,-57.22453594207764,13
tensor(152),The nutritionist detested the marmalade.,-46.012070655822754,13
tensor(153),The marmalade detested the nutritionist.,-48.139803886413574,13
tensor(154),The marmalade was detested by the nutritionist.,-47.67132568359375,15
tensor(155),The nutritionist was detested by the marmalade.,-62.38904285430908,15
tensor(156),The scientist discovered the cure.,-13.584625244140625,8
tensor(157),The cure discovered the scientist.,-29.110509395599365,8
tensor(158),The cure was discovered by the scientist.,-15.669042587280273,10
tensor(159),The scientist was discovered by the cure.,-33.84135913848877,10
tensor(160),The researcher found the remedy.,-25.310983657836914,8
tensor(161),The remedy found the researcher.,-34.59675168991089,8
tensor(162),The remedy was found by the researcher.,-24.444499492645264,10
tensor(163),The researcher was found by the remedy.,-40.24251747131348,10
tensor(164),The doctor closed the school.,-26.59097385406494,8
tensor(165),The school closed the doctor.,-32.96219444274902,8
tensor(166),The school was closed by the doctor.,-28.194793224334717,10
tensor(167),The doctor was closed by the school.,-30.757587432861328,10
tensor(168),The maid lifted the cushion.,-17.070734977722168,8
tensor(169),The cushion lifted the maid.,-31.289369583129883,8
tensor(170),The cushion was lifted by the maid.,-19.811405658721924,10
tensor(171),The maid was lifted by the cushion.,-38.025031089782715,10
tensor(172),The servant wiped the sink.,-17.21738624572754,8
