word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-0.2412738800048828
abhorred,3,ab_hor_red,-13.596576690673828
abolitionist,3,abol_ition_ist,-14.423362731933594
abused,2,ab_used,-14.967711448669434
accepted,2,accept_ed,-17.99977684020996
accompanied,1,accompanied,-21.565353393554688
accosted,3,acc_ost_ed,-17.45866298675537
accountant,2,account_ant,-11.746578216552734
accused,2,acc_used,-11.551433563232422
accuser,2,acc_user,-12.609850883483887
acquitted,2,acqu_itted,-28.251216888427734
acrobat,2,ac_robat,-14.92279052734375
activist,2,activ_ist,-10.555588722229004
actor,1,actor,-18.226425170898438
actress,2,act_ress,-9.614495277404785
actuary,2,act_uary,-13.239418029785156
address,1,address,-16.71729278564453
adjuster,2,adjust_er,-18.959392547607422
admiral,3,ad_mir_al,-6.00651741027832
admired,3,ad_m_ired,-9.538520812988281
admirer,3,ad_mire_r,-14.114362716674805
admonished,3,ad_mon_ished,-16.05089569091797
adopted,2,ad_opted,-9.565447807312012
adored,2,ad_ored,-30.566287994384766
adorned,2,ad_orned,-12.950305938720703
adventurer,3,ad_venture_r,-10.729986190795898
advisor,2,ad_visor,-12.996708869934082
affronted,3,aff_ront_ed,-15.65639591217041
agent,1,agent,-17.198833465576172
aggravated,3,agg_rav_ated,-3.912923812866211
agitated,2,ag_itated,-17.302871704101562
aide,2,a_ide,-17.196273803710938
airplane,2,air_plane,-9.9246187210083
alarmed,2,al_armed,-10.931405067443848
alcohol,1,alcohol,-16.220199584960938
alcoholic,2,alcohol_ic,-16.642370223999023
amateur,2,am_ateur,-6.447348594665527
ambassador,2,amb_assador,-9.609248161315918
amused,2,am_used,-12.543632507324219
analyst,2,an_alyst,-7.9806718826293945
anchorman,2,anch_orman,-24.7786865234375
announcer,3,ann_oun_cer,-8.627486228942871
annoyed,3,ann_oy_ed,-9.080562591552734
antagonized,3,ant_agon_ized,-15.283014297485352
anthem,2,ant_hem,-13.907506942749023
anthropologist,2,anthrop_ologist,-13.337902069091797
apartment,2,ap_artment,-9.314359664916992
applauded,4,app_l_aud_ed,-12.55296516418457
appointment,2,app_ointment,-11.79227066040039
appraiser,3,app_ra_iser,-15.15339469909668
apprehended,3,app_rehend_ed,-6.777612686157227
apprentice,2,app_rentice,-12.362565994262695
approached,2,appro_ached,-16.415851593017578
approved,1,approved,-17.66147804260254
archaeologist,3,arch_ae_ologist,-13.663995742797852
architect,2,arch_itect,-6.628597259521484
archivist,2,arch_ivist,-13.345701217651367
aristocrat,2,arist_ocrat,-16.683752059936523
arranged,2,arr_anged,-8.986410140991211
arsonist,2,arson_ist,-25.689364433288574
article,1,article,-14.297952651977539
