sentence id,ref sentence,PLL score,negative PLL score,nr. of tokens,nr. of words,avg. nr. of tokens,quantile rank
1089-134686-0000,He hoped there would be stew for dinner turnips and carrots and bruised potatoes and fat mutton pieces to be ladled out in thick peppered flour fattened sauce.,-171.27926921844482,171.27926921844482,40,28,1.4285714285714286,2
1089-134686-0001,Stuff it into you his belly counselled him.,-62.754138469696045,62.754138469696045,13,8,1.625,3
1089-134686-0002,After early nightfall the yellow lamps would light up here and there the squalid quarter of the brothels.,-72.408522605896,72.408522605896,26,18,1.4444444444444444,2
1089-134686-0003,Hello bertie any good in your mind.,-58.954524517059326,58.954524517059326,12,7,1.7142857142857142,3
1089-134686-0004,Number ten fresh nelly is waiting on you good night husband.,-67.33265542984009,67.33265542984009,15,11,1.3636363636363635,2
1089-134686-0005,The music came nearer and he recalled the words the words of shelley's fragment upon the moon wandering companionless pale for weariness.,-136.65685939788818,136.65685939788818,30,22,1.3636363636363635,2
1089-134686-0006,The dull light fell more faintly upon the page whereon another equation began to unfold itself slowly and to spread abroad its widening tail.,-121.34085941314696,121.34085941314696,29,24,1.2083333333333333,0
1089-134686-0007,A cold lucid indifference reigned in his soul.,-50.87840080261231,50.87840080261231,15,8,1.875,3
1089-134686-0008,The chaos in which his ardour extinguished itself was a cold indifferent knowledge of himself.,-80.19435930252075,80.19435930252075,23,15,1.5333333333333334,3
1089-134686-0009,At most by an alms given to a beggar whose blessing he fled from he might hope wearily to win for himself some measure of actual grace.,-125.0436305999756,125.0436305999756,33,27,1.2222222222222223,1
1089-134686-0010,Well now ennis i declare you have a head and so has my stick.,-79.0495171546936,79.0495171546936,18,14,1.2857142857142858,1
1089-134686-0011,On saturday mornings when the sodality met in the chapel to recite the little office his place was a cushioned kneeling desk at the right of the altar from which he led his wing of boys through the responses.,-186.4577341079712,186.4577341079712,47,39,1.205128205128205,0
1089-134686-0012,Her eyes seemed to regard him with mild pity her holiness a strange light glowing faintly upon her frail flesh did not humiliate the sinner who approached her.,-101.46838855743408,101.46838855743408,36,28,1.2857142857142858,1
1089-134686-0013,If ever he was impelled to cast sin from him and to repent the impulse that moved him was the wish to be her knight.,-98.4272108078003,98.4272108078003,31,25,1.24,1
1089-134686-0014,He tried to think how it could be.,-11.340326309204102,11.340326309204102,11,8,1.375,2
1089-134686-0015,But the dusk deepening in the schoolroom covered over his thoughts the bell rang.,-53.33046436309815,53.33046436309815,19,14,1.3571428571428572,2
1089-134686-0016,Then you can ask him questions on the catechism dedalus.,-54.99973154067993,54.99973154067993,17,10,1.7,3
1089-134686-0017,Stephen leaning back and drawing idly on his scribbler listened to the talk about him which heron checked from time to time by saying.,-116.44474744796752,116.44474744796752,33,24,1.375,2
1089-134686-0018,It was strange too that he found an arid pleasure in following up to the end the rigid lines of the doctrines of the church and penetrating into obscure silences only to hear and feel the more deeply his own condemnation.,-118.88475608825684,118.88475608825684,48,41,1.170731707317073,0
1089-134686-0019,The sentence of saint james which says that he who offends against one commandment becomes guilty of all had seemed to him first a swollen phrase until he had begun to grope in the darkness of his own state.,-171.34395933151245,171.34395933151245,47,39,1.205128205128205,0
1089-134686-0020,If a man had stolen a pound in his youth and had used that pound to amass a huge fortune how much was he obliged to give back the pound he had stolen only or the pound together with the compound interest accruing upon it or all his huge fortune.,-121.55833292007446,121.55833292007446,57,50,1.14,0
1089-134686-0021,If a layman in giving baptism pour the water before saying the words is the child baptized.,-68.30903339385986,68.30903339385986,21,17,1.2352941176470589,1
1089-134686-0022,How comes it that while the first beatitude promises the kingdom of heaven to the poor of heart the second beatitude promises also to the meek that they shall possess the land.,-67.39472389221191,67.39472389221191,38,32,1.1875,0
1089-134686-0023,Why was the sacrament of the eucharist instituted under the two species of bread and wine if jesus christ be present body and blood soul and divinity in the bread alone and in the wine alone.,-158.2205457687378,158.2205457687378,50,36,1.3888888888888888,2
1089-134686-0024,If the wine change into vinegar and the host crumble into corruption after they have been consecrated is jesus christ still present under their species as god and as man.,-167.90896844863892,167.90896844863892,39,30,1.3,1
1089-134686-0025,A gentle kick from the tall boy in the bench behind urged stephen to ask a difficult question.,-78.23364734649658,78.23364734649658,22,18,1.2222222222222223,1
1089-134686-0026,The rector did not ask for a catechism to hear the lesson from.,-42.35235929489136,42.35235929489136,18,13,1.3846153846153846,2
1089-134686-0027,He clasped his hands on the desk and said.,-16.06344699859619,16.06344699859619,12,9,1.3333333333333333,1
1089-134686-0028,The retreat will begin on wednesday afternoon in honour of saint francis xavier whose feast day is saturday.,-114.96427917480467,114.96427917480467,29,18,1.6111111111111112,3
1089-134686-0029,On friday confession will be heard all the afternoon after beads.,-80.41384220123291,80.41384220123291,16,11,1.4545454545454546,2
1089-134686-0030,Beware of making that mistake.,-14.149183750152588,14.149183750152588,9,5,1.8,3
1089-134686-0031,Stephen's heart began slowly to fold and fade with fear like a withering flower.,-48.09540224075317,48.09540224075317,20,14,1.4285714285714286,2
1089-134686-0032,He is called as you know the apostle of the indies.,-38.179080963134766,38.179080963134766,16,11,1.4545454545454546,2
1089-134686-0033,A great saint saint francis xavier.,-67.31862688064575,67.31862688064575,13,6,2.1666666666666665,3
1089-134686-0034,The rector paused and then shaking his clasped hands before him went on.,-37.727261543273926,37.727261543273926,16,13,1.2307692307692308,1
1089-134686-0035,He had the faith in him that moves mountains.,-38.72908163070679,38.72908163070679,12,9,1.3333333333333333,1
1089-134686-0036,A great saint saint francis xavier.,-67.31862688064575,67.31862688064575,13,6,2.1666666666666665,3
1089-134686-0037,In the silence their dark fire kindled the dusk into a tawny glow.,-65.55495119094849,65.55495119094849,19,13,1.4615384615384615,2
1089-134691-0000,He could wait no longer.,-2.3488693237304688,2.3488693237304688,8,5,1.6,3
1089-134691-0001,For a full hour he had paced up and down waiting but he could wait no longer.,-23.477371215820312,23.477371215820312,20,17,1.1764705882352942,0
1089-134691-0002,He set off abruptly for the bull walking rapidly lest his father's shrill whistle might call him back and in a few moments he had rounded the curve at the police barrack and was safe.,-122.18306493759157,122.18306493759157,43,35,1.2285714285714286,1
1089-134691-0003,The university.,-11.441360473632812,11.441360473632812,5,2,2.5,3
1089-134691-0004,Pride after satisfaction uplifted him like long slow waves.,-49.85269212722778,49.85269212722778,14,9,1.5555555555555556,3
1089-134691-0005,Whose feet are as the feet of harts and underneath the everlasting arms.,-88.13594484329224,88.13594484329224,20,13,1.5384615384615385,3
