word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-9.446882247924805
abhorred,4,a_##b_##hor_##red,-2.8736095428466797
abolitionist,2,abolition_##ist,-4.731112480163574
abused,1,abused,-10.645340919494629
accepted,1,accepted,-10.851057052612305
accompanied,1,accompanied,-11.36612319946289
accosted,3,a_##cco_##sted,-4.862204551696777
accountant,1,accountant,-10.228004455566406
accused,1,accused,-11.689492225646973
accuser,3,a_##cc_##user,-0.8751497268676758
acquitted,1,acquitted,-12.49653434753418
acrobat,4,a_##c_##ro_##bat,-0.12659645080566406
activist,1,activist,-10.486748695373535
actor,1,actor,-9.284539222717285
actress,1,actress,-9.550641059875488
actuary,2,act_##uary,-3.2982025146484375
address,1,address,-9.110475540161133
adjuster,2,adjust_##er,-10.516892433166504
admiral,1,admiral,-11.198556900024414
admired,1,admired,-11.368149757385254
admirer,2,admire_##r,-5.151821136474609
admonished,3,ad_##mon_##ished,-4.74836540222168
adopted,1,adopted,-9.506619453430176
adored,2,ad_##ored,-4.956525802612305
adorned,1,adorned,-12.7111234664917
adventurer,2,adventure_##r,-5.672072887420654
advisor,1,advisor,-11.055573463439941
affronted,4,a_##ff_##ron_##ted,-3.276491165161133
agent,1,agent,-8.499117851257324
aggravated,4,a_##gg_##ra_##vated,-0.3655891418457031
agitated,1,agitated,-12.337921142578125
aide,1,aide,-11.577832221984863
airplane,1,airplane,-9.522697448730469
alarmed,1,alarmed,-11.887260437011719
alcohol,1,alcohol,-8.447671890258789
alcoholic,1,alcoholic,-9.828754425048828
amateur,1,amateur,-9.90360164642334
ambassador,1,ambassador,-10.500146865844727
amused,1,amused,-10.697250366210938
analyst,1,analyst,-11.292007446289062
anchorman,2,anchor_##man,-10.95979118347168
announcer,1,announcer,-10.892671585083008
annoyed,1,annoyed,-10.130279541015625
antagonized,3,ant_##agon_##ized,-4.060379981994629
anthem,1,anthem,-11.292831420898438
anthropologist,1,anthropologist,-9.94611930847168
apartment,1,apartment,-8.45368480682373
applauded,3,app_##lau_##ded,-1.4158334732055664
appointment,1,appointment,-10.600664138793945
appraiser,2,app_##raiser,-6.981689453125
apprehended,4,app_##re_##hend_##ed,-0.2366180419921875
apprentice,1,apprentice,-10.161280632019043
approached,1,approached,-11.326839447021484
approved,1,approved,-10.092700958251953
archaeologist,1,archaeologist,-11.072135925292969
architect,1,architect,-9.695279121398926
archivist,2,arch_##ivist,-5.296088218688965
aristocrat,3,a_##risto_##crat,-0.024011611938476562
arranged,1,arranged,-11.087597846984863
arsonist,3,a_##rson_##ist,-1.0765743255615234
article,1,article,-9.195975303649902
artisan,2,art_##isan,-1.9728717803955078
artist,1,artist,-8.452397346496582
assailant,3,ass_##ail_##ant,-0.009149551391601562
assassin,1,assassin,-9.089737892150879
assignment,1,assignment,-10.33222770690918
assistant,1,assistant,-8.78740406036377
assisted,1,assisted,-10.803568840026855
assuaged,3,ass_##ua_##ged,-3.2997474670410156
asylum,1,asylum,-11.281603813171387
ate,1,ate,-9.636622428894043
athlete,1,athlete,-9.53715991973877
attacked,1,attacked,-11.13901424407959
attacker,1,attacker,-10.542277336120605
attendant,1,attendant,-11.47083854675293
attended,1,attended,-11.638326644897461
attired,2,attire_##d,-8.416267395019531
attorney,1,attorney,-10.002870559692383
au,1,au,-9.535390853881836
audience,1,audience,-10.085506439208984
auditor,2,audit_##or,-5.780797958374023
aunt,1,aunt,-8.833020210266113
author,1,author,-8.206822395324707
autographed,3,auto_##graph_##ed,-1.1567983627319336
aviator,2,a_##viator,-6.271247386932373
awed,2,awe_##d,-7.728588581085205
baby,1,baby,-6.4053568840026855
bachelor,1,bachelor,-8.286717414855957
badgered,2,badge_##red,-14.575104713439941
baffled,3,b_##af_##fled,-0.46210479736328125
bag,1,bag,-8.875833511352539
baguette,3,bag_##ue_##tte,-0.17805099487304688
bailiff,2,bail_##iff,-6.878593444824219
baker,2,b_##aker,-3.973386764526367
ballerina,2,ball_##erina,-1.5350933074951172
ballot,1,ballot,-12.409547805786133
banished,1,banished,-11.199379920959473
banker,1,banker,-10.421246528625488
banner,1,banner,-11.978261947631836
barber,2,bar_##ber,-5.240128517150879
baron,1,baron,-11.007346153259277
baroness,2,baron_##ess,-7.501255989074707
barrister,1,barrister,-11.66408920288086
basin,1,basin,-12.325885772705078
basted,3,b_##ast_##ed,-7.870718955993652
battery,1,battery,-10.09832763671875
bear,1,bear,-8.189125061035156
beat,1,beat,-8.491837501525879
beaten,1,beaten,-11.780287742614746
befriended,1,befriended,-11.149402618408203
befuddled,3,be_##fu_##ddled,-0.19000625610351562
begged,1,begged,-10.697176933288574
beginner,2,begin_##ner,-1.3867864608764648
begrudged,3,beg_##rudge_##d,-4.629311561584473
believed,1,believed,-10.917486190795898
belittled,3,be_##lit_##tled,-1.0187654495239258
bellboy,2,bell_##boy,-9.37205171585083
bemused,3,be_##mus_##ed,-2.7875404357910156
benefactor,3,ben_##ef_##actor,-0.2033100128173828
beneficiary,4,ben_##ef_##ici_##ary,-0.7444896697998047
bent,1,bent,-10.734814643859863
berated,2,be_##rated,-10.119242191314697
betrayed,1,betrayed,-11.589805603027344
beverage,1,beverage,-11.093995094299316
biased,2,bias_##ed,-6.402923107147217
biker,2,bike_##r,-3.2671890258789062
billed,1,billed,-13.028890609741211
biologist,1,biologist,-10.291253089904785
blackmailer,3,black_##mail_##er,-0.7608394622802734
blamed,1,blamed,-12.554125785827637
blew,1,blew,-12.82695198059082
blonde,1,blonde,-7.829651355743408
blown,1,blown,-11.504987716674805
book,1,book,-7.3985514640808105
bookkeeper,2,book_##keeper,-5.470621109008789
bookseller,2,books_##eller,-2.0935897827148438
bookworm,2,book_##worm,-3.695734977722168
borrowed,1,borrowed,-8.733451843261719
boss,1,boss,-8.424429893493652
botanist,1,botanist,-10.427994728088379
bothered,1,bothered,-11.30024528503418
bottle,1,bottle,-9.891786575317383
bought,1,bought,-10.048089027404785
bowler,1,bowler,-11.679880142211914
boy,1,boy,-6.449151992797852
boyfriend,1,boyfriend,-6.727455139160156
bribed,3,br_##ibe_##d,-4.100935935974121
bricklayer,2,brick_##layer,-6.771296501159668
brochure,3,br_##och_##ure,-0.08418464660644531
broker,1,broker,-11.929180145263672
brunette,3,br_##une_##tte,-0.013013839721679688
bulb,1,bulb,-11.55532455444336
bully,2,bull_##y,-5.175680160522461
bum,2,b_##um,-3.606487274169922
bureaucrat,2,bureau_##crat,-0.9884662628173828
burgled,3,b_##urg_##led,-10.892303466796875
burial,1,burial,-11.119625091552734
burned,1,burned,-10.483926773071289
burnt,1,burnt,-10.285411834716797
bus,1,bus,-9.50479793548584
