sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-30.40781593322754,9
tensor(1),The illness caught the raider.,-33.497572898864746,9
tensor(2),The illness was caught by the raider.,-32.439697265625,11
tensor(3),The raider was caught by the illness.,-36.78872776031494,11
tensor(4),The marauder contracted the disease.,-24.946317672729492,11
tensor(5),The disease contracted the marauder.,-37.55295944213867,11
tensor(6),The disease was contracted by the marauder.,-33.90797662734985,13
tensor(7),The marauder was contracted by the disease.,-42.00383186340332,13
tensor(8),The convict dreaded the prison.,-32.14894104003906,9
tensor(9),The prison dreaded the convict.,-33.875794410705566,9
tensor(10),The prison was dreaded by the convict.,-34.94862365722656,11
tensor(11),The convict was dreaded by the prison.,-42.98837184906006,11
tensor(12),The criminal feared the jail.,-31.693479537963867,8
tensor(13),The jail feared the criminal.,-28.742475509643555,8
tensor(14),The jail was feared by the criminal.,-30.608729362487793,10
tensor(15),The criminal was feared by the jail.,-32.980292320251465,10
tensor(16),The prostitute squandered the cash.,-38.89089107513428,10
tensor(17),The cash squandered the prostitute.,-48.7722053527832,10
tensor(18),The cash was squandered by the prostitute.,-32.945350646972656,12
tensor(19),The prostitute was squandered by the cash.,-39.831055641174316,12
tensor(20),The call girl wasted the money.,-30.950832843780518,9
tensor(21),The money wasted the call girl.,-42.67141914367676,9
tensor(22),The money was wasted by the call girl.,-28.246541500091553,11
tensor(23),The call girl was wasted by the money.,-40.615458965301514,11
tensor(24),The adventurer requested the beverage.,-31.868977546691895,9
tensor(25),The beverage requested the adventurer.,-37.88275623321533,9
tensor(26),The beverage was requested by the adventurer.,-30.966191291809082,11
tensor(27),The adventurer was requested by the beverage.,-42.314918518066406,11
tensor(28),The undertaker prepared the funeral.,-24.7171630859375,9
tensor(29),The funeral prepared the undertaker.,-34.814778327941895,9
tensor(30),The funeral was prepared by the undertaker.,-27.574979305267334,11
tensor(31),The undertaker was prepared by the funeral.,-38.55696964263916,11
tensor(32),The mortician arranged the burial.,-36.44157123565674,11
tensor(33),The burial arranged the mortician.,-50.297865867614746,11
tensor(34),The burial was arranged by the mortician.,-34.570613861083984,13
tensor(35),The mortician was arranged by the burial.,-51.16722869873047,13
tensor(36),The supervisor supplied the liquor.,-23.6090726852417,8
tensor(37),The liquor supplied the supervisor.,-29.835951805114746,8
tensor(38),The liquor was supplied by the supervisor.,-24.37606716156006,10
tensor(39),The supervisor was supplied by the liquor.,-39.24386405944824,10
tensor(40),The overseer provided the alcohol.,-27.622285842895508,9
tensor(41),The alcohol provided the overseer.,-35.802122592926025,9
tensor(42),The alcohol was provided by the overseer.,-25.208229541778564,11
tensor(43),The overseer was provided by the alcohol.,-43.32607364654541,11
tensor(44),The troublemaker crashed the car.,-17.97959327697754,9
tensor(45),The car crashed the troublemaker.,-33.21698760986328,9
tensor(46),The car was crashed by the troublemaker.,-18.141462326049805,11
tensor(47),The troublemaker was crashed by the car.,-29.895503044128418,11
tensor(48),The hooligan wrecked the vehicle.,-37.042577266693115,10
tensor(49),The vehicle wrecked the hooligan.,-39.68200874328613,10
tensor(50),The vehicle was wrecked by the hooligan.,-34.64440059661865,12
tensor(51),The hooligan was wrecked by the vehicle.,-41.1449499130249,12
tensor(52),The repairman fixed the tap.,-27.383994579315186,9
tensor(53),The tap fixed the repairman.,-39.29878091812134,9
