sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-25.308202743530273,9
tensor(1),The illness caught the raider.,-28.228866577148438,9
tensor(2),The illness was caught by the raider.,-26.38129997253418,11
tensor(3),The raider was caught by the illness.,-29.998080253601074,11
tensor(4),The marauder contracted the disease.,-6.191896438598633,11
tensor(5),The disease contracted the marauder.,-21.423672676086426,11
tensor(6),The disease was contracted by the marauder.,-15.123053073883057,13
tensor(7),The marauder was contracted by the disease.,-24.040513038635254,13
tensor(8),The convict dreaded the prison.,-24.757603645324707,9
tensor(9),The prison dreaded the convict.,-25.631875038146973,9
tensor(10),The prison was dreaded by the convict.,-26.41063642501831,11
tensor(11),The convict was dreaded by the prison.,-35.0094633102417,11
tensor(12),The criminal feared the jail.,-31.693479537963867,8
tensor(13),The jail feared the criminal.,-28.742475509643555,8
tensor(14),The jail was feared by the criminal.,-30.608729362487793,10
tensor(15),The criminal was feared by the jail.,-32.980292320251465,10
tensor(16),The prostitute squandered the cash.,-15.238931655883789,10
tensor(17),The cash squandered the prostitute.,-21.18163013458252,10
tensor(18),The cash was squandered by the prostitute.,-14.263487815856934,12
tensor(19),The prostitute was squandered by the cash.,-22.84529399871826,12
tensor(20),The call girl wasted the money.,-30.950832843780518,9
tensor(21),The money wasted the call girl.,-42.67141914367676,9
tensor(22),The money was wasted by the call girl.,-28.246541500091553,11
tensor(23),The call girl was wasted by the money.,-40.615458965301514,11
tensor(24),The adventurer requested the beverage.,-24.621797561645508,9
tensor(25),The beverage requested the adventurer.,-33.01378059387207,9
tensor(26),The beverage was requested by the adventurer.,-25.956829071044922,11
tensor(27),The adventurer was requested by the beverage.,-39.4860258102417,11
tensor(28),The undertaker prepared the funeral.,-13.514209747314453,9
tensor(29),The funeral prepared the undertaker.,-25.286745071411133,9
tensor(30),The funeral was prepared by the undertaker.,-18.41446828842163,11
tensor(31),The undertaker was prepared by the funeral.,-31.577046394348145,11
tensor(32),The mortician arranged the burial.,-12.293192863464355,11
tensor(33),The burial arranged the mortician.,-29.894423484802246,11
tensor(34),The burial was arranged by the mortician.,-12.01423168182373,13
tensor(35),The mortician was arranged by the burial.,-30.70811176300049,13
tensor(36),The supervisor supplied the liquor.,-23.6090726852417,8
tensor(37),The liquor supplied the supervisor.,-29.835951805114746,8
tensor(38),The liquor was supplied by the supervisor.,-24.37606716156006,10
tensor(39),The supervisor was supplied by the liquor.,-39.24386405944824,10
tensor(40),The overseer provided the alcohol.,-20.007568359375,9
tensor(41),The alcohol provided the overseer.,-29.65308904647827,9
tensor(42),The alcohol was provided by the overseer.,-16.757137775421143,11
tensor(43),The overseer was provided by the alcohol.,-36.99936628341675,11
tensor(44),The troublemaker crashed the car.,-12.361639976501465,9
tensor(45),The car crashed the troublemaker.,-27.399292945861816,9
tensor(46),The car was crashed by the troublemaker.,-13.360614776611328,11
tensor(47),The troublemaker was crashed by the car.,-24.231863021850586,11
tensor(48),The hooligan wrecked the vehicle.,-13.697547435760498,10
tensor(49),The vehicle wrecked the hooligan.,-20.95798397064209,10
tensor(50),The vehicle was wrecked by the hooligan.,-13.133345603942871,12
tensor(51),The hooligan was wrecked by the vehicle.,-19.87683391571045,12
tensor(52),The repairman fixed the tap.,-22.414251804351807,9
tensor(53),The tap fixed the repairman.,-34.49825620651245,9
tensor(54),The tap was fixed by the repairman.,-24.00977897644043,11
tensor(55),The repairman was fixed by the tap.,-37.868430614471436,11
tensor(56),The handyman repaired the faucet.,-12.026266098022461,12
tensor(57),The faucet repaired the handyman.,-22.09229803085327,12
tensor(58),The faucet was repaired by the handyman.,-12.673144340515137,14
tensor(59),The handyman was repaired by the faucet.,-22.295852661132812,14
tensor(60),The secretary organized the desk.,-25.010560035705566,8
tensor(61),The desk organized the secretary.,-32.431077003479004,8
tensor(62),The desk was organized by the secretary.,-24.19127368927002,10
tensor(63),The secretary was organized by the desk.,-39.53537654876709,10
tensor(64),The receptionist tidied the table.,-4.1083879470825195,11
tensor(65),The table tidied the receptionist.,-13.699501991271973,11
tensor(66),The table was tidied by the receptionist.,-4.362256050109863,13
tensor(67),The receptionist was tidied by the table.,-14.037283897399902,13
tensor(68),The pilot steered the airplane.,-11.999511241912842,8
tensor(69),The airplane steered the pilot.,-27.852972984313965,8
tensor(70),The airplane was steered by the pilot.,-11.674612045288086,10
tensor(71),The pilot was steered by the airplane.,-27.34223461151123,10
tensor(72),The aviator maneuvered the jet.,-9.280197143554688,10
tensor(73),The jet maneuvered the aviator.,-17.298877716064453,10
tensor(74),The jet was maneuvered by the aviator.,-15.328306674957275,12
