word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-10.326457023620605
abhorred,4,a_##b_##hor_##red,-16.732390880584717
abolitionist,2,abolition_##ist,-13.959217071533203
abused,1,abused,-12.824850082397461
accepted,1,accepted,-7.681039810180664
accompanied,1,accompanied,-13.643889427185059
accosted,3,a_##cco_##sted,-11.984892845153809
accountant,1,accountant,-12.324872970581055
accused,1,accused,-12.617366790771484
accuser,3,a_##cc_##user,-12.879449844360352
acquitted,1,acquitted,-10.195540428161621
acrobat,4,a_##c_##ro_##bat,-15.995617389678955
activist,1,activist,-12.474014282226562
actor,1,actor,-12.409002304077148
actress,1,actress,-13.000497817993164
actuary,2,act_##uary,-15.045446872711182
address,1,address,-14.074803352355957
adjuster,2,adjust_##er,-16.15347194671631
admiral,1,admiral,-11.101195335388184
admired,1,admired,-12.185750007629395
admirer,2,admire_##r,-11.844769477844238
admonished,3,ad_##mon_##ished,-18.910149097442627
adopted,1,adopted,-9.129725456237793
adored,2,ad_##ored,-14.511126518249512
adorned,1,adorned,-14.502195358276367
adventurer,2,adventure_##r,-10.5220947265625
advisor,1,advisor,-12.277642250061035
affronted,4,a_##ff_##ron_##ted,-20.886776447296143
agent,1,agent,-9.584738731384277
aggravated,4,a_##gg_##ra_##vated,-17.467034816741943
agitated,1,agitated,-15.531883239746094
aide,1,aide,-14.111529350280762
airplane,1,airplane,-13.856063842773438
alarmed,1,alarmed,-13.943967819213867
alcohol,1,alcohol,-12.422873497009277
alcoholic,1,alcoholic,-13.895874977111816
amateur,1,amateur,-10.198217391967773
ambassador,1,ambassador,-10.824166297912598
amused,1,amused,-12.877776145935059
analyst,1,analyst,-13.845067977905273
anchorman,2,anchor_##man,-16.157238006591797
announcer,1,announcer,-15.253992080688477
annoyed,1,annoyed,-13.530399322509766
antagonized,3,ant_##agon_##ized,-19.848151206970215
anthem,1,anthem,-14.87460708618164
anthropologist,1,anthropologist,-15.409794807434082
apartment,1,apartment,-12.618072509765625
applauded,3,app_##lau_##ded,-18.436789989471436
appointment,1,appointment,-12.251447677612305
appraiser,2,app_##raiser,-16.9412260055542
apprehended,4,app_##re_##hend_##ed,-14.833608627319336
apprentice,1,apprentice,-10.458616256713867
approached,1,approached,-12.732156753540039
approved,1,approved,-8.56773567199707
archaeologist,1,archaeologist,-14.937469482421875
architect,1,architect,-13.705129623413086
archivist,2,arch_##ivist,-14.879605293273926
aristocrat,3,a_##risto_##crat,-10.838360786437988
arranged,1,arranged,-11.661897659301758
arsonist,3,a_##rson_##ist,-10.812796115875244
article,1,article,-12.337682723999023
artisan,2,art_##isan,-12.593344688415527
artist,1,artist,-11.389620780944824
assailant,3,ass_##ail_##ant,-17.437517166137695
assassin,1,assassin,-9.632244110107422
assignment,1,assignment,-12.935538291931152
assistant,1,assistant,-12.13791561126709
assisted,1,assisted,-12.944090843200684
assuaged,3,ass_##ua_##ged,-18.69017791748047
asylum,1,asylum,-12.032205581665039
ate,1,ate,-13.316394805908203
athlete,1,athlete,-13.421433448791504
attacked,1,attacked,-11.385655403137207
attacker,1,attacker,-12.564814567565918
attendant,1,attendant,-16.17188835144043
attended,1,attended,-13.56762409210205
attired,2,attire_##d,-15.863548278808594
attorney,1,attorney,-11.260832786560059
au,1,au,-12.467501640319824
audience,1,audience,-12.751166343688965
auditor,2,audit_##or,-13.384126663208008
aunt,1,aunt,-11.076536178588867
author,1,author,-11.346695899963379
autographed,3,auto_##graph_##ed,-12.828392028808594
aviator,2,a_##viator,-12.20561933517456
awed,2,awe_##d,-12.025418281555176
baby,1,baby,-9.104649543762207
bachelor,1,bachelor,-10.99795913696289
badgered,2,badge_##red,-15.639568328857422
baffled,3,b_##af_##fled,-15.68466329574585
bag,1,bag,-11.353415489196777
baguette,3,bag_##ue_##tte,-21.534448623657227
bailiff,2,bail_##iff,-13.63417673110962
baker,2,b_##aker,-13.863093376159668
ballerina,2,ball_##erina,-13.302988052368164
ballot,1,ballot,-14.334245681762695
banished,1,banished,-11.163119316101074
banker,1,banker,-12.087252616882324
banner,1,banner,-12.762188911437988
barber,2,bar_##ber,-14.747159004211426
baron,1,baron,-10.590803146362305
baroness,2,baron_##ess,-13.788660049438477
barrister,1,barrister,-11.74864387512207
basin,1,basin,-14.013797760009766
basted,3,b_##ast_##ed,-15.94950008392334
battery,1,battery,-12.9599609375
bear,1,bear,-8.523725509643555
beat,1,beat,-10.918632507324219
beaten,1,beaten,-10.789292335510254
befriended,1,befriended,-12.331660270690918
befuddled,3,be_##fu_##ddled,-18.19673776626587
begged,1,begged,-11.304402351379395
beginner,2,begin_##ner,-11.079383850097656
begrudged,3,beg_##rudge_##d,-13.189908981323242
believed,1,believed,-9.672282218933105
belittled,3,be_##lit_##tled,-19.08305597305298
bellboy,2,bell_##boy,-17.126484870910645
bemused,3,be_##mus_##ed,-18.07699155807495
benefactor,3,ben_##ef_##actor,-15.860106945037842
beneficiary,4,ben_##ef_##ici_##ary,-17.488137245178223
bent,1,bent,-11.822013854980469
berated,2,be_##rated,-17.402061462402344
betrayed,1,betrayed,-10.63709545135498
beverage,1,beverage,-15.243189811706543
biased,2,bias_##ed,-14.702659606933594
biker,2,bike_##r,-12.461161613464355
billed,1,billed,-14.524738311767578
biologist,1,biologist,-16.024242401123047
blackmailer,3,black_##mail_##er,-10.235420227050781
blamed,1,blamed,-14.666009902954102
blew,1,blew,-13.94892692565918
blonde,1,blonde,-12.33194637298584
blown,1,blown,-11.797582626342773
book,1,book,-10.460431098937988
bookkeeper,2,book_##keeper,-13.382343769073486
bookseller,2,books_##eller,-13.346134185791016
bookworm,2,book_##worm,-10.594758987426758
borrowed,1,borrowed,-10.055599212646484
boss,1,boss,-7.568166732788086
botanist,1,botanist,-14.642557144165039
bothered,1,bothered,-15.011969566345215
bottle,1,bottle,-9.916460037231445
bought,1,bought,-9.987215995788574
bowler,1,bowler,-15.978742599487305
boy,1,boy,-8.770695686340332
boyfriend,1,boyfriend,-9.900677680969238
bribed,3,br_##ibe_##d,-12.195516586303711
bricklayer,2,brick_##layer,-14.907975196838379
brochure,3,br_##och_##ure,-15.156667709350586
broker,1,broker,-11.990644454956055
brunette,3,br_##une_##tte,-16.7828950881958
bulb,1,bulb,-14.571433067321777
bully,2,bull_##y,-9.400813102722168
bum,2,b_##um,-11.054574012756348
bureaucrat,2,bureau_##crat,-15.703904151916504
burgled,3,b_##urg_##led,-17.953405380249023
burial,1,burial,-12.698697090148926
burned,1,burned,-12.256430625915527
burnt,1,burnt,-12.128064155578613
bus,1,bus,-13.782937049865723
busboy,2,bus_##boy,-15.90264892578125
businessman,1,businessman,-10.270378112792969
