word,nr. of tokens,tokens,word score
thorn,2,th_##orn,-4.427412986755371
thornburg,3,th_##orn_##burg,-18.969239234924316
thorny,3,th_##orn_##y,-1.2068138122558594
thorough,1,thorough,-9.41013240814209
thoroughfares,3,thorough_##fare_##s,-7.456789970397949
thoroughly,1,thoroughly,-10.675594329833984
those,1,those,-9.856840133666992
thou,1,thou,-9.732882499694824
though,1,though,-9.06515121459961
thought,1,thought,-10.217986106872559
thoughtful,1,thoughtful,-11.193156242370605
thoughtfully,1,thoughtfully,-12.839781761169434
thoughtfulness,2,thoughtful_##ness,-6.2476935386657715
thoughts,1,thoughts,-13.239713668823242
thousand,1,thousand,-12.45357894897461
thousands,1,thousands,-12.51327133178711
thousandth,2,thousand_##th,-10.770575523376465
thrashed,3,th_##rash_##ed,-5.844601631164551
thread,1,thread,-10.452920913696289
threaded,2,thread_##ed,-9.319799423217773
threading,2,thread_##ing,-13.82304048538208
threads,1,threads,-13.309075355529785
threat,1,threat,-9.361918449401855
threaten,1,threaten,-12.590514183044434
threatened,1,threatened,-11.550183296203613
threatening,1,threatening,-12.407896041870117
threateningly,2,threatening_##ly,-18.14066743850708
threatens,1,threatens,-12.53318977355957
threats,1,threats,-11.214481353759766
three,1,three,-8.242368698120117
threefold,2,three_##fold,-7.6779465675354
threes,2,three_##s,-13.598164558410645
threshed,3,th_##resh_##ed,-5.722563743591309
threshhold,3,th_##resh_##hold,-18.393741607666016
threshold,1,threshold,-12.395301818847656
threw,1,threw,-13.760458946228027
thrifty,3,th_##rift_##y,-4.586138725280762
thrill,1,thrill,-12.291125297546387
thrilled,1,thrilled,-11.503921508789062
thrilling,2,thrill_##ing,-4.413627624511719
thrived,3,th_##rive_##d,-3.739516258239746
thriving,1,thriving,-11.132044792175293
throat,1,throat,-12.28178596496582
throats,2,throat_##s,-12.945959091186523
throaty,2,throat_##y,-8.259257793426514
throbbed,3,th_##ro_##bbed,-4.904142379760742
throbbing,1,throbbing,-14.678268432617188
throes,3,th_##ro_##es,-6.612367630004883
throne,1,throne,-12.820773124694824
throneberry,2,throne_##berry,-29.761706352233887
throng,2,th_##rong,-5.380148410797119
throttle,3,th_##rot_##tle,-0.3091907501220703
through,1,through,-8.284307479858398
throughout,1,throughout,-11.38900375366211
throw,1,throw,-12.623144149780273
throwed,2,throw_##ed,-20.73914623260498
throwing,1,throwing,-14.70998477935791
thrown,1,thrown,-11.88226318359375
throws,1,throws,-15.839680671691895
thru,2,th_##ru,-7.455320358276367
thrust,1,thrust,-13.603070259094238
thrusting,1,thrusting,-17.167617797851562
thrusts,2,thrust_##s,-12.20759105682373
thruway,3,th_##ru_##way,-10.625092506408691
thud,1,thud,-13.113672256469727
thudding,2,thud_##ding,-4.738191604614258
thumb,1,thumb,-10.968119621276855
thumbed,2,thumb_##ed,-12.070828437805176
thumbnail,2,thumb_##nail,-4.174603462219238
thump,1,thump,-13.519028663635254
thumping,2,thump_##ing,-7.009548187255859
thunder,1,thunder,-11.61336898803711
thunderclaps,4,thunder_##c_##lap_##s,-2.511098861694336
thundered,2,thunder_##ed,-16.36154317855835
thunk,2,th_##unk,-6.184966087341309
thurber,3,th_##ur_##ber,-15.379868030548096
thursday,3,th_##urs_##day,-16.981146335601807
thus,1,thus,-10.705891609191895
thy,1,thy,-11.864158630371094
thyroglobulin,5,thy_##rog_##lo_##bul_##in,-5.842902183532715
thyroid,2,thy_##roid,-17.48197078704834
thyrotrophic,4,thy_##rot_##rop_##hic,-7.865994453430176
thyrotrophin,4,thy_##rot_##rop_##hin,-12.254671096801758
thyroxine,4,thy_##ro_##xin_##e,-2.2998008728027344
tiao,3,t_##ia_##o,-11.953535079956055
tiber,2,t_##iber,-15.396132469177246
tibet,3,t_##ibe_##t,-12.309332370758057
tibetan,3,t_##ibe_##tan,-14.288610458374023
tiburon,3,t_##ib_##uron,-12.464417457580566
tick,2,t_##ick,-5.0319414138793945
ticker,2,t_##icker,-6.320893287658691
ticket,1,ticket,-13.136495590209961
tickets,1,tickets,-14.63444709777832
ticonderoga,4,t_##ico_##nder_##oga,-10.12573528289795
tidbits,4,t_##id_##bit_##s,-0.12131690979003906
tide,1,tide,-12.23015022277832
tides,2,tide_##s,-8.609174728393555
tidewater,2,tide_##water,-9.451471328735352
tidiness,3,t_##id_##iness,-4.474237442016602
tidings,3,t_##iding_##s,-3.636223793029785
tie,1,tie,-11.230262756347656
tied,1,tied,-11.485795021057129
tiepolo,3,tie_##pol_##o,-17.77142906188965
tiered,2,tier_##ed,-11.706673622131348
ties,1,ties,-12.197257995605469
