word,nr. of tokens,tokens,word score
abandoned,3,ab_andon_ed,-10.534906387329102
abhorred,3,ab_hor_red,-15.027986526489258
abolitionist,3,abol_ition_ist,-10.29192066192627
abused,2,ab_used,-11.192790985107422
accepted,2,accept_ed,-10.819940567016602
accompanied,1,accompanied,-12.5865478515625
accosted,3,acc_ost_ed,-15.64302682876587
accountant,2,account_ant,-12.345963478088379
accused,2,acc_used,-12.09267807006836
accuser,2,acc_user,-13.113903045654297
acquitted,2,acqu_itted,-16.99188995361328
acrobat,2,ac_robat,-10.875102996826172
activist,2,activ_ist,-9.30497932434082
actor,1,actor,-10.267879486083984
actress,2,act_ress,-12.864599227905273
actuary,2,act_uary,-11.720682144165039
address,1,address,-10.909259796142578
adjuster,2,adjust_er,-13.747161865234375
admiral,3,ad_mir_al,-11.84324836730957
admired,3,ad_m_ired,-13.424301147460938
admirer,3,ad_mire_r,-12.102640151977539
admonished,3,ad_mon_ished,-16.05321502685547
adopted,2,ad_opted,-10.856758117675781
adored,2,ad_ored,-15.092815399169922
adorned,2,ad_orned,-13.356132507324219
adventurer,3,ad_venture_r,-10.717141151428223
advisor,2,ad_visor,-11.969802856445312
affronted,3,aff_ront_ed,-16.165759086608887
agent,1,agent,-9.616519927978516
aggravated,3,agg_rav_ated,-12.02626371383667
agitated,2,ag_itated,-12.265983581542969
aide,2,a_ide,-12.576461791992188
airplane,2,air_plane,-9.87960433959961
alarmed,2,al_armed,-13.359554290771484
alcohol,1,alcohol,-7.441535949707031
alcoholic,2,alcohol_ic,-8.840808868408203
amateur,2,am_ateur,-8.715675354003906
ambassador,2,amb_assador,-10.634357452392578
amused,2,am_used,-12.032806396484375
analyst,2,an_alyst,-12.009288787841797
anchorman,2,anch_orman,-13.635673522949219
announcer,3,ann_oun_cer,-12.704610705375671
annoyed,3,ann_oy_ed,-13.149906158447266
antagonized,3,ant_agon_ized,-15.939736366271973
anthem,2,ant_hem,-12.101558685302734
anthropologist,2,anthrop_ologist,-10.907903671264648
apartment,2,ap_artment,-9.664352416992188
applauded,4,app_l_aud_ed,-15.922754287719727
appointment,2,app_ointment,-11.724502563476562
appraiser,3,app_ra_iser,-15.606328010559082
