word,nr. of tokens,tokens,word score
a,1,a,-6.932022571563721
abandoned,1,abandoned,-10.32645320892334
abbe,2,a_##bbe,-12.50099802017212
abduction,3,a_##b_##duction,-10.196237564086914
ability,1,ability,-10.396440505981445
abjectly,3,a_##bject_##ly,-17.27976369857788
able,1,able,-8.497260093688965
abner,2,a_##bner,-12.376831531524658
aboard,1,aboard,-12.630193710327148
abolitionism,2,abolition_##ism,-16.005149841308594
abolitionists,2,abolition_##ists,-17.08527946472168
about,1,about,-10.18166732788086
above,1,above,-9.321952819824219
abraham,3,a_##bra_##ham,-19.39011287689209
abroad,1,abroad,-12.966060638427734
abruptly,1,abruptly,-14.288780212402344
absence,1,absence,-12.725634574890137
absent,1,absent,-11.045689582824707
absolute,1,absolute,-7.582430362701416
absolutely,1,absolutely,-6.822658538818359
absorbed,1,absorbed,-12.54296875
abstraction,2,abstract_##ion,-12.651521682739258
abstractions,2,abstract_##ions,-16.747434616088867
absurd,1,absurd,-9.907647132873535
absurdities,2,absurd_##ities,-14.355308055877686
absurdity,2,absurd_##ity,-10.668184280395508
accent,1,accent,-14.233610153198242
accents,2,accent_##s,-16.01641273498535
acceptable,1,acceptable,-7.888487815856934
accepted,1,accepted,-7.681037902832031
accepting,1,accepting,-10.139054298400879
accessories,1,accessories,-14.607882499694824
accident,1,accident,-10.566561698913574
accidents,1,accidents,-12.670206069946289
acclamations,4,a_##cc_##lam_##ations,-27.6779203414917
accommodation,1,accommodation,-13.493906021118164
accommodations,2,accommodation_##s,-12.99364948272705
accompanied,1,accompanied,-13.643889427185059
accompany,1,accompany,-14.796919822692871
accomplished,1,accomplished,-10.1909818649292
accomplishment,2,accomplish_##ment,-12.201959609985352
accord,1,accord,-9.752886772155762
accordance,1,accordance,-11.953453063964844
according,1,according,-10.680511474609375
accordingly,1,accordingly,-10.898124694824219
account,1,account,-10.280736923217773
accounted,1,accounted,-13.585179328918457
accounts,1,accounts,-13.29233169555664
accoutrements,5,a_##cco_##ut_##rem_##ents,-26.678629398345947
accruing,4,a_##cc_##ru_##ing,-18.86741542816162
accuracy,1,accuracy,-10.534241676330566
accurate,1,accurate,-8.273914337158203
accurately,1,accurately,-10.605132102966309
accuse,3,a_##cc_##use,-12.24289608001709
accustomed,1,accustomed,-12.547781944274902
ace,1,ace,-8.099114418029785
achieved,1,achieved,-9.86568546295166
achievement,1,achievement,-12.192108154296875
achievements,1,achievements,-13.612677574157715
acknowledge,1,acknowledge,-11.820192337036133
acknowledged,1,acknowledged,-10.8868408203125
acknowledgement,2,acknowledge_##ment,-12.118613243103027
acknowledges,2,acknowledge_##s,-19.85149335861206
acorn,2,a_##corn,-13.79839563369751
acquaint,4,a_##c_##qua_##int,-18.23224925994873
acquaintance,1,acquaintance,-10.158989906311035
acquainted,1,acquainted,-12.594243049621582
acquire,1,acquire,-10.85866641998291
acquires,2,acquire_##s,-14.782983779907227
across,1,across,-11.435506820678711
act,1,act,-8.36758804321289
acting,1,acting,-10.970309257507324
action,1,action,-9.677125930786133
active,1,active,-9.784525871276855
actively,1,actively,-13.839465141296387
activity,1,activity,-13.23780345916748
actor,1,actor,-12.409004211425781
actors,1,actors,-13.490857124328613
actress,1,actress,-13.000499725341797
acts,1,acts,-11.800331115722656
actual,1,actual,-10.80462646484375
actually,1,actually,-9.530503273010254
acute,1,acute,-11.65274429321289
added,1,added,-11.481903076171875
additional,1,additional,-12.662873268127441
address,1,address,-14.074800491333008
addressed,1,addressed,-13.956042289733887
addressing,1,addressing,-17.55095672607422
adherents,3,ad_##here_##nts,-18.65880584716797
adjust,1,adjust,-12.728377342224121
administration,1,administration,-12.176204681396484
admiration,1,admiration,-12.016439437866211
admired,1,admired,-12.185750961303711
admiring,2,ad_##miring,-15.168200492858887
admit,1,admit,-10.929285049438477
admittance,3,admit_##tan_##ce,-24.519495010375977
admitted,1,admitted,-10.44377613067627
admitting,1,admitting,-13.487943649291992
adolescence,3,ad_##ole_##scence,-18.825358390808105
adona,2,ad_##ona,-18.363543033599854
adopted,1,adopted,-9.12972354888916
adoration,2,ad_##oration,-14.268630981445312
