word,nr. of tokens,tokens,word score
enright,2,en_##right,-19.504389762878418
enroll,2,en_##roll,-21.165374755859375
enrolled,1,enrolled,-13.427729606628418
enrollment,1,enrollment,-17.05829620361328
enrollments,2,enrollment_##s,-19.555986881256104
ensemble,1,ensemble,-13.881771087646484
ensign,2,en_##sign,-23.511564254760742
ensue,3,en_##su_##e,-26.711747646331787
ensued,1,ensued,-14.207051277160645
ensues,3,en_##su_##es,-27.99350357055664
ensuing,1,ensuing,-14.533838272094727
ensure,1,ensure,-9.915996551513672
entail,2,en_##tail,-23.8873291015625
entails,2,en_##tails,-25.168890953063965
enter,1,enter,-11.602160453796387
entered,1,entered,-12.625951766967773
entering,1,entering,-13.201297760009766
enterprise,1,enterprise,-11.72957992553711
enterprises,1,enterprises,-15.612373352050781
enterprising,3,enter_##p_##rising,-31.61892795562744
enters,1,enters,-14.52087688446045
entertain,1,entertain,-13.260370254516602
entertained,1,entertained,-13.208227157592773
entertainer,2,entertain_##er,-18.699124336242676
entertaining,1,entertaining,-13.41726303100586
entertainment,1,entertainment,-11.782974243164062
enthusiasm,1,enthusiasm,-13.099488258361816
enthusiast,4,en_##thus_##ias_##t,-40.81829261779785
enthusiastic,1,enthusiastic,-11.036333084106445
enthusiastically,2,enthusiastic_##ally,-22.210660934448242
entire,1,entire,-9.924874305725098
entirely,1,entirely,-10.858710289001465
entirety,1,entirety,-13.943147659301758
entities,1,entities,-12.65335750579834
entitle,3,en_##ti_##tle,-33.25046730041504
entitled,1,entitled,-10.490535736083984
entitles,3,en_##ti_##tles,-33.807464599609375
entity,1,entity,-10.580772399902344
entourage,3,en_##tour_##age,-31.370420455932617
entrance,1,entrance,-13.056989669799805
entranced,2,entrance_##d,-19.288293838500977
entreated,3,en_##tre_##ated,-33.56386661529541
entrenched,3,en_##tre_##nched,-37.46910572052002
entries,1,entries,-13.784724235534668
entropy,2,en_##tropy,-22.967016220092773
entry,1,entry,-11.246464729309082
enumerated,3,en_##ume_##rated,-35.51796245574951
envelope,1,envelope,-12.409814834594727
envelopes,2,envelope_##s,-16.10429048538208
envenomed,4,en_##ven_##ome_##d,-40.342204570770264
enver,2,en_##ver,-19.955002784729004
envied,2,en_##vied,-25.815345764160156
enviously,3,en_##vious_##ly,-27.734054565429688
environing,3,en_##vir_##oning,-33.90228271484375
environment,1,environment,-12.150440216064453
environmental,1,environmental,-12.489726066589355
environments,1,environments,-14.692392349243164
envisioned,1,envisioned,-16.436187744140625
envy,1,envy,-14.482246398925781
enzymatic,3,en_##zy_##matic,-35.76761341094971
enzyme,1,enzyme,-13.974983215332031
enzymes,1,enzymes,-15.719298362731934
ephesus,3,e_##phe_##sus,-34.62247657775879
epic,1,epic,-10.088875770568848
epics,2,epic_##s,-13.365736484527588
epicurus,2,epic_##urus,-21.963622093200684
epicycles,3,epic_##ycle_##s,-27.253599643707275
epidemic,1,epidemic,-12.33100414276123
epigraph,3,e_##pi_##graph,-34.804094314575195
epileptic,3,e_##pile_##ptic,-33.69569110870361
epilogue,3,e_##pi_##logue,-35.41579055786133
epiphany,4,e_##pi_##pha_##ny,-40.84582233428955
epiphysis,4,e_##pi_##phy_##sis,-43.85860633850098
episcopal,1,episcopal,-13.928165435791016
episode,1,episode,-13.235475540161133
episodes,1,episodes,-15.582124710083008
epistemology,4,e_##pis_##tem_##ology,-44.259005546569824
epistles,3,e_##pis_##tles,-31.617443084716797
epitaph,3,e_##pit_##aph,-33.2304048538208
epithets,2,epithet_##s,-19.157442569732666
epitomized,4,e_##pit_##omi_##zed,-46.7001256942749
epoch,3,e_##po_##ch,-28.764907836914062
epsilon,3,e_##ps_##ilon,-31.271416664123535
epsom,3,e_##ps_##om,-29.590843200683594
epstein,3,e_##ps_##tein,-31.575716972351074
equal,1,equal,-9.344619750976562
equality,1,equality,-10.326251983642578
equally,1,equally,-11.60622501373291
equals,1,equals,-10.308818817138672
equanimity,4,e_##qua_##ni_##mity,-45.53247833251953
equate,3,e_##qua_##te,-30.881896018981934
equated,3,e_##qua_##ted,-31.33671760559082
equating,3,e_##qua_##ting,-30.695024490356445
equation,1,equation,-11.839256286621094
equations,1,equations,-13.590566635131836
equator,3,e_##qua_##tor,-30.608055114746094
equatorial,2,e_##quatorial,-21.538897037506104
equidistant,4,e_##quid_##istan_##t,-39.94636058807373
equilibrium,1,equilibrium,-12.329663276672363
equilibriums,2,equilibrium_##s,-17.35534143447876
equine,3,e_##quin_##e,-27.3410906791687
equines,3,e_##quin_##es,-28.622846603393555
equip,3,e_##qui_##p,-29.06386375427246
equipment,1,equipment,-13.12139892578125
equipped,1,equipped,-12.266014099121094
equitable,3,e_##qui_##table,-33.415425300598145
equitably,4,e_##qui_##ta_##bly,-42.49660873413086
equity,1,equity,-11.14071273803711
equivalence,3,e_##qui_##valence,-36.60204601287842
equivalent,1,equivalent,-11.925019264221191
equivalents,2,equivalent_##s,-15.5794997215271
equivocal,4,e_##qui_##voc_##al,-41.80954933166504
era,1,era,-11.55391788482666
eradication,2,era_##dication,-24.986787796020508
erasing,2,era_##sing,-23.62461757659912
erect,1,erect,-13.321969985961914
erected,1,erected,-12.805304527282715
erection,1,erection,-14.914090156555176
erects,2,erect_##s,-16.271297931671143
ergotropic,3,er_##got_##ropic,-37.230661392211914
erhart,2,er_##hart,-21.39232063293457
erikson,3,er_##ik_##son,-30.26127529144287
ernest,3,er_##nes_##t,-28.391804695129395
ernie,2,er_##nie,-19.949268341064453
ernst,2,er_##nst,-22.401670455932617
eroded,1,eroded,-15.57419204711914
eromonga,3,er_##omo_##nga,-35.66950988769531
eros,2,er_##os,-17.8190336227417
erosion,1,erosion,-14.535295486450195
erotic,1,erotic,-13.420564651489258
erotically,2,erotic_##ally,-24.058871269226074
