sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-44.174861907958984,13
tensor(1),The illness caught the raider.,-54.414363861083984,13
tensor(2),The illness was caught by the raider.,-43.791452407836914,13
tensor(3),The raider was caught by the illness.,-43.651856422424316,13
tensor(4),The marauder contracted the disease.,-31.9760160446167,13
tensor(5),The disease contracted the marauder.,-60.26923751831055,13
tensor(6),The disease was contracted by the marauder.,-35.93322706222534,13
tensor(7),The marauder was contracted by the disease.,-46.04181957244873,13
tensor(8),The convict dreaded the prison.,-31.998845100402832,13
tensor(9),The prison dreaded the convict.,-28.549938201904297,13
tensor(10),The prison was dreaded by the convict.,-32.35372257232666,13
tensor(11),The convict was dreaded by the prison.,-35.88709354400635,13
tensor(12),The criminal feared the jail.,-33.798773765563965,13
tensor(13),The jail feared the criminal.,-39.1071081161499,13
tensor(14),The jail was feared by the criminal.,-36.6531400680542,13
tensor(15),The criminal was feared by the jail.,-36.24158000946045,13
tensor(16),The prostitute squandered the cash.,-36.39855194091797,13
tensor(17),The cash squandered the prostitute.,-59.615604400634766,13
tensor(18),The cash was squandered by the prostitute.,-41.270931243896484,13
tensor(19),The prostitute was squandered by the cash.,-54.84049034118652,13
tensor(20),The call girl wasted the money.,-30.045475006103516,13
tensor(21),The money wasted the call girl.,-44.57905149459839,13
tensor(22),The money was wasted by the call girl.,-28.546338081359863,13
tensor(23),The call girl was wasted by the money.,-40.447025299072266,13
tensor(24),The adventurer requested the beverage.,-35.96254634857178,13
tensor(25),The beverage requested the adventurer.,-50.46632099151611,13
tensor(26),The beverage was requested by the adventurer.,-31.499698638916016,13
tensor(27),The adventurer was requested by the beverage.,-50.32230758666992,13
tensor(28),The undertaker prepared the funeral.,-30.35270404815674,13
tensor(29),The funeral prepared the undertaker.,-47.56130504608154,13
tensor(30),The funeral was prepared by the undertaker.,-31.965481281280518,13
tensor(31),The undertaker was prepared by the funeral.,-52.287373542785645,13
tensor(32),The mortician arranged the burial.,-29.09399127960205,13
tensor(33),The burial arranged the mortician.,-66.57985305786133,13
tensor(34),The burial was arranged by the mortician.,-25.046923637390137,13
tensor(35),The mortician was arranged by the burial.,-55.14976978302002,13
tensor(36),The supervisor supplied the liquor.,-24.698984622955322,13
tensor(37),The liquor supplied the supervisor.,-31.497178077697754,13
tensor(38),The liquor was supplied by the supervisor.,-25.262043952941895,13
tensor(39),The supervisor was supplied by the liquor.,-42.682233810424805,13
tensor(40),The overseer provided the alcohol.,-31.369129180908203,13
tensor(41),The alcohol provided the overseer.,-44.196659088134766,13
tensor(42),The alcohol was provided by the overseer.,-29.832069873809814,13
tensor(43),The overseer was provided by the alcohol.,-52.938758850097656,13
tensor(44),The troublemaker crashed the car.,-29.091306686401367,13
tensor(45),The car crashed the troublemaker.,-43.498422622680664,13
tensor(46),The car was crashed by the troublemaker.,-26.465761184692383,13
tensor(47),The troublemaker was crashed by the car.,-41.789058685302734,13
tensor(48),The hooligan wrecked the vehicle.,-45.80896282196045,13
tensor(49),The vehicle wrecked the hooligan.,-59.385515213012695,13
tensor(50),The vehicle was wrecked by the hooligan.,-42.47377300262451,13
tensor(51),The hooligan was wrecked by the vehicle.,-51.641236305236816,13
tensor(52),The repairman fixed the tap.,-26.001456260681152,13
tensor(53),The tap fixed the repairman.,-41.185608863830566,13
tensor(54),The tap was fixed by the repairman.,-25.096471309661865,13
tensor(55),The repairman was fixed by the tap.,-46.505125999450684,13
tensor(56),The handyman repaired the faucet.,-40.133516788482666,13
tensor(57),The faucet repaired the handyman.,-63.76163864135742,13
