word,nr. of tokens,tokens,word score
cosmic,1,cosmic,-14.788572311401367
cosmical,2,cosmic_##al,-24.489105224609375
cosmology,3,co_##smo_##logy,-28.143909454345703
cosmopolitan,2,co_##smopolitan,-28.01756191253662
cosmopolitanism,3,co_##smopolitan_##ism,-30.874201774597168
cosmos,2,co_##smos,-28.2442045211792
cosponsors,4,co_##sp_##ons_##ors,-32.186378479003906
cossack,3,co_##ssa_##ck,-28.397727012634277
cossacks,3,co_##ssa_##cks,-31.027676582336426
cost,1,cost,-12.290327072143555
costaggini,3,costa_##gg_##ini,-34.702237129211426
costing,1,costing,-15.022640228271484
costive,2,cost_##ive,-26.729207038879395
costlier,2,cost_##lier,-26.25857639312744
costly,1,costly,-14.93532943725586
costs,1,costs,-13.218067169189453
costume,1,costume,-13.795698165893555
costumes,1,costumes,-14.525223731994629
cotillion,3,co_##til_##lion,-28.87874126434326
cottage,1,cottage,-13.866995811462402
cottages,1,cottages,-14.087660789489746
cotten,2,co_##tten,-29.72011661529541
cotter,2,co_##tter,-25.170166969299316
cotton,1,cotton,-13.44078540802002
couch,1,couch,-13.014470100402832
couched,2,couch_##ed,-26.63362216949463
couches,2,couch_##es,-24.886207580566406
cough,1,cough,-13.280538558959961
coughing,1,coughing,-14.434581756591797
coughlin,2,cough_##lin,-29.83894920349121
could,1,could,-9.093300819396973
coulomb,3,co_##ulo_##mb,-34.12797451019287
council,1,council,-12.464125633239746
councilwoman,2,council_##woman,-22.5739688873291
counsel,1,counsel,-14.012859344482422
counseling,1,counseling,-14.354631423950195
counselor,1,counselor,-13.974328994750977
counselors,2,counselor_##s,-23.306644439697266
count,1,count,-12.81473159790039
counted,1,counted,-13.125436782836914
countenance,3,count_##enan_##ce,-23.15139389038086
counter,1,counter,-11.54897689819336
counteracted,3,counter_##act_##ed,-29.08579921722412
counterattack,3,counter_##att_##ack,-23.624956130981445
counterchallenge,4,counter_##chal_##len_##ge,-32.3371787071228
counterpart,1,counterpart,-15.26585578918457
counterparts,1,counterparts,-13.846784591674805
counterpoint,2,counter_##point,-24.506077766418457
counterproposal,5,counter_##p_##rop_##osa_##l,-37.932541847229004
