word,nr. of tokens,tokens,word score
oas,2,o_##as,-23.88665199279785
oases,2,o_##ases,-28.446685791015625
oath,1,oath,-13.115262985229492
oaths,2,oath_##s,-22.05920124053955
oats,2,o_##ats,-25.652748107910156
obedience,2,o_##bedience,-27.353464126586914
oberlin,3,o_##ber_##lin,-33.0817174911499
obesity,2,o_##besity,-28.21664047241211
obey,1,obey,-14.172798156738281
obeyed,1,obeyed,-14.033791542053223
obeying,2,obey_##ing,-23.758934020996094
obeys,2,obey_##s,-23.341655731201172
object,1,object,-13.626476287841797
objected,1,objected,-14.115340232849121
objection,1,objection,-14.825138092041016
objections,1,objections,-15.018279075622559
objective,1,objective,-14.78955078125
objectives,1,objectives,-14.079508781433105
objects,1,objects,-13.14015007019043
obligated,4,o_##b_##liga_##ted,-33.214600563049316
obligation,1,obligation,-15.074929237365723
obligations,1,obligations,-15.021994590759277
obliged,1,obliged,-14.66033935546875
obligingly,5,o_##b_##li_##ging_##ly,-34.38040351867676
obliteration,4,o_##b_##lite_##ration,-29.121402740478516
oblong,3,o_##b_##long,-36.21235466003418
obnoxious,4,o_##b_##no_##xious,-39.314785957336426
obscenities,5,o_##bs_##ce_##ni_##ties,-42.52862358093262
obscure,1,obscure,-13.540925979614258
obscured,1,obscured,-14.223221778869629
obscurity,4,o_##bs_##cu_##rity,-29.064772605895996
observable,4,o_##bs_##er_##vable,-29.79997444152832
observance,4,o_##bs_##er_##vance,-34.34036445617676
observant,4,o_##bs_##er_##vant,-34.87394905090332
observation,1,observation,-13.968099594116211
observational,2,observation_##al,-21.316171646118164
observations,1,observations,-14.160261154174805
observatory,1,observatory,-15.205341339111328
observe,1,observe,-14.4359769821167
observed,1,observed,-13.43989372253418
observer,1,observer,-15.269132614135742
observers,1,observers,-14.84378719329834
observes,1,observes,-15.34367847442627
observing,1,observing,-15.609912872314453
obsessed,1,obsessed,-15.292308807373047
obsesses,4,o_##bs_##ess_##es,-28.794888496398926
obsession,1,obsession,-15.264657974243164
obsessions,2,obsession_##s,-25.09618854522705
obsolescent,4,o_##bs_##ole_##scent,-27.744362354278564
obsolete,1,obsolete,-13.736291885375977
obsoleting,4,o_##bs_##ole_##ting,-34.26919984817505
obstacle,1,obstacle,-14.807367324829102
obstacles,1,obstacles,-13.94281005859375
obstruct,3,o_##bs_##truct,-29.234927654266357
obstructed,4,o_##bs_##truct_##ed,-26.074252128601074
obstructionist,4,o_##bs_##truction_##ist,-34.631155490875244
obtain,1,obtain,-12.601621627807617
obtainable,2,obtain_##able,-23.53461265563965
obtained,1,obtained,-12.233323097229004
obtaining,1,obtaining,-13.807463645935059
obtrudes,4,o_##bt_##rud_##es,-32.55310010910034
obverse,3,o_##b_##verse,-29.531461715698242
obvious,1,obvious,-12.315375328063965
obviously,1,obviously,-13.243731498718262
occasion,1,occasion,-13.968356132507324
occasional,1,occasional,-12.720046043395996
occasionally,1,occasionally,-13.77375602722168
occasions,1,occasions,-13.445638656616211
occipital,4,o_##cci_##pit_##al,-29.758968353271484
occlusion,3,o_##cc_##lusion,-33.11656093597412
occupant,4,o_##cc_##up_##ant,-22.225826740264893
occupants,1,occupants,-14.358744621276855
occupation,1,occupation,-14.18162727355957
