word,nr. of tokens,tokens,word score
thorn,2,th_##orn,-21.117300033569336
thornburg,3,th_##orn_##burg,-31.66403579711914
thorny,3,th_##orn_##y,-26.834511280059814
thorough,1,thorough,-9.410131454467773
thoroughfares,3,thorough_##fare_##s,-23.164724826812744
thoroughly,1,thoroughly,-10.675592422485352
those,1,those,-9.856841087341309
thou,1,thou,-9.732881546020508
though,1,though,-9.065153121948242
thought,1,thought,-10.217986106872559
thoughtful,1,thoughtful,-11.193159103393555
thoughtfully,1,thoughtfully,-12.839781761169434
thoughtfulness,2,thoughtful_##ness,-17.374509811401367
thoughts,1,thoughts,-13.239716529846191
thousand,1,thousand,-12.453582763671875
thousands,1,thousands,-12.513273239135742
thousandth,2,thousand_##th,-20.17879295349121
thrashed,3,th_##rash_##ed,-26.472925186157227
thread,1,thread,-10.452919006347656
threaded,2,thread_##ed,-17.34928846359253
threading,2,thread_##ing,-17.966458320617676
threads,1,threads,-13.309076309204102
threat,1,threat,-9.361918449401855
threaten,1,threaten,-12.590518951416016
threatened,1,threatened,-11.550186157226562
threatening,1,threatening,-12.407898902893066
threateningly,2,threatening_##ly,-19.058281421661377
threatens,1,threatens,-12.533191680908203
threats,1,threats,-11.214484214782715
three,1,three,-8.242364883422852
threefold,2,three_##fold,-19.990742683410645
threes,2,three_##s,-11.143917560577393
threshed,3,th_##resh_##ed,-28.437673568725586
threshhold,3,th_##resh_##hold,-30.620047569274902
threshold,1,threshold,-12.395301818847656
threw,1,threw,-13.760459899902344
thrifty,3,th_##rift_##y,-26.781492710113525
thrill,1,thrill,-12.291122436523438
thrilled,1,thrilled,-11.503925323486328
thrilling,2,thrill_##ing,-17.855546951293945
thrived,3,th_##rive_##d,-26.42375659942627
thriving,1,thriving,-11.13204574584961
throat,1,throat,-12.28178882598877
throats,2,throat_##s,-15.872986316680908
throaty,2,throat_##y,-17.29476547241211
throbbed,3,th_##ro_##bbed,-33.3947114944458
throbbing,1,throbbing,-14.67827320098877
throes,3,th_##ro_##es,-25.49708843231201
throne,1,throne,-12.820775032043457
throneberry,2,throne_##berry,-23.35731601715088
throng,2,th_##rong,-24.315296173095703
throttle,3,th_##rot_##tle,-33.020514488220215
through,1,through,-8.284303665161133
throughout,1,throughout,-11.389002799987793
throw,1,throw,-12.623144149780273
throwed,2,throw_##ed,-18.318114757537842
throwing,1,throwing,-14.709985733032227
thrown,1,thrown,-11.882262229919434
throws,1,throws,-15.839679718017578
thru,2,th_##ru,-21.53598117828369
thrust,1,thrust,-13.603067398071289
thrusting,1,thrusting,-17.167619705200195
thrusts,2,thrust_##s,-16.443756580352783
thruway,3,th_##ru_##way,-28.785347938537598
thud,1,thud,-13.113675117492676
thudding,2,thud_##ding,-23.665767669677734
thumb,1,thumb,-10.968116760253906
thumbed,2,thumb_##ed,-17.465845584869385
thumbnail,2,thumb_##nail,-25.216657638549805
thump,1,thump,-13.51902961730957
thumping,2,thump_##ing,-18.817270278930664
thunder,1,thunder,-11.61336898803711
thunderclaps,4,thunder_##c_##lap_##s,-35.61845874786377
thundered,2,thunder_##ed,-16.77071237564087
thunk,2,th_##unk,-21.99585723876953
thurber,3,th_##ur_##ber,-29.237680435180664
thursday,3,th_##urs_##day,-30.895499229431152
thus,1,thus,-10.705891609191895
thy,1,thy,-11.86415958404541
thyroglobulin,5,thy_##rog_##lo_##bul_##in,-58.35272026062012
thyroid,2,thy_##roid,-21.400278091430664
thyrotrophic,4,thy_##rot_##rop_##hic,-47.20780277252197
thyrotrophin,4,thy_##rot_##rop_##hin,-44.5573205947876
thyroxine,4,thy_##ro_##xin_##e,-38.234402656555176
tiao,3,t_##ia_##o,-23.374759197235107
tiber,2,t_##iber,-20.291633129119873
tibet,3,t_##ibe_##t,-26.395537853240967
tibetan,3,t_##ibe_##tan,-30.923460483551025
tiburon,3,t_##ib_##uron,-31.13685178756714
tick,2,t_##ick,-18.804559230804443
ticker,2,t_##icker,-20.795976161956787
ticket,1,ticket,-13.136495590209961
tickets,1,tickets,-14.634449005126953
ticonderoga,4,t_##ico_##nder_##oga,-44.056358337402344
tidbits,4,t_##id_##bit_##s,-29.454143524169922
tide,1,tide,-12.230151176452637
tides,2,tide_##s,-15.681397914886475
tidewater,2,tide_##water,-23.172987937927246
tidiness,3,t_##id_##iness,-25.973655223846436
tidings,3,t_##iding_##s,-24.903056144714355
tie,1,tie,-11.23026180267334
tied,1,tied,-11.485795021057129
tiepolo,3,tie_##pol_##o,-29.001145362854004
tiered,2,tier_##ed,-17.972564220428467
ties,1,ties,-12.19725513458252
tigard,3,t_##iga_##rd,-31.092103481292725
tiger,1,tiger,-9.536259651184082
tight,1,tight,-8.432271003723145
tighten,1,tighten,-14.486128807067871
tightened,1,tightened,-13.742769241333008
tightening,1,tightening,-15.97838020324707
tighter,1,tighter,-12.866462707519531
tightest,2,tight_##est,-16.75824737548828
tightly,1,tightly,-11.120942115783691
tijuana,4,t_##i_##ju_##ana,-37.431607246398926
tile,1,tile,-12.96484661102295
tiles,1,tiles,-13.939183235168457
tilghman,3,til_##gh_##man,-28.072664737701416
till,1,till,-11.262654304504395
tillie,2,till_##ie,-17.7808198928833
tilling,2,till_##ing,-17.212228775024414
tilt,1,tilt,-14.678240776062012
tilted,1,tilted,-14.97082805633545
tilth,2,tilt_##h,-22.77246856689453
tim,2,t_##im,-17.909664630889893
timber,1,timber,-12.58169174194336
timbered,2,timber_##ed,-18.903241634368896
timberlands,2,timber_##lands,-25.331029891967773
timbers,2,timber_##s,-16.258620738983154
timbre,3,t_##im_##bre,-29.95502996444702
time,1,time,-8.260064125061035
timed,1,timed,-12.556904792785645
timeless,2,time_##less,-13.33824110031128
timeliness,2,timeline_##ss,-21.97091770172119
timely,2,time_##ly,-14.350732803344727
times,1,times,-11.873089790344238
timetable,1,timetable,-15.605600357055664
timid,3,t_##im_##id,-28.854076862335205
timidly,4,t_##im_##id_##ly,-35.995975494384766
timing,1,timing,-12.73147964477539
timothy,3,t_##imo_##thy,-34.39506196975708
tin,1,tin,-9.476022720336914
tincture,2,tin_##cture,-23.775012969970703
tinder,2,tin_##der,-19.43510627746582
tines,2,tin_##es,-17.98922061920166
tingling,1,tingling,-14.259162902832031
tiniest,2,tin_##iest,-21.08811664581299
tinkers,2,tin_##kers,-22.75690460205078
tinkling,2,tin_##kling,-25.905996322631836
tinplated,3,tin_##plate_##d,-29.09355068206787
tinsel,2,tin_##sel,-22.385698318481445
tintable,2,tin_##table,-23.725833892822266
tintype,2,tin_##type,-26.536460876464844
tiny,1,tiny,-9.103803634643555
tip,1,tip,-9.83105182647705
tipped,1,tipped,-13.378278732299805
tipping,2,tip_##ping,-23.51496982574463
tips,1,tips,-12.204438209533691
tire,1,tire,-14.062000274658203
tired,1,tired,-11.786434173583984
tiredness,2,tired_##ness,-17.706419944763184
tireless,2,tire_##less,-17.870387077331543
tirelessly,2,tire_##lessly,-22.226078033447266
tires,1,tires,-15.469642639160156
tiresome,2,tires_##ome,-25.06621265411377
tiring,2,t_##iring,-21.151716709136963
tissue,1,tissue,-12.180736541748047
tissues,1,tissues,-13.474939346313477
titan,3,t_##ita_##n,-26.08640718460083
titanium,3,t_##ita_##nium,-30.77836561203003
