word,nr. of tokens,tokens,word score
thorn,2,th_orn,-11.51065444946289
thornburg,3,th_orn_burg,-19.55377197265625
thorny,3,th_orn_y,-13.096920013427734
thorough,2,th_orough,-11.807811737060547
thoroughfares,4,th_orough_f_ares,-18.562030792236328
thoroughly,3,th_orough_ly,-13.732059478759766
those,1,those,-9.557613372802734
thou,2,th_ou,-10.67752456665039
though,1,though,-10.032417297363281
thought,1,thought,-8.733325958251953
thoughtful,2,thought_ful,-11.710624694824219
thoughtfully,2,thought_fully,-15.205093383789062
thoughtfulness,2,thought_fulness,-13.143966674804688
thoughts,2,though_ts,-10.463268280029297
thousand,2,th_ousand,-10.816692352294922
thousands,2,th_ousands,-11.53848648071289
thousandth,3,th_ousand_th,-14.99566650390625
thrashed,3,th_r_ashed,-16.06865692138672
thread,1,thread,-9.64327621459961
threaded,2,thread_ed,-13.50533676147461
threading,2,thread_ing,-12.391489028930664
threads,2,thread_s,-11.735406875610352
threat,1,threat,-9.442817687988281
threaten,2,threat_en,-12.81661605834961
threatened,2,threat_ened,-12.216289520263672
threatening,1,threatening,-11.0751953125
threateningly,2,threatening_ly,-14.811859130859375
threatens,2,threat_ens,-13.568466186523438
threats,2,threat_s,-12.080738067626953
three,1,three,-8.236820220947266
threefold,2,three_fold,-14.432811737060547
threes,2,th_rees,-11.269489288330078
threshed,3,th_res_hed,-16.989213943481445
threshhold,3,th_resh_hold,-16.332077026367188
threshold,2,th_reshold,-11.448139190673828
threw,2,th_rew,-13.248523712158203
thrifty,3,th_r_ifty,-12.728294372558594
thrill,2,th_rill,-11.280200958251953
thrilled,3,th_r_illed,-15.090320587158203
thrilling,3,th_r_illing,-13.683158874511719
thrived,2,th_rived,-16.007572174072266
thriving,3,th_ri_ving,-12.427913665771484
throat,2,thro_at,-10.320816040039062
throats,2,thro_ats,-14.848934173583984
throaty,3,thro_at_y,-14.620346069335938
throbbed,3,th_rob_bed,-18.48870086669922
throbbing,3,th_rob_bing,-11.975837707519531
throes,2,thro_es,-16.545684814453125
throne,2,th_rone,-10.795642852783203
throneberry,3,th_rone_berry,-20.1614990234375
throng,3,th_r_ong,-14.649284362792969
throttle,2,thro_ttle,-15.816516876220703
through,1,through,-10.168571472167969
throughout,2,through_out,-12.690086364746094
throw,1,throw,-8.622631072998047
throwed,2,throw_ed,-15.468425750732422
throwing,2,th_rowing,-9.89920425415039
thrown,2,th_rown,-11.95291519165039
throws,2,th_rows,-12.90420913696289
thru,2,th_ru,-12.117733001708984
thrust,2,th_rust,-11.388957977294922
thrusting,3,th_rust_ing,-13.689960479736328
thrusts,3,th_rust_s,-16.58645248413086
thruway,3,th_ru_way,-16.724483489990234
thud,2,th_ud,-13.474735260009766
thudding,2,th_udding,-15.398517608642578
thumb,2,th_umb,-9.78653335571289
thumbed,3,th_umb_ed,-14.307563781738281
thumbnail,2,th_umbnail,-12.457622528076172
thump,2,th_ump,-11.22072982788086
thumping,2,th_umping,-12.09261703491211
thunder,2,th_under,-10.008037567138672
thunderclaps,4,th_under_cl_aps,-18.34201431274414
thundered,3,th_und_ered,-15.497602462768555
thunk,2,th_unk,-11.52188491821289
thurber,2,thur_ber,-20.061962127685547
thursday,2,th_ursday,-13.80886459350586
thus,1,thus,-10.823894500732422
thy,1,thy,-9.986820220947266
thyroglobulin,5,thy_rog_l_ob_ulin,-18.946849822998047
thyroid,2,thy_roid,-10.120601654052734
thyrotrophic,3,thy_rot_rophic,-18.379043579101562
thyrotrophin,4,thy_rot_roph_in,-19.864337921142578
thyroxine,3,thy_rox_ine,-17.302791595458984
tiao,2,t_iao,-14.435432434082031
tiber,2,t_iber,-13.477790832519531
tibet,3,t_ib_et,-11.800392150878906
tibetan,4,t_ib_et_an,-12.247543334960938
tiburon,3,t_ibur_on,-15.126972198486328
tick,1,tick,-10.234241485595703
ticker,2,t_icker,-12.298126220703125
