word,nr. of tokens,tokens,word score
lauren,2,la_uren,-17.144371032714844
lauro,3,l_au_ro,-21.377910614013672
lautner,3,l_aut_ner,-24.550159454345703
lava,2,l_ava,-18.70600128173828
lavatory,2,lav_atory,-23.336257934570312
lavender,2,lav_ender,-19.65491485595703
lavishing,2,lav_ishing,-25.24111557006836
lavishly,2,lav_ishly,-23.336448669433594
law,1,law,-13.773391723632812
lawful,2,law_ful,-17.766887664794922
lawmaking,2,law_making,-21.08181381225586
lawman,2,law_man,-19.444412231445312
lawmen,2,law_men,-21.494388580322266
lawn,2,l_awn,-18.956024169921875
lawns,3,l_awn_s,-22.935436248779297
lawrence,2,law_rence,-16.86022186279297
laws,1,laws,-16.667160034179688
lawyer,2,law_yer,-15.461963653564453
lawyers,2,law_yers,-15.876266479492188
lax,2,l_ax,-19.17715835571289
laxative,3,l_ax_ative,-22.900001525878906
laxness,3,l_ax_ness,-24.306591033935547
lay,1,lay,-16.891555786132812
layer,1,layer,-16.862335205078125
layering,2,lay_ering,-19.684593200683594
layers,2,l_ayers,-19.100788116455078
layette,2,lay_ette,-26.063400268554688
laying,2,l_aying,-19.491127014160156
layman,2,lay_man,-20.235885620117188
layoffs,2,lay_offs,-23.19403839111328
layout,1,layout,-14.779464721679688
lays,2,l_ays,-20.05738067626953
lazy,2,l_azy,-16.15117645263672
lb,1,lb,-16.778404235839844
lbs,1,lbs,-18.70777130126953
le,1,le,-14.121925354003906
lead,1,lead,-13.909255981445312
leaded,2,le_aded,-23.184711456298828
leader,1,leader,-15.745651245117188
leaders,1,leaders,-15.678924560546875
leadership,2,leaders_hip,-16.35690689086914
leading,1,leading,-15.03472900390625
leads,2,le_ads,-19.627445220947266
leaf,1,leaf,-16.2012939453125
leafiest,2,leaf_iest,-26.186294555664062
leaflet,2,leaf_let,-19.450267791748047
leaflets,2,leaf_lets,-21.389747619628906
leafmold,3,leaf_m_old,-26.163646697998047
league,1,league,-15.4766845703125
leaguers,3,le_agu_ers,-24.188783645629883
leagues,2,le_agues,-21.482227325439453
leaked,2,le_aked,-18.635875701904297
leaks,2,le_aks,-19.32129669189453
leaky,2,le_aky,-19.726383209228516
leale,2,le_ale,-24.004283905029297
leamington,3,le_aming_ton,-23.36758041381836
lean,1,lean,-16.701797485351562
leaned,2,lean_ed,-23.220226287841797
leaning,1,leaning,-16.296157836914062
leans,1,leans,-20.342926025390625
leap,2,le_ap,-18.12118148803711
leaped,2,le_aped,-21.910232543945312
leapfrog,3,le_ap_frog,-19.97644805908203
leaps,2,le_aps,-21.740638732910156
leapt,2,le_apt,-22.41503143310547
lear,1,lear,-18.516433715820312
learn,1,learn,-13.29620361328125
learned,2,learn_ed,-17.106727600097656
learners,2,learn_ers,-19.70146942138672
learning,1,learning,-13.791244506835938
learns,2,learn_s,-19.690277099609375
lease,1,lease,-18.152496337890625
leased,1,leased,-20.45642852783203
leases,1,leases,-20.35724639892578
least,2,le_ast,-19.040027618408203
leather,2,le_ather,-17.7939453125
leathers,3,le_ather_s,-22.901355743408203
leave,1,leave,-13.641494750976562
leavened,3,le_aven_ed,-23.931758880615234
leaves,2,le_aves,-18.60321044921875
leaving,2,le_aving,-18.289634704589844
leavitt,3,le_av_itt,-24.638710021972656
lecky,2,leck_y,-26.282291412353516
leclair,2,le_clair,-23.028934478759766
lecture,2,lect_ure,-16.752025604248047
lecturer,2,lect_urer,-20.277156829833984
lectures,2,lect_ures,-18.506858825683594
lecturing,2,lect_uring,-19.9871826171875
led,1,led,-14.794197082519531
ledford,2,led_ford,-23.325961112976074
ledge,1,ledge,-19.994659423828125
ledger,2,led_ger,-18.256330490112305
ledgers,2,led_gers,-19.249794960021973
ledoux,2,led_oux,-24.852290153503418
lee,1,lee,-18.805076599121094
leered,2,le_ered,-23.626022338867188
leesona,2,lees_ona,-31.60295867919922
leet,2,le_et,-19.384586334228516
leeway,2,le_eway,-21.495418548583984
left,1,left,-11.699737548828125
lefty,2,left_y,-16.658592224121094
leg,1,leg,-13.802330017089844
legacies,2,leg_acies,-20.228256225585938
legacy,2,leg_acy,-16.184532165527344
legal,1,legal,-14.36151123046875
legality,2,leg_ality,-18.99233627319336
legalized,2,legal_ized,-19.36437225341797
legation,2,leg_ation,-21.107566833496094
legations,2,leg_ations,-22.42806625366211
legend,2,leg_end,-15.472614288330078
legendary,3,leg_end_ary,-15.928211212158203
legends,2,leg_ends,-16.655506134033203
legged,1,legged,-17.24474334716797
leggings,3,le_gg_ings,-18.935161590576172
legion,2,leg_ion,-17.59408187866211
legislate,3,leg_isl_ate,-21.472335815429688
legislated,3,leg_isl_ated,-21.451509475708008
legislation,3,leg_isl_ation,-17.300487518310547
legislative,3,leg_isl_ative,-17.73403549194336
legislators,3,leg_isl_ators,-18.794462203979492
legislature,3,leg_isl_ature,-19.031295776367188
legitimacy,4,leg_it_im_acy,-21.98436737060547
legitimate,2,leg_itimate,-17.867347717285156
legs,2,leg_s,-17.221511840820312
legume,2,leg_ume,-20.485733032226562
leguminous,3,leg_umin_ous,-23.062870025634766
lehmann,3,le_h_mann,-22.839534759521484
leisure,2,le_isure,-19.233386993408203
leisurely,3,le_isure_ly,-22.53386688232422
leland,2,le_land,-22.16781234741211
lemma,2,lem_ma,-18.19973373413086
lemmas,3,le_mm_as,-21.53539276123047
lemon,2,le_mon,-16.574684143066406
lemons,2,lem_ons,-19.108551025390625
len,1,len,-16.977767944335938
lena,2,l_ena,-18.919090270996094
lend,2,l_end,-18.87236785888672
lending,2,l_ending,-20.107154846191406
lends,2,l_ends,-21.47983169555664
length,1,length,-14.042709350585938
lengthen,3,l_eng_then,-21.690513610839844
lengthened,4,l_eng_then_ed,-22.581310272216797
lengthening,3,l_eng_thening,-22.65671157836914
lengths,2,length_s,-18.051528930664062
