sentence id,sentence,PLL score,nr. of tokens
brown.000000,Dan Morgan told himself he would forget Ann Turner.,-58.558406829833984,10
brown.000001,He was well rid of her.,-32.45070266723633,7
brown.000002,He certainly didn't want a wife who was fickle as Ann.,-62.79226303100586,14
brown.000003,"If he had married her, he'd have been asking for trouble.",-42.70989227294922,14
brown.000004,But all of this was rationalization.,-31.058427810668945,8
brown.000005,The best antidote for the bitterness and disappointment that poisoned him was hard work.,-67.83526611328125,15
brown.000006,Each day he found himself thinking less often of Ann.,-58.2077751159668,11
brown.000007,"Each day the hurt was a little duller, a little less poignant.",-57.984230041503906,15
brown.000008,He had plenty of work to do.,-23.86145782470703,8
brown.000009,"Because the summer was unusually dry and hot, the spring produced a smaller stream than in ordinary years.",-81.27142333984375,20
brown.000010,"The grass in the meadows came fast, now that the warm weather was here.",-63.3665771484375,17
brown.000011,He had no idea how much time Budd would give him.,-47.29649353027344,12
brown.000012,It could be some kind of trick Budd had thought up.,-53.62921905517578,12
brown.000013,"Morgan watched the two figures for a time, puzzled.",-51.42594909667969,11
brown.000014,"When they were closer and he saw that one was a woman, he was more puzzled than ever.",-70.68500518798828,20
brown.000015,"He cleaned his shovel, left it against the fence, picked up his Winchester, and started downstream.",-85.64952087402344,20
brown.000016,"His visitors had crawled through the south fence and were crossing the meadow, angling toward the house.",-86.27896881103516,21
brown.000017,"Reaching the house ahead of them, he waited with his Winchester in his hands.",-67.44263458251953,17
brown.000018,"She lay there, making no effort to get back on her feet.",-40.3673095703125,14
brown.000019,"Morgan hesitated, thinking that if this was a trick, it was a good one.",-52.2481689453125,17
brown.000020,He didn't think it was possible for this couple to be pretending.,-48.65516662597656,14
brown.000021,The boy licked his dry lips.,-31.80855941772461,8
brown.000022,"He asked,"" Could we have a drink""??",-53.65913772583008,10
brown.000023,Morgan jerked his head toward the front door.,-36.97808074951172,10
brown.000024,"Leaning his Winchester against the front of the house, he walked to the girl.",-67.3191146850586,17
brown.000025,She didn't move or say anything.,-26.859416961669922,8
brown.000026,Her eyes were glazed as if she didn't hear or even see him.,-51.94104766845703,16
brown.000027,She had reached a point at which she didn't even care how she looked.,-42.23619079589844,16
brown.000028,"She was amazingly light, and so relaxed in his arms that he wasn't even sure she was conscious.",-66.53347778320312,21
brown.000029,Any lingering suspicion that this was a trick Al Budd had thought up was dispelled.,-79.3006362915039,17
brown.000030,No girl would go this far to fool a man so she could kill him.,-59.02833938598633,16
brown.000031,"Besides, she had a sweet face that attracted him.",-46.248626708984375,11
brown.000032,"They looked a good deal alike, Morgan thought.",-47.38188934326172,10
brown.000033,"Both had blonde hair and blue eyes, and there was even a faint similarity of features.",-59.83214569091797,18
brown.000034,"She drank greedily, and murmured,"" Thank you"", as he lowered her head.",-80.29202270507812,18
brown.000035,"He stood looking down at her for a moment, wondering what could have reduced her to this condition.",-62.440547943115234,20
brown.000036,The girl dropped off to sleep.,-32.00460433959961,7
brown.000037,"He brought his Winchester in from the front of the house, then faced the boy.",-65.99604797363281,17
brown.000038,Jones sighed as if relieved.,-36.92740249633789,6
brown.000039,"They might kill him in his sleep, thinking there was money in the house.",-58.95875549316406,16
brown.000040,He dismissed the possibility at once.,-34.67577362060547,7
brown.000041,The girl's thin face haunted him.,-39.561004638671875,8
brown.000042,It wasn't the face of a killer.,-28.297836303710938,9
brown.000043,He wasn't so sure about the boy.,-30.447052001953125,9
brown.000044,"He hadn't shaved for several weeks, his sparse beard giving his face a pathetic, woebegone expression.",-77.35477447509766,23
brown.000045,There was more to this than Jones had told him.,-44.672149658203125,11
brown.000046,They were running from something.,-23.485492706298828,6
brown.000047,"He'd be an idiot to let them stay he thought, but he couldn't send them on, either.",-73.24722290039062,22
brown.000048,"Sharon, she's cooked in a restaurant.",-48.395389556884766,10
brown.000049,"Morgan filled the fire box with wood again, then started supper and set the table.",-79.76212310791016,17
brown.000050,"When the meal was ready, he told Jones to wash up, and going into the front room, woke the girl.",-84.46380615234375,24
brown.000051,"He said,"" I've got some supper ready"".",-52.439456939697266,10
brown.000052,"She rubbed her eyes and stretched, then sat up, her hands going to her hair.",-51.2052001953125,18
brown.000053,This is the Rafter Aj.,-44.050899505615234,7
brown.000054,"You fell down in front of the house, and I carried you in.",-51.729644775390625,15
brown.000055,"She stared at him, her eyes wide as she thought about what he had said.",-37.70042037963867,17
brown.000056,"She got to her feet, staggered, and almost fell.",-38.656009674072266,12
brown.000057,He caught her by an arm and helped her into the kitchen.,-42.474971771240234,13
brown.000058,"She sat down at the table, shaking her head.",-30.067819595336914,11
brown.000059,He told himself he had never seen two people eat so much.,-50.278011322021484,13
brown.000060,"When they were finally satisfied, Jones said,"" I think he's going to give us work"".",-82.91282653808594,19
brown.000061,The grateful way she looked at Morgan made him ashamed of himself.,-62.807586669921875,13
brown.000062,"When he saw the expression in her eyes, he knew he couldn't send them on.",-55.63866424560547,18
brown.000063,"She said,"" I guess the Lord looks out for fools, drunkards, and innocents"".",-86.54159545898438,19
brown.000064,"She helped him with the dishes, then he brought more water in from the spring before it got dark.",-85.52678680419922,21
brown.000065,He carried the tub from the back of the house where it hung from a nail in the wall.,-61.119903564453125,20
brown.000066,"Your feet are in bad shape, Mrs. Jones.",-40.31260681152344,11
brown.000067,"He nodded and, going into the bedroom, brought a needle, thread, and scissors.",-64.92964172363281,18
brown.000068,"He said:"" I'm going to bed"".",-40.92022705078125,9
brown.000069,He nodded at the door in front of him.,-32.6961784362793,10
brown.000070,"Jones followed him into the front room, closing the door behind him.",-43.25970458984375,14
brown.000071,We haven't slept together since we started.,-35.036293029785156,9
brown.000072,"They were a pair of lost, whipped kids, Morgan thought as he went to bed.",-80.13525390625,18
brown.000073,Gavin sank down again into his chair and began to rock.,-54.15941619873047,13
brown.000074,It was the only thing in his life for which he felt guilt.,-40.85931396484375,14
brown.000075,Clayton tried to call back the face of the man he had known.,-63.655662536621094,16
brown.000076,Against that other man he could rally his anger.,-55.57422637939453,10
brown.000077,Against this bent man in the chair he was powerless.,-62.2999153137207,11
brown.000078,Gavin's lips moved so that Clayton had to stoop to catch the words.,-70.73399353027344,17
brown.000079,"Just a half-breed'pache, never said much, never meant anythin to me, but he stuck with me.",-113.9504623413086,27
brown.000080,"He got into a fight with Tom English, your brother's son.",-62.76503372192383,14
brown.000081,"It was a fair fight, the boy provoked it -- Big Charlie told me so.",-84.13861083984375,17
brown.000082,"They killed Big Charlie, dumped his body in my rose garden two nights ago.",-72.94183349609375,16
brown.000083,"My men, they all left me.",-36.713951110839844,8
brown.000084,"I didn't understand why, Clay.",-38.10452651977539,8
brown.000085,They just all cleared out.,-31.36074447631836,6
brown.000086,"He wiped his lips with a sleeve, then stared at Clayton in a childish kind of wonder.",-77.98604583740234,19
brown.000087,"Clayton choked, shook his head, murmuring,"" No"".",-68.06077575683594,14
brown.000088,The old man beckoned with one finger and Clayton went forward to him.,-65.00804901123047,15
brown.000089,Gavin slipped his arms around his chest and hugged him fiercely.,-52.18220138549805,13
brown.000090,I saw you driftin away -- but I tried.,-60.76386260986328,11
brown.000091,And you wanted no part of me when I had so much to give.,-50.71176528930664,15
brown.000092,Now there's nothin left of me.,-39.000770568847656,9
brown.000093,"Laurel is gone, my men are gone, Ed is dead -- and you come to me, to help me.",-88.5654525756836,25
brown.000094,"God in Heaven, I can't refuse you now.",-44.000267028808594,11
brown.000095,That would mock me too much!!,-40.023109436035156,7
brown.000096,Clayton freed himself from the embrace and stepped back.,-46.17218780517578,12
brown.000097,The eyes followed him fearfully.,-35.14540100097656,7
brown.000098,I'll saddle the horses and bring them round.,-47.21070098876953,10
brown.000099,He burst from the hot confinement of the room into the cold night air.,-62.963706970214844,15
brown.000100,When he had finished he led him and the mare to the porch.,-54.40283966064453,15
brown.000101,"The stallion had smelled the mare coming into heat and began to paw the turf, shaking his head.",-83.79576110839844,22
brown.000102,Clayton looped the reins in a knot over the veranda post and patted the warm flesh of his neck.,-109.92980194091797,25
brown.000103,The mare had backed away.,-34.24217224121094,7
brown.000104,"Gavin stood on the porch, a thin figure.",-51.86240005493164,11
brown.000105,Clayton called to him and he came slowly down the steps.,-55.5718879699707,14
brown.000106,There's someone there I have to see.,-34.23963928222656,9
brown.000107,We may take her with us -- to California.,-49.24171447753906,10
brown.000108,"I don't know yet, it's crazy.",-31.755226135253906,10
brown.000109,I have to think about it.,-21.449909210205078,7
brown.000110,A man could make a mark there.,-41.42165756225586,8
brown.000111,He approached the horse and laid a hand on the stallion's quivering neck.,-55.39277267456055,17
brown.000112,"Clayton lifted him gently into the saddle, like a child.",-60.069374084472656,14
brown.000113,Lived alone by the river.,-36.084625244140625,7
brown.000114,"It was nice then, so peaceful and quiet.",-42.60908889770508,10
brown.000115,There was no one but me.,-24.900522232055664,7
brown.000116,Clayton swung into the saddle and whacked the stallion's rump.,-65.84194946289062,17
brown.000117,They rode at a measured pace through the valley.,-41.19403076171875,10
brown.000118,Dawn would come soon and the night was at its coldest.,-54.26488494873047,14
brown.000119,In that inert landscape the caravan of his desires passed before his mind.,-80.35478210449219,14
brown.000120,"He saw them ambushed, strewn in the postures of the broken and the dying.",-76.946044921875,19
brown.000121,They passed ranches that were framed dark gray against the black hills.,-75.82273864746094,14
brown.000122,Then at last the darkness began to dissolve.,-36.86316680908203,9
brown.000123,"The two men whipped their horses into town and flung themselves up the steps of the saloon, crying their intelligence.",-96.88742065429688,23
brown.000124,"The men in Pettigrew's were tired from a night's drinking, their faces red and baggy.",-81.1526107788086,22
brown.000125,But the liquor had flushed their courage.,-50.168418884277344,8
brown.000126,"They greeted the news angrily, as though they had been cheated of purpose.",-62.35767364501953,15
brown.000127,"Lester heard their muttering, saw their eyes reveal their desire.",-67.46173095703125,14
brown.000128,"That's what you wanted, isn't it??",-29.878673553466797,10
brown.000129,"Clayton is with him, takin him out of the valley.",-65.97480010986328,15
brown.000130,Joe Purvis was thinking back many years.,-51.14057159423828,9
brown.000131,"He remembered Gavin's smirk, his own cringing feeling, his impotence.",-80.48442840576172,18
brown.000132,Then he thought of a time when Clayton's horse had fallen lame in the Gap.,-81.5916976928711,17
brown.000133,He wouldn't even dance with her at Gavin's party.,-50.14949035644531,12
brown.000134,He treats her like she was dirt.,-34.99654769897461,8
brown.000135,It was the night Clayton had tricked them in the poker game.,-62.82442092895508,13
brown.000136,He meant to help Gavin all the time.,-43.35484313964844,9
brown.000137,There are plenty of fresh horses halfway at my place.,-60.42659378051758,11
brown.000138,"If we let them go, they won't stay away, they'll find men to ride with them and they'll be back.",-77.40898132324219,26
brown.000139,Lester's hand fluttered to Cabot's shoulder.,-53.44679260253906,12
brown.000140,Purvis and Silas Pettigrew were the last to leave.,-57.28501892089844,14
brown.000141,They mounted up and rode slowly behind the others at a safe distance.,-59.81127166748047,14
brown.000142,The mare began to tire and Clayton felt the spray of snow from the hoofs of Gavin's stallion.,-97.51249694824219,24
brown.000143,He looked over his shoulder at the thin dotting of pursuers.,-59.72804260253906,14
brown.000144,They neither gained nor fell back.,-41.085670471191406,7
brown.000145,He rode low on the mare's neck.,-40.10224914550781,10
brown.000146,"Ahead of him Gavin turned slightly off the trail and pointed for the Gap, no more than a mile away.",-103.56217956542969,23
brown.000147,Gavin's face was bloodless with excitement.,-46.37213897705078,10
brown.000148,He did not look back.,-22.604785919189453,6
brown.000149,He could feel more than hear the staccato beat of hoofs that fanned out across the prairie to the north.,-84.40017700195312,27
brown.000150,Now they were riding to kill him.,-41.79677200317383,8
brown.000151,"And he was fleeing, running -- fleeing his death and his life at the same time.",-70.19828033447266,18
brown.000152,The land over which he sped was the land he had created and lived in: his valley.,-86.17902374267578,19
brown.000153,"California is too far, he thought.",-35.51142120361328,8
brown.000154,He would never reach California.,-32.368343353271484,6
brown.000155,The sentry was not dead.,-32.17983627319336,7
brown.000156,"He was, in fact, showing signs of reviving.",-43.5517463684082,12
