word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-12.547154426574707
abhorred,4,a_##b_##hor_##red,-27.125826358795166
abolitionist,2,abolition_##ist,-25.883017539978027
abused,1,abused,-14.163012504577637
accepted,1,accepted,-12.292518615722656
accompanied,1,accompanied,-12.37789249420166
accosted,3,a_##cco_##sted,-29.774839401245117
accountant,1,accountant,-14.548582077026367
accused,1,accused,-13.174432754516602
accuser,3,a_##cc_##user,-32.58542251586914
acquitted,1,acquitted,-13.841323852539062
acrobat,4,a_##c_##ro_##bat,-29.580474853515625
activist,1,activist,-13.445990562438965
actor,1,actor,-12.783315658569336
actress,1,actress,-12.58212947845459
actuary,2,act_##uary,-26.00615692138672
address,1,address,-12.121315002441406
adjuster,2,adjust_##er,-22.676623344421387
admiral,1,admiral,-14.487467765808105
admired,1,admired,-14.239224433898926
admirer,2,admire_##r,-20.180482864379883
admonished,3,ad_##mon_##ished,-31.914772033691406
adopted,1,adopted,-13.010218620300293
adored,2,ad_##ored,-29.36970329284668
adorned,1,adorned,-13.86172866821289
adventurer,2,adventure_##r,-23.033145904541016
advisor,1,advisor,-14.046029090881348
affronted,4,a_##ff_##ron_##ted,-21.284300804138184
agent,1,agent,-12.612852096557617
aggravated,4,a_##gg_##ra_##vated,-20.46627902984619
agitated,1,agitated,-15.123973846435547
aide,1,aide,-14.97866439819336
airplane,1,airplane,-14.199220657348633
alarmed,1,alarmed,-14.837882041931152
alcohol,1,alcohol,-13.750203132629395
alcoholic,1,alcoholic,-14.565917015075684
amateur,1,amateur,-13.830005645751953
ambassador,1,ambassador,-12.943504333496094
amused,1,amused,-15.057826042175293
analyst,1,analyst,-14.856527328491211
anchorman,2,anchor_##man,-23.49904155731201
announcer,1,announcer,-14.714279174804688
annoyed,1,annoyed,-14.697543144226074
antagonized,3,ant_##agon_##ized,-29.060123443603516
anthem,1,anthem,-14.556829452514648
anthropologist,1,anthropologist,-15.071756362915039
apartment,1,apartment,-13.128206253051758
applauded,3,app_##lau_##ded,-21.418506622314453
appointment,1,appointment,-13.465103149414062
appraiser,2,app_##raiser,-28.225062370300293
apprehended,4,app_##re_##hend_##ed,-25.466219425201416
apprentice,1,apprentice,-14.325648307800293
approached,1,approached,-13.03079605102539
approved,1,approved,-12.273772239685059
archaeologist,1,archaeologist,-15.201868057250977
architect,1,architect,-13.017315864562988
archivist,2,arch_##ivist,-34.583693504333496
aristocrat,3,a_##risto_##crat,-29.667317390441895
arranged,1,arranged,-11.843688011169434
arsonist,3,a_##rson_##ist,-27.61441135406494
article,1,article,-12.854888916015625
artisan,2,art_##isan,-28.348088264465332
artist,1,artist,-12.624333381652832
assailant,3,ass_##ail_##ant,-26.808793544769287
assassin,1,assassin,-14.306787490844727
assignment,1,assignment,-13.96634292602539
assistant,1,assistant,-12.40400505065918
assisted,1,assisted,-13.674844741821289
assuaged,3,ass_##ua_##ged,-31.339414596557617
asylum,1,asylum,-13.642563819885254
ate,1,ate,-13.51450252532959
athlete,1,athlete,-13.411450386047363
attacked,1,attacked,-11.880753517150879
attacker,1,attacker,-14.59305191040039
attendant,1,attendant,-13.697535514831543
attended,1,attended,-12.609760284423828
attired,2,attire_##d,-25.035027503967285
attorney,1,attorney,-13.488631248474121
au,1,au,-12.378327369689941
audience,1,audience,-13.957832336425781
auditor,2,audit_##or,-22.88147258758545
aunt,1,aunt,-13.077292442321777
author,1,author,-12.725605964660645
autographed,3,auto_##graph_##ed,-27.24998950958252
aviator,2,a_##viator,-24.587116241455078
awed,2,awe_##d,-25.523202896118164
baby,1,baby,-11.084800720214844
bachelor,1,bachelor,-13.321673393249512
badgered,2,badge_##red,-30.410566329956055
baffled,3,b_##af_##fled,-24.361469268798828
bag,1,bag,-12.535017967224121
baguette,3,bag_##ue_##tte,-32.68468379974365
bailiff,2,bail_##iff,-26.973759651184082
baker,2,b_##aker,-26.865528106689453
ballerina,2,ball_##erina,-25.390204429626465
ballot,1,ballot,-14.266376495361328
banished,1,banished,-14.430127143859863
banker,1,banker,-14.550335884094238
banner,1,banner,-13.7040433883667
barber,2,bar_##ber,-23.564165115356445
baron,1,baron,-13.931601524353027
baroness,2,baron_##ess,-23.83787727355957
barrister,1,barrister,-14.544700622558594
basin,1,basin,-13.77705192565918
basted,3,b_##ast_##ed,-26.103464126586914
battery,1,battery,-14.427273750305176
