Index	Word	Unigram_freq	Unigram_prob
0	abandoned	5889274	2.2763847994328574e-05
1	abhorred	181659	7.021676802270932e-07
2	abolitionist	437488	1.6910251299808463e-06
3	abused	1672602	6.4651190763088895e-06
4	accepted	15910132	6.149753372278194e-05
5	accompanied	7713002	2.981311535308975e-05
6	accosted	166987	6.454559059451038e-07
7	accountant	955639	3.693837463404176e-06
8	accused	4811271	1.859703618875964e-05
9	accuser	177858	6.874756509164443e-07
10	acquitted	473052	1.8284908838361266e-06
11	acrobat	63516	2.455087960260931e-07
12	activist	1057130	4.086131266815666e-06
13	actor	4181883	1.6164258776560025e-05
14	actress	1400709	5.4141693458799815e-06
15	actuary	54556	2.1087565142640495e-07
16	address	17354183	6.707923317505027e-05
17	adjuster	96447	3.72797198348898e-07
18	admiral	692310	2.6759902162734514e-06
19	admired	2444414	9.44840887539087e-06
20	admirer	458391	1.7718216279236235e-06
21	admonished	387081	1.4961866344633818e-06
22	adopted	10760887	4.159412449686437e-05
23	adored	586003	2.265081097639629e-06
24	adorned	902600	3.4888254816605527e-06
25	adventurer	288966	1.1169421051778454e-06
26	advisor	852542	3.2953359780476967e-06
27	affronted	93270	3.60517120180013e-07
28	agent	12600105	4.8703265450474784e-05
29	aggravated	740226	2.8612002337554447e-06
30	agitated	1052418	4.067917943450295e-06
31	aide	1110406	4.292059326156401e-06
32	airplane	1837166	7.1012093450480736e-06
33	alarmed	1289240	4.983307516038169e-06
34	alcohol	7937570	3.068113946206997e-05
35	alcoholic	1749997	6.764274458707647e-06
36	amateur	1335175	5.160860361706324e-06
37	ambassador	1668891	6.450774924566764e-06
38	amused	1485684	5.742623750161065e-06
39	analyst	1913735	7.397171984429048e-06
40	anchorman	32238	1.2460974504517272e-07
41	announcer	303794	1.1742568672452758e-06
42	annoyed	1226014	4.738919658843985e-06
43	antagonized	111821	4.322224176653719e-07
44	anthem	315939	1.2212010124643845e-06
45	anthropologist	633793	2.449804086525689e-06
