word,nr. of tokens,tokens,word score
a,1,a,-6.398204803466797
abandoned,3,ab_andon_ed,-10.534906387329102
abbe,2,ab_be,-14.416576385498047
abduction,2,ab_duction,-9.99184799194336
ability,1,ability,-10.235214233398438
abjectly,3,ab_ject_ly,-15.16050910949707
able,1,able,-10.046821594238281
abner,2,ab_ner,-14.407535552978516
aboard,2,ab_oard,-13.315250396728516
abolitionism,3,abol_ition_ism,-11.452468395233154
abolitionists,3,abol_ition_ists,-13.210337162017822
about,1,about,-9.284721374511719
above,1,above,-10.600475311279297
abraham,2,ab_raham,-11.264999389648438
abroad,2,ab_road,-11.479259490966797
abruptly,3,ab_rupt_ly,-14.141703605651855
absence,2,abs_ence,-9.715221405029297
absent,2,abs_ent,-10.691719055175781
absolute,1,absolute,-9.325626373291016
absolutely,1,absolutely,-9.864582061767578
absorbed,2,absor_bed,-12.737361907958984
abstraction,3,ab_st_raction,-11.272472381591797
abstractions,3,ab_stract_ions,-14.002695083618164
absurd,2,abs_urd,-8.673309326171875
absurdities,3,abs_urd_ities,-15.113405227661133
absurdity,3,abs_urd_ity,-12.29135513305664
accent,2,ac_cent,-11.130054473876953
accents,2,acc_ents,-13.77724838256836
acceptable,1,acceptable,-11.210342407226562
accepted,2,accept_ed,-10.819940567016602
accepting,2,accept_ing,-12.902475357055664
accessories,2,access_ories,-14.026372909545898
accident,2,acc_ident,-9.016216278076172
accidents,2,acc_idents,-12.06802749633789
acclamations,4,ac_cl_am_ations,-17.936599731445312
accommodation,4,ac_com_mod_ation,-12.367557525634766
accommodations,4,ac_com_mod_ations,-15.37762451171875
accompanied,1,accompanied,-12.5865478515625
accompany,2,ac_company,-12.387340545654297
accomplished,3,ac_compl_ished,-12.523770809173584
accomplishment,3,ac_compl_ishment,-12.298610210418701
accord,2,acc_ord,-11.907360076904297
accordance,3,acc_ord_ance,-16.519014358520508
according,1,according,-11.050548553466797
accordingly,2,according_ly,-16.921199798583984
account,1,account,-9.902565002441406
accounted,2,account_ed,-15.09788990020752
accounts,2,account_s,-13.385944366455078
accoutrements,4,acc_out_re_ments,-15.409975051879883
accruing,3,acc_ru_ing,-20.283279418945312
accuracy,2,acc_uracy,-11.80697250366211
accurate,2,acc_urate,-10.543346405029297
accurately,3,acc_ur_ately,-12.867475509643555
accuse,2,acc_use,-12.402233123779297
accustomed,2,acc_ustomed,-15.308326721191406
ace,1,ace,-10.002738952636719
achieved,2,ach_ieved,-12.97614860534668
achievement,3,ach_ieve_ment,-10.435219764709473
achievements,3,ach_ieve_ments,-13.041626453399658
acknowledge,3,ack_now_ledge,-12.551040172576904
acknowledged,3,ack_now_ledged,-11.361036777496338
acknowledgement,4,ack_now_led_gement,-12.662514209747314
acknowledges,4,ack_now_led_ges,-14.284489154815674
acorn,2,ac_orn,-11.420879364013672
acquaint,2,acqu_aint,-10.98306655883789
acquaintance,3,acqu_aint_ance,-11.036648750305176
acquainted,2,acqu_ainted,-14.266193389892578
acquire,2,ac_quire,-12.10601806640625
acquires,2,acqu_ires,-16.110347747802734
across,2,ac_ross,-10.721622467041016
act,1,act,-8.768768310546875
acting,1,acting,-9.806694030761719
action,1,action,-8.763511657714844
active,1,active,-9.118492126464844
actively,1,actively,-11.241645812988281
activity,1,activity,-10.66217041015625
actor,1,actor,-10.267879486083984
actors,2,act_ors,-12.925188064575195
