sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-41.761146545410156,7
tensor(1),The illness caught the raider.,-47.13889694213867,7
tensor(2),The illness was caught by the raider.,-44.454994201660156,9
tensor(3),The raider was caught by the illness.,-45.37107849121094,9
tensor(4),The marauder contracted the disease.,-38.860721588134766,7
tensor(5),The disease contracted the marauder.,-46.64329147338867,7
tensor(6),The disease was contracted by the marauder.,-41.47889709472656,9
tensor(7),The marauder was contracted by the disease.,-48.81916809082031,9
tensor(8),The convict dreaded the prison.,-40.353240966796875,6
tensor(9),The prison dreaded the convict.,-40.62903594970703,6
tensor(10),The prison was dreaded by the convict.,-42.85801696777344,8
tensor(11),The convict was dreaded by the prison.,-45.408267974853516,8
tensor(12),The criminal feared the jail.,-43.91925048828125,6
tensor(13),The jail feared the criminal.,-45.77907943725586,6
tensor(14),The jail was feared by the criminal.,-48.80543518066406,8
tensor(15),The criminal was feared by the jail.,-48.067543029785156,8
tensor(16),The prostitute squandered the cash.,-39.358116149902344,8
tensor(17),The cash squandered the prostitute.,-51.509979248046875,8
tensor(18),The cash was squandered by the prostitute.,-45.26797103881836,10
tensor(19),The prostitute was squandered by the cash.,-51.710262298583984,10
tensor(20),The call girl wasted the money.,-41.99640655517578,7
tensor(21),The money wasted the call girl.,-47.00625228881836,7
tensor(22),The money was wasted by the call girl.,-43.956703186035156,9
tensor(23),The call girl was wasted by the money.,-49.28551483154297,9
tensor(24),The adventurer requested the beverage.,-42.186805725097656,6
tensor(25),The beverage requested the adventurer.,-47.079681396484375,6
tensor(26),The beverage was requested by the adventurer.,-43.03506088256836,8
tensor(27),The adventurer was requested by the beverage.,-51.23981857299805,8
tensor(28),The undertaker prepared the funeral.,-35.52133560180664,7
tensor(29),The funeral prepared the undertaker.,-38.19609069824219,7
tensor(30),The funeral was prepared by the undertaker.,-36.04625701904297,9
tensor(31),The undertaker was prepared by the funeral.,-46.53723907470703,9
tensor(32),The mortician arranged the burial.,-37.90408706665039,7
tensor(33),The burial arranged the mortician.,-49.26077651977539,7
tensor(34),The burial was arranged by the mortician.,-39.09928512573242,9
tensor(35),The mortician was arranged by the burial.,-49.11486053466797,9
tensor(36),The supervisor supplied the liquor.,-39.669010162353516,6
tensor(37),The liquor supplied the supervisor.,-47.76990509033203,6
tensor(38),The liquor was supplied by the supervisor.,-41.292564392089844,8
tensor(39),The supervisor was supplied by the liquor.,-50.370819091796875,8
tensor(40),The overseer provided the alcohol.,-39.51527404785156,7
tensor(41),The alcohol provided the overseer.,-44.2190055847168,7
tensor(42),The alcohol was provided by the overseer.,-40.47980880737305,9
tensor(43),The overseer was provided by the alcohol.,-49.87407684326172,9
tensor(44),The troublemaker crashed the car.,-36.97699737548828,7
tensor(45),The car crashed the troublemaker.,-40.631961822509766,7
tensor(46),The car was crashed by the troublemaker.,-38.778419494628906,9
tensor(47),The troublemaker was crashed by the car.,-45.84642791748047,9
tensor(48),The hooligan wrecked the vehicle.,-39.346221923828125,8
tensor(49),The vehicle wrecked the hooligan.,-47.22935485839844,8
tensor(50),The vehicle was wrecked by the hooligan.,-38.64255142211914,10
tensor(51),The hooligan was wrecked by the vehicle.,-43.60999298095703,10
tensor(52),The repairman fixed the tap.,-35.93175506591797,7
tensor(53),The tap fixed the repairman.,-42.444087982177734,7
tensor(54),The tap was fixed by the repairman.,-41.19920349121094,9
tensor(55),The repairman was fixed by the tap.,-46.77054214477539,9
tensor(56),The handyman repaired the faucet.,-40.26774597167969,9
tensor(57),The faucet repaired the handyman.,-48.48802185058594,9
tensor(58),The faucet was repaired by the handyman.,-41.87907791137695,11
tensor(59),The handyman was repaired by the faucet.,-49.9693603515625,11
tensor(60),The secretary organized the desk.,-43.06236267089844,6
tensor(61),The desk organized the secretary.,-41.75387191772461,6
tensor(62),The desk was organized by the secretary.,-37.291690826416016,8
tensor(63),The secretary was organized by the desk.,-46.81837844848633,8
tensor(64),The receptionist tidied the table.,-35.242088317871094,8
tensor(65),The table tidied the receptionist.,-48.907413482666016,8
tensor(66),The table was tidied by the receptionist.,-39.715450286865234,10
tensor(67),The receptionist was tidied by the table.,-50.35980224609375,10
tensor(68),The pilot steered the airplane.,-33.25456237792969,6
tensor(69),The airplane steered the pilot.,-37.505496978759766,6
tensor(70),The airplane was steered by the pilot.,-34.026180267333984,8
