sentence id,sentence,PLL score,nr. of tokens
tensor(0),The raider caught the illness.,-32.940260887145996,13
tensor(1),The illness caught the raider.,-42.38558006286621,13
tensor(2),The illness was caught by the raider.,-31.855656623840332,13
tensor(3),The raider was caught by the illness.,-34.4653205871582,13
tensor(4),The marauder contracted the disease.,-21.649856567382812,13
tensor(5),The disease contracted the marauder.,-48.57205581665039,13
tensor(6),The disease was contracted by the marauder.,-24.292016983032227,13
tensor(7),The marauder was contracted by the disease.,-35.70592021942139,13
tensor(8),The convict dreaded the prison.,-31.998827934265137,13
tensor(9),The prison dreaded the convict.,-28.549943923950195,13
tensor(10),The prison was dreaded by the convict.,-32.35373115539551,13
tensor(11),The convict was dreaded by the prison.,-35.887099266052246,13
tensor(12),The criminal feared the jail.,-33.798766136169434,13
tensor(13),The jail feared the criminal.,-39.10711479187012,13
tensor(14),The jail was feared by the criminal.,-36.65312194824219,13
tensor(15),The criminal was feared by the jail.,-36.24158763885498,13
tensor(16),The prostitute squandered the cash.,-21.92232894897461,13
tensor(17),The cash squandered the prostitute.,-42.799224853515625,13
tensor(18),The cash was squandered by the prostitute.,-27.122015953063965,13
tensor(19),The prostitute was squandered by the cash.,-40.684627532958984,13
tensor(20),The call girl wasted the money.,-30.0454740524292,13
tensor(21),The money wasted the call girl.,-44.579050064086914,13
tensor(22),The money was wasted by the call girl.,-28.546344757080078,13
tensor(23),The call girl was wasted by the money.,-40.447044372558594,13
tensor(24),The adventurer requested the beverage.,-35.9625358581543,13
tensor(25),The beverage requested the adventurer.,-50.466318130493164,13
tensor(26),The beverage was requested by the adventurer.,-31.49969482421875,13
tensor(27),The adventurer was requested by the beverage.,-50.32229709625244,13
tensor(28),The undertaker prepared the funeral.,-23.422666549682617,13
tensor(29),The funeral prepared the undertaker.,-37.3214054107666,13
tensor(30),The funeral was prepared by the undertaker.,-22.529398918151855,13
tensor(31),The undertaker was prepared by the funeral.,-44.45393753051758,13
tensor(32),The mortician arranged the burial.,-18.815789699554443,13
tensor(33),The burial arranged the mortician.,-53.083394050598145,13
tensor(34),The burial was arranged by the mortician.,-17.207035064697266,13
tensor(35),The mortician was arranged by the burial.,-48.846399784088135,13
tensor(36),The supervisor supplied the liquor.,-24.698986530303955,13
tensor(37),The liquor supplied the supervisor.,-31.49718475341797,13
tensor(38),The liquor was supplied by the supervisor.,-25.26206111907959,13
tensor(39),The supervisor was supplied by the liquor.,-42.682244300842285,13
tensor(40),The overseer provided the alcohol.,-26.65105152130127,13
tensor(41),The alcohol provided the overseer.,-37.584346771240234,13
tensor(42),The alcohol was provided by the overseer.,-24.805295944213867,13
tensor(43),The overseer was provided by the alcohol.,-46.0419979095459,13
tensor(44),The troublemaker crashed the car.,-20.81894016265869,13
tensor(45),The car crashed the troublemaker.,-36.26801872253418,13
tensor(46),The car was crashed by the troublemaker.,-19.773879051208496,13
tensor(47),The troublemaker was crashed by the car.,-35.03405284881592,13
tensor(48),The hooligan wrecked the vehicle.,-26.111624717712402,13
tensor(49),The vehicle wrecked the hooligan.,-40.62432384490967,13
tensor(50),The vehicle was wrecked by the hooligan.,-24.030014038085938,13
tensor(51),The hooligan was wrecked by the vehicle.,-36.206878662109375,13
tensor(52),The repairman fixed the tap.,-20.837337493896484,13
tensor(53),The tap fixed the repairman.,-38.66059970855713,13
tensor(54),The tap was fixed by the repairman.,-21.490702629089355,13
tensor(55),The repairman was fixed by the tap.,-43.164833068847656,13
tensor(56),The handyman repaired the faucet.,-21.339598655700684,13
tensor(57),The faucet repaired the handyman.,-45.48924970626831,13
tensor(58),The faucet was repaired by the handyman.,-21.52357244491577,13
tensor(59),The handyman was repaired by the faucet.,-43.87415885925293,13
tensor(60),The secretary organized the desk.,-26.773133277893066,13
tensor(61),The desk organized the secretary.,-34.23420333862305,13
tensor(62),The desk was organized by the secretary.,-24.384081840515137,13
tensor(63),The secretary was organized by the desk.,-36.296339988708496,13
tensor(64),The receptionist tidied the table.,-20.743725299835205,13
tensor(65),The table tidied the receptionist.,-43.262452602386475,13
tensor(66),The table was tidied by the receptionist.,-16.69822883605957,13
tensor(67),The receptionist was tidied by the table.,-48.07251501083374,13
tensor(68),The pilot steered the airplane.,-13.702041625976562,13
tensor(69),The airplane steered the pilot.,-30.15830135345459,13
tensor(70),The airplane was steered by the pilot.,-12.447266578674316,13
tensor(71),The pilot was steered by the airplane.,-26.680880546569824,13
tensor(72),The aviator maneuvered the jet.,-20.351635456085205,13
tensor(73),The jet maneuvered the aviator.,-32.59920024871826,13
tensor(74),The jet was maneuvered by the aviator.,-23.047932624816895,13
tensor(75),The aviator was maneuvered by the jet.,-31.346468925476074,13
tensor(76),The chef sauteed the squid.,-25.247976303100586,13
tensor(77),The squid sauteed the chef.,-45.91899585723877,13
tensor(78),The squid was sauteed by the chef.,-24.3531436920166,13
tensor(79),The chef was sauteed by the squid.,-44.341681480407715,13
tensor(80),The cook grilled the octopus.,-20.440977573394775,13
tensor(81),The octopus grilled the cook.,-35.804847717285156,13
tensor(82),The octopus was grilled by the cook.,-17.53904962539673,13
tensor(83),The cook was grilled by the octopus.,-30.866382598876953,13
tensor(84),The ship captain promised the triumph.,-32.86239814758301,13
tensor(85),The triumph promised the ship captain.,-42.515625,13
tensor(86),The triumph was promised by the ship captain.,-28.930952072143555,13
tensor(87),The ship captain was promised by the triumph.,-46.08541393280029,13
tensor(88),The skipper guaranteed the victory.,-29.707438468933105,13
tensor(89),The victory guaranteed the skipper.,-30.3565673828125,13
tensor(90),The victory was guaranteed by the skipper.,-21.597765922546387,13
tensor(91),The skipper was guaranteed by the victory.,-41.68742370605469,13
tensor(92),The milliner adorned the fedora.,-44.22780990600586,13
tensor(93),The fedora adorned the milliner.,-43.22359561920166,13
tensor(94),The fedora was adorned by the milliner.,-41.55499267578125,13
tensor(95),The milliner was adorned by the fedora.,-48.492462158203125,13
tensor(96),The hatter decorated the bowler.,-41.433913707733154,13
tensor(97),The bowler decorated the hatter.,-41.0462760925293,13
tensor(98),The bowler was decorated by the hatter.,-40.21829891204834,13
tensor(99),The hatter was decorated by the bowler.,-40.40160369873047,13
tensor(100),The serviceman hoisted the flag.,-19.779850006103516,13
tensor(101),The flag hoisted the serviceman.,-25.57476234436035,13
tensor(102),The flag was hoisted by the serviceman.,-21.09482192993164,13
tensor(103),The serviceman was hoisted by the flag.,-18.84726619720459,13
tensor(104),The soldier raised the banner.,-17.634004592895508,13
tensor(105),The banner raised the soldier.,-35.033735275268555,13
tensor(106),The banner was raised by the soldier.,-16.409767150878906,13
tensor(107),The soldier was raised by the banner.,-27.741649627685547,13
tensor(108),The agent failed the mission.,-20.146668434143066,13
tensor(109),The mission failed the agent.,-24.344392776489258,13
tensor(110),The mission was failed by the agent.,-18.425166130065918,13
tensor(111),The agent was failed by the mission.,-24.796796798706055,13
tensor(112),The operative blew the assignment.,-27.108241081237793,13
tensor(113),The assignment blew the operative.,-47.41568470001221,13
tensor(114),The assignment was blown by the operative.,-27.638713836669922,13
tensor(115),The operative was blown by the assignment.,-36.70712852478027,13
tensor(116),The anchorman garbled the expression.,-36.848379135131836,13
tensor(117),The expression garbled the anchorman.,-43.62019348144531,13
tensor(118),The expression was garbled by the anchorman.,-37.01724433898926,13
tensor(119),The anchorman was garbled by the expression.,-47.63304615020752,13
tensor(120),The announcer mispronounced the word.,-17.26989984512329,13
tensor(121),The word mispronounced the announcer.,-39.080437660217285,13
tensor(122),The word was mispronounced by the announcer.,-17.87472629547119,13
tensor(123),The announcer was mispronounced by the word.,-45.71629524230957,13
tensor(124),The author finished the novel.,-15.93825626373291,13
tensor(125),The novel finished the author.,-28.1339750289917,13
tensor(126),The novel was finished by the author.,-15.84970760345459,13
tensor(127),The author was finished by the novel.,-32.255927085876465,13
tensor(128),The writer completed the book.,-21.29148006439209,13
tensor(129),The book completed the writer.,-28.72814655303955,13
tensor(130),The book was completed by the writer.,-16.813036918640137,13
tensor(131),The writer was completed by the book.,-30.481162071228027,13
tensor(132),The financier sponsored the project.,-27.415921211242676,13
tensor(133),The project sponsored the financier.,-31.491971015930176,13
tensor(134),The project was sponsored by the financier.,-30.548027992248535,13
tensor(135),The financier was sponsored by the project.,-28.4522123336792,13
tensor(136),The banker funded the program.,-29.00959873199463,13
