word,nr. of tokens,tokens,word score
abandoned,1,abandoned,-10.326457023620605
abhorred,4,a_##b_##hor_##red,-33.431811809539795
abolitionist,2,abolition_##ist,-21.528983116149902
abused,1,abused,-12.824850082397461
accepted,1,accepted,-7.681039810180664
accompanied,1,accompanied,-13.643889427185059
accosted,3,a_##cco_##sted,-26.798105239868164
accountant,1,accountant,-12.324872970581055
accused,1,accused,-12.617366790771484
accuser,3,a_##cc_##user,-27.856192588806152
acquitted,1,acquitted,-10.195540428161621
acrobat,4,a_##c_##ro_##bat,-34.32916975021362
activist,1,activist,-12.474014282226562
actor,1,actor,-12.409002304077148
actress,1,actress,-13.000497817993164
actuary,2,act_##uary,-24.77567958831787
address,1,address,-14.074803352355957
adjuster,2,adjust_##er,-18.785006523132324
admiral,1,admiral,-11.101195335388184
admired,1,admired,-12.185750007629395
admirer,2,admire_##r,-17.59400177001953
admonished,3,ad_##mon_##ished,-35.567368507385254
adopted,1,adopted,-9.129725456237793
adored,2,ad_##ored,-24.137808799743652
adorned,1,adorned,-14.502195358276367
adventurer,2,adventure_##r,-15.530889511108398
advisor,1,advisor,-12.277642250061035
affronted,4,a_##ff_##ron_##ted,-35.627466678619385
agent,1,agent,-9.584738731384277
aggravated,4,a_##gg_##ra_##vated,-42.296473026275635
agitated,1,agitated,-15.531883239746094
aide,1,aide,-14.111529350280762
airplane,1,airplane,-13.856063842773438
alarmed,1,alarmed,-13.943967819213867
alcohol,1,alcohol,-12.422873497009277
alcoholic,1,alcoholic,-13.895874977111816
amateur,1,amateur,-10.198217391967773
ambassador,1,ambassador,-10.824166297912598
amused,1,amused,-12.877776145935059
analyst,1,analyst,-13.845067977905273
anchorman,2,anchor_##man,-21.325672149658203
announcer,1,announcer,-15.253992080688477
annoyed,1,annoyed,-13.530399322509766
antagonized,3,ant_##agon_##ized,-33.54434013366699
anthem,1,anthem,-14.87460708618164
anthropologist,1,anthropologist,-15.409794807434082
apartment,1,apartment,-12.618072509765625
applauded,3,app_##lau_##ded,-36.92379951477051
appointment,1,appointment,-12.251447677612305
appraiser,2,app_##raiser,-24.122172355651855
apprehended,4,app_##re_##hend_##ed,-39.782469749450684
apprentice,1,apprentice,-10.458616256713867
approached,1,approached,-12.732156753540039
approved,1,approved,-8.56773567199707
archaeologist,1,archaeologist,-14.937469482421875
architect,1,architect,-13.705129623413086
archivist,2,arch_##ivist,-25.171796798706055
aristocrat,3,a_##risto_##crat,-29.85459613800049
arranged,1,arranged,-11.661897659301758
arsonist,3,a_##rson_##ist,-21.92782688140869
article,1,article,-12.337682723999023
artisan,2,art_##isan,-22.41277027130127
artist,1,artist,-11.389620780944824
assailant,3,ass_##ail_##ant,-30.7311954498291
assassin,1,assassin,-9.632244110107422
assignment,1,assignment,-12.935538291931152
assistant,1,assistant,-12.13791561126709
assisted,1,assisted,-12.944090843200684
assuaged,3,ass_##ua_##ged,-33.779725074768066
asylum,1,asylum,-12.032205581665039
ate,1,ate,-13.316394805908203
athlete,1,athlete,-13.421433448791504
attacked,1,attacked,-11.385655403137207
attacker,1,attacker,-12.564814567565918
attendant,1,attendant,-16.17188835144043
attended,1,attended,-13.56762409210205
attired,2,attire_##d,-22.11787986755371
attorney,1,attorney,-11.260832786560059
au,1,au,-12.467501640319824
audience,1,audience,-12.751166343688965
auditor,2,audit_##or,-20.807445526123047
aunt,1,aunt,-11.076536178588867
author,1,author,-11.346695899963379
autographed,3,auto_##graph_##ed,-30.944902420043945
aviator,2,a_##viator,-19.556457042694092
awed,2,awe_##d,-17.882304191589355
baby,1,baby,-9.104649543762207
bachelor,1,bachelor,-10.99795913696289
badgered,2,badge_##red,-22.12639617919922
baffled,3,b_##af_##fled,-32.149818420410156
bag,1,bag,-11.353415489196777
baguette,3,bag_##ue_##tte,-32.14076900482178
bailiff,2,bail_##iff,-22.243517875671387
baker,2,b_##aker,-22.350340843200684
ballerina,2,ball_##erina,-25.40971851348877
ballot,1,ballot,-14.334245681762695
banished,1,banished,-11.163119316101074
banker,1,banker,-12.087252616882324
banner,1,banner,-12.762188911437988
barber,2,bar_##ber,-20.990534782409668
baron,1,baron,-10.590803146362305
baroness,2,baron_##ess,-21.121878623962402
barrister,1,barrister,-11.74864387512207
basin,1,basin,-14.013797760009766
basted,3,b_##ast_##ed,-23.894856452941895
battery,1,battery,-12.9599609375
bear,1,bear,-8.523725509643555
beat,1,beat,-10.918632507324219
beaten,1,beaten,-10.789292335510254
befriended,1,befriended,-12.331660270690918
befuddled,3,be_##fu_##ddled,-31.11006498336792
begged,1,begged,-11.304402351379395
beginner,2,begin_##ner,-20.77461814880371
begrudged,3,beg_##rudge_##d,-28.15186595916748
believed,1,believed,-9.672282218933105
belittled,3,be_##lit_##tled,-31.691826343536377
bellboy,2,bell_##boy,-23.058438301086426
bemused,3,be_##mus_##ed,-26.19865655899048
benefactor,3,ben_##ef_##actor,-33.57725811004639
beneficiary,4,ben_##ef_##ici_##ary,-46.833295822143555
bent,1,bent,-11.822013854980469
berated,2,be_##rated,-20.65989398956299
betrayed,1,betrayed,-10.63709545135498
beverage,1,beverage,-15.243189811706543
biased,2,bias_##ed,-20.696113109588623
biker,2,bike_##r,-18.14104461669922
billed,1,billed,-14.524738311767578
biologist,1,biologist,-16.024242401123047
blackmailer,3,black_##mail_##er,-18.391399383544922
blamed,1,blamed,-14.666009902954102
blew,1,blew,-13.94892692565918
blonde,1,blonde,-12.33194637298584
blown,1,blown,-11.797582626342773
book,1,book,-10.460431098937988
bookkeeper,2,book_##keeper,-19.36613368988037
bookseller,2,books_##eller,-25.478717803955078
bookworm,2,book_##worm,-21.434754371643066
borrowed,1,borrowed,-10.055599212646484
boss,1,boss,-7.568166732788086
botanist,1,botanist,-14.642557144165039
bothered,1,bothered,-15.011969566345215
bottle,1,bottle,-9.916460037231445
bought,1,bought,-9.987215995788574
bowler,1,bowler,-15.978742599487305
boy,1,boy,-8.770695686340332
boyfriend,1,boyfriend,-9.900677680969238
bribed,3,br_##ibe_##d,-26.918018341064453
bricklayer,2,brick_##layer,-23.7269344329834
brochure,3,br_##och_##ure,-31.67636775970459
broker,1,broker,-11.990644454956055
brunette,3,br_##une_##tte,-30.402174949645996
bulb,1,bulb,-14.571433067321777
bully,2,bull_##y,-13.84054946899414
bum,2,b_##um,-16.78241729736328
bureaucrat,2,bureau_##crat,-28.9866886138916
burgled,3,b_##urg_##led,-29.595328330993652
burial,1,burial,-12.698697090148926
burned,1,burned,-12.256430625915527
burnt,1,burnt,-12.128064155578613
bus,1,bus,-13.782937049865723
busboy,2,bus_##boy,-23.258140563964844
businessman,1,businessman,-10.270378112792969
butcher,1,butcher,-12.20966625213623
button,1,button,-10.975630760192871
buyer,1,buyer,-12.293013572692871
by,1,by,-7.927095413208008
bystander,3,by_##stand_##er,-22.393471717834473
cabbie,2,cab_##bie,-22.892752647399902
cadet,1,cadet,-13.369155883789062
calculated,1,calculated,-10.868762016296387
call,1,call,-9.774483680725098
called,1,called,-9.917223930358887
calmed,1,calmed,-12.451480865478516
campaigner,2,campaign_##er,-16.949849128723145
camper,2,camp_##er,-17.62266254425049
canceled,1,canceled,-12.609081268310547
candidate,1,candidate,-11.530637741088867
capitalist,1,capitalist,-12.220903396606445
captain,1,captain,-8.524114608764648
captive,1,captive,-10.969326972961426
car,1,car,-11.960208892822266
cardiologist,3,card_##iol_##ogist,-37.12477684020996
caretaker,1,caretaker,-12.19330883026123
carnivore,4,car_##ni_##vor_##e,-36.72987651824951
carrier,1,carrier,-13.14659309387207
cartographer,2,cart_##ographer,-28.58782196044922
cartoonist,1,cartoonist,-15.895482063293457
caseworker,3,case_##work_##er,-26.02538776397705
cash,1,cash,-10.937978744506836
cashier,2,cash_##ier,-21.444031715393066
cast,1,cast,-10.55738353729248
caught,1,caught,-10.422183990478516
cautioned,2,caution_##ed,-16.35618829727173
celebrity,1,celebrity,-11.296734809875488
cellist,2,cell_##ist,-18.793023109436035
chairman,1,chairman,-11.724392890930176
challenged,1,challenged,-13.345096588134766
champion,1,champion,-9.83779525756836
chancellor,1,chancellor,-12.60030460357666
changed,1,changed,-10.966856002807617
channeler,2,channel_##er,-17.40574550628662
chaplain,1,chaplain,-14.428040504455566
character,1,character,-11.324552536010742
charged,1,charged,-11.57657241821289
charlatan,4,ch_##ar_##lat_##an,-41.041443824768066
chart,1,chart,-13.91111946105957
