word,nr. of tokens,tokens,word score
enright,2,en_##right,-27.99156379699707
enroll,2,en_##roll,-26.64798927307129
enrolled,1,enrolled,-13.29468059539795
enrollment,1,enrollment,-15.089409828186035
enrollments,2,enrollment_##s,-24.95366859436035
ensemble,1,ensemble,-14.52706527709961
ensign,2,en_##sign,-27.627254486083984
ensue,3,en_##su_##e,-34.146803855895996
ensued,1,ensued,-13.554483413696289
ensues,3,en_##su_##es,-35.441609382629395
ensuing,1,ensuing,-13.710262298583984
ensure,1,ensure,-12.903763771057129
entail,2,en_##tail,-29.128238677978516
entails,2,en_##tails,-31.571277618408203
enter,1,enter,-12.009150505065918
entered,1,entered,-11.527863502502441
entering,1,entering,-12.86640739440918
enterprise,1,enterprise,-13.901388168334961
enterprises,1,enterprises,-14.28342056274414
enterprising,3,enter_##p_##rising,-34.84956502914429
enters,1,enters,-13.073277473449707
entertain,1,entertain,-14.632906913757324
entertained,1,entertained,-15.234761238098145
entertainer,2,entertain_##er,-26.53264617919922
entertaining,1,entertaining,-13.976564407348633
entertainment,1,entertainment,-13.923434257507324
enthusiasm,1,enthusiasm,-14.268089294433594
enthusiast,4,en_##thus_##ias_##t,-46.42247009277344
enthusiastic,1,enthusiastic,-13.869783401489258
enthusiastically,2,enthusiastic_##ally,-30.019197463989258
entire,1,entire,-11.673118591308594
entirely,1,entirely,-12.550838470458984
entirety,1,entirety,-13.771462440490723
entities,1,entities,-13.956862449645996
entitle,3,en_##ti_##tle,-36.79350662231445
entitled,1,entitled,-12.33828353881836
entitles,3,en_##ti_##tles,-36.640241622924805
entity,1,entity,-13.125029563903809
entourage,3,en_##tour_##age,-37.9556360244751
entrance,1,entrance,-12.09152889251709
entranced,2,entrance_##d,-24.79987907409668
entreated,3,en_##tre_##ated,-39.56383514404297
entrenched,3,en_##tre_##nched,-42.96758842468262
entries,1,entries,-14.030460357666016
entropy,2,en_##tropy,-28.12268829345703
entry,1,entry,-12.907674789428711
enumerated,3,en_##ume_##rated,-40.862908363342285
envelope,1,envelope,-12.94151496887207
envelopes,2,envelope_##s,-23.751809120178223
envenomed,4,en_##ven_##ome_##d,-45.41873836517334
enver,2,en_##ver,-27.390981674194336
envied,2,en_##vied,-29.012859344482422
enviously,3,en_##vious_##ly,-35.113327980041504
environing,3,en_##vir_##oning,-38.9074068069458
environment,1,environment,-13.406203269958496
environmental,1,environmental,-13.940262794494629
environments,1,environments,-14.284560203552246
envisioned,1,envisioned,-14.627403259277344
envy,1,envy,-16.177207946777344
enzymatic,3,en_##zy_##matic,-40.3612060546875
enzyme,1,enzyme,-14.707277297973633
enzymes,1,enzymes,-15.667265892028809
ephesus,3,e_##phe_##sus,-38.08189392089844
epic,1,epic,-14.085190773010254
epics,2,epic_##s,-24.94777774810791
epicurus,2,epic_##urus,-30.197860717773438
epicycles,3,epic_##ycle_##s,-35.52868843078613
epidemic,1,epidemic,-14.031612396240234
epigraph,3,e_##pi_##graph,-38.05675983428955
epileptic,3,e_##pile_##ptic,-36.05232810974121
epilogue,3,e_##pi_##logue,-37.864285469055176
epiphany,4,e_##pi_##pha_##ny,-45.6048059463501
epiphysis,4,e_##pi_##phy_##sis,-46.267754554748535
episcopal,1,episcopal,-15.48865032196045
episode,1,episode,-12.017997741699219
episodes,1,episodes,-12.533801078796387
epistemology,4,e_##pis_##tem_##ology,-47.247459411621094
epistles,3,e_##pis_##tles,-36.21730136871338
epitaph,3,e_##pit_##aph,-36.03244590759277
epithets,2,epithet_##s,-24.6124906539917
epitomized,4,e_##pit_##omi_##zed,-47.27988147735596
epoch,3,e_##po_##ch,-31.357534408569336
epsilon,3,e_##ps_##ilon,-35.54112434387207
epsom,3,e_##ps_##om,-32.82889747619629
epstein,3,e_##ps_##tein,-33.19921684265137
