word,nr. of tokens,tokens,word score
lauren,2,la_##uren,-24.524181365966797
lauro,2,la_##uro,-22.998159885406494
lautner,3,la_##ut_##ner,-30.31783437728882
lava,1,lava,-14.174500465393066
lavatory,2,lava_##tory,-24.014785289764404
lavender,2,la_##vender,-15.920391082763672
lavishing,2,lavish_##ing,-24.366921424865723
lavishly,2,lavish_##ly,-20.862319946289062
law,1,law,-11.846426963806152
lawful,2,law_##ful,-22.708264350891113
lawmaking,2,law_##making,-23.593619346618652
lawman,2,law_##man,-23.188912391662598
lawmen,2,law_##men,-25.124473571777344
lawn,1,lawn,-14.030312538146973
lawns,2,lawn_##s,-23.348952293395996
lawrence,3,law_##ren_##ce,-25.543293952941895
laws,1,laws,-12.423148155212402
lawyer,1,lawyer,-12.893181800842285
lawyers,1,lawyers,-13.307007789611816
lax,2,la_##x,-17.45110273361206
laxative,3,la_##xa_##tive,-15.495184898376465
laxness,3,la_##x_##ness,-19.194416046142578
lay,1,lay,-12.012167930603027
layer,1,layer,-14.136211395263672
layering,2,layer_##ing,-19.392151832580566
layers,1,layers,-14.184076309204102
layette,2,lay_##ette,-28.238558769226074
laying,1,laying,-14.229143142700195
layman,2,lay_##man,-20.993118286132812
layoffs,2,lay_##offs,-30.308258056640625
layout,1,layout,-12.8291654586792
lays,1,lays,-14.759333610534668
lazy,1,lazy,-14.588546752929688
lb,1,lb,-11.652902603149414
lbs,1,lbs,-13.565147399902344
le,1,le,-11.762073516845703
lead,1,lead,-10.951363563537598
leaded,2,lead_##ed,-26.48435878753662
leader,1,leader,-12.394383430480957
leaders,1,leaders,-13.303787231445312
leadership,1,leadership,-12.965481758117676
leading,1,leading,-12.430776596069336
leads,1,leads,-12.844697952270508
leaf,1,leaf,-12.325151443481445
leafiest,2,leaf_##iest,-23.416050910949707
leaflet,2,leaf_##let,-13.003445625305176
leaflets,2,leaf_##lets,-13.065774917602539
leafmold,3,leaf_##mo_##ld,-24.489151000976562
league,1,league,-12.080388069152832
leaguers,2,league_##rs,-21.670523643493652
leagues,1,leagues,-13.84539794921875
leaked,1,leaked,-14.40412712097168
leaks,2,leak_##s,-17.439160346984863
leaky,2,leak_##y,-21.957093238830566
leale,2,le_##ale,-23.86111068725586
leamington,4,le_##ami_##ng_##ton,-37.404356956481934
lean,1,lean,-12.755258560180664
leaned,1,leaned,-12.097209930419922
leaning,1,leaning,-13.107657432556152
leans,1,leans,-13.724405288696289
leap,1,leap,-14.165630340576172
leaped,1,leaped,-14.548690795898438
leapfrog,3,leap_##f_##rog,-9.606447219848633
leaps,2,leap_##s,-22.59788417816162
leapt,1,leapt,-14.381610870361328
lear,2,le_##ar,-22.922475814819336
learn,1,learn,-13.212904930114746
learned,1,learned,-13.280611038208008
learners,2,learn_##ers,-23.3201904296875
learning,1,learning,-13.425239562988281
learns,1,learns,-14.350577354431152
lease,1,lease,-12.87640380859375
leased,1,leased,-13.698528289794922
leases,2,lease_##s,-19.475131034851074
least,1,least,-10.8463773727417
leather,1,leather,-11.902078628540039
leathers,2,leather_##s,-24.86558437347412
leave,1,leave,-10.885937690734863
leavened,2,leave_##ned,-23.677433967590332
leaves,1,leaves,-11.127230644226074
leaving,1,leaving,-11.95351505279541
leavitt,3,le_##avi_##tt,-31.90919542312622
lecky,2,le_##cky,-25.08730983734131
leclair,3,le_##c_##lair,-38.0501823425293
lecture,1,lecture,-13.694786071777344
lecturer,1,lecturer,-13.497464179992676
lectures,1,lectures,-13.79616928100586
lecturing,3,le_##ct_##uring,-13.308150291442871
led,1,led,-11.74550724029541
ledford,2,led_##ford,-29.33932590484619
ledge,1,ledge,-14.269794464111328
ledger,2,ledge_##r,-20.053127765655518
ledgers,2,ledge_##rs,-19.60062599182129
ledoux,2,led_##oux,-26.4333438873291
lee,2,le_##e,-15.661946296691895
leered,2,le_##ered,-21.666168212890625
leesona,3,le_##eson_##a,-31.447588443756104
leet,2,le_##et,-19.798224449157715
leeway,3,le_##ew_##ay,-14.547582149505615
left,1,left,-10.037489891052246
lefty,2,left_##y,-20.29859161376953
leg,1,leg,-12.657567977905273
legacies,3,leg_##ac_##ies,-13.596641540527344
legacy,1,legacy,-13.999130249023438
legal,1,legal,-11.854726791381836
legality,2,legal_##ity,-19.45003032684326
legalized,2,legal_##ized,-21.913724899291992
legation,2,leg_##ation,-23.55869960784912
legations,2,leg_##ations,-25.66915512084961
legend,1,legend,-14.228628158569336
legendary,1,legendary,-14.448779106140137
